resume_text,job_text,label
"Electrical Engineer
Summary: Professional with hands-on experience across the domain.
Skills: circuit design, embedded, fpga, matlab, pcb, signal processing.
Highlights: Delivered projects end-to-end; worked cross-functionally; documented results. Demonstrated problem-solving and ownership.","UX/UI Designer
Responsibilities: Contribute across the team and deliver high-quality outcomes.
Requirements: experience with figma, prototyping, usability testing, wireframing. Demonstrated problem-solving and ownership.",0
"Frontend Web Developer
Summary: Professional with hands-on experience across the domain.
Skills: accessibility, css, html, javascript, node, react, testing, typescript, ui.
Highlights: Delivered projects end-to-end; worked cross-functionally; documented results. Passion for continuous learning.","Product Manager (SaaS)
Responsibilities: Contribute across the team and deliver high-quality outcomes.
Requirements: experience with kpis, prioritization, roadmap, stakeholders, user research. Passion for continuous learning.",0
"Financial Analyst
Summary: Professional with hands-on experience across the domain.
Skills: excel, forecasting, kpis, modeling, powerpoint, valuation.
Highlights: Delivered projects end-to-end; worked cross-functionally; documented results. Strong collaboration and communication.","Data Engineer
Responsibilities: Contribute across the team and deliver high-quality outcomes.
Requirements: experience with airflow, cloud, data lake, etl, kafka, python, sql. Demonstrated problem-solving and ownership.",0
"Attorney
Summary: Professional with hands-on experience across the domain.
Skills: compliance, contracts, legal research, litigation, negotiation, writing.
Highlights: Delivered projects end-to-end; worked cross-functionally; documented results. Focus on quality, reliability, and impact.","Biomedical Engineer
Responsibilities: Contribute across the team and deliver high-quality outcomes.
Requirements: experience with biomechanics, cad, iso 13485, medical devices, regulatory. Focus on quality, reliability, and impact.",0
"Marketing Specialist
Summary: Professional with hands-on experience across the domain.
Skills: analytics, content, copywriting, email marketing, seo, social media.
Highlights: Delivered projects end-to-end; worked cross-functionally; documented results. Demonstrated problem-solving and ownership.","Marketing Specialist (Content)
Responsibilities: Contribute across the team and deliver high-quality outcomes.
Requirements: experience with analytics, content, seo, social media. Passion for continuous learning.",1
"Network Engineer
Summary: Professional with hands-on experience across the domain.
Skills: bgp, dhcp, dns, firewalls, network security, ospf, routing, switching.
Highlights: Delivered projects end-to-end; worked cross-functionally; documented results. Strong collaboration and communication.","Network Administrator
Responsibilities: Contribute across the team and deliver high-quality outcomes.
Requirements: experience with bgp, dhcp, dns, firewall, ospf, routing, switching. Focus on quality, reliability, and impact.",1
"Sales Representative
Summary: Professional with hands-on experience across the domain.
Skills: cold calling, crm, negotiation, pipeline, prospecting, quota.
Highlights: Delivered projects end-to-end; worked cross-functionally; documented results. Experience in fast-paced environments.","Sales Development Rep (SDR)
Responsibilities: Contribute across the team and deliver high-quality outcomes.
Requirements: experience with crm, outbound, pipeline, prospecting, quota. Demonstrated problem-solving and ownership.",1
"Operations Manager
Summary: Professional with hands-on experience across the domain.
Skills: kpis, lean, logistics, process improvement, sops, supply chain.
Highlights: Delivered projects end-to-end; worked cross-functionally; documented results. Focus on quality, reliability, and impact.","Operations Manager
Responsibilities: Contribute across the team and deliver high-quality outcomes.
Requirements: experience with kpis, lean, logistics, process improvement. Passion for continuous learning.",1
"Frontend Web Developer
Summary: Professional with hands-on experience across the domain.
Skills: accessibility, css, html, javascript, node, react, testing, typescript, ui.
Highlights: Delivered projects end-to-end; worked cross-functionally; documented results. Demonstrated problem-solving and ownership.","Frontend Engineer (React)
Responsibilities: Contribute across the team and deliver high-quality outcomes.
Requirements: experience with accessibility, css, html, react, testing, typescript, ui. Passion for continuous learning.",1
"Clinical Research Coordinator
Summary: Professional with hands-on experience across the domain.
Skills: clinical trials, data collection, irb, protocols, regulatory.
Highlights: Delivered projects end-to-end; worked cross-functionally; documented results. Demonstrated problem-solving and ownership.","ML Engineer (Platform)
Responsibilities: Contribute across the team and deliver high-quality outcomes.
Requirements: experience with deployment, feature store, inference, python, pytorch, tensorflow. Focus on quality, reliability, and impact.",0
