"ID","Title","Link","Company","Location","Remote","Experience","EmploymentType","DatePosted","RoleDescription"
3201683,"Vehicle Mechanic - Phoenix, AZ","https://www.bird.co/careers?gh_jid=6627776003","Bird","Phoenix","No","Not specified","Full time","2025-09-23T20:25:37.997774Z","Join Birds mission to change the way the world moves, one ride at a time. Our award-winning electric vehicles help reduce carbon emissions and traffic in over 400 cities around the world  and were just getting started.
 
We're hiring for both flexible part-time (20+ hours/week) and full-time positions, with availability depending on seasonality and performance through our through our trusted staffing partner, TalentBurst.
 
Were seeking a hands-on, motivated Maintenance Specialist to ensure our vehicles are in peak condition. In this role, youll repair and maintain our electric fleet, support warehouse operations, and work with a tight-knit team that moves fast and thinks green. 
 
What You'll Do
 

Diagnose and repair scooters (and electric bikes in some markets) from easy win/quick fixes to full refurbishments
Keep our warehouse efficient by moving scooters and managing inventory
Collaborate with your team and communicate learnings and roadblocks
Lead by example  stay organized, safe, and positive

 
What You Bring
 

Mechanical skills or a quick-learning mindset
Comfort with hand tools and smartphone apps
Strong communication, time management, and problem-solving skills
Ability to lift 40 lbs and be on your feet for up to 8 hours
Weekend availability and a lets do this attitude

 
Bonus Points
 

Prior experience in maintenance, logistics, or warehousing
Passion for tech, mobility, or sustainability
Mechanics, apprentices, or students encouraged to apply!

 
Salary Rate: $18/hr
 
Life at Bird
 
Were bold, collaborative, and mission-driven. Youll join a team that values diversity, authenticity, and innovation  and is always ready to build the future of micro-mobility together. Bird is proud to be an equal opportunity employer
 
#INPR1"
3634721,"Senior City Operations Manager - Atlanta","https://www.bird.co/careers?gh_jid=7445984003","Bird","Atlanta","No",3,"Full time","2025-09-23T20:25:37.997868Z","Birds cleaner, affordable, and on-demand mobility solutions are available in cities globally. We take a collaborative, community-first approach to micromobility. Bird partners closely with the cities in which it operates to provide a reliable and affordable transportation option for people who live and work there.
Role Overview:
The Senior City Operations Manager is responsible for driving operational excellence, market growth, and efficiency in local markets. Reporting to the Regional Operations Manager this role will work to ensure seamless execution of Birds operations strategy by managing day-to-day activities, optimizing performance, and leading a team to achieve ambitious goals. A strategic thinker and detail-oriented doer, the Senior City Operations Manager plays a critical role in scaling the business while maintaining high-quality standards. This position requires exceptional problem-solving skills, a proactive mindset, and strong leadership abilities to deliver results in a fast-paced environment.
Key Responsibilities:

Operational Oversight. You'll manage the end-to-end local operation, including fleet management, supply optimization, and demand generation, with support from Operations leadership. Ensure compliance with local regulations and maintain relationships with city stakeholders. Be the primary point of contact for all operational matters in the market.
Performance and Data Management. You'll track and analyze critical metrics such as fleet utilization, operational efficiency, and revenue performance. Use data-driven insights to identify bottlenecks, optimize processes, and improve KPIs. Develop and implement action plans to address underperformance and capitalize on growth opportunities.
Team Leadership and Development. You will recruit, train, and manage a high-performing operations team, including drivers, mechanics, and other operational roles. Foster a culture of accountability, collaboration, and continuous improvement within the team. Provide regular feedback, coaching, and support to team members to ensure professional growth.
Problem Solving and Execution. You'll Identify and resolve operational challenges, prioritizing tasks effectively to meet tight deadlines. Oversee local campaigns, initiatives, and partnerships to drive market share and brand presence. Collaborate cross-functionally with product, marketing, and central operations teams to align local strategies with company goals.
Stakeholder Engagement. Your role is to ensure you represent Bird in the local community, building strong partnerships with city officials, businesses, and other stakeholders. Act as a trusted advisor for market-specific insights to inform regional and global decision-making.
Culture Building. You will promote Birds core values and mission by creating a fun, inclusive, and safe workplace for the operations team. Actively contribute to the companys culture by driving initiatives that enhance employee satisfaction and engagement.

Must-Have: 

5+ years of experience in operations, warehousing, EMS, QSR management, or other fast-paced, high-growth environments (experience in tech, mobility, or logistics preferred); at least 3 years managing a team. Military veterans are strongly encouraged to apply.
Strong analytical skills with proficiency in data analysis tools (e.g., Excel, Google Sheets, or BI platforms).
Excellent communication skills, both verbal and written, with the ability to influence and build trust with stakeholders.
Proven track record of solving complex problems and delivering results in ambiguous environments.
Highly organized, with strong project management and prioritization skills.
Entrepreneurial mindset with a focus on continuous improvement and innovation.

Other Requirements:

Must reside in the Atlanta Metro Area, ideally within a 30 minute driving distance to downtown Atlanta.
Expectation to report to warehouse 3+ days/week.
Willingness to travel frequently across markets to support local teams and initiatives.
A passion for sustainability, urban mobility, or technology is highly desirable.

#LI"
3634720,"City Operations Manager - Atlanta","https://www.bird.co/careers?gh_jid=7446262003","Bird","Atlanta","No",3,"Full time","2025-09-23T20:25:37.997889Z","Birds cleaner, affordable, and on-demand mobility solutions are available in cities globally. We take a collaborative, community-first approach to micromobility. Bird partners closely with the cities in which it operates to provide a reliable and affordable transportation option for people who live and work there.
Role Overview:
The City Operations Manager is responsible for driving operational excellence, market growth, and efficiency in local markets. Reporting to the Regional Operations Manager this role will work to ensure seamless execution of Birds operations strategy by managing day-to-day activities, optimizing performance, and leading a team to achieve ambitious goals. A strategic thinker and detail-oriented doer, the City Operations Manager plays a critical role in scaling the business while maintaining high-quality standards. This position requires exceptional problem-solving skills, a proactive mindset, and strong leadership abilities to deliver results in a fast-paced environment.
Key Responsibilities:

Operational Oversight. You'll manage the end-to-end local operation, including fleet management, supply optimization, and demand generation, with support from Operations leadership. Ensure compliance with local regulations and maintain relationships with city stakeholders. Be the primary point of contact for all operational matters in the market.
Performance and Data Management. You'll track and analyze critical metrics such as fleet utilization, operational efficiency, and revenue performance. Use data-driven insights to identify bottlenecks, optimize processes, and improve KPIs. Develop and implement action plans to address underperformance and capitalize on growth opportunities.
Team Leadership and Development. You will recruit, train, and manage a high-performing operations team, including drivers, mechanics, and other operational roles. Foster a culture of accountability, collaboration, and continuous improvement within the team. Provide regular feedback, coaching, and support to team members to ensure professional growth.
Problem Solving and Execution. You'll Identify and resolve operational challenges, prioritizing tasks effectively to meet tight deadlines. Oversee local campaigns, initiatives, and partnerships to drive market share and brand presence. Collaborate cross-functionally with product, marketing, and central operations teams to align local strategies with company goals.
Stakeholder Engagement. Your role is to ensure you represent Bird in the local community, building strong partnerships with city officials, businesses, and other stakeholders. Act as a trusted advisor for market-specific insights to inform regional and global decision-making.
Culture Building. You will promote Birds core values and mission by creating a fun, inclusive, and safe workplace for the operations team. Actively contribute to the companys culture by driving initiatives that enhance employee satisfaction and engagement.

Must-Have: 

3+ years of experience in operations, warehousing, EMS, QSR management, or other fast-paced, high-growth environments (experience in tech, mobility, or logistics preferred); at least 3 years managing a team. Military veterans are strongly encouraged to apply.
Strong analytical skills with proficiency in data analysis tools (e.g., Excel, Google Sheets, or BI platforms).
Excellent communication skills, both verbal and written, with the ability to influence and build trust with stakeholders.
Proven track record of solving complex problems and delivering results in ambiguous environments.
Highly organized, with strong project management and prioritization skills.
Entrepreneurial mindset with a focus on continuous improvement and innovation.

Other Requirements:

Must reside in the Atlanta Metro Area, ideally within a 30 minute driving distance to downtown Atlanta.
Expectation to report to warehouse 3+ days/week.
Willingness to travel frequently across markets to support local teams and initiatives.
A passion for sustainability, urban mobility, or technology is highly desirable.

#LI"
3201652,"Operations Specialist - Driver - St. Louis, MO","https://www.bird.co/careers?gh_jid=6628574003","Bird","Saint Louis, Missouri, United States","No",2,"Part time","2025-09-23T20:25:37.997913Z","Join Birds mission to change the way the world moves, one ride at a time. Our award-winning electric vehicles help reduce carbon emissions and traffic in over 400 cities around the world  and were just getting started.
 
We're hiring for both flexible part-time (20+ hours/week) and full-time positions, with availability depending on seasonality and performance through our through our trusted staffing partner, TalentBurst.
 
As an Operations Specialist, youll play a key role in keeping our fleet moving. Youll drive, deploy, relocate, and prepare scooters for riders, working behind the scenes to ensure every ride is safe, smooth, and on time. 
 
Shift : 8am-4pm (Sunday, Monday, Tuesday, Wednesday, Saturday)
Pay:  $18hr
 
What You'll Do
 

Safely drive, load/unload, and follow mobile app routes to deploy or retrieve scooters
Operate a smartphone while multitasking in a fast-paced environment
Relocate scooters from low-demand to high-demand areas efficiently
Perform basic diagnostics and quality checks on scooters and e-bikes
Support warehouse and fleet staging operations
Communicate clearly with teammates and use internal tools to hit daily goals.
Participate in product testing and new feature rollouts

 
What You Bring
 

Must be 21+ years old.
A valid drivers license with at least two years of driving experience
Comfortably using smartphone apps while on the move
Ability to lift up to 80 lbs (with or without accommodation). Team-oriented mindset with strong communication skills
Proficiency in English, bilingual a plus! 
Bonus: Availability for weekend or varied shift work, and familiarity with local streets and neighborhoods
Previous experience in delivery, logistics, rideshare, or warehouse work is a plus

 
Life at Bird
 
Were bold, collaborative, and mission-driven. Youll join a team that values diversity, authenticity, and innovation  and is always ready to build the future of micro-mobility together. Bird is proud to be an equal opportunity employer.
 
 
#INPR1"
3618260,"Team Lead - St. Louis, MO","https://www.bird.co/careers?gh_jid=7385962003","Bird","Saint Louis, Missouri, United States","No",18,"Full time","2025-09-23T20:25:37.997936Z","Birds cleaner, affordable, and on-demand mobility solutions are available in more than 400 cities globally. We take a collaborative, community-first approach to micromobility. Bird partners closely with the cities in which it operates to provide a reliable and affordable transportation option for people who live and work there.

Job Summary:
We seek a dedicated Team Lead to join our dynamic team at Bird through our trusted staffing partner, TalentBurst, to ensure our fleet remains in optimal working condition. 
Shift Hours: open availability (Sunday-Saturday)
Pay: $20/hour

Responsibilities

Training, managing, coaching, and motivating personnel to achieve prompt attendance, superior performance, and good morale
Deployment planning and fleet monitoring to ensure Operations Specialists efficiency using internal dashboard and route planner
Oversee warehouse operations to ensure asset health and repair productivity among Maintenance Specialists
Maintain Fleet Ops team safety culture inside and outside the warehouse, including COVID compliance, charging safety, PPE supply, incident reporting, and hazard mitigation
Closely track key operational metrics and audit team performance using spreadsheets and internal tools
Coordinate schedules of all hourly team members; step up to perform the duties of a Shift Lead, Maintenance Lead, Operations Specialist, or Maintenance Specialist if needed
Serve as our local point of contact for other internal teams

Preferred Qualifications

Previous mechanical or related experience
Experience in delivery/transportation, logistics, warehousing, and inventory

Must Have

2-4 years of experience leading warehouse and driver personnel in operations, logistics, distribution,  or related sectors 
18+ year of age, with a minimum of 2 years driving experience, and a valid drivers license
Technical background: familiarity with spreadsheets and web tools, proficiency with math, technical savvy to quickly learn new software
Excellent communication skills, written and verbal
Proficient in English (firmly required)

 
Work Authorization
Applicants must be authorized to work without the need for current or future employer-sponsored work visa sponsorship.
Highly Desired

4+ years of experience as a warehouse supervisor working in operations, logistics, distribution, tech, or related sectors
Associates or Bachelors degree in Operations, Transportation/Logistics, Business or any STEM field
Familiarity with local streets and neighborhoods
Results-orientation and proactive problem-solving skills
Ability to lift, push, pull, and carry scooters/e-bikes, related components/parts, and tools weighing up to 80-90 lbs scooters (with or without reasonable accommodation)

 
Culture at Bird
We're an ambitious, smart and open-minded team that is passionate about our mission. Each day is unlike the last, as were constantly moving forward, challenging each other, and working together to create the future of micro-mobility.
 
Perks up
We want people to succeed at Bird, so we give our teams plenty of time off to relax and recharge, plus a wellness resource to help you wind down. We also offer a work from home stipend, an employer paid healthcare package, and Bird ride credits to get you where you need to be.
 
Bird is the world
Bird stands for a culture of inclusion. We celebrate different backgrounds, experiences, and perspectives encouraging everyone to bring their authentic selves to work. We have a diverse environment that empowers our team to feel comfortable when they voice their opinions. For these reasons and more Bird is a proud equal employment opportunity employer. We welcome everyone regardless of their race, color, religion, sex, national origin, age, disability, veteran status, or genetics, and we are dedicated to providing an inclusive, open, and diverse work environment.
Sound like a place youd like to work? Sweet. Lets chat.
 
#INPR1"
3358553,"Operations Specialist - Driver - Moscow, ID","https://www.bird.co/careers?gh_jid=6667166003","Bird","Moscow, Idaho, United States","No",2,"Part time","2025-09-23T20:25:37.997959Z","Join Birds mission to change the way the world moves, one ride at a time. Our award-winning electric vehicles help reduce carbon emissions and traffic in over 400 cities around the world  and were just getting started.
 
We're hiring for both flexible part-time (20+ hours/week) and full-time positions, with availability depending on seasonality and performance through our through our trusted staffing partner, TalentBurst.
As an Operations Specialist, youll play a key role in keeping our fleet moving. Youll drive, deploy, relocate, and prepare scooters for riders, working behind the scenes to ensure every ride is safe, smooth, and on time. 
Schedule: can work anytime on Sunday, Mon 2pm - 10pm , Wed 2pm - 10pm
Pay: $18/hour
What You'll Do
 

Safely drive, load/unload, and follow mobile app routes to deploy or retrieve scooters
Operate a smartphone while multitasking in a fast-paced environment
Relocate scooters from low-demand to high-demand areas efficiently
Perform basic diagnostics and quality checks on scooters and e-bikes
Support warehouse and fleet staging operations
Communicate clearly with teammates and use internal tools to hit daily goals.
Participate in product testing and new feature rollouts

 
What You Bring
 

Must be 21+ years old.
A valid drivers license with at least two years of driving experience
Comfortably using smartphone apps while on the move
Ability to lift up to 80 lbs (with or without accommodation). Team-oriented mindset with strong communication skills
Proficiency in English, bilingual a plus! 
Bonus: Availability for weekend or varied shift work, and familiarity with local streets and neighborhoods
Previous experience in delivery, logistics, rideshare, or warehouse work is a plus

 
Life at Bird
 
Were bold, collaborative, and mission-driven. Youll join a team that values diversity, authenticity, and innovation  and is always ready to build the future of micro-mobility together. Bird is proud to be an equal opportunity employer.
 
#INPR1"
3610316,"Vehicle Mechanic - Moscow, ID","https://www.bird.co/careers?gh_jid=7351747003","Bird","Moscow, Idaho, United States","No","Not specified","Full time","2025-09-23T20:25:37.997984Z","Join Birds mission to change the way the world moves, one ride at a time. Our award-winning electric vehicles help reduce carbon emissions and traffic in over 400 cities around the world  and were just getting started.
 
We're hiring for both flexible part-time (20+ hours/week) and full-time positions, with availability depending on seasonality and performance through our through our trusted staffing partner, TalentBurst.
 
Were seeking a hands-on, motivated Maintenance Specialist to ensure our vehicles are in peak condition. In this role, youll repair and maintain our electric fleet, support warehouse operations, and work with a tight-knit team that moves fast and thinks green. 
Shift Hours: Mon - Fri (8am - 2pm) 
Mon-Fri (2pm - 10pm)
Fri - Mon (8am - 2pm) or (2pm - 10pm)
PAY: $18/hour
 
What You'll Do
 

Diagnose and repair scooters (and electric bikes in some markets) from easy win/quick fixes to full refurbishments
Keep our warehouse efficient by moving scooters and managing inventory
Collaborate with your team and communicate learnings and roadblocks
Lead by example  stay organized, safe, and positive

 
What You Bring
 

Mechanical skills or a quick-learning mindset
Comfort with hand tools and smartphone apps
Strong communication, time management, and problem-solving skills
Ability to lift 40 lbs and be on your feet for up to 8 hours
Weekend availability and a lets do this attitude

 
Bonus Points
 

Prior experience in maintenance, logistics, or warehousing
Passion for tech, mobility, or sustainability
Mechanics, apprentices, or students encouraged to apply!

 
Life at Bird
 
Were bold, collaborative, and mission-driven. Youll join a team that values diversity, authenticity, and innovation  and is always ready to build the future of micro-mobility together. Bird is proud to be an equal opportunity employer.
 
 
#INPR1"
3201699,"Vehicle Mechanic - St. Louis, MO","https://www.bird.co/careers?gh_jid=6627974003","Bird","Saint Louis, Missouri, United States","No","Not specified","Full time","2025-09-23T20:25:37.998010Z","Join Birds mission to change the way the world moves, one ride at a time. Our award-winning electric vehicles help reduce carbon emissions and traffic in over 400 cities around the world  and were just getting started.
 
We're hiring for both flexible part-time (20+ hours/week) and full-time positions, with availability depending on seasonality and performance through our through our trusted staffing partner, TalentBurst.
 
Were seeking a hands-on, motivated Maintenance Specialist to ensure our vehicles are in peak condition. In this role, youll repair and maintain our electric fleet, support warehouse operations, and work with a tight-knit team that moves fast and thinks green. 
Shift Hours: 
Sunday - Friday (7am-3pm) (Training week would be Tuesday -Friday 10am-6pm)
Sunday - Friday (4pm-12am) (First week of Training would be 10am-6pm)
Pay: $18/hour
What You'll Do
 

Diagnose and repair scooters (and electric bikes in some markets) from easy win/quick fixes to full refurbishments
Keep our warehouse efficient by moving scooters and managing inventory
Collaborate with your team and communicate learnings and roadblocks
Lead by example  stay organized, safe, and positive

 
What You Bring
 

Mechanical skills or a quick-learning mindset
Comfort with hand tools and smartphone apps
Strong communication, time management, and problem-solving skills
Ability to lift 40 lbs and be on your feet for up to 8 hours
Weekend availability and a lets do this attitude

 
Bonus Points
 

Prior experience in maintenance, logistics, or warehousing
Passion for tech, mobility, or sustainability
Mechanics, apprentices, or students encouraged to apply!

 
Life at Bird
 
Were bold, collaborative, and mission-driven. Youll join a team that values diversity, authenticity, and innovation  and is always ready to build the future of micro-mobility together. Bird is proud to be an equal opportunity employer.
 
#INPR1"
3166093,"Fleet Manager - Fayetteville, AR (Contract)","https://www.bird.co/careers?gh_jid=6620822003","Bird","Fayetteville","No","Not specified","Contract","2025-09-23T20:25:37.998030Z","Job Description
Birds cleaner, affordable, and on-demand mobility solutions are available in cities globally. We take a collaborative, community-first approach to micromobility. Bird partners closely with the cities in which it operates to provide a reliable and affordable transportation option for people who live and work there.
The Fleet Manager role is a key partner to Birds Operations Team. The Fleet Manager will work with our local City Operations Manager to manage a dedicated fleet of e-scooters in Fayetteville to ensure it stays maintained and deployed to meet the transportation needs of the community. The ideal candidate for this partnership should have a doer attitude, excellent time-management and execution habits, and the ability to communicate clearly. As a Fleet Manager, you will use our mobile technology to monitor, transport, rebalance, and maintain our vehicles to ensure a safe, environmentally friendly scooter is always available to ride nearby. In addition, you will support the ongoing maintenance and health of the fleet by consistently meeting or exceeding target KPIs.
Key Responsibilities:

Manage the end-to-end operation of the respective portfolio, ensuring charging, deploying, relocating and retrieving vehicles
Problem solve - prioritize tasks, and overcome obstacles that come your way
Be resourceful and a self-starter - take initiative and work well without supervision 
Repair and refurbish your fleet of vehicles to ensure they are deployed and ride ready for the the community

Must-Have Qualifications:

Registered Business LLC
General liability insurance (or able to acquire within 30 days of onboarding)
General commercial auto insurance  (or able to acquire within 30 days of onboarding)
Valid Drivers License
Access to a reliable vehicle for work-related duties
Strong knowledge of the local geography
Flexible availability and willingness to work daily, including weekends
Comfortable learning and adapting to new concepts and using new tools
Ability to lift up to 50 pounds; stoop, bend, walk, and stand for long periods of time.
Self-motivated, energetic and driven individual with the ability to learn new skills and build a team
Ability to simplify difficult problems into actionable and solvable tasks

Important Details About the Role:

This is an independent contractor position, not an employee role.
You are responsible for your own tools, equipment, and any associated expenses required to complete your work.
As an independent contractor, you manage your own schedule and workload to meet the operational needs of Bird.

Culture at Bird
We're an ambitious, smart and open-minded team that is passionate about our mission. Each day is unlike the last, as were constantly moving forward, challenging each other, and working together to create the future of micromobility.
Bird is the world
Bird stands for a culture of inclusion. We celebrate different backgrounds, experiences, and perspectives encouraging everyone to bring their authentic selves to work. We have a diverse environment that empowers our team to feel comfortable when they voice their opinions. For these reasons and more, Bird is a proud equal employment opportunity employer. We welcome everyone regardless of their race, color, religion, sex, national origin, age, disability, veteran status, or genetics. We are dedicated to providing an inclusive, open, and diverse work environment.
Sound like a place youd like to partner with? Sweet. Lets chat.
Role Types: Contract Full-time
Licence/Certification:

Driving License (required)

Ability to Commute:

Fayetteville, AR  (required)

Work Location: In person"
3382382,"Operations Partner -  Los Angeles, CA","https://www.bird.co/careers?gh_jid=6672650003","Bird","Los Angeles","No","Not specified","Full time","2025-09-23T20:25:37.998048Z","Job Description
Birds cleaner, affordable, and on-demand mobility solutions are available in cities globally. We take a collaborative, community-first approach to micromobility. Bird partners closely with the cities in which it operates to provide a reliable and affordable transportation option for people who live and work there.
The Operations Partner role is a key partner to Birds Operations Team. The Operations Partner will work with our local City Operations Manager to manage our fleet of e-scooters in Los Angeles to ensure it stays maintained and deployed to meet the transportation needs of the community. The ideal candidate for this partnership should have a doer attitude, excellent time-management and execution habits, and the ability to communicate clearly. As an Operations Partner, you will use our mobile technology to monitor, transport, rebalance, and maintain our vehicles to ensure a safe, environmentally friendly scooter is always available to ride nearby.
Key Responsibilities:

Manage the end-to-end operation of the respective portfolio, ensuring charging, deploying, relocating and retrieving vehicles
Problem solve - prioritize tasks, and overcome obstacles that come your way
Be resourceful and a self-starter - take initiative and work well without supervision 

Must-Have Qualifications:

Registered Business LLC
General liability insurance (or able to acquire within 30 days of onboarding)
General commercial auto insurance  (or able to acquire within 30 days of onboarding)
Valid Drivers License
 Access to a reliable vehicle for work-related duties
Strong knowledge of the local geography
Flexible availability and willingness to work daily, including weekends
Comfortable learning and adapting to new concepts and using new tools
Ability to lift up to 50 pounds; stoop, bend, walk, and stand for long periods of time.
Self-motivated, energetic and driven individual with the ability to learn new skills and build a team
Ability to simplify difficult problems into actionable and solvable tasks

Important Details About the Role:

This is an independent contractor position, not an employee role.
You are responsible for your own tools, equipment, and any associated expenses required to complete your work.
As an independent contractor, you manage your own schedule and workload to meet the operational needs of Bird.

Culture at Bird
We're an ambitious, smart and open-minded team that is passionate about our mission. Each day is unlike the last, as were constantly moving forward, challenging each other, and working together to create the future of micromobility.
Bird is the world
Bird stands for a culture of inclusion. We celebrate different backgrounds, experiences, and perspectives encouraging everyone to bring their authentic selves to work. We have a diverse environment that empowers our team to feel comfortable when they voice their opinions. For these reasons and more, Bird is a proud equal employment opportunity employer. We welcome everyone regardless of their race, color, religion, sex, national origin, age, disability, veteran status, or genetics. We are dedicated to providing an inclusive, open, and diverse work environment.
Sound like a place youd like to partner with? Sweet. Lets chat.
Role Types: Contract Full-time
Licence/Certification:

Driving License (required)

Ability to Commute:

Los Angeles, CA  (required)

Work Location: In person
#LA-CA"
