"ID","Title","Link","Company","Location","Remote","Experience","EmploymentType","DatePosted","RoleDescription"
3647691,"Bosch Corporation Internship at ""Motorcycle & Powersports Department"" - Project Management & Sales Role","https://jobs.smartrecruiters.com/BoschGroup/744000083345625-bosch-corporation-internship-at-motorcycle-powersports-department-project-management-sales-role","BoschGroup","Bosch Corporation_Internship","No","Not specified","Internship","2025-09-23T20:25:18.973460Z","Unit Code: 2WP/CJPTwo-Wheeler &amp; Powersports is part of the Bosch Mobility Solutions business sector, building Boschs two-wheeler and powersports activities cross divisionally. Combining the areas of vehicle motion &amp; safety, environment &amp; efficiency and comfort &amp; fun in one business unit. We act as the one face to the customer, facilitating internal and external processes. We are globally responsible for sales, marketing and engineering for two-wheeler and powersports specific products. With our headquarter in Yokohama, Japan and branches in the United States, Europe, India, and China, we coordinate two-wheeler and powersports activities all around the world. JOEM is strong and market leader especially in 2 Wheeler segment.Sales Acquisition Manager and Project Management for JOEM projects worldwide in Two Wheeler in Japan.:

- Acquisition Manager and Project Manager for JOEM in motorcycle safety assistance systems, Powertrain area for JOEMs
- Develop new opportunities for new additional growth project
- Sales activity participation for planning
- Customer interface responsible for price negotiations, contracts
- Launch Management and plant coordination
- Organize internal and external project meetings
- Change Management
- Project budget planning and cost controlling Required Specialized knowledge:
1. Skills for MS office - Powerpoint, Excel, Word
2. Be a communicative, proactive, tenacious and reliable team player! Preferred language abilities:
1. Fluent English preferred
2. Upper-intermediate Japanese required Additionally, you should:
Be able to stay for a period of 6-12 months at our company
Be regularly enrolled at a university during the entire internship period
Be flexible, willing and motivated to live and work in a different culture
Regarding starting date of internship and end of the intern period, it can be adjusted accordingly.Target Internship Period: 16th November 2023 - 15th May 2024

*We offer a very competitive monthly net allowance of 180,000 Yen on a full-time scheme. We will also provide you with all necessary documents and information for a successful Designated Activities visa application. Please note that the full visa process may take up to three months. Furthermore, applicants who intend to have an internship period for 12 months/already hold residence status in Japan will receive a monthly gross allowance.   **Japanese Nationals:Please note that Japanese nationals do not require a visa process. Depending on the needs of the receiving department, students fulfilling this condition may begin their internship within one month of being hired.***Exchange studentsPlease note that foreign nationals on a student visa with permission for part-time job () do not require a visa process. Students fulfilling these conditions will be eligible to work on a part-time scheme only. Depending on the needs of the receiving department, exchange students may begin their internship within one month of being hired.****Non-Japanese Nationals (visa requirements):  
Please note that applicants who are not Japanese nationals need to be eligible to obtain the Designated Activities Visa for an internship with Bosch Japan. Therefore, only students who fulfill the following conditions are eligible to apply:
A.) Enrolled student at a university at least 3 months before the internship and during the entire internship period.
B.) Doing the internship will require your university to sign a document confirming that the internship represents a mandatory or strongly recommended part of your university curriculum when applying for your visa.Please be aware that we will not:
A.) Carry out country specific tax treaty procedures. 

B.) Carry out any refund procedures.
"
3647690,"[Bosch HcP - Internship] Supplier Quality Intern","https://jobs.smartrecruiters.com/BoschGroup/744000083354628--bosch-hcp-internship-supplier-quality-intern","BoschGroup","Long Thanh","No","Not specified","Internship","2025-09-23T20:25:18.973553Z","Contribute to supplier management activities, support to:Address suppliers' quality issues: data collection, defect confirmation, send samples to suppliers,,..Digitalization enhancement phase &amp; supplier data monitoring.Incoming inspection coordination. Contribute to CoPE Direct supplier management projects &amp; implement work packages to enhance suppliers' relationship &amp; quality.Maintain Bosch Connect page of Suggestion Scheme program, council &amp; award.Contribute CIP Workshop, department &amp; team LEAN activities to improve working efficiency &amp; effectiveness.3rd year or Final year student majoring in Project Management, Supply Chain Management, Quality Assurance or any relevant fields.Good English communication skills.Proficient in MS Office (PowerBI, PowerPoint, Excel)Be able to adapt to international working environment &amp; cultural diversity.Reliable, pro-active, high commitment, creative thinking, willing to learn and do new things.A learning-driven, professional, inclusive multinational work environment fosters personal growth and expands professional networks.An attractive monthly allowance.Bus transportation and lunch are provided daily.Full-paid leaves for Vietnam public holidays, birthday, sickness and 01 day per working month.Opportunities to become a Bosch associate after graduation."
3647689,"ML Architect","https://jobs.smartrecruiters.com/BoschGroup/744000083373814-ml-architect","BoschGroup","Bengaluru","No","Not specified","Full time","2025-09-23T20:25:18.973579Z","Roles &amp; Responsibilities : expertise in Python, which is the programming language of choice for Machine Learning expertise in a common ML framework, preferably PyTorch, which we've been using (or TensorFlow, both are huge+popular)knowledge of deep neural networks (DNNs), in particular recurrent neural networks (RNNs) such as LSTMs, which we've been using includes knowledge about optimizers, loss functions etc.maybe also expertise in time series prediction this is specific to the conferencing systemtime series prediction and recurrent neural networks are closely linked for other products, it might be less relevant other big types of DNNs (besides RNNs) are:Convolutional Neural Networks (CNNs), especially for image recognition Generative Adversarial Networks (GANs), especially for synthetic data generationTransformers (more recent hype), especially in LLMs or other time-series prediction problems where the time series span over very long horizons (like text, which can have correlation over whole chapters)theres more, but these are the really big ones Id say, so the candidate should know what theyre used forexperience in implementing neural network architectures in a machine learning frameworki.e. have they worked on implementation projects beforeexperience in training and evaluating ML models with large data sets, preferably using TensorBoardTensorBoard is the software that collects and visualizes model performance data during/after trainingknowledge in statistics, in particular probability distributions, and experience in evaluating model performance and system benchmarks in statistically sound ways, such as using empirical distribution functions (i.e. cumulative distribution functions (CDFs) and similar), 95%-confidence intervals, etc.Educational qualification:B.E/B.Tech in ECE/CS/ITExperience :10 yearsMandatory/requires Skills :
ML/Ops, Python, Pytorch, Docker, Kubernates, DevOps, Tensorboard, GNNs, CNNs, Transformers, Tensor FlowPreferred Skills :"
3647688,"Senior C# ,.Net, WPF, WINFORMs developer","https://jobs.smartrecruiters.com/BoschGroup/744000083373865-senior-c-net-wpf-winforms-developer","BoschGroup","Bengaluru","No",8,"Full time","2025-09-23T20:25:18.973627Z","Roles &amp; Responsibilities :
We are looking for Senior Software developers to work in Senior C# ,.Net, WPF, WINFORMs . These Developers need to work on the Product and hence need to visit / work from customer office in Bengaluru . 
The main responsibilities for this position include:Collaborate with engineering teams to define and implement innovative solutions for the product and is accountable for delivery
Should take accountability and ownership to develop  and be responsible for an application design
Present designs and key milestone deliverables to peers and executive level stakeholdersEstablish and promote design guidelines, best practices and standards.Responsible for facilitating the scrum process on scrum teams with cross-functional impacts that involve complex projectPartners with Marketing Product Owner(s) to ensure continuous refinement of backlog, which may include stories from multiple projectsMust have strong hands-on knowledge of working with Home Automation Products like Dimmers, Sensors, Lighting, Fan Controllers, IoT devices.... In-Scope Services: New Feature Development: Developing new features for sensors, devices used in project with existing code base and deliver on timeFeature Enhancement: Must be able to work on enhancement activities on existing code base and deliver on time.Maintain Code Quality: Should design and develop using best practices and maintain code quality throughout the time.Deployment: Should deploy code on regular basis.Bug Fixing: Should be able to fix bugs assigned and deliver on time.Unit Testing: Should unit test self developed code following best practices and process defined by team to have zero defect and maintain code qualityDocumentation: Writing unit test cases, test scripts, adding all scripts and test case scenario documents to SE repository. Help dev team in documentation as and when required.Agile: Follow agile process, participate in all scrum, retro, planning-grooming meetings, high availability during working hours, status update, provide leave plan in advance, keep team updated about any issues or concerns, raise flags at appropriate time etc. Strictly align with deliverables and timelines, Proactively provide suggestions for improvement of project
 Educational qualification:B.E / B.TechExperience :8+ YearsMandatory/requires Skills :Experience of more than 8+ years in software developmentExpert on Proficiency in  C#,WPF,MVVM, WinForms, Responsive UI, GitHub repository usage
Expertise in unit testing framework like Jasmine and Unit test
Expert  of system Design and architectureExperience working in an Agile/Scrum development. processExcellent communication skills, both written and verbal in English is mandatoryPreferred Skills :"
3647687,"[SX/EIT-MM] Industrial AI Scientist (Ph.D, Machine Learning)","https://jobs.smartrecruiters.com/BoschGroup/744000083374345--sx-eit-mm-industrial-ai-scientist-ph-d-machine-learning-","BoschGroup","Ho Chi Minh","No",7,"Full time","2025-09-23T20:25:18.973652Z","Key Responsibilities1. AI Leadership &amp; Solution DesignLead the vision, strategy, and roadmap for Industrial AI solutions, ensuring they align with both business objectives and product direction.Clarify complex industrial and operational requirements, engaging in direct discussions with customers and business stakeholders.Propose AI-driven solutions that are both research-grounded and product-ready, with measurable industrial impact.Guide teams in translating state-of-the-art AI research into scalable industrial products.2. Research &amp; InnovationStay at the forefront of AI advancements, with expertise in foundation models, generative AI, agentic AI, reinforcement learning, computer vision, and time-series forecasting.Conduct original research with direct industrial relevance, contributing to peer-reviewed publications, patents, and prototypes.Establish the organization as a leader in Industrial AI innovation through thought leadership and academic/industry engagement.3. Customer &amp; Business CollaborationPartner with customers to understand business needs, pain points, and opportunities.Translate business discussions into clear AI requirements and solution architectures.Act as a trusted advisor to clients, explaining AI capabilities, limitations, and roadmap alignment in accessible business terms.4. Mentorship &amp; Team DevelopmentMentor and coach researchers, data scientists, and engineers, fostering a culture of scientific rigor, creativity, and product-oriented thinking.Provide technical direction and inspire teams to pursue innovative and impactful solutions.Promote best practices in research methodology, experimentation, and industrial AI deployment.PhD in Computer Science, Artificial Intelligence, Machine Learning, or related field, with specialization in industrial AI.7+ years of experience in AI/ML research, solution design, or applied industrial AI.Proven track record of research excellence (peer-reviewed publications, patents, or industry-leading innovation).Deep expertise in machine learning, deep learning, computer vision, time-series forecasting, and generative AI.Strong ability to engage with customers, clarify requirements, and shape AI solutions aligned with business goals.Excellent leadership, mentorship, and communication skills, with the ability to influence both technical and business stakeholders.Up-to-date knowledge of state-of-the-art AI research and industrial applications.Play as AI Expert role and provide AI relevant solution architects to all Bosch GBs even if customer outside Bosch in multi market especially ASEAN market on AI problems/use cases to bring excellent operational efficiency in our GB partners daily work and customer experience.Why BOSCH?Because we do not just follow trends, we create them. Together we turn ideas into reality, working every day to make the world of tomorrow a better place. Do you have high standards when it comes to your job? So do we. At Bosch, you will discover more than just work.Benefits and Career OpportunitiesWorking in one of the Best Places to Work in Vietnam and Top 30 of the Most Innovative Companies all over the worldJoin in a dynamic and fast-growing global company (English-speaking environment), with opportunity to work in global projects and being a part of innovation team contributing initiative ideas to the hi-tech worldOnsite opportunities: short-term and long-term assignments in worldwide officesEngage in our diverse training programs which surely help strengthen both your personal and professionalism13th-month salary bonus + attractive performance bonus (you'll love it!) + annual performance appraisal100% offered salary and mandatory social insurances in 2-month probation15++ days of annual leave + 1-day of birthday leavePremium health insurance for employee and 02 family membersFlexible working time and working modelLunch and parking allowanceGood benefits of company activities such as: football, badminton, yoga, Aerobic, team building..."
3647686,"Team Leader (BPO)","https://jobs.smartrecruiters.com/BoschGroup/744000083375046-team-leader-bpo-","BoschGroup","Taguig","No",3,"Full time","2025-09-23T20:25:18.973691Z","Initiates and follow up action related to Performance dialogue and coaching of the associates.Improves productivity by highlighting deficiencies and recommending change in tools, training, processes, reporting, and employee engagement.Reports operational achievements and progress to the operations manager on a regular basis including statistical analysis and improvement of action plans.Works with operations manager to ensure operational consistency.Follows up with unsatisfied customers to ensure issues are resolved and the customers are satisfied.Maintains a mindset of continuous improvement, in terms of efficiency of support processes, customer satisfaction and the application of tools for monitoring, management and optimization.Builds relationships with the operational and technical department management of our key customers.Develops a strong relationship with the clients and customers to increase customer satisfaction.Fosters leadership by example and upholds Bosch values.Supports in conflict and change management.Resolves employee issues and act as the employee advocate when dealing with Support functions (e.g., HR, WFM, etc.) or departmental processes.Performs required administrative tasks related to team leader responsibilities not limited to time keeping checkAt least 3 years experience as a Team leader in a BPO industryWith expertise in Order ManagementMust have a good understanding of a ""services business"" in a technical support environment Proven experience as a Team Leader in a BPO or customer serviceStrong understanding of customer service principles.Excellent communication and conflict resolution abilities.Strong analytical skills with the ability to interpret data and identify trends for process improvement.Proficiency in Microsoft Office, CRM and report visualization and other relevant software for performance and data analysis.Strong communication and interpersonal skills to effectively conduct performance management, coaching, and training to customer service representatives.Ability to work collaboratively in a fast-paced organization.Proactive and adaptable with the ability to identify opportunities for improvement and implement effective strategies.Team player with the ability to collaborate with management, trainers, and customer service representatives to drive quality and efficiency initiatives.Passion for continuous learning and staying updated on industry best practices and trends in customer service.Ability to work in shifting scheduleAmenable to work onsiteKindly attach your resume in your application. Only shortlisted candidates will be contacted via email."
3647685,"[CTG] Logistics Intern","https://jobs.smartrecruiters.com/BoschGroup/744000083376065--ctg-logistics-intern","BoschGroup","Ho Chi Minh","No","Not specified","Internship","2025-09-23T20:25:18.973732Z","Preparing documents for custom clearance to import goodsRecording and updating Import  Export databasesBooking, packaging and preparing documents to export goodsFollowing up and receiving the goods of domestic POsMust be undergraduate students, major in Logistics and transportation, International economics or equivalentGood at EnglishProficient in Microsoft Office: Word, Excel, PowerPoint.Willing to learn, good communication.No working experiences required, although students with dynamic experience in school/social activities will have big advantage.Keen on learning new things to work either independently or in team.Monthly Internship allowance + Meal &amp; Parking allowance1 paid leave day + 1 sick leave for each internship month 1 birthday leave day if your birthday fails during the internship periodAccident insurance provided throughout the internshipOpportunity to observe and engage in international projects and innovationAccess to our diverse training programs which surely help strengthen both your personal and professionalismParticipation in various company activities such as football, yoga, badminton, and team building."
3647684,"2WP Motorcycle ABS TPM - System Engineer -Bangalore","https://jobs.smartrecruiters.com/BoschGroup/744000083375326-2wp-motorcycle-abs-tpm-system-engineer-bangalore","BoschGroup","Bengaluru","No",3,"Full time","2025-09-23T20:25:18.973763Z","System Design : Understand system requirements to develop system concepts based on platform solutions in order to meet the performance and quality expectations.Requirement Engineering :Maintain the requirements to be met by the system, software, hardware and other components of interest to meet the required internal and external targets.Technical Collaboration : Assist in creating Stakeholder Requirement Specification for the system in cooperation with component project manager to define individual work packages.System Assessment : Perform system assessment/integration with interfacing components to ensure the intended performance and functionality of the system is achieved within the defined boundary condition.Validation and Release : Assist in verifying system solutions against the customer requirement specification and validate system elements according to component specifications in order to have a robust system solution.Engineering Support: Provide technical support by assisting on issues of customer projects in order to meet customer needsInnovation management: Identify problem statements to ideate and innovate solutions in order to solve customer pain points. Provide inputs for the innovative ideas by applying respective innovation milestones in order to support innovation management process.- Bachelor/Masters degree in Engineering - Mechanical/Automotive/Electrical/Electronics/Computer Science- &lt; 3 years of experience in automotive domainSkill / Competencies Requirements : Basic Understanding of Automotive safety regulations.Basic Knowledge on Vehicle engine management/ safety systems (Antilock Braking System, Traction Control etc.,).Basic knowledge on vehicle communication protocols and diagnostics.Novice Problem solving and analytical skills.Novice Calibration skills."
3647683,"Internship in Human Resource (Admin)","https://jobs.smartrecruiters.com/BoschGroup/744000083376275-internship-in-human-resource-admin-","BoschGroup","Bayan Lepas","No","Not specified","Internship","2025-09-23T20:25:18.973800Z","Tasks:Manage time data related requestManage leave data related requestSupport any ad-hoc task assign by Personnel AdminProject:Support in improvement project: data master cleans up Coordinate team project: LinkedIn QualificationsCandidate that is pursuing a bachelor's in business or statistics fields.Preferable 4 months of internship compulsory commitment.Required language(s): Fluent command in English, Bahasa Malaysia.Required skill(s): Intermediate Excel and Power PointJoining date: September / October 2025"
3647682,"[EDS] Embedded Software Engineer - Basic Software (1 year Contractor)","https://jobs.smartrecruiters.com/BoschGroup/744000083376625--eds-embedded-software-engineer-basic-software-1-year-contractor-","BoschGroup","Tan Binh","No",3,"Full time","2025-09-23T20:25:18.973822Z","This position will be contracted through Boschs external vendor under a one-year agreement.Department InformationMS/EDS-XC specializes in ADAS solutions, working with both major Chinese OEMs and Japanese OEMs.Main Roles and ResponsibilitiesDevelop and maintain embedded software for automotive systems, based on AUTOSAR Classic.Collaborate with cross-functional teams to ensure seamless integration of software components.Conduct code reviews and ensure best practices are followed in software development.Optimize software performance and memory usage for resource-constrained embedded systems.Develop and execute unit tests and integration tests to ensure software quality and reliability.Troubleshoot and debug complex software issues in embedded automotive systems.Participate in the full software development lifecycle, from requirements analysis to deployment and maintenance.Stay updated with the latest AUTOSAR specifications and implement compliant software solutions.Contribute to the development of software architecture and design documents.Collaborate with hardware engineers to ensure optimal software-hardware integration.Participate in technical discussions and provide innovative solutions to complex engineering challenges.Mandatory Qualifications Major in Computer Engineering/ Electrical-Electronics/ Telecommunication or equivalent.Technical skills3-7 years of experience in embedded software developmentGood knowledge of micro-controller, processor and embedded systemHave experience in Embedded software development (C++ programming skills).Classic AUTOSAR architecture should be advantages.Experience in Software Development Life-cycleExposure to emulators, simulators, debugging and test equipmentFurther details regarding benefits will be shared during the interview process"
