"ID","Title","Link","Company","Location","Remote","Experience","EmploymentType","DatePosted","RoleDescription"
3648279,"Security Services Architect - India (based in Mumbai)","https://jobs.smartrecruiters.com/Cyberark1/744000083418254-security-services-architect-india-based-in-mumbai-","cyberark","Mumbai","No",12,"Full time","2025-09-23T20:25:30.109665Z","As a Security Services Architect, you will play a pivotal role in designing, planning, and implementing CyberArk solutions for our customers. You will establish best practices and new approaches to adapt to the ever-changing security landscape. Security Services Architects must coordinate closely with implementation services, sales teams, and product management to ensure the solutions they architect meet customer needs and are executed according to the plan. You will also own, manage, and lead key security initiatives, ensuring our products and systems are robust and resilient against threats.Design &amp; Architecture  Define and document secure solution architectures tailored to customer needs.Solution Delivery  Lead and deliver complex enterprise deployments of CyberArk solutions throughout the full lifecycle.Advisory &amp; Expertise  Provide strategic guidance on trends and best practices in identity security and privileged access management.Business Alignment  Assess customer priorities and advise on solutions that balance security, business impact, and operational efficiency.Security Standards  Establish and promote standard practices for deploying CyberArk solutions and securing identities.Technical Leadership  Act as a trusted expert for customers and internal teams, providing mentorship and knowledge transfer.Stakeholder Engagement  Build strong relationships with customers and act as the key conduit between them and CyberArks internal teams.Governance &amp; Assurance  Participate in design reviews, risk assessments, and incident response to ensure solutions meet security standards.Enablement &amp; Training  Deliver training sessions, develop secure deployment guidelines, and support internal/external security awareness.Continuous Innovation  Stay current with emerging threats, technologies, and industry trends; contribute to CyberArks security thought leadership.Technical Account Manager  Act as the technical account manager role for designated customers. Coordinate deployment activities for the customers and provide consulting support as needed. Provide technical inputs to other collaborating functions.#LI-ZL1#LI-HYBRIDMinimum 12+ years of overall experience in cybersecurity, including enterprise solution architecture and risk management. Of this, minimum 57 years of experience in Identity Credential and Access Management (ICAM), with at least 3 years in CyberArk PAM Self-Hosted (on-Prem) architecture and implementation.Strong expertise in identity security, privileged access management, and large-scale IT environments.Hands-on experience in designing and implementing CyberArk On-Prem PAM, in both on-premises and cloud infrastructure, at least after v11.x. Good to have hands-on experience with CyberArk PAM-SaaS or other CyberArk SaaS solutions such as SCA, SWS, Identity, EPM etc.Extensive hands-on experience in at least two of these cloud technologies: AWS, Azure, and GCP.Proficiency in technologies such as Active Directory, LDAP, SAML, OAuth, Python, PowerShell, with extensive hands-on experience in at least two of these technologies.Certifications such as CISSP, CISM, or equivalent (additional security certifications advantageous) and CDE-PAM certifications are beneficial.Deep understanding of security architecture, vulnerability management, and regulatory frameworks (e.g., OWASP, NIST, SANS).Strong communication and presentation skills, with a proven record of engaging both technical and executive audiences.Exposure to handling Indian customers esp. for more than 4-5 years and technical refresh/upgrade cycles."
3644228,"Senior Account Executive - Sweden","https://jobs.smartrecruiters.com/Cyberark1/744000083288705-senior-account-executive-sweden","cyberark","Stockholm","No","Not specified","Full time","2025-09-23T20:25:30.109768Z","As an Enterprise Account Executive at CyberArk, you are responsible for driving new business and expanding existing accounts within your territory. As a trusted advisor to customers you will lead complex sales cycles, orchestrate cross-functional teams, and deliver CyberArks Identity Security solutions in a way that creates lasting business impact for enterprise customers. This is a consultative sales role, not product pitching, requiring you to uncover business problems, map them to CyberArks value, and drive outcomes through a strategic engagement approach. You will work with internal and external partners and leverage AI-enabled sales tools to engage, influence, and win.Key ResponsibilitiesOwnership of Full Sales Cycle &amp; Forecasting:Lead end-to-end sales processes, from prospecting and qualification through to close, ensuring alignment with customer business outcomes and CyberArks value proposition, with full accountability for quota attainment.Own and manage pipeline and forecast with rigor; apply structured methodologies like MEDDPICC and leverage tools (Salesforce, Clari, Gong, Demandbase) to drive pipeline health, deal progression, and forecasting accuracy.Drive business outcomes with a strong bias for action across negotiation, procurement, and day-to-day business operations.Deliver Business Outcomes Through Consultative Selling:Understand customer priorities and translate CyberArks platform into tangible business value and technical relevance.Lead with insights, not featuresthis is a solution-led, outcome-driven role.Build Executive and Multi-Level Relationships:Engage and influence stakeholders at multiple levels including CxO, security leaders, procurement, and technical teams.Develop champions and foster account trust that supports long-term growth and expansion.Orchestrate the Broader Sales Team:Collaborate closely with Solution Sales Specialists and internal teams to penetrate new areas and co-sell across CyberArks portfolio.Take ownership of the deal strategy while leveraging specialist knowledge and support resources.Work Across the Ecosystem:Drive collaboration with channel partners, GSIs, hyperscalers, and alliances to extend reach and strengthen execution.Co-create plans with ecosystem partners that support joint pipeline growth and account penetration.Territory Planning and Execution:Own your territory strategy and build comprehensive account plans for key targets.Identify whitespace, drive expansion, and ensure alignment with CyberArks growth goals.Use of AI-Enabled Sales Tools:Leverage tools like Gong and Demandbase to extract insights, personalize outreach, and increase sales productivity.Market Insight and Domain Knowledge:Stay on top of cybersecurity trends, competitor movements, and customer challenges to position CyberArk as a strategic partner#LI-FH1Sales and Commercial Acumen:Proven track record of successfully closing complex enterprise deals in cybersecurity or enterprise SaaS.Demonstrated ability to grow new logos and expand within existing customers.Outcome-oriented with strong commercial judgment and quota ownership mindset.Domain Expertise:Familiarity with cybersecurity principles including identity security, PAM, IAM, Zero Trust, and compliance-driven selling.Ability to understand business and technical use cases and convert them into solution opportunities.Channel and Ecosystem Experience:Experience working with channel partners, cloud providers, and GSIs to co-sell and accelerate go-to-market execution.Interpersonal Strengths:Strong executive presence and influencing skills across all customer levels.Commercial curiosity and the ability to uncover customer pain points through active listening.Collaborative, coachable, and resilient with a passion for team-based success.Sales Process and Tool Familiarity:Skilled in sales methodologies such as MEDDPICC and Command of the Message.Comfortable using Salesforce, Clari, Gong, Demandbase, and other digital selling tools to drive efficiency and insight. We are proud to foster a diverse and inclusive workplace, where every individual's unique background, perspective, and contribution is celebrated. We believe that by embracing diversity, we drive innovation and create a stronger, more united team. Inclusion is at the heart of who we are and how we succeed. All qualified applicants will receive consideration for employment without regard to race, colour, age, religion, sex, sexual orientation, gender identity, or disability. Upon conditional offer of employment, candidates are required to complete a comprehensive background check as per our internal policy. CyberArk is an equal opportunities employer. If you would like any special arrangements made for your interview, please inform the EMEA Talent Acquisition team upon your application so that we may take steps to accommodate your needs."
3644227,"Senior Enterprise Account Executive - Netherlands","https://jobs.smartrecruiters.com/Cyberark1/744000083289235-senior-enterprise-account-executive-netherlands","cyberark","Amsterdam","No","Not specified","Full time","2025-09-23T20:25:30.109802Z",": As an Enterprise Account Executive at CyberArk, you are responsible for driving new business and expanding existing accounts within your territory. As a trusted advisor to customers you will lead complex sales cycles, orchestrate cross-functional teams, and deliver CyberArks Identity Security solutions in a way that creates lasting business impact for enterprise customers. This is a consultative sales role, not product pitching, requiring you to uncover business problems, map them to CyberArks value, and drive outcomes through a strategic engagement approach. You will work with internal and external partners and leverage AI-enabled sales tools to engage, influence, and win.Key ResponsibilitiesOwnership of Full Sales Cycle &amp; Forecasting:Lead end-to-end sales processes, from prospecting and qualification through to close, ensuring alignment with customer business outcomes and CyberArks value proposition, with full accountability for quota attainment.Own and manage pipeline and forecast with rigor; apply structured methodologies like MEDDPICC and leverage tools (Salesforce, Clari, Gong, Demandbase) to drive pipeline health, deal progression, and forecasting accuracy.Drive business outcomes with a strong bias for action across negotiation, procurement, and day-to-day business operations.Deliver Business Outcomes Through Consultative Selling:Understand customer priorities and translate CyberArks platform into tangible business value and technical relevance.Lead with insights, not featuresthis is a solution-led, outcome-driven role.Build Executive and Multi-Level Relationships:Engage and influence stakeholders at multiple levels including CxO, security leaders, procurement, and technical teams.Develop champions and foster account trust that supports long-term growth and expansion.Orchestrate the Broader Sales Team:Collaborate closely with Solution Sales Specialists and internal teams to penetrate new areas and co-sell across CyberArks portfolio.Take ownership of the deal strategy while leveraging specialist knowledge and support resources.Work Across the Ecosystem:Drive collaboration with channel partners, GSIs, hyperscalers, and alliances to extend reach and strengthen execution.Co-create plans with ecosystem partners that support joint pipeline growth and account penetration.Territory Planning and Execution:Own your territory strategy and build comprehensive account plans for key targets.Identify whitespace, drive expansion, and ensure alignment with CyberArks growth goals.Use of AI-Enabled Sales Tools:Leverage tools like Gong and Demandbase to extract insights, personalize outreach, and increase sales productivity.Market Insight and Domain Knowledge:Stay on top of cybersecurity trends, competitor movements, and customer challenges to position CyberArk as a strategic partner.#LI-FH1Sales and Commercial Acumen:Proven track record of successfully closing complex enterprise deals in cybersecurity or enterprise SaaS.Demonstrated ability to grow new logos and expand within existing customers.Outcome-oriented with strong commercial judgment and quota ownership mindset.Domain Expertise:Familiarity with cybersecurity principles including identity security, PAM, IAM, Zero Trust, and compliance-driven selling.Ability to understand business and technical use cases and convert them into solution opportunities.Channel and Ecosystem Experience:Experience working with channel partners, cloud providers, and GSIs to co-sell and accelerate go-to-market execution.Interpersonal Strengths:Strong executive presence and influencing skills across all customer levels.Commercial curiosity and the ability to uncover customer pain points through active listening.Collaborative, coachable, and resilient with a passion for team-based success.Sales Process and Tool Familiarity:Skilled in sales methodologies such as MEDDPICC and Command of the Message.Comfortable using Salesforce, Clari, Gong, Demandbase, and other digital selling tools to drive efficiency and insight.We are proud to foster a diverse and inclusive workplace, where every individual's unique background, perspective, and contribution is celebrated. We believe that by embracing diversity, we drive innovation and create a stronger, more united team. Inclusion is at the heart of who we are and how we succeed. All qualified applicants will receive consideration for employment without regard to race, colour, age, religion, sex, sexual orientation, gender identity, or disability. Upon conditional offer of employment, candidates are required to complete a comprehensive background check as per our internal policy.CyberArk is an equal opportunities employer. If you would like any special arrangements made for your interview, please inform the EMEA Talent Acquisition team upon your application so that we may take steps to accommodate your needs"
3640435,"Solution Sales Specialist - APJ (Identity/Cloud Security/Endpoint)","https://jobs.smartrecruiters.com/Cyberark1/744000083142409-solution-sales-specialist-apj-identity-cloud-security-endpoint-","cyberark","Singapore","No","Not specified","Full time","2025-09-23T20:25:30.109824Z","As a Solution Sales Specialist across the Human Identity Security (HIS) Solutions, youll play a vital role in the success of CyberArks Identity, Endpoint and Cloud Security solutions. This is a sales overlay role and you will be the Subject Matter Expert supporting the field sales team that are engaged with CyberArks Enterprise Customers and Partners to guide, strategize, share best practices and compete against competition with the ultimate aim of winning deals.  A key function of this role other than excelling in an overlay solution sales capacity, is establishing a highly collaborative working relationship with the field sales teams, ability to engage and influence C-level executives.  This role will be the advocate of our HIS solution working closely with the all the functional teams, Product Management team and sales teams to formulate and execute go to market strategy, as well as identify areas of improvement with the aim of increasing CyberArk Identity Securitys brand awareness and market share. Therefore, this person must have deep expertise in selling IAM, IGA, Endpoint and/or Cloud Security solutions, along with a strong background in SaaS and cloud environments.   Key Responsibilities:  Drive the sales of IAM, IGA, Endpoint &amp; Cloud Security solutions, achieving and exceeding sales targets.  Develop and execute strategic sales plans to penetrate new markets and expand the customer base.  Engage with C-level executives to understand their business needs and provide tailored solutions.  Collaborate with cross-functional teams to ensure seamless execution and customer satisfaction.  Conduct product demonstrations and presentations to prospective clients, highlighting key features and benefits.  Manage the entire sales cycle from lead generation to closing deals.  Build and maintain strong relationships with key decision-makers and stakeholders.  Analyze market trends and competitor activities to identify new business opportunities. #LI-EO1#LI-HYBRIDProven experience as a Solution Sales Specialist or similar role, with a strong focus on the domain expertise outlined above  Strong background in SaaS and cloud environments.  Demonstrated ability to engage and influence C-level executives.  Experience in direct sales and solution sales (sales overlay).  Excellent communication, presentation, and negotiation skills.  Strategic thinker with the ability to develop and execute sales plans.  Strong customer relationship management skills.  Ability to analyze market trends and identify new business opportunities. Interaction with Product Management to articulate custom requirements based upon customer needs. Travelling frequency across multiple Asia countries of at least 20% of your time"
3640434,"Senior SDET","https://jobs.smartrecruiters.com/Cyberark1/744000083155349-senior-sdet","cyberark","Hyderabad","No",6,"Full time","2025-09-23T20:25:30.109840Z","This position is based in Hyderabad, India. In addition to several positions, we are looking for an Automation developer who will do technical solutions of Windows Agent. You must be an energetic self-starter with a desire to learn new things quickly.  In this position, you will work with a team of talented software engineers to innovate, implement, and support the product roadmap.Responsibilities:Be responsible for development of automation of Windows Security Product.Contribute to feature automation to bring the product to the next level.Participate in continuous and iterative software development cycles with emphasis on code quality, supportability, scalability, and performance. Ensure adherence to CyberArk Engineering practices and security coding guidelines.Develop automation solutions through computer programming in Python or any scripting languagesDesign and Develop test automation artifacts (scripts, functions, scenarios, processes) for simple to complex automated testing situations using various toolsCommunicate status to key stakeholders and senior managementCoordinates and facilitates test automation planning, design, and execution sessionsIdentify areas for improved testing efficiencies, test automation and implementation of automated test solution will fall within your scopeCreate and implement Test automation Strategies for projects executed in Agile modelWork closely with Application developers, business team and testing team to identify automation requirements in early stage.Design and implement automation framework / strategies for windows and terminal emulators-based applicationsHelp extending test coverage along with creating appropriate tools, utilities, and automation scripts that assist in functional testing and to create test dataDesigns, executes, monitors, and troubleshoots automated tests under various situations and conditions#LI-HK01Critical Skills:6+ years hands-on experience in automation development of Windows applicationsHands-on on automating the Windows Desktop application.Proficient in Python, Pytest and Jenkins.Knowledge of Remote Desktop Testing automation.Sound knowledge in Reporting. Allure reporting is a plus.Experience in automating browser dialog interactions.Good understanding of Windows OS technologies and Windows InternalsExperience with Agile, TDD, SOA and test methodologies.Excellent written and oral communication skills as well as strong interpersonal skills.Ability to handle assigned tasks and drive them to successful completion.Ability to collaborate in a cross-group environment with global SWE teams.Ability to rapidly assimilate new information and techniquesEducation/Experience:6+ years hands-on software development experience BE / B Tech /MCA or equivalent"
3639199,"Staff Software Engineer","https://jobs.smartrecruiters.com/Cyberark1/744000083106365-staff-software-engineer","cyberark","Sofia","No",7,"Full time","2025-09-23T20:25:30.109856Z","CyberArk is looking for a Staff Software Engineer to join the Secrets Hub group and help build a new R&amp;D team that will collaborate closely with HQ in Israel. Secrets Hub is a cloud-native, multi-cloud SaaS product that helps organizations centralize secrets management across AWS, Azure, GCP, and HashiCorp Vault. It is used by some of the worlds largest enterprises to secure critical workloads in modern DevOps environments. As a founding engineer in this new team, you will play a key role in shaping our engineering culture, standards, and architecture. You will work with AWS serverless technologies, write high-quality Python code, and collaborate with stakeholders from product, UX, security, and engineering teams in Israel. Responsibilities Design and implement scalable and secure services as part of the Secrets Hub platform. Lead complex technical initiatives, architectural decisions, and system design within the team. Set the standard for software quality, security, testing, and CI/CD practices. Collaborate daily with product managers, architects, and engineers across global teams. Work with AWS serverless technologies and AWS CDK in a modern, IaC-driven development lifecycle. Troubleshoot complex production scenarios and drive long-term improvements in reliability and observability. Be a key contributor to defining the technical identity of a growing team. #LI-Hybrid#LI-DT17+ years of hands-on software development experience, including at least 3 years building production systems in Python (or a comparable modern language). Strong architectural design skills and deep understanding of cloud-native patterns. Experience building secure, reliable services in a SaaS or multi-tenant environment. Proven ability to lead technical projects, review designs, and mentor teammates. Deep familiarity with AWS core services and serverless architecture (Lambda, DynamoDB, Step Functions, etc.). Strong communication and collaboration skills in English. Bachelors degree in Computer Science, Software Engineering, or related field (or elite military tech unit alumni). Preferred Qualifications Experience working in a product company and collaborating with remote R&amp;D teams. Frontend development experience (React, PrimeReact, TypeScript) is a plus. Experience with database design and performance (Aurora RDS, DynamoDB). Familiarity with secrets management, identity, or cloud security domains. Background in event-driven or microservice architectures. Hands-on experience with multi-cloud environments (GCP, Azure)  We are proud to foster a diverse and inclusive workplace, where every individual's unique background, perspective, and contribution is celebrated. We believe that by embracing diversity, we drive innovation and create a stronger, more united team. Inclusion is at the heart of who we are and how we succeed. All qualified applicants will receive consideration for employment without regard to race, colour, age, religion, sex, sexual orientation, gender identity, or disability. Upon conditional offer of employment, candidates are required to complete a comprehensive background check as per our internal policy.CyberArk is an equal opportunities employer. If you would like any special arrangements made for your interview, please inform the EMEA Talent Acquisition team upon your application so that we may take steps to accommodate your needs."
3639198,"Strategic Account Executive - UK - Defense","https://jobs.smartrecruiters.com/Cyberark1/744000083106445-strategic-account-executive-uk-defense","cyberark","London","No","Not specified","Full time","2025-09-23T20:25:30.109871Z","Job Description:As an Enterprise Account Executive at CyberArk, you are responsible for driving new business and expanding existing accounts within your territory. As a trusted advisor to customers you will lead complex sales cycles, orchestrate cross-functional teams, and deliver CyberArks Identity Security solutions in a way that creates lasting business impact for enterprise customers. This is a consultative sales role, not product pitching, requiring you to uncover business problems, map them to CyberArks value, and drive outcomes through a strategic engagement approach. You will work with internal and external partners and leverage AI-enabled sales tools to engage, influence, and win.This role is specifically aligned with the UK Defense industry. Responsibilities:Ownership of Full Sales Cycle &amp; Forecasting:Lead end-to-end sales processes, from prospecting and qualification through to close, ensuring alignment with customer business outcomes and CyberArks value proposition, with full accountability for quota attainment.Own and manage pipeline and forecast with rigor; apply structured methodologies like MEDDPICC and leverage tools (Salesforce, Clari, Gong, Demandbase) to drive pipeline health, deal progression, and forecasting accuracy.Drive business outcomes with a strong bias for action across negotiation, procurement, and day-to-day business operations.Deliver Business Outcomes Through Consultative Selling:Understand customer priorities and translate CyberArks platform into tangible business value and technical relevance.Lead with insights, not featuresthis is a solution-led, outcome-driven role.Build Executive and Multi-Level Relationships:Engage and influence stakeholders at multiple levels including CxO, security leaders, procurement, and technical teams.Develop champions and foster account trust that supports long-term growth and expansion.Orchestrate the Broader Sales Team:Collaborate closely with Solution Sales Specialists and internal teams to penetrate new areas and co-sell across CyberArks portfolio.Take ownership of the deal strategy while leveraging specialist knowledge and support resources.Work Across the Ecosystem:Drive collaboration with channel partners, GSIs, hyperscalers, and alliances to extend reach and strengthen execution.Co-create plans with ecosystem partners that support joint pipeline growth and account penetration.Territory Planning and Execution:Own your territory strategy and build comprehensive account plans for key targets.Identify whitespace, drive expansion, and ensure alignment with CyberArks growth goals.Use of AI-Enabled Sales Tools:Leverage tools like Gong and Demandbase to extract insights, personalize outreach, and increase sales productivity.Market Insight and Domain Knowledge:Stay on top of cybersecurity trends, competitor movements, and customer challenges to position CyberArk as a strategic partner.#LI-HEH#LI-HybridSales and Commercial Acumen:Proven track record of successfully closing complex enterprise deals in cybersecurity or enterprise SaaS.Demonstrated ability to grow new logos and expand within existing customers.Outcome-oriented with strong commercial judgment and quota ownership mindset.Domain Expertise:Familiarity with cybersecurity principles including identity security, PAM, IAM, Zero Trust, and compliance-driven selling.Ability to understand business and technical use cases and convert them into solution opportunities.Channel and Ecosystem Experience:Experience working with channel partners, cloud providers, and GSIs to co-sell and accelerate go-to-market execution.Interpersonal Strengths:Strong executive presence and influencing skills across all customer levels.Commercial curiosity and the ability to uncover customer pain points through active listening.Collaborative, coachable, and resilient with a passion for team-based success.Sales Process and Tool Familiarity:Skilled in sales methodologies such as MEDDPICC and Command of the Message.Comfortable using Salesforce, Clari, Gong, Demandbase, and other digital selling tools to drive efficiency and insight.We are proud to foster a diverse and inclusive workplace, where every individual's unique background, perspective, and contribution is celebrated. We believe that by embracing diversity, we drive innovation and create a stronger, more united team. Inclusion is at the heart of who we are and how we succeed. All qualified applicants will receive consideration for employment without regard to race, colour, age, religion, sex, sexual orientation, gender identity, or disability.      CyberArk is an equal opportunities employer. If you would like any special arrangements made for your interview, please inform the EMEA Talent Acquisition team upon your application so that we may take steps to accommodate your needs"
3639197,"Team Leader, Engineering","https://jobs.smartrecruiters.com/Cyberark1/744000083106605-team-leader-engineering","cyberark","Sofia","No",5,"Full time","2025-09-23T20:25:30.109886Z","We are looking for a talented, experienced, and passionate R&amp;D Team Leader to join CyberArk's Secrets Hub group, part of our Secrets Management business unit. You will lead a new team working closely with R&amp;D, Product, and UX teams located in Israel. This team will contribute to a SaaS product that integrates with AWS, Azure, GCP, and HashiCorp Vault, and powers secret management across some of the largest enterprises in the world. Youll recruit, mentor, and lead top engineering talent, while remaining hands-on and technically engaged. You'll play a pivotal role in the products evolution, building secure, scalable systems that deliver developer-focused cloud-native experiences. Responsibilities Build and lead a new R&amp;D team that will be responsible for core components of CyberArk Secrets Hub. Collaborate daily with counterparts in Israel and other global teams. Develop and grow a team of talented engineers through mentoring, coaching, and technical guidance. Plan, design, and deliver robust, scalable, and secure cloud services using modern architectural patterns (e.g. event-driven, microservices, serverless). Own delivery of software that meets time, scope, security, and quality goals. Partner with Product, UX, and internal security teams to ensure the best user experience and compliance posture. Foster a culture of engineering excellence, collaboration, ownership, and continuous improvement. #LI-DT1#LI-Hybrid3+ years of experience as a hands-on team leader. 5+ years of experience with at least one major language: Python, Java, or C#. Strong interpersonal and communication skills. Proven ability to lead teams through full SDLC  from design and implementation to testing, deployment, and support. Experience working with CI/CD pipelines, infrastructure as code (IaC), and Agile development processes. Strong ability to anticipate, manage, and mitigate risks and technical challenges. Proactive, self-driven, and goal-oriented, with a strong sense of ownership. Bachelors degree in Computer Science, Software Engineering, or equivalent. Additional Requirements Experience working in a global R&amp;D organization, including direct collaboration with managers or teams in other countries. Background in a product-focused company (e.g., SaaS, B2B platforms, developer tools, or cloud services). Advantages Experience building applications on AWS, especially Lambda, Step Functions, DynamoDB, and EventBridge. Familiarity with Secrets Management, Identity Security, or broader Cloud Security domains. Experience building multi-cloud services or APIs that interact with external cloud provider SDKs. Experience delivering enterprise-grade software for regulated environments (security, compliance, reliability). Knowledge of Secrets Hub, CyberArks platform, or competing tools such as Vault, ASM, AKV, or GSM. We are proud to foster a diverse and inclusive workplace, where every individual's unique background, perspective, and contribution is celebrated. We believe that by embracing diversity, we drive innovation and create a stronger, more united team. Inclusion is at the heart of who we are and how we succeed. All qualified applicants will receive consideration for employment without regard to race, colour, age, religion, sex, sexual orientation, gender identity, or disability. Upon conditional offer of employment, candidates are required to complete a comprehensive background check as per our internal policy.CyberArk is an equal opportunities employer. If you would like any special arrangements made for your interview, please inform the EMEA Talent Acquisition team upon your application so that we may take steps to accommodate your needs."
3639196,"Senior Full Stack Engineer - Data & AI Platform","https://jobs.smartrecruiters.com/Cyberark1/744000083113255-senior-full-stack-engineer-data-ai-platform","cyberark","Petah Tikva","No",3,"Full time","2025-09-23T20:25:30.109900Z","We are looking for a talented and experienced R&amp;D Platform Engineer to join our dynamic team. Our organization provides cutting-edge services utilized by both internal CyberArk services and external customers. The ideal candidate will be responsible for defining and implementing best practices that can be shared across the company and working on edge technologies on the cloud. This position encompasses all stages of the Software Development Life Cycle (SDLC), including design, development, testing, and ensuring high ROI on deliverables.Define and implement best practices for the R&amp;D platform.Collaborate with internal and external stakeholders to understand requirements and deliver high-quality solutions.Work on edge technologies and cloud platforms to enhance our services.Participate in all phases of the SDLC, including design, development, testing, and deployment.Ensure high ROI on deliverables by optimizing processes and solutions.Share knowledge and best practices across the company to promote a culture of continuous improvement.#LI-HR1
#LI-HybridBachelor's degree in Computer Science, Engineering, or a related field.At least 3 years of experience with Python - must.Experience with AWS - must.At least 2 years of experience with Angular or React - must.Nice to have experience with serverless design, CDK, or CloudFormation.Experience with the full SDLC, including design, development, testing, and deployment.Excellent problem-solving skills and attention to detail.Ability to work collaboratively in a team environment and communicate effectively with stakeholders.Strong organizational skills and the ability to manage multiple projects simultaneously.Passion for continuous learning and staying updated with the latest industry trends."
3639195,"R&D Team Leader (Data & AI platform)","https://jobs.smartrecruiters.com/Cyberark1/744000083113585-r-d-team-leader-data-ai-platform-","cyberark","Petah Tikva","No",5,"Full time","2025-09-23T20:25:30.109939Z","CyberArk is actively seeking an accomplished and dynamic R&amp;D Team Lead to Lead our platform for Data &amp; AI. In this role, you will be responsible for several innovative SaaS focused services. You will have the responsibility of overseeing a group of skilled software engineers. Your role involves guiding them in the development of innovative solutions, fostering advancements in data processing, analysis, and AI by leveraging state-of-the-art serverless technologies on the AWS platform. As part of your role, you will be collaborating with security architects, product managers, and other development teams, collectively working towards the creation of sophisticated and secure platforms that adhere to the highest security standards.We are seeking an energetic and versatile individual to join our team and contribute to the achievement of our objectives. In this capacity, you will provide leadership and direction to a team proficient in AWS serverless architecture, AWS CDK, and Python. This team is responsible for designing, developing, testing, securing, and deploying services throughout the entire lifecycle, from planning to productionOverseeing a group of skilled engineersProducing valuable and qualitative content for our customers in a timely fashionMaintaining services in production environmentProfessional growth of the team membersRecruiting and training new team membersWorking with different groups and focal points in the organizationDefining improvement goals for the team and leading the team to achieve the goalsMaintaining our cultureDeep knowledge of our products and how customers use themWorking hand-in-hand with Architects, Product Managers, Product Owners and the team to deliver features from requirements to productionPassionate about code design, high-quality code and code reviews, optimizing, and challenging the status quo#LI-Hybrid
#LI-HR1What you need to succeed3 + years hands-on experience leading development of highly-scalable SaaS complex applications5+ years of experience in Python/Go/Java/C#/C++ (Python is a definite advantage)2+ years of experience  with AWS cloud platformExperience with Agile, CI/CD based developmentProactive, highly motivated individual with a high work ethic and goal-oriented approachCapable and courageous enough to deep dive into complex areas in the system, analyse them, suggest solutions, and make necessary changesExcellent communication and presentation skillsBachelors Degree in Computer Science or Engineering related field / technology Elite unit alumni with relevant experiencePassionate about code design, high-quality code, and code reviews, optimizing and challenging the status quo.Proactive by nature; internal drive for excellence and improvementGood communication skills, fluent in English, good writing skillsAutodidact, like to learn new things and share with the teamHow will you stand out from the crowd:Experience in enterprise scale application development in cloud/SaaS environment (AWS serverless architecture is a definite advantage)Experience with AWS and server-less solutionsSolid understanding of design patterns and best practices."
