"ID","Title","Link","Company","Location","Remote","Experience","EmploymentType","DatePosted","RoleDescription"
3647421,"Data Engineer GCP - Sector Bancario","https://jobs.smartrecruiters.com/Devoteam/744000083388687-data-engineer-gcp-sector-bancario","Devoteam","Madrid","Yes","Not specified","Full time","2025-09-23T20:25:35.467143Z","Responsabilidades:Desarrollo y mantenimiento de modelos de datos complejos en BigQuery.Diseo y optimizacin de consultas SQL sobre grandes volmenes de datos.Trabajo con tablas de hechos y estructuras analticas orientadas a negocio.Colaboracin directa con el equipo tcnico y funcional para entender requerimientos y traducirlos en soluciones eficientes.Capacidad para tomar decisiones tcnicas de forma autnoma y avanzar sin supervisin constante.Requisitos:Experiencia demostrable (mnimo 4-5 aos) en proyectos de ingeniera de datos.Dominio avanzado de SQL, especialmente en entornos de modelado de datos.Experiencia slida en BigQuery y ecosistema Google Cloud.Conocimiento profundo de modelado dimensional (tablas de hechos, dimensiones, etc.).Perfil autnomo, resolutivo y con capacidad para liderar tareas tcnicas.Deseable:Experiencia previa en factoras de datos o entornos similares.Conocimiento de herramientas de orquestacin (Airflow, dbt, etc.).Capacidad de comunicacin con stakeholders tcnicos y de negocio.Condiciones:Banda salarial acorde experiencia (Fijo + variable)Retribucin flexible (Plus transporte, guardera, seguro mdico, restaurante...)Beneficios sociales (Fisioterapeuta y clases de ingls - gratuito)Plan de carrera (Acceso a formaciones/certificaciones y evaluaciones anuales)Remoto"
3647420,"ServiceNow HRSD Senior Consultant - Prague","https://jobs.smartrecruiters.com/Devoteam/744000083394085-servicenow-hrsd-senior-consultant-prague","Devoteam","Praha 1","No","Not specified","Full time","2025-09-23T20:25:35.467227Z","ServiceNow HRSD Senior ConsultantWe are seeking a passionate and experienced ServiceNow HR Senior Consultant to join our growing team in the Employee Workflow Domain. In this role, you will be instrumental in the design, implementation, and optimization of the clients ServiceNow HR Service Delivery (HRSD) solution, to create a streamlined and engaging experience for their workforce.This is a fantastic opportunity for a problem-solver who is passionate about using technology to improve HR processes and make a tangible impact on the organization. Your main duties are:Lead discovery workshops with HR stakeholders to gather requirements, analyze existing workflows, and identify opportunities for automation and improvement.Translate business needs into detailed functional and technical design documents for the ServiceNow HRSD platform.Design and configure core components of the HRSD suite, including Case and Knowledge Management, Lifecycle Events (e.g., onboarding, offboarding), and the Employee Center portal.Develop and implement automated workflows using ServiceNow Flow Designer to streamline HR processes, approvals, and notifications.Collaborate with technical teams to manage integrations between ServiceNow and other key systems, such as Workday, SAP SuccessFactors, or local payroll applications.Drive the testing process, including creating test plans and guiding the HR team through User Acceptance Testing (UAT) to ensure the solution is robust and meets all requirements.Develop training materials and deliver training sessions to empower HR staff and promote employee adoption of the new platform.Assess risks and their impact on project timelines and deliverables, coordinating with project managers on deadlines and schedules.You will be a great fit for this role if you have...A solid understanding and experience with core HR processes (e.g., employee lifecycle, benefits, talent management) and translation into a service delivery model from consultancy roleStrong scripting skills in JavaScript Experience in ServiceNow is a mustFluent English is mandatoryProject management skills and experience delivering successful projectsStrong analytical and critical thinking abilitiesExcellent communication and interpersonal skillsAbility to develop and share knowledge through presentations and training materialsProven ability to work autonomously and within a teamBenefits:5 weeks of vacation per year (= 1 week extra)4 My Days per yearHybrid officeFlexible working hoursUdemy for business accountMeal allowance up to 28.000 CZK/year (123,90 CZK/day)Cafeteria 1000 CZK/month (MultiSport Card available)Phone tariff (unlimited calls, texts messages within the EU, 20GB of Internet)Employee Referral ProgramSabbatical leaveRepurchase of hardwareMoreover, we offer:Above standard working equipmentCompany mobile phone (selection from Android/iPhone)Company laptop (Windows/macOS)Coffee, tea, snacks and breakfasts in the officeCompany events and team buildingsGifts for work anniversaries, promotion or childbirthFriendly and open cultureAnd last but not least, you can rely on:Transparent framework for career growth, reinforced by annual performance evaluationsTrust and autonomy, with no micro-managementLearning from senior colleagues and opportunities to collaborate with professionals from various industriesOpportunities to attend conferences to keep skills up-to-dateUsage of AI tools and access to elaborate, tailored AI training"
3647419,"Creative Tech | Business Analyst","https://jobs.smartrecruiters.com/Devoteam/744000083412215-creative-tech-business-analyst","Devoteam","Lisboa","No","Not specified","Full time","2025-09-23T20:25:35.467249Z","Key ResponsibilitiesInformation Gathering: Lead the elicitation of complex business processes and requirements from various stakeholders through interviews, workshops, and data analysis;Documentation: Create and maintain comprehensive functional documentation, including Business Requirements Documents (BRDs), use cases, and process flows;Requirements Translation: Effectively translate high-level business requirements into detailed technical requirements, ensuring clarity and accuracy for the development team;Flow Analysis: Develop a deep understanding of user and information flows within the organization and model them visually to identify opportunities for improvement;Organizational Understanding: Analyze and comprehend the organizational structure, including the roles and relationships of key stakeholders, to ensure solutions meet the needs of all relevant parties;Agile Development: Convert functional requirements into well-defined user stories with clear acceptance criteria.Backlog Management: Collaborate with the Product Owner and development team to build, prioritize, and refine the solution backlog, ensuring that the most valuable work is always addressed first;Proven experience as a Business Analyst in a software development environment.Strong analytical and problem-solving skills with the ability to break down complex problems into manageable parts.Excellent communication and interpersonal skills, with the ability to facilitate discussions and build consensus among diverse groups of people.Proficiency in business analysis tools and methodologies (e.g., Agile, Scrum, Jira, Confluence).Experience with process modeling tools (e.g., Visio, Lucidchart) is a plus.A solid understanding of the software development lifecycle.The Devoteam Group works for equal opportunities, promoting its employees based on merit and actively fights against all forms of discrimination. We are convinced that diversity contributes to the creativity, dynamism and excellence of our organization. All of our vacancies are open to people with disabilities."
3647418,"Distributed Cloud | Junior Application Support Engineer","https://jobs.smartrecruiters.com/Devoteam/744000083417095-distributed-cloud-junior-application-support-engineer","Devoteam","Lisboa","No","Not specified","Full time","2025-09-23T20:25:35.467268Z","We are looking for a motivated Junior App Support with a desire to learn and grow to join our team. This is an excellent opportunity for anyone starting their IT career who wants to develop their skills in application support. This professional will play a supporting role in diagnosing incidents, system maintenance, and optimization, with a special focus on Linux environments and SQL databases.Application Support: Assist the team with Level 1 and 2 technical support for various applications, helping with incident diagnosis and resolution.Database Management (SQL): Help with basic troubleshooting and maintenance tasks on SQL databases.Linux System Administration: Support the maintenance and administration of Linux servers, monitoring performance and identifying issues.Monitoring: Learn to use monitoring systems to proactively identify performance problems.Problem Analysis and Resolution: Investigate the root cause of simple issues and assist in implementing solutions.Automation and Scripting: Have the opportunity to learn and contribute to the development of scripts (primarily Bash/Shell Scripting and Python) to automate tasks.Technical Documentation: Help create and maintain technical support documentation.Collaboration: Work closely with development and other teams to resolve issues and optimize applications.A strong desire to learn and grow in the application support field.Foundational knowledge of SQL (the ability to write basic queries).Foundational knowledge of Linux (basic system administration and command line usage).An interest in Shell Scripting (Bash) and/or Python.Problem-solving skills and attention to detail.Excellent communication and teamwork skills.Fluency in English (spoken and written).The Devoteam Group works for equal opportunities, promoting its employees based on merit and actively fights against all forms of discrimination. We are convinced that diversity contributes to the creativity, dynamism and excellence of our organization. All of our vacancies are open to people with disabilities."
3647417,"Distributed Cloud | Junior French Speaker Data Engineer ","https://jobs.smartrecruiters.com/Devoteam/744000083417770-distributed-cloud-junior-french-speaker-data-engineer-","Devoteam","Porto","No","Not specified","Full time","2025-09-23T20:25:35.467285Z","We are seeking a detail-oriented and analytical Data Engineer to join our team. The mission requires solid experience in data analysis, statistical methods and data visualization, while also demonstrating autonomy, strong communication skills, and a proactive mindset. This role involves working closely with various departments to gather data, analyze trends, and provide actionable insights that support business objectives.Analyze and interpret complex data sets to provide actionable insights and support business objectives.Collaborate with cross-functional teams to understand data requirements and provide analytical support.Extract, transform, and load (ETL) data using SQL, Stambia, and Oracle Exadata (or other ETL tools) to ensure data quality and integrity.Assist in the design and implementation of data models and structures to support reporting and analysis.Participate in continuous improvement initiatives for data processes and analytics methodologies, including the coordination of actions for ongoing operational tasks (RUN).Handle functional incidents and contribute to technical developments and system enhancements.Present findings and recommendations to stakeholders in both French and English.Bachelors degree in Data Science, Statistics, Computer Science, or a related field.Proven experience as a Data Engineer or in a similar role.Proficient in SQL for data extraction and manipulation.Extract, transform, and load (ETL) data using SQL, Stambia (or other ETL tools) to ensure data quality and integrity.Experience with Oracle Exadata database is a big plus.Proficiency in Power BI for data visualization and reporting is preferred.Strong analytical and problem-solving skills, with a commitment to rigor and participation in team rituals.Excellent communication skills in French (C1 level required) and English (B2 level required).Ability to work independently and collaboratively in a team environment, with a strong inclination towards technical and functional aspects of data management.The Devoteam Group works for equal opportunities, promoting its employees based on merit and actively fights against all forms of discrimination. We are convinced that diversity contributes to the creativity, dynamism and excellence of our organization. All of our vacancies are open to people with disabilities."
3647416,"Talent Acquisition Specialist","https://jobs.smartrecruiters.com/Devoteam/744000083429495-talent-acquisition-specialist","Devoteam","Porto","No",2,"Full time","2025-09-23T20:25:35.467302Z","As we continue to grow and evolve, we are seeking a highly skilled Talent Acquisition Specialist with 2 years of experience to join our team and play a pivotal role in acquiring top-tier talent.Responsibilities:Manage the full recruitment process: Source, recruit, interview, evaluate, and place highly skilled professionals to match internal job requirements.Develop a network of professionals: Build a network of active and passive technology professionals through creative sourcing, referrals, and networking events.Conduct effective interviews: Conduct interviews through various technologies (phone, Google Meet, etc.) and face-to-face to effectively match candidates qualifications with internal job requirements.Fill job openings and design job descriptions: Ensure job openings are filled promptly and accurately, and assist in creating detailed job descriptions.Maintain a pipeline of qualified candidates: Source a pipeline of qualified and available candidates across multiple recruitment platforms.Deliver an excellent candidate experience: Ensure a positive and engaging experience for all candidates throughout the recruitment process.Ensure accurate candidate data: Keep candidate data up-to-date and relevant in our tools.Promote the company's reputation: Actively promote the companys reputation and attractiveness to potential candidates. A Bachelor's degree in Human Resources or Psychology (mandatory).At least 1 year of experience in talent acquisition (in IT area).Achievement-focused, resilient, authentic &amp; trustworthy.Team player with excellent communication and interpersonal skills.Good decision-making skills.Fluent in English (mandatory).The Devoteam Group works for equal opportunities, promoting its employees based on merit and actively fights against all forms of discrimination. We are convinced that diversity contributes to the creativity, dynamism and excellence of our organization. All of our vacancies are open to people with disabilities."
3642119,"Ingénieur Réseau & Sécurité H/F","https://jobs.smartrecruiters.com/Devoteam/744000083213735-ingenieur-reseau-securite-h-f","Devoteam","Levallois-Perret","No","Not specified","Full time","2025-09-23T20:25:35.467319Z"," Zoom sur la tribe NetSec (Network &amp; Security) Rattach.e  la tribe NetSec, entit ddie aux mtiers du Rseau et la Scurit des Rseaux, vous serez au cur des projets dvolutions des infrastructures, des projets de gestion de l'obsolescence ou encore aux programmes Move Datacenter.Vos principales responsabilits en tant quIngnieur Rseau &amp; Scurit Voici une liste non exhaustive de vos missions au quotidien, nous vous faisons confiance pour les prendre en main et les enrichir  votre faon En tant quingnieur Rseau et Scurit , vous aurez pour principales missions :Intgration : Ingnierie, Implmentation, validation du fonctionnement en phase piloteUpgrade des quipements rseau et scuritTraitement des changements au niveau de l'infrastructure rseau et scuritSupport N2/N3 et MCO de linfrastructure rseau &amp;  scuritO raliserez-vous vos missions ? Chez des clients grands comptes de la banque, de lassurance, de lindustrie, du retail de la Dfense, du luxe ou encore de lnergie, porteurs de projets innovants.Ce que vous apporterez  la Tribu ?[Les comptences idales] Diplm.e dune cole dingnieurs ou dun Master 2 en informatique, vous avez dj volu et acquis une exprience dau moins 3 ans dans des environnements technologiques de type :  Rseau :Cisco (NX-OS, IOS-XR), Fabrics (VXLAN), Routage BGP, OSPF,MPLS, SDN (NSX-T, ACI)Firewalling : Fortinet, Palo Alto, Checkpoint, Juniper...Scurit : F5 ASM, F5 LTM, McAfee Web Gateway etc... Vous tes certifi.e sur certaines de ces technologies et parlez couramment franais et anglais.Et quest ce que Devoteam vous offre en change?Un CDI, pour se projeter ensemble sur le long termeUn salaire attractif en lien avec votre exprience et les tendances du marchUne base de travail en Ile de France et un accord tltravail permettant une meilleure flexibilit Des avantages comprenant mutuelle, prvoyance sant, CSE, mais aussi des compensations de vos frais internet et installations relatives au tltravailDes challenges organiss tout au long de lanne avec de trs jolis gains (voyages, matriels technologiques, accs  des vnements....)Un plan de carrire personnalis avec des formations et certifications en lien avec votre trajectoire.De multiples possibilits de mobilit, gographique mais aussi inter communaut, vous permettant dvoluer en fonction de vos apptences technologiques ou mtier mais aussi selon des projets plus personnels Un esprit de communaut fort autour de vos technologies de prdilection, au travers dvnements internes vous permettant dinteragir, clbrer et continuer dapprendreUne relle possibilit de rayonner et partager vos connaissances et votre vision par le biais de confrences, meetups ou articles Plus de 30 clubs Happiness@Devoteam qui te permettent de partager et laisser libre cours  tes passions (running, art, football, musique, gastronomie, yoga, ...)Intress.e ? Nattendez plus et postulez  loffre!Comment se droule le processus de recrutement chez Devoteam ? Il comporte 2  3 entretiens :Talent Acquisition Interview : l'objectif est de faire le point sur vos comptences, votre niveau d'anglais et de valider vos lments de motivationTech &amp; Business Interview : cet entretien vise  approfondir vos comptences techniques et  vrifier leur adquation avec nos besoins lors d'un change avec un expert mtierLeadership Interview : il permet d'valuer votre potentiel, vos ambitions et d'envisager votre volution au sein de Devoteam.Nous privilgions au moins un entretien en prsentiel. Une prise de rfrence est demande et, selon votre profil, des tests (techniques, anglais, personnalit...) peuvent vous tre adresss.Si votre candidature est retenue, nous vous faisons parvenir une proposition prsentant les conditions d'embauche. En cas d'acceptation, le contrat de travail est formalis. Le Groupe Devoteam oeuvre pour l'galit des chances, pour la promotion de ses collaboratrices et de ses collaborateurs au mrite et lutte activement contre toute forme de discrimination. Nous sommes convaincus que la diversit contribue  la crativit, au dynamisme et  l'excellence de notre organisation. Chaque candidature est donc considre indpendamment de tout critre discriminatoire."
3642117,"Product Manager H/F","https://jobs.smartrecruiters.com/Devoteam/744000083222393-product-manager-h-f","Devoteam","Levallois-Perret","No","Not specified","Full time","2025-09-23T20:25:35.467335Z","En tant que Product Manager, vous tes le responsable de la dfinition, du positionnement, de la conception et de la livraison de produits et services digitaux innovants et centrs sur lutilisateur. Vous intervenez sur la transformation digitale de grands groupes du CAC 40,  ce titre vous intervenez sur :  La dfinition du produit/service  mettre en place, son positionnement (mix marketing) et la roadmap associe au dploiement du produit/service ; Le suivi de la roadmap dfinies grce  la coordination entre les diffrentes parties prenantes du projet (marketing, mtiers, dveloppement, recette, ...) afin d'excuter au mieux la vision dfinie; La priorisation de votre backlog en fonction de 4 caractristiques : leur valeur mtier, leur effort de ralisation, leur risque et la connaissance technique ou mtier apporte par leur mise en uvre. Quels sont les atouts ncessaires pour rejoindre lquipe ?Issu(e) dune formation bac+5, vous avez idalement une premire exprience autour des activits produits, parcours client, conception applicative.  Anglais :  Vous savez communiquer et changer dans contexte internationalVous avez une apptence pour le Product et pour la mise en place d'une stratgie Et tre dot(e) dun excellent relationnel. Vous avez un sens prononc pour la qualit du service que vous dlivrez et aimez travailler en quipe. Vous avez lhabitude dvoluer dans des environnements internationaux.Notre process est le suivant :- Talent Acquisition Interview : l'objectif est de faire le point sur vos comptences, votre niveau d'anglais et de valider vos lments de motivation
- Tech &amp; Business Interview : cet entretien vise  approfondir vos comptences techniques et  vrifier leur adquation avec nos besoins lors d'un change avec un expert mtier
- Leadership Interview : il permet d'valuer votre potentiel, vos ambitions et d'envisager votre volution au sein de Devoteam.Nous privilgions au moins un entretien en prsentiel. Une prise de rfrence est demande et, selon votre profil, des tests (techniques, anglais, personnalit...) peuvent vous tre adresss.
Si votre candidature est retenue, nous vous faisons parvenir une proposition prsentant les conditions d'embauche. En cas d'acceptation, le contrat de travail est formalis."" Le Groupe Devoteam oeuvre pour l'galit des chances, pour la promotion de ses collaboratrices et de ses collaborateurs au mrite et lutte activement contre toute forme de discrimination. Nous sommes convaincus que la diversit contribue  la crativit, au dynamisme et  l'excellence de notre organisation. Chaque candidature est donc considre indpendamment de tout critre discriminatoire. ""Tu veux en savoir plus ? Viens changer directement avec nos ambassadeurs. En rejoignant Devoteam, tu auras la possibilit de te connecter avec tes pairs, de partager leur exprience et de dvelopper tes comptences !https://creativetech-fr.devoteam.com/?gclid=Cj0KCQiAmpyRBhC-ARIsABs2EAq1VVCOkipPA72a9AY8OsZpezKICYhR7xgNoCE8xxeZXo1TVdqPbIQaAvjUEALw_wcB"
3642116,"Creative Tech - FINANCE - Business Analyst Finance H/F","https://jobs.smartrecruiters.com/Devoteam/744000083226725-creative-tech-finance-business-analyst-finance-h-f","Devoteam","Levallois-Perret","No","Not specified","Full time","2025-09-23T20:25:35.467350Z"," Vos missions principales :Gestion de projet : Vous mnerez des tudes d'opportunit, rdigerez des notes de cadrage et piloterez les projets de A  Z.Conception &amp; Stratgie : Vous traduirez les besoins mtiers en spcifications fonctionnelles et cahiers des charges.Coordination &amp; Suivi : Vous animerez des runions, vrifierez les livrables, et superviserez les phases de test et de recette.Accompagnement : Vous serez le point de contact privilgi pour le support utilisateur.Ce poste est parfait pour un(e) chef(fe) de projet passionn(e) par la conception de solutions et l'accompagnement des quipes. Vos atouts pour nous rejoindre Nous recherchons un(e) Consultant(e) expriment(e) qui combine une solide expertise en finance avec d'excellentes comptences en gestion de projet.Qualifications et comptences cls :Formation : Diplm(e) d'un Bac+5 d'une cole de commerce, d'ingnieurs ou d'une universit en finance. Exprience : Plus de 5 ans d'exprience sur des projets Risques ou Rglementaires. Expertise : Excellentes connaissances en Finance de March, avec une matrise de la mthodologie de projet et du SQL. Qualits personnelles : Excellent relationnel, forte capacit d'analyse et de synthse, ainsi que de bonnes qualits rdactionnelles. Langues : Anglais courant obligatoire. Comment se droule le processus de recrutement chez Devoteam ? Il comporte 2  3 entretiens :- Talent Acquisition Interview : l'objectif est de faire le point sur vos comptences, votre niveau d'anglais et de valider vos lments de motivation
- Tech &amp; Business Interview : cet entretien vise  approfondir vos comptences techniques et  vrifier leur adquation avec nos besoins lors d'un change avec un expert mtier
- Leadership Interview : il permet d'valuer votre potentiel, vos ambitions et d'envisager votre volution au sein de Devoteam.
Nous privilgions au moins un entretien en prsentiel. Une prise de rfrence est demande et, selon votre profil, des tests (techniques, anglais, personnalit...) peuvent vous tre adresss.
Si votre candidature est retenue, nous vous faisons parvenir une proposition prsentant les conditions d'embauche. En cas d'acceptation, le contrat de travail est formalis.Le Groupe Devoteam oeuvre pour l'galit des chances, pour la promotion de ses collaboratrices et de ses collaborateurs au mrite et lutte activement contre toute forme de discrimination. Nous sommes convaincus que la diversit contribue  la crativit, au dynamisme et  l'excellence de notre organisation. Chaque candidature est donc considre indpendamment de tout critre discriminatoire."
3642115,"Chef de Projet/Product Owner Salesforce H/F - Creative Tech - C360","https://jobs.smartrecruiters.com/Devoteam/744000083227025-chef-de-projet-product-owner-salesforce-h-f-creative-tech-c360","Devoteam","Levallois-Perret","No","Not specified","Full time","2025-09-23T20:25:35.467366Z"," Consultant(e) CRM/Salesforce - Rejoignez notre quipe !Envie de booster votre carrire ? Devenez un(e) acteur(rice) cl sur des projets CRM passionnants pour nos clients. Guid(e) par un mentor, vous aurez un rle central et trs diversifi. Vos missions principales : Gestion de Projet &amp; Stratgie : Pilotez des projets de A  Z, du cadrage  la mise en production. Analyse &amp; Conception : Transformez les besoins clients en solutions Salesforce concrtes et performantes. Conduite du Changement : Animez des ateliers et formations pour garantir l'adoption des nouvelles solutions. Configuration Salesforce : Mettez la main  la pte pour paramtrer et configurer la plateforme. Avant-Vente : Contribuez  l'laboration de propositions commerciales gagnantes. Leadership : Prenez en main la gestion de projet, des plannings et potentiellement des quipes. Si vous tes passionn(e) par le CRM, que vous aimez les challenges et que vous souhaitez un rle qui combine technique, conseil et relation client, ce poste est fait pour vous !  Vos atouts pour nous rejoindre Bon(ne) communicant(e), vous aimez interagir avec diffrents interlocuteurs de la relation clientVous tes diplm(e) d'un Bac+5 Vous tes curieux(se), rigoureux(se) et possdez un bon sens de l'analyseVous apprciez la nouveaut Vous possdez minimum deux d'expriences sur un poste similaireCapacit  grer plusieurs projets en parallleVous matrisez la mthodologie Agile Anglais courant obligatoireDonner du sens  votre carrire
Devoteam S Platform est depuis longtemps engag auprs des associations franaises pour les aider dans l'implmentation de leur CRM. Nous avons travaill sur de nombreux projets de leves de fonds ou de gestion des volontaires. Nous souhaitons permettre  l'ensemble de nos collaborateurs de travailler sur des projets porteurs de sens. Comment se droule le processus de recrutement chez Devoteam ? Il comporte 2  3 entretiens :- Talent Acquisition Interview : l'objectif est de faire le point sur vos comptences, votre niveau d'anglais et de valider vos lments de motivation
- Tech &amp; Business Interview : cet entretien vise  approfondir vos comptences techniques et  vrifier leur adquation avec nos besoins lors d'un change avec un expert mtier
- Leadership Interview : il permet d'valuer votre potentiel, vos ambitions et d'envisager votre volution au sein de Devoteam.
Nous privilgions au moins un entretien en prsentiel. Une prise de rfrence est demande et, selon votre profil, des tests (techniques, anglais, personnalit...) peuvent vous tre adresss.
Si votre candidature est retenue, nous vous faisons parvenir une proposition prsentant les conditions d'embauche. En cas d'acceptation, le contrat de travail est formalis.Le Groupe Devoteam oeuvre pour l'galit des chances, pour la promotion de ses collaboratrices et de ses collaborateurs au mrite et lutte activement contre toute forme de discrimination. Nous sommes convaincus que la diversit contribue  la crativit, au dynamisme et  l'excellence de notre organisation. Chaque candidature est donc considre indpendamment de tout critre discriminatoire."
