"ID","Title","Link","Company","Location","Remote","Experience","EmploymentType","DatePosted","RoleDescription"
3647328,"Senior Manager, Organic Growth","https://jobs.smartrecruiters.com/Experian/744000083343156-senior-manager-organic-growth","Experian","Costa Mesa","Yes",8,"Full time","2025-09-23T20:25:28.838680Z","Experian's Direct-to-Consumer (D2C) business is looking for a creative and data-driven Senior Manager of Organic Growth. You will shape and build a comprehensive strategy to achieve organic growth and expand how consumers discover and engage with our content and products across a evolving digital landscape. From traditional channels to latest AI-powered platforms, you will help define the future of organic engagementall to support our mission to bring Financial Power to AllTM. Reporting to the Vice President of eCommerce, you will work across teams in marketing, product, and technology to provide impact at scale and unlock new pathways for consumer discovery.You'll have opportunity to:Identify growth opportunities through analytics, competitive analysis, and market research, translating insights into relevant strategies aligned with our goals.Establish KPIs and reporting frameworks to track performance, inform decision-making, and refine strategy.Communicate complex strategies across matrixed teams and present insights to executive partners.Lead cross-functional collaboration to implement programs that enhance organic visibility, engagement, and conversion across both established and emerging discovery platforms.Stay at the forefront of industry trends and emerging technologies, including the transformative impact of AI, generative platforms, and assistant-based discovery, to continuously evolve our approach.8+ years of experience driving organic growth through digital strategy, data insights, and competitive analysis, with 3+ years in a leadership role managing cross-functional initiatives.Proven success delivering scalable growth within complex, matrixed organizations.Deep expertise in technical SEO, content strategy, performance analytics, and marketing.Leadership qualities with a track record of influencing cross-functional priorities.Experience in financial services or other regulated industries is a plus.Our uniqueness is that we celebrate yours. Experian's culture and people are important differentiators. We take our people agenda very seriously and focus on what matters; DEI, work/life balance, development, authenticity, collaboration, wellness, reward &amp; recognition, volunteering... the list goes on. Experian's people first approach is award-winning; World's Best WorkplacesTM 2024 (Fortune Top 25), Great Place To WorkTM in 24 countries, and Glassdoor Best Places to Work 2024 to name a few. Check out Experian Life on social or our Careers Site to understand why.Experian is proud to be an Equal Opportunity and Affirmative Action employer. Innovation is an important part of Experian's DNA and practices, and our diverse workforce drives our success. Everyone can succeed at Experian and bring their whole self to work, irrespective of their gender, ethnicity, religion, colour, sexuality, physical ability or age. If you have a disability or special need that requires accommodation, please let us know at the earliest opportunity."
3647327,"Account Manager (SME Sales - Northern Region)","https://jobs.smartrecruiters.com/Experian/744000083375545-account-manager-sme-sales-northern-region-","Experian","Kuala Lumpur","No",1,"Full time","2025-09-23T20:25:28.838798Z","We are looking for a qualified Account Manager to based on Northern Office. You will be responsible for supporting various operational functions within the startup environment. This includes assisting with day-to-day tasks. The Account Manager will work closely with various teams within the startup, gaining exposure to different team and gaining valuable work experience.  What you'll need to bring to the partyBe responsible and reliable; maintain confidentiality; and exhibit integrity, a Experience maintaining an organized and up-to-date pipeline of opportunities, and a commitment to perform a variety of duties related to daily operational process in a timely and accurately manner.You are willing to challenge when appropriate and lead activity within the business areas. What you'll doThe role Account Manager offers an exciting opportunity to promote the use of Experian proprietary risk management solutions amongst users.You will focus on customer acquisition and exposes you to business owners and entrepreneurs across multiple industry sectors.Ample training and guidance will be given to hone your client engagement and selling skills.Resource allocation and Experience establishing communication and engagement with prospects with other departments.More about youCandidates with 1 year of sales experience preferred  SME sales experience will be an added advantage.Extensive knowledge of operations. Experience working in a fast-paced environment, or a related financial institution is highly valuable.Proficiency in MS Excel and other essential software tools is considered an added advantage, assuming a baseline level of computer literacy.Experienced in supervising a team of staff for goals set will be added advantageHighly self-motivated, Strong interpersonal and Communication skills.Our uniqueness is that we truly celebrate yours. Experian's culture and people are key differentiators. We take our people agenda very seriously and focus on what truly matters; DEI, work/life balance, development, authenticity, engagement, collaboration, wellness, reward &amp; recognition, volunteering... the list goes on. Experian's strong people first approach is award winning; Great Place To WorkTM in 24 countries, FORTUNE Best Companies to work and Glassdoor Best Places to Work (globally 4.4 Stars) to name a few. Check out Experian Life on social or our Careers Site to understand why. Experian is proud to be an Equal Opportunity and Affirmative Action employer. Innovation is a critical part of Experian's DNA and practices, and our diverse workforce drives our success. Everyone can succeed at Experian and bring their whole self to work, irrespective of their gender, ethnicity, religion, colour, sexuality, physical ability or age. If you have a disability or special need that requires accommodation, please let us know at the earliest opportunity.Experian Careers - Creating a better tomorrow togetherFind out what its like to work for Experian by clicking hereExperian Careers - Creating a better tomorrow togetherFind out what its like to work for Experian by clicking here"
3647326,"Customer Service Executive","https://jobs.smartrecruiters.com/Experian/744000083375212-customer-service-executive","Experian","Kuala Lumpur","No",2,"Full time","2025-09-23T20:25:28.838818Z","What You'll Do:Handle daily customers' incoming and outgoing calls, emailing.You will perform ID verification and follow up documents with customers for delivery of report.Keep records of customer interactions and transactions, recording details of inquiries, complaints, and comments, and actions taken.Follow up to ensure that appropriate actions were taken on customers' request.Regular feedback to the management customer's comments, feedbacks on our products and services.Exercise basic salesmanship to promote/ upsell all relevant products to increase the business revenue.Support new product testing, implementation and launches.Deploy and apply all company policies, procedures and standards.More About You:Diploma, Advanced/ Higher/ Graduate Diploma, Economics, Information Technology, Business Studies/ Administration/ Management, Marketing, Commerce or equivalent. - Proficient in MS Office (Word, Excel &amp; Outlook)Minimum of 2 years+ working experience in customer service role with experience working in HSA environment current/priorThis is a hub-based position therefore, you must be comfortable to come to office during weekdays (full onsite).Note: Personal belongings and electronic devices must be stored in designated lockers before entering the operational areaOur uniqueness is that we celebrate yours. Experian's culture and people are important differentiators. We take our people agenda very seriously and focus on what matters; DEI, work/life balance, development, authenticity, collaboration, wellness, reward &amp; recognition, volunteering... the list goes on. Experian's people first approach is award-winning; World's Best WorkplacesTM 2024 (Fortune Top 25), Great Place To WorkTM in 24 countries, and Glassdoor Best Places to Work 2024 to name a few. Check out Experian Life on social or our Careers Site to understand why.Experian is proud to be an Equal Opportunity and Affirmative Action employer. Innovation is an important part of Experian's DNA and practices, and our diverse workforce drives our success. Everyone can succeed at Experian and bring their whole self to work, irrespective of their gender, ethnicity, religion, colour, sexuality, physical ability or age. If you have a disability or special need that requires accommodation, please let us know at the earliest opportunity.Experian Careers - Creating a better tomorrow togetherFind out what its like to work for Experian by clicking here"
3647325,"Legal Counsel Malaysia","https://jobs.smartrecruiters.com/Experian/744000083375885-legal-counsel-malaysia","Experian","Kuala Lumpur","No",10,"Full time","2025-09-23T20:25:28.838838Z","Job Summary:You will manage all legal matters of Experian Group companies in Malaysia, advising multiple responsibilities across the organization and providing legal support of matters of strategic, financial and reputational importance, and daily operations.This is a visible role and involves advising multiple departments across the organization and providing legal support on matters of strategic, financial, and reputational importance, and daily operations What You'll Do:Provide strategic legal advice and support on complex commercial transactions across the Malaysian business.Draft, review, and negotiate many legal documents and contracts across all the departments (approximately 70% of work time).Monitor legal and regulatory developments in Malaysia, advise on potential impacts to the business and provide risk mitigation strategies (approximately 20% of work time).Deliver daily legal guidance to cross-functional teams (Sales, HR, Product, Finance, Marketing, Operations, DPO) advising on applicable laws and regulations, including corporate law, contract law, intellectual property, employment.Manage relationships with external legal advisors.Provide legal support to broader Southeast Asia Legal and Business teams, contributing to regional projects.Partner with global and regional legal teams on several tasks and projects.More About You:710 years of Post Qualified Experience (PQE) with either in private practice or in-house (in-house experience is an advantage); exposed in the banking, financial, or credit services industry is good to haveKnowledgeable negotiating complex commercial transactions and drafting contracts, experience advising on privacy and data protection matters and in employment lawEstablished relationships with regulatory bodies are an advantage.Business orientation, with the ability to provide practical, commercially sound legal advice.Our uniqueness is that we celebrate yours. Experian's culture and people are important differentiators. We take our people agenda very seriously and focus on what matters; DEI, work/life balance, development, authenticity, collaboration, wellness, reward &amp; recognition, volunteering... the list goes on. Experian's people first approach is award-winning; World's Best WorkplacesTM 2024 (Fortune Top 25), Great Place To WorkTM in 24 countries, and Glassdoor Best Places to Work 2024 to name a few. Check out Experian Life on social or our Careers Site to understand why.Experian is proud to be an Equal Opportunity and Affirmative Action employer. Innovation is an important part of Experian's DNA and practices, and our diverse workforce drives our success. Everyone can succeed at Experian and bring their whole self to work, irrespective of their gender, ethnicity, religion, colour, sexuality, physical ability or age. If you have a disability or special need that requires accommodation, please let us know at the earliest opportunity.Experian Careers - Creating a better tomorrow togetherFind out what its like to work for Experian by clicking here"
3647324,"Product Engineer [ Support ]","https://jobs.smartrecruiters.com/Experian/744000083375985-product-engineer-support-","Experian","Kuala Lumpur","No",2,"Full time","2025-09-23T20:25:28.838854Z","We are seeking a passionate and highly motivated Product Engineer (Support) to join our dynamic team. In this role, you will be responsible for managing the initial response to technical issues, resolving application-related incidents. You will serve as the primary point of contact between internal users, operations, and the development team, ensuring smooth communication and exceptional support that drives user satisfaction. Additionally, youll handle client inquiries, providing timely and effective resolutions.Were looking for someone who thrives in a fast-paced environment, values continuous improvement, and is driven to streamline processes and deliver impactful results.What youll need to bring to the teamProven ability to troubleshoot and resolve complex application issues across a variety of systemsWorking collaboratively across with developers, operations, and internal teams to provide ongoing support for best practices.Proactively identifies and recommends areas for system optimization and performance enhancementWhat youll be doing  Providing 3rd level technical support to troubleshoot, analyze, define and implement solutions relating to bug/issues reported by customer Service, internal stakeholders or clients.Debug, fix and write code to address software bugs and collaborate with developer for the deployment preparation.Coordinate with developer to deliver Hot Fixes/Service Packs including functional and security fixes to comply with Global Security standardsProvide a professional and efficient level of service in accordance with Service Level of Agreement.Write technical how-tos, postmortems, debugging runbooks, and FAQs to build team knowledgeInvestigation of issues, including trying to reproduce the issue if required.Proactively diagnose and deep dive on /deep dive on errors and/or underlying issues highlighted in daily transaction reporting based on log analysis, database querying (e.g., SQL)Contribute to Root Cause Analysis for issues and problems ensuring they are managed to resolution and improvements are implementedRegular weekday working hours are from 11:00 AM to 8:00 PM (suggestion: 9-6pm normal working hours, 6pm till 8pm on call standby)Be available for weekend on-call standby support from 8:00 AM to 4:00 PM, excluding Public Holidays, to respond to urgent incidents(P1)Other general responsibilities includeManaging backlog of tickets, ensuring that they are resolved and closed within the agreed SLAsSet up and/or participate in swarms to ensure tickets can be quickly resolved with the right experts within global, regions or other resolver groupsWorking with the development engineering teams on software and product issuesHandling a range of technical cases at any one time at all different complexities Bachelors Degree or Advanced Diploma in Computer Science, Information Technology, or related fieldMinimum 2 years' experience in application support or software implementation rolesExcellent troubleshooting and analytical skillsResourceful, patient, and customer-focused attitude with strong communication abilitiesAbility to maintain support documentation and contribute to knowledge sharingFamiliarity with PHP, Java, Angular, VB.NET and MySQL to investigate issues and assist with resolutionHands-on experience with tools like JIRA, Bitbucket, Jenkins, and code quality/security toolsBasic understanding of web application security principlesEnjoys collaborating with others and contributing to a positive team cultureAbility to enquire, learn and challenge in order to make improvement and ensure best practice is followedCapability to be a fast learner and ability to work in a dynamic, fast moving and challenging environmentExperian Careers - Creating a better tomorrow togetherFind out what its like to work for Experian by clicking here"
3647323,"Business Development Manager - Solutions Sales","https://jobs.smartrecruiters.com/Experian/744000083375802-business-development-manager-solutions-sales","Experian","Kuala Lumpur","No",5,"Full time","2025-09-23T20:25:28.838870Z","Role Summary:We are looking for an experienced and strategic commercial professional to join our Strategic Sales Team to lead both new business acquisition and growth of main accounts across Experian's core client segments  banking, FinTech, telecommunications, government-linked corporations, and large enterprises.You bring a solution-selling mindset, experience managing complex consultative sales, and a successful track record engaging with C-level partners. You will help shape Experian's footprint across data, credit risk, fraud prevention, digital onboarding, and decision analytics solutions.  What You'll Do:Manage to exceed annual sales targets through strategic client acquisition and account expansion.Develop go-to-market strategies to reach new markets or use cases.Lead consultative engagements  identify client pain points, position tailored Experian solutions, and build Return on investment-based business cases.Manage full sales lifecycle: prospecting, solution design, proposal, commercial negotiation, contracting, and onboarding.Maintain a portfolio of important accounts through cross-sell and up-sell strategies.Be a strategic advisor to clients, ensuring agreement between Experian solutions and evolving client needs.Collaborate with product, delivery, marketing, and legal teams to ensure successful deal closure and implementation.Represent Experian externally at industry events, forums, and high-level executive engagements.Provide regular market and competitor insights to influence strategy and product roadmap. More About you:Bachelor's Degree or equivalent in Economics, Business, Finance or related fields5+ years of experience managing important/strategic accounts or hybrid sales portfolios.Experience selling data-driven, AI/ML-enabled, or decision analytics solutions is good to haveExperience engaging and influencing C-level executives and important decision makers.Experience managing both new business and existing accounts at a strategic level.Our uniqueness is that we celebrate yours. Experian's culture and people are important differentiators. We take our people agenda very seriously and focus on what matters; DEI, work/life balance, development, authenticity, collaboration, wellness, reward &amp; recognition, volunteering... the list goes on. Experian's people first approach is award-winning; World's Best WorkplacesTM 2024 (Fortune Top 25), Great Place To WorkTM in 24 countries, and Glassdoor Best Places to Work 2024 to name a few. Check out Experian Life on social or our Careers Site to understand why.Experian is proud to be an Equal Opportunity and Affirmative Action employer. Innovation is an important part of Experian's DNA and practices, and our diverse workforce drives our success. Everyone can succeed at Experian and bring their whole self to work, irrespective of their gender, ethnicity, religion, colour, sexuality, physical ability or age. If you have a disability or special need that requires accommodation, please let us know at the earliest opportunity.Experian Careers - Creating a better tomorrow togetherFind out what its like to work for Experian by clicking here"
3647321,"Senior Product Manager –  Data Consumption - Analytics Platform","https://jobs.smartrecruiters.com/Experian/744000083389655-senior-product-manager-data-consumption-analytics-platform","Experian","Nottingham","No","Not specified","Full time","2025-09-23T20:25:28.838885Z","We are building a next-generation data analytical platform, Ascend, to power our analytical sandbox and other products, ensuring seamless ingestion and consumption of diverse data sourcesincluding bureau data, anonymised alternative data, client-contributed data, operational data and partner datasets.As a Senior Product Manager for Data Consumption, you will lead the strategy and execution of capabilities that make this data accessible, usable, and valuable across the Ascend ecosystem. Reporting to the Platform Director, you will help shape how data flows into and through the platform, ensuring it supports scalable, secure, and insightful analytics. ResponsibilitiesProduct Strategy &amp; Vision - Define and lead the product roadmap for data consumption and integration across the Ascend Platform. Drive the development of ingestion pipelines and access controls for bureau, anonymised, client, and partner data. Platform Development &amp; Execution - Collaborate with engineering, data science, and architecture teams to deliver scalable data access and transformation capabilities. Lead initiatives to standardise and automate data onboarding and consumption workflows. Support the build-out of the analytical sandbox, ensuring it is powered by high-quality, diverse data sources. Client &amp; Partner Enablement - Partner with client-facing teams to surface data-related challenges that, when solved, unlock measurable value. Develop features that enable clients to securely access and analyse their own data alongside Experian and third-party datasets. Governance &amp; Compliance - Champion data privacy, security, and governance best practices across all data consumption features. Collaborate with legal and compliance teams to ensure all data usage follows relevant regulations. Measurement &amp; Optimisation - Use data and analytics to identify opportunities, measure product impact, and drive continuous improvement. Monitor platform usage and performance to inform roadmap decisions and client engagement strategies.Proven experience managing data-centric product roadmaps within SaaS analytics platforms.Excellent understanding of data ingestion, transformation, and access management.Extensive experience working with diverse data types (structured, unstructured, anonymised, third-party, operational).Familiarity with analytical environments, data sandboxes, and client data enablement.Experience navigating complex, matrixed organisations and leveraging cross-functional resources.Experience communicating product updates, milestones, and progress to internal and external partners.Demonstrate customer focus, value realisation, and competitive market awareness  Desirable CompetenciesTechnical: Data Architecture, API Strategy, Software Product ManagementLeadership: Stakeholder Alignment, Change ManagementBenefits package includes:Hybrid workingGreat compensation package and discretionary bonusCore benefits include pension, bupa healthcare, sharesave scheme and more25 days annual leave with 8 bank holidays and 3 volunteering days. You can purchase additional annual leave.Our uniqueness is that we celebrate yours. Experian's culture and people are important differentiators. We take our people agenda very seriously and focus on what matters; DEI, work/life balance, development, authenticity, collaboration, wellness, reward &amp; recognition, volunteering... the list goes on. Experian's people first approach is award-winning; World's Best WorkplacesTM 2024 (Fortune Top 25), Great Place To WorkTM in 24 countries, and Glassdoor Best Places to Work 2024 to name a few. Check out Experian Life on social or our Careers Site to understand why.Experian is proud to be an Equal Opportunity and Affirmative Action employer. Innovation is an important part of Experian's DNA and practices, and our diverse workforce drives our success. Everyone can succeed at Experian and bring their whole self to work, irrespective of their gender, ethnicity, religion, colour, sexuality, physical ability or age. If you have a disability or special need that requires accommodation, please let us know at the earliest opportunity.Grade: C/EB7#LI-LC1 #LI-HybridExperian Careers - Creating a better tomorrow togetherFind out what its like to work for Experian by clicking here"
3647320,"Performance Testing Lead","https://jobs.smartrecruiters.com/Experian/744000083400150-performance-testing-lead","Experian","Hyderabad","No",8,"Full time","2025-09-23T20:25:28.838901Z","Lead performance testing efforts across multiple projects and teams.Design, develop, and execute performance test strategies, plans, and scripts.Analyze performance test results and identify bottlenecks and optimization opportunities.Collaborate with development, DevOps, and architecture teams to ensure performance goals are met.Drive resiliency and chaos engineering practices to validate system robustness.Manage and mentor a team of performance testers, ensuring high-quality delivery.Communicate effectively with stakeholders to report findings, risks, and recommendations.Required Skills:Minimum 8 years of hands-on experience in performance testing.Strong expertise in performance testing tools (e.g., JMeter, LoadRunner, Gatling, Neoload).Solid understanding of AWS cloud infrastructure and performance testing in cloud environments.Experience with chaos engineering and resiliency testing methodologies.Excellent communication and stakeholder management skills.Proven team leadership and coordination capabilities. Good to Have:Exposure to AI/ML concepts and their impact on performance testing.Familiarity with observability tools (e.g., Grafana, Prometheus, Dynatrace, New Relic).Experience with CI/CD integration for performance testing.Knowledge of containerized environments (Docker, Kubernetes) and microservices architecture.Our uniqueness is that we celebrate yours. Experian's culture and people are important differentiators. We take our people agenda very seriously and focus on what matters; DEI, work/life balance, development, authenticity, collaboration, wellness, reward &amp; recognition, volunteering... the list goes on. Experian's people first approach is award-winning; World's Best WorkplacesTM 2024 (Fortune Global Top 25), Great Place To WorkTM in 24 countries, and Glassdoor Best Places to Work 2024 to name a few. Check out Experian Life on social or our Careers Site and Glassdoor to understand why. Experian is proud to be an Equal Opportunity and Affirmative Action employer. Innovation is a critical part of Experian's DNA and practices, and our diverse workforce drives our success. Everyone can succeed at Experian and bring their whole self to work, irrespective of their gender, ethnicity, religion, color, sexuality, physical ability or age. If you have a disability or special need that requires accommodation, please let us know at the earliest opportunity. Benefits Experian care for employee's work life balance, health, safety and wellbeing. In support of this endeavor, we offer best-in-class family well-being benefits, enhanced medical benefits and paid time off.#LI-OnsiteExperian Careers - Creating a better tomorrow togetherFind out what its like to work for Experian by clicking here"
3647319,"Senior Analytics Consultant","https://jobs.smartrecruiters.com/Experian/744000083407826-senior-analytics-consultant","Experian","Mumbai","No",8,"Full time","2025-09-23T20:25:28.838915Z","Delivering high quality analytical and value-added services for clients while adhering to timelinesBuild next in class risk Models for our Clients leveraging bureau and alternate dataProvide subject matter expertise on acquisition and limit assignment strategiesYou'll play an integral role to Engage Business/Technical Consultants and delivery teams appropriately so that there is a shared understanding and agreement as to deliver proposed solutionYou will have the opportunity to use analysis and customer insights to develop value propositions for customersManage the delivery of multiple, complex analytics projectsFlexible and expertise to perform hands-on modelling workMotivate project team to ensure quality deliverables and achieve milestonesMentor and coach junior team members in model development processDevelop industry best practice on model development/validationDrive high standards of customer service and proactive client communication throughout the project term8-12 years' experience in credit risk modelling across customer life cycleA strong understanding of machine learning techniques and algorithms, such as Gradient Boost, KNN, etc.Knowledge of different modelling frameworks like Linear Regression, Logistic Regression, Decision TreeExperience working on large data sets using Modern languages like PythonGood understanding and hands-on experience of statistical modelling/data analysis tools (SAS, Python) and techniquesGood applied statistics skills, such as distributions, statistical testing, regression etc.Understanding of decisioning and portfolio management in banking and financial services would be added advantageUnderstanding of credit bureau would be an added advantageExtensive experience of managing large projectsExperience of working in a financial services environment or Modelling department of International BanksAble to interpret technical features into commercial benefitsBenefits package includes:Great compensation package.Core benefits include, Group mediclaim Insurance, Sharesave scheme and more!25 days annual leave &amp; 10 sick leaves.Car Lease policyRole Location: MumbaiExperian is an equal opportunities employer#LI-OnsiteExperian Careers - Creating a better tomorrow togetherFind out what its like to work for Experian by clicking here"
3647318,"Junior RPA Developer – Gen AI Solutions (Open to Graduates)","https://jobs.smartrecruiters.com/Experian/744000083418588-junior-rpa-developer-gen-ai-solutions-open-to-graduates-","Experian","Cyberjaya","No",1,"Full time","2025-09-23T20:25:28.838929Z","Role Summary:We are looking for a motivated Junior RPA Developer to join our team and help build intelligent automation solutions powered by Agentic AI. In this role, you will support senior engineers in designing, developing, and deploying RPA workflows integrated with AI agents, contributing to projects that enhance operational efficiency capabilities.This is a great opportunity for someone passionate about automation and artificial intelligence and looking to grow in a cutting-edge tech environment. What You'll Do:Assist in developing, and testing RPA workflows integrated with AI agents.Help develop intelligent automation solutions that combine rule-based logic with generative AI capabilities.Help implement data extraction, transformation, logic using AI-enhanced agents.Stay updated with the latest advancements in RPA and Agentic AI and contribute to research and experimentation.Collaborate with senior developers and business analysts to deploy automation solutions in cloud or hybrid environments.Document automation processes, technical specifications, and user guides for both technical and non-technical audiences.Participate in testing and validation of automation workflows to ensure quality and compliance.Engage with stakeholders to understand our needs and propose automation opportunities.More About You: Bachelor's degree in Computer Science, Software Engineering, Information Systems, or a related field.01 years of experience in software development / automation and familiar with RPA platforms.Basic programming skills in Python, JavaScript, or VB.NET.Understanding of Agentic AI concepts, LLMs, and how they can be integrated into automation workflows.Exposure to cloud platforms (Azure, AWS, GCP) is a plusOur uniqueness is that we celebrate yours. Experian's culture and people are important differentiators. We take our people agenda very seriously and focus on what matters; DEI, work/life balance, development, authenticity, collaboration, wellness, reward &amp; recognition, volunteering... the list goes on. Experian's people first approach is award-winning; World's Best WorkplacesTM 2024 (Fortune Top 25), Great Place To WorkTM in 24 countries, and Glassdoor Best Places to Work 2024 to name a few. Check out Experian Life on social or our Careers Site to understand why.Experian is proud to be an Equal Opportunity and Affirmative Action employer. Innovation is an important part of Experian's DNA and practices, and our diverse workforce drives our success. Everyone can succeed at Experian and bring their whole self to work, irrespective of their gender, ethnicity, religion, colour, sexuality, physical ability or age. If you have a disability or special need that requires accommodation, please let us know at the earliest opportunity.Experian Careers - Creating a better tomorrow togetherFind out what its like to work for Experian by clicking here"
