"ID","Title","Link","Company","Location","Remote","Experience","EmploymentType","DatePosted","RoleDescription"
3647547,"Game Product Manager, FFGS金铲铲之战","https://www.riotgames.com/en/work-with-us/job/7260522?gh_jid=7260522","Games","Shanghai","No",5,"Full time","2025-09-23T20:25:26.066449Z","Riot Games was established in 2006 by entrepreneurial gamers who believe that player-focused game development can result in great games. In 2009, Riot released its debut title League of Legends to critical and player acclaim. As the most played video game in the world, over 100 million play every month. Players form the foundation of our community and its for them that we continue to evolve and improve the League of Legends experience.
Were looking for humble but ambitious, razor-sharp professionals who can teach us a thing or two. We promise to return the favor. Like us, you take play seriously; youre passionate about games. We embrace those who see things differently, arent afraid to experiment, and who have a healthy disregard for constraints.
That's where you come in.
As a Game Product Manager on the FFGS team, you will be responsible for FFGS set development. You will partner with cross-functional teams and work closely with the product and design lead to align on set/modes goals, ensure a strong player-focused strategy is in place for each set, and set a course to achieve those goals. Your role will be to follow TFT set strategy, drive FFGS set development, establish a roadmap,  and contribute to the overall FFGS gameplay strategy. Youll also ensure that the collaboration team with our development partner on set development is working healthily and effectively, while collaborating with publishing and other partners to ensure alignment towards set goals.
As a Rioter in China, you'll join a team of internationally and culturally diverse professionals that share our prioritization of player experience, rejection of convention and maniacal passion for gaming. 
To reinforce Riots collaborative culture in our China offices, weve decided to do away with the constraints of traditional hierarchical title structures that are more common in the region. Titles dont really matter at any of Riots offices, but we chose to take this extra step in our China offices to foster a space where teamwork thrives. We believe that removing this constraint will promote individual autonomy, ownership, collaboration, and a focus on results. We promise you wont need a title at Riot to make an impact.
Responsibilities:

Drive and execute on planning and multi-phase roadmap for FFGS set and mode development, ensuring alignment with TFTs broader product goals and long-term objectives.
Influence cross-functional teams to ensure consistent, high-quality player experiences and foster alignment across product, design, insights, and technical teams toward common goals.
Drive engagement following success metrics that not only drive project success of each set/mode, but provide insights that influence team-wide strategic decisions. 
Drive day to day meeting and follow-ups on set related features, patch updates and balance discussions with designers to ensure micro changes are made to improve overall FFGS players set experience
Identify cross-functional opportunities for growth and innovation within revival sets, pushing the game forward in alignment with Riots and TFTs broader strategy, establishing FFGS as a pioneering product within the genre.
Work with the team and stakeholders to set measurable goals and translate them into product requirements that guide design and technical specifications.
Monitor overall game health and performance of player engagement, regularly updating stakeholders on progress and be solution oriented when needed.
Drive a culture of end-to-end ownership, ensuring that each set is delivered with accountability from concept through execution and is aligned with strategic goals.

Required Qualifications:

35 years of experience (or a PhD) in product management across games, live operations, and system/feature design, with a proven record of driving strategic impact and influence.
Passion and deep familiarity with Teamfight Tactics / FFGS and strategy games, with proven experience applying player-centric insights to drive product innovation.
Experience shipping products with cross-discipline teams, demonstrating the ability to work in fast-paced, dynamic environments.
Outstanding verbal and written communication skills, with the ability to partner across multiple disciplines.
Bilingual in both English and Mandarin

Desired Qualifications:

Understanding of growth, retention, and mobile gaming strategies to create player value.
Ability to analyze large data sets to identify actionable insights that guide decision-making.
Strong analytical skills with experience in competitive analysis, using industry insights to inform product strategy and ensure FFGSs market position remains strong.

For this role, you'll find success through craft expertise, a collaborative spirit, and decision-making that prioritizes the delight of players. We will be looking at your past studies, experience, and your personal relationship with games. If you embody player empathy and care about players' experiences, this could be your role!
Dont forget to include a resume and cover letter. We receive a lot of applications, but well notice a fun, well-written intro that shows us you take play seriously."
3643118,"Director of Global Workplace and Real Estate Operations","https://www.riotgames.com/en/work-with-us/job/6882865?gh_jid=6882865","Games","Los Angeles","No",10,"Full time","2025-09-23T20:25:26.066529Z","Enterprise teams at Riot create the culture, systems, and environment that allow Riot to be the best place for world-class talent to imagine and achieve the impossible for players. Enterprise collectively is made up of essential corporate teams like Finance, People, Legal, Corporate Affairs, IT and Infosec, and Corp. Strategy that creates the ecosystem for Riot's different products to operate and collaborate. To be effective, Enterprise Rioters must foster a trust forward culture to empower and act as true partners to product teams and create simple and customer-centric systems that unlock collaboration across Riot.
As Director of Global Workplace and Real Estate Operations, reporting to the Head of Total Rewards, you will oversee a team that builds and manages Riot's global real estate portfolio across multiple countries and continents. You will lead the workplace operations that supports our ambition to make Riot the best place in the world to make Games.  You will lead a global team of workplace experience leaders to ensure every one of our offices meets the standards and bring our culture and workplace experience to life including portfolio management, site selection, lease negotiation and management, design and construction, occupancy planning, and office and event operations.  In partnership with finance, your team will drive inform and bring to life our real estate strategy.  
Responsibilities:

Lead a global team to operate our global workplace experience which includes facilities management, physical safety &amp; security, space planning, global program management, and events support.
Establish global real estate design standards, global workplace experience standards, and global operating processes to promote collaboration, consistency, and scalability. 
Bring to life Riot's global workplace and occupancy strategy to support our short-term needs and drive towards our long-term vision of making Riot the best place to make games
Oversee Riot's management of a global real estate portfolio of 30+ offices (1.5M sqft) that serves 4000+ Rioters. 
Drive effective partnerships between Riot teams and external partners who support our workplace operations in security, facilities etc.
Maintain important stakeholder and partner relationships to ensure alignment on the Real Estate and Workplace experience and occupancy strategy.
Dotted line reporting to SVP of Finance to partner on Real Estate strategy providing perspectives and data to help inform real estate decisions.

Required Qualifications: 

10+ years of experience operating a global office portfolio in fast and dynamic industries (Games, Tech, and Entertainment preferred)
5+ years experience leading global workplace teams
Experience with external global vendor management
Experience with both leased and owned office space including asset management
Knowledge of global real estate standards, policies, metrics, and best practices

Desired Qualifications:

Bachelor's Degree in Real Estate, Business, or Finance
Master of Business Administration

For this role, you'll find success through craft expertise, a collaborative spirit, and choices that focus on your fellow Rioters, who are the customers of your work. Being a dedicated fan of games is not necessary for this position!
Our Perks:
Riot focuses on work/life balance, shown by our open paid time off policy and other perks such as flexible work schedules. We offer medical, dental, and life insurance, parental leave for you, your spouse/domestic partner, and children, and a 401k with company match. Check out our benefits pages for more information.
At Riot Games, we put players first. That mission drives every decision in our quest to create games and experiences that make it better to be a player. Whether youre working directly on a new player-facing experience or youre supporting the company as a whole, everyone at Riot is part of our mission. And just like in our games, were better when we work together. Our goal is to create collaborative teams where you are empowered to bring your unique perspective everyday. If that sounds like the kind of place you want to work, were looking forward to your application.
 
Its our policy to provide equal employment opportunity for all applicants and members of Riot Games, Inc. Riot Games makes reasonable accommodations for handicapped and disabled Rioters and does not unlawfully discriminate on the basis of race, color, religion, sex, sexual orientation, gender identity or expression, national origin, age, handicap, veteran status, marital status, criminal history, or any other category protected by applicable federal and state law. We consider for employment all qualified applicants, including those with criminal histories, in a manner consistent with applicable federal, state and local law, including the California Fair Chance Act, the City of Los Angeles Fair Chance Initiative for Hiring Ordinance, the Los Angeles County Fair Chance Ordinance for Employers, the San Francisco Fair Chance Ordinance, and the Washington Fair Chance Act.
Per the Los Angeles County Fair Chance Ordinance, the following core duties may create a basis for disqualifying candidates with relevant criminal histories:

Safeguarding confidential and sensitive Company data 
Communication with others, including Rioters and third parties such as vendors, and/or players, including minors
Accessing Company assets, secure digital systems, and networks
Ensuring a safe interactive environment for players and other Rioters

These duties are directly related to essential operations, safety, trust, and compliance obligations within our organization. Please note that job duties may evolve based on business needs and additional responsibilities may be assigned as necessary to maintain operational efficiency and security."
3634334,"Staff Software Engineer - Infrastructure","https://www.riotgames.com/en/work-with-us/job/7256285?gh_jid=7256285","Games","Los Angeles","No",7,"Full time","2025-09-23T20:25:26.066550Z","As a part of the Riot Infrastructure Team, you'll be part of the core group of engineers that build our infrastructure that enables our games to operate globally at scale. You will work across all infrastructure and game teams to automate all aspects of our infrastructures to enable teams to be more efficient and productive by building software and tools. If you are looking to have an impact across different aspects of Riot infrastructure, join us and pioneer solutions that will help us scale to the next level.
As a Staff Software Engineer on the Infrastructure Team, youll be part of a team that is focused on enabling Riot engineers to reduce toil and inefficiency via tooling and automation. The tools that you could be building can range from a Slack bot to games deployment.  You will support the team as it collaborates with other teams across not just infrastructure but also across Riot to solve critical problem areas where tooling and automation are keys to the solution.
Responsibilities:

Design solutions and features based on requirements and agreements with our stakeholders using our standard frameworks and best practices
Drive improvements to our standards and best practices where necessary
Continually looking for efficiency and improvement opportunities within our infrastructure, propose solutions and rally support for your proposal.
Work with senior leadership across organizations to ensure successful implementation
Lead by example on quality design and coding standards 
Help grow the team through mentoring and leveling up of less experienced teammates
Build healthy relationships with other engineering teams at Riot to foster cross-team collaboration.

Required Qualifications: 

7+ years experience as a software engineer with focus on infrastructure or tooling in a fast-paced, large-scale environment
Expertise with full software development life cycle
Expertise in one or more object oriented languages (i.e. Python, Go, Java, C++)
Strong experience working with containers and orchestration engines such as Kubernetes or Mesos
Experience with large-scale Cloud development
Understand core infrastructure services, distributed systems, microservices, and software at a large scale
Fluent in Mandarin

Desired Qualifications:

Experience in fast pasted and matrixed organizations
Experience operating and supporting agile development, production services, and high availability
Experience developing using cloud infrastructure (e.g., AWS, GCP) using containers and orchestration (e.g., Docker, Kubernetes), managed using infrastructure as code (e.g., Terraform, Ansible)
Experience with CI/CD pipelines (e.g., Jenkins)
Understand networking - HTTP down to the network layer (TCP/IP, routing, etc.)
Experience working with international team members and colleagues

For this role, you'll find success through craft expertise, a collaborative spirit, and decision-making that prioritizes your fellow Rioters, who are the customers of your work. Being a dedicated fan of games is not necessary for this position!
 
Our Perks:
Riot focuses on work/life balance, shown by our open paid time off policy and other perks such as flexible work schedules. We offer medical, dental, and life insurance, parental leave for you, your spouse/domestic partner, and children, and a 401k with company match. Check out our benefits pages for more information.
At Riot Games, we put players first. That mission drives every decision in our quest to create games and experiences that make it better to be a player. Whether youre working directly on a new player-facing experience or youre supporting the company as a whole, everyone at Riot is part of our mission. And just like in our games, were better when we work together. Our goal is to create collaborative teams where you are empowered to bring your unique perspective everyday. If that sounds like the kind of place you want to work, were looking forward to your application.
 
Its our policy to provide equal employment opportunity for all applicants and members of Riot Games, Inc. Riot Games makes reasonable accommodations for handicapped and disabled Rioters and does not unlawfully discriminate on the basis of race, color, religion, sex, sexual orientation, gender identity or expression, national origin, age, handicap, veteran status, marital status, criminal history, or any other category protected by applicable federal and state law. We consider for employment all qualified applicants, including those with criminal histories, in a manner consistent with applicable federal, state and local law, including the California Fair Chance Act, the City of Los Angeles Fair Chance Initiative for Hiring Ordinance, the Los Angeles County Fair Chance Ordinance for Employers, the San Francisco Fair Chance Ordinance, and the Washington Fair Chance Act.
Per the Los Angeles County Fair Chance Ordinance, the following core duties may create a basis for disqualifying candidates with relevant criminal histories:

Safeguarding confidential and sensitive Company data 
Communication with others, including Rioters and third parties such as vendors, and/or players, including minors
Accessing Company assets, secure digital systems, and networks
Ensuring a safe interactive environment for players and other Rioters

These duties are directly related to essential operations, safety, trust, and compliance obligations within our organization. Please note that job duties may evolve based on business needs and additional responsibilities may be assigned as necessary to maintain operational efficiency and security."
3634333,"Manager, Software Engineering - Developer Connections, Client Build","https://www.riotgames.com/en/work-with-us/job/7229016?gh_jid=7229016","Games","Los Angeles","No",7,"Full time","2025-09-23T20:25:26.066567Z","Riot engineers bring deep knowledge of specific technical areas but also value the chance to work in many broader domains. As an Engineering Manager, youll predominantly offer creative solutions to organizational design. Youll also serve as a mentor for a team of engineers, overseeing performance management, growth opportunities, and accountability. Developer Connections (DevCon) connects developers across the globe, enabling them to ship games reliably and efficiently. Sitting at the crossroads of Game Studios, R&amp;D, and Central Tech, DevCon keeps a pulse on development across Riot. Our mission is to unblock teams and empower them to hit key milestones, ensuring that future games reach players on time and at quality. Within DevCon, the Client Build team provides the build infrastructure, orchestration, and solutions that game teams rely on to stay focused on creating the game itself.
As a Manager, Software Engineering for Client Build, your mission is to make working game builds available to developersand eventually playerswith minimal investment from the game teams. To succeed, youll need to understand both the technical details of how builds are created and the broader impact they have on developer experience. You will report to the Sr. Manager, Software Engineering for Developer Connections.
Responsibilities:

Own the build farms for all of Riots games!  You will be expected to understand your customers and their specific needs, industry trends and changes, and other central efforts.  Youll influence product direction and prioritization based on all of these factors combined with our existing technical capabilities.
Drive positive outcomes for customers!  Customers see your team as vital to their success.  This includes proactive communication with customers and stakeholders, prioritizing value over idealism, and fostering a culture of accountability.
Manage the team.  You own performance management, team health, and support the engineers careers through mentorship and identifying growth opportunities
Operational Excellence.  Youre committed to keeping systems operationally globally and own a healthy on-call rotation.  Your off-hours pages are rare due to investments you make into redundancy and automated recovery.  Your team is well equipped to find failures before your customers do, and mitigate quickly before they lead to significant impact.
Ensure that your team always understands why were doing this.  All your engineers are  able to connect their work back to DevCon and Riots mission.  DevCon often pushes into uncharted territory, you provide the clarity to help the team navigate uncertainty.

Required Qualifications: 

7+ years of experience as a software engineer
2+ years working in an engineering management position
Proficient with Scrum/Agile development methodologies

Desired Qualifications:

Knowledge of Build technologies, bonus for Unreal Engine games specifically
Knowledge of CI/CD best practices
Experience shipping games
Experience serving in a product ownership role

For this role, you'll find success through craft expertise, a collaborative spirit, and decision-making that prioritizes the delight of players. We will be looking at your past studies, experience, and your personal relationship with games. If you embody player empathy and care about players' experiences, this could be your role!
 
Our Perks:
Riot focuses on work/life balance, shown by our open paid time off policy and other perks such as flexible work schedules. We offer medical, dental, and life insurance, parental leave for you, your spouse/domestic partner, and children, and a 401k with company match. Check out our benefits pages for more information.
At Riot Games, we put players first. That mission drives every decision in our quest to create games and experiences that make it better to be a player. Whether youre working directly on a new player-facing experience or youre supporting the company as a whole, everyone at Riot is part of our mission. And just like in our games, were better when we work together. Our goal is to create collaborative teams where you are empowered to bring your unique perspective everyday. If that sounds like the kind of place you want to work, were looking forward to your application.
 
Its our policy to provide equal employment opportunity for all applicants and members of Riot Games, Inc. Riot Games makes reasonable accommodations for handicapped and disabled Rioters and does not unlawfully discriminate on the basis of race, color, religion, sex, sexual orientation, gender identity or expression, national origin, age, handicap, veteran status, marital status, criminal history, or any other category protected by applicable federal and state law. We consider for employment all qualified applicants, including those with criminal histories, in a manner consistent with applicable federal, state and local law, including the California Fair Chance Act, the City of Los Angeles Fair Chance Initiative for Hiring Ordinance, the Los Angeles County Fair Chance Ordinance for Employers, the San Francisco Fair Chance Ordinance, and the Washington Fair Chance Act.
Per the Los Angeles County Fair Chance Ordinance, the following core duties may create a basis for disqualifying candidates with relevant criminal histories:

Safeguarding confidential and sensitive Company data 
Communication with others, including Rioters and third parties such as vendors, and/or players, including minors
Accessing Company assets, secure digital systems, and networks
Ensuring a safe interactive environment for players and other Rioters

These duties are directly related to essential operations, safety, trust, and compliance obligations within our organization. Please note that job duties may evolve based on business needs and additional responsibilities may be assigned as necessary to maintain operational efficiency and security."
3326218,"Senior 3D Character Artist (Contract)","https://www.riotgames.com/en/work-with-us/job/7102224?gh_jid=7102224","Games","Shanghai","No","Not specified","Contract","2025-09-23T20:25:26.066582Z","3D,3D,
 
,3D,3D,,,,,

:



,

();
;
/,
,




,,,;




 UE5  ,(LOD);
(PC//),




,;



:

5
NPRPBR
,,,
Maya/ 3D Max, Zbrush,Substance,UE


:



IP



 
,(),
 
,,!
:FESCO Adecco."
3631885,"Security Engineer II - Security Risk Engineering","https://www.riotgames.com/en/work-with-us/job/7259083?gh_jid=7259083","Games","Los Angeles","No",3,"Full time","2025-09-23T20:25:26.066598Z","We are looking for a Senior Security Engineer focused on security risk engineering to help mature and expand our existing program. You will report to the third party risk management (TPRM) manager and your primary goal will be continuously evolving our TPRM program through automation and technology.
While the core objective is to level up our TPRM program, you will also contribute to build out our foundation in security risk engineering at Riot. Riot is an adaptive, global organization that leverages both existing and emerging technologies, internal talents and external partners to provide quality content to hundreds millions of players around the world. Thus, Riots profile and unique attack surface bring complex challenges for the team to effectively manage security, privacy, regulatory and reputational risk from an engineering perspective.You would have a broad technical background across a wide range of security disciplines, expertise in risk engineering, automation and have excellent reporting, writing, communication, and customer interface skills.
Responsibilities:

Conduct risk assessments on wide range of critical suppliers, external technologies, and system integrations
Provide practical, technical and/or administrative security recommendations for secure engagements and implementations 
Support supplier lifecycle management programs and initiatives as a technical security SME 
Partner with key stakeholders to mature the TPRM process through system integration and automation 
Contribute to our remote secure access strategy by implementing and optimizing secure access solutions for vendor workers and contractors
Contribute to our continuous monitoring program on critical third-party infrastructure by implementing monitoring solutions and exploring synergies among existing toolsets
Contribute to our security risk engineering foundation by implementing automated tests on critical infrastructure and controls, optimizing risk remediation and producing effective, centralized risk reporting
Maintain and improve existing automations and integrations for security systems and platforms

Required Qualifications: 

Ability to communicate technical concepts to non-technical audiences
Experience in designing and implementing secure, automated TPRM controls and lifecycle management process including vendor onboarding, monitoring, offboarding, and issue management
Experience in implementing industry standard security frameworks and best practices at scale
Experience in implementing security engineering tooling that enables automated control validation
Experience in implementing system integrations between different security and IT systems to drive automation and security risk reduction 
Experience in reviewing the security posture across a wide -range of third- party service providers, technologies, and system integrations
3~5 years of experience in Information Security Engineering roles
3~5 years of experience in Security Risk Management roles
Proficiency in at least one programming/scripting language (Python, Go, PowerShell, etc.)
Hands-on knowledge of cloud platforms (e.g., AWS, GCP, Azure) and their security models
Experience with automation tooling (e.g., Terraform, workflow automation platforms)

Desired Qualifications:

Working knowledge of access control and identity management systems (IAM)
Working knowledge of cloud security and open source security
Background in securing AI workflows and tools
Strong ability to drive risk reporting through quantification, and data visualization
CISSP, CISA, CRISC, or similar certifications
Experience with GRC platforms (OneTrust, ProcessUnity, Archer, or similar)

For this role, you'll find success through craft expertise, a collaborative spirit, and decision-making that prioritizes your fellow Rioters, who are the customers of your work. Being a dedicated fan of games is not necessary for this position!
Our Perks:
Riot focuses on work/life balance, shown by our open paid time off policy and other perks such as flexible work schedules. We offer medical, dental, and life insurance, parental leave for you, your spouse/domestic partner, and children, and a 401k with company match. Check out our benefits pages for more information.
At Riot Games, we put players first. That mission drives every decision in our quest to create games and experiences that make it better to be a player. Whether youre working directly on a new player-facing experience or youre supporting the company as a whole, everyone at Riot is part of our mission. And just like in our games, were better when we work together. Our goal is to create collaborative teams where you are empowered to bring your unique perspective everyday. If that sounds like the kind of place you want to work, were looking forward to your application.
 
Its our policy to provide equal employment opportunity for all applicants and members of Riot Games, Inc. Riot Games makes reasonable accommodations for handicapped and disabled Rioters and does not unlawfully discriminate on the basis of race, color, religion, sex, sexual orientation, gender identity or expression, national origin, age, handicap, veteran status, marital status, criminal history, or any other category protected by applicable federal and state law. We consider for employment all qualified applicants, including those with criminal histories, in a manner consistent with applicable federal, state and local law, including the California Fair Chance Act, the City of Los Angeles Fair Chance Initiative for Hiring Ordinance, the Los Angeles County Fair Chance Ordinance for Employers, the San Francisco Fair Chance Ordinance, and the Washington Fair Chance Act.
Per the Los Angeles County Fair Chance Ordinance, the following core duties may create a basis for disqualifying candidates with relevant criminal histories:

Safeguarding confidential and sensitive Company data 
Communication with others, including Rioters and third parties such as vendors, and/or players, including minors
Accessing Company assets, secure digital systems, and networks
Ensuring a safe interactive environment for players and other Rioters

These duties are directly related to essential operations, safety, trust, and compliance obligations within our organization. Please note that job duties may evolve based on business needs and additional responsibilities may be assigned as necessary to maintain operational efficiency and security."
3626125,"Art Lead, Art Outsourcing - League of Legends, Summoners Rift ","https://www.riotgames.com/en/work-with-us/job/7241500?gh_jid=7241500","Games","Los Angeles","No",5,"Full time","2025-09-23T20:25:26.066614Z","The League of Legends team is a multi-disciplinary group of artists, designers, engineers, and producers who are passionately committed to evolving the game for its global player base. We strive to create the most engaging and beautiful player experiences through impeccable art and thrilling gameplay.
As an Art Outsourcing Manager for League of Legends, you will be the vital link between our internal art leadership and our global network of external development partners. You will be embedded within the League of Legends art team and will be responsible for managing the end-to-end pipeline of outsourced assets, from initial request and vendor selection, to final delivery and integration. Your expertise in art production, vendor management, and clear communication will ensure that every external asset meets the high-quality bar and distinctive style of Runeterra.
Responsibilities:

Partner with Internal Art Directors and Leads to understand project goals, artistic vision, and quality benchmarks for all outsourced work
Manage the day-to-day operational relationship with multiple external art partners, ensuring clear, consistent, and constructive communication
Prepare and distribute comprehensive art packets, including detailed briefs, style guides, technical specifications, and reference materials
Own the intake process for outsourcing requests, prioritizing needs, tracking capacity, and allocating work to the most suitable external partners
Facilitate and manage the feedback loop between internal craft leads, artists and external vendors, ensuring notes are clear, actionable, and delivered in a timely manner
Track and monitor the progress of all outsourced assets, managing schedules and milestones to ensure on-time delivery for internal production needs
Conduct initial quality control checks on delivered assets to ensure they meet technical and artistic standards and collaborate with craft teams to ensure they are accepted and integrated into the game
Identify and proactively troubleshoot roadblocks in the outsourcing pipeline, escalating issues when necessary
Contribute to the evolution of our outsourcing processes, tools, and best practices to improve efficiency and quality over time
Maintain a deep understanding of the League of Legends art style and technical requirements to effectively evaluate external work

Required Qualifications:

5+ years of experience in art production, outsourcing, or vendor management roles within the game industry
3+ years of game industry experience creating 3D character or 3D environment art on AAA game titles
Shipped at least two AAA game titles in a role that involved managing 3D art assets.
Deep understanding of game art creation pipelines across multiple disciplines (e.g., environment asset art, 3D character, VFX, animation)
Exceptional organizational and project management skills, with experience using tracking software (e.g., Jira, Shotgun)
Outstanding communication and interpersonal skills, with a proven ability to build trust and collaborate with both internal teams and external partners
A strong artistic eye and ability to provide constructive, objective feedback against a defined style guide
Ability to thrive in a fast-paced, iterative, and live-service environment

Desired Qualifications:

Experience working directly as an environment or character artist in game development
Experience managing art outsourcing for a live-service game
Existing relationships with external art development studios and freelance artists
Passionate player of League of Legends with a strong understanding of its champions and world

For this role, you'll find success through craft expertise, a collaborative spirit, and decision-making that prioritizes the delight of players. We will be looking at your past studies, experience, and your personal relationship with games. If you embody player empathy and care about players' experiences, this could be your role!
 
Our Perks:
Riot focuses on work/life balance, shown by our open paid time off policy and other perks such as flexible work schedules. We offer medical, dental, and life insurance, parental leave for you, your spouse/domestic partner, and children, and a 401k with company match. Check out our benefits pages for more information.
At Riot Games, we put players first. That mission drives every decision in our quest to create games and experiences that make it better to be a player. Whether youre working directly on a new player-facing experience or youre supporting the company as a whole, everyone at Riot is part of our mission. And just like in our games, were better when we work together. Our goal is to create collaborative teams where you are empowered to bring your unique perspective everyday. If that sounds like the kind of place you want to work, were looking forward to your application.
 
Its our policy to provide equal employment opportunity for all applicants and members of Riot Games, Inc. Riot Games makes reasonable accommodations for handicapped and disabled Rioters and does not unlawfully discriminate on the basis of race, color, religion, sex, sexual orientation, gender identity or expression, national origin, age, handicap, veteran status, marital status, criminal history, or any other category protected by applicable federal and state law. We consider for employment all qualified applicants, including those with criminal histories, in a manner consistent with applicable federal, state and local law, including the California Fair Chance Act, the City of Los Angeles Fair Chance Initiative for Hiring Ordinance, the Los Angeles County Fair Chance Ordinance for Employers, the San Francisco Fair Chance Ordinance, and the Washington Fair Chance Act.
Per the Los Angeles County Fair Chance Ordinance, the following core duties may create a basis for disqualifying candidates with relevant criminal histories:

Safeguarding confidential and sensitive Company data 
Communication with others, including Rioters and third parties such as vendors, and/or players, including minors
Accessing Company assets, secure digital systems, and networks
Ensuring a safe interactive environment for players and other Rioters

These duties are directly related to essential operations, safety, trust, and compliance obligations within our organization. Please note that job duties may evolve based on business needs and additional responsibilities may be assigned as necessary to maintain operational efficiency and security."
3623804,"Software Engineering, Services (Contract)","https://www.riotgames.com/en/work-with-us/job/7257289?gh_jid=7257289","Games","Shanghai","No","Not specified","Contract","2025-09-23T20:25:26.066629Z","
,Riot,,,,,,


,;
,;
,;
,;
,;
,



,2,;
C++JavaGolang,;
();
;
,;
,,;
,



Unreal Engine 5(UE5)(UE5,,);
MOBA;
CI/CD;
IP,;
,







:FESCO Adecco"
3623803,"Software Engineering (Gameplay) (Contract)","https://www.riotgames.com/en/work-with-us/job/7257277?gh_jid=7257277","Games","Shanghai","No","Not specified","Contract","2025-09-23T20:25:26.066649Z","
,Riot,,,,!


Unreal Engine 5(UE5);
,,;
,;
,;
,;
,



,2,C++;
1Unreal Engine 5(UE5),;
;
,;
,;
,



MOBAUE5;
UE5UI;
Unreal Engine;
;
IP,;
,







:FESCO Adecco"
3623802,"QA Engineer (Contract)","https://www.riotgames.com/en/work-with-us/job/7257300?gh_jid=7257300","Games","Shanghai","No","Not specified","Contract","2025-09-23T20:25:26.066673Z","
,Riot,,,,!


,,;
Bug,,;
,,;
(JIRATestRail),;
,;
,



,2,;
,;
;
,;
,,;
,;
,



;
Unreal Engine(UE5)IP;
,;
;
,







:FESCO Adecco"
