"ID","Title","Link","Company","Location","Remote","Experience","EmploymentType","DatePosted","RoleDescription"
3647725,"Head of People","https://jobs.smartrecruiters.com/DeliveryHero/744000083367560-head-of-people","Hero","Bangsar South","No",10,"Full time","2025-09-23T20:25:35.877533Z","Do you love food and convenience put together? Then you just might love foodpanda.foodpanda is the leading, on-demand food delivery company in Malaysia, bringing thousands of your best loved restaurants online into your home or office - fast! Were all about bringing on the smartest folks as we continue to grow with an all hands on deck environment and hire those who can thrive in a startup culture.We are looking for a visionary and hands-on Head of People and Culture who is passionate about building high-performing teams, fostering a vibrant workplace, and driving strategic HR initiatives that directly contribute to business success. This role demands a unique blend of strategic foresight, operational acumen, and a proven track record of elevating organizational effectiveness through people-centric programs. You will be instrumental in shaping our talent landscape, enhancing employee engagement, and ensuring our HR practices are at the forefront of innovation and compliance across diverse markets.Responsibilities:Global HR Policy &amp; Organizational Design Alignment: Partner closely with Global and Regional leadership to ensure 100% compliance in HR policies and organizational design, streamlining regional integration and establishing foodpanda Malaysia as a benchmark for HR excellence. Your expertise will be crucial in driving success within our organization.Hyper-Growth Talent &amp; Succession Planning: Spearhead talent and succession planning initiatives, with a demonstrated ability to boost leadership pipeline readiness significantly and enhance career growth frameworks within a rapidly expanding organization. Experience in scaling talent development programs for large employee populations is essential.Employee Engagement &amp; Retention Mastery: Design, launch, and lead highly impactful engagement initiatives that significantly increase employee satisfaction and participation in company events. Implement performance management and engagement programs that achieve demonstrably higher team engagement and a notable rise in retention. Experience in achieving over 85% employee engagement through year-round activities is highly valued.Optimized Workforce &amp; Budget Management: Manage substantial annual workforce budgets with a proven ability to achieve 100% utilization while optimizing resource allocation and cost-efficiency. This includes optimizing administrative workflows and cutting operational costs through automation and vendor negotiations.Digital Learning &amp; Proficiency Enhancement: Develop and lead digital learning programs that significantly boost employee digital proficiency and reduce troubleshooting requests. This includes developing and delivering comprehensive soft-skills and technical training programs across multiple employee groups.Leadership Development &amp; Organizational Development: Direct and oversee Talent Management, Talent Reviews, and 360 Feedback interventions, driving significant impact in leadership development. Collaborate with internal subject matter experts and external consultants on the rollout of new OD structures and the implementation of best OD practices, driving organization-wide improvements and increased employee engagement.Diversity, Compliance &amp; Regulatory Adherence: Drive diversity and compliance initiatives, ensuring 100% adherence to statutory requirements and strengthening an inclusive work culture. This includes collaborating with local and global GRC teams to design and implement HR policies in line with local labor laws.Strategic HR Business Partnering: Lead HR strategy and execution for diverse employee populations, positioning the organization among the top places to work. Optimize cross-functional team dynamics through strategic HR initiatives and serve as a member of the management team, leading HR operations for all local business units.Recruitment &amp; Onboarding Excellence: Design and execute large-scale recruitment and internship drives, with a track record of high acceptance rates (95%+) and faster onboarding processes.Dynamic Engagement Calendar Development: Design and implement yearly engagement calendars with initiatives and mentorship programs, driving increased internal promotions and retention, and enhancing leadership development.Minimum of 10 years of HR leadership experience with a strong focus on Business Partnering, Talent Management, and Organizational Design.Demonstrated managerial experience in a Business Partnering role within a fast-paced, digital-first organization, preferably in the food delivery or tech industry.Proven ability to lead HR strategy and execution for large employee populations.Extensive experience in optimizing administrative workflows and managing significant budgets with a focus on cost reduction and resource optimization.A strong track record in developing and implementing IT learning programs and enhancing digital proficiency across an organization.Expertise in designing and executing highly successful employee engagement and performance management programs that significantly impact satisfaction, participation, and retention.Experience in collaborating with Global and Regional teams to ensure HR policy and organizational design compliance in a matrixed org.Solid background in talent and succession planning, including building leadership pipelines and enhancing career growth initiatives.Experience working with external consultants on organizational development initiatives.Strong understanding of diversity, compliance, and statutory requirements with a track record of 100% adherence.Formal certification in leadership development is advantageousWhat we offer:A dynamic and challenging work environment.A company committed to developing you personally and professionally.A great working atmosphere with regular company and team events.A vibrant and international team committed to diversity and inclusion.Responsibility from day one in a fast growing and global company.Other benefits include free food, health and dental insurance, and learning and development opportunities!
 foodpanda is operated by Delivery Hero Group (DH Group) - the worlds leading local delivery platform, operating in 70+ markets across Asia, Europe, Latin America, the Middle East, and Africa. Delivery Hero started as a food delivery service in 2011 and now employs 40,000+ people globally. Additionally, Delivery Hero is pioneering quick commerce, the next generation of e-commerce, aiming to bring groceries and household goods to customers in under one hour and often in 20 to 30 minutes. Headquartered in Berlin, Germany, Delivery Hero has been listed on the Frankfurt Stock"
3647724,"Head of Vendor Strategy ","https://jobs.smartrecruiters.com/DeliveryHero/744000083369247-head-of-vendor-strategy-","Hero","Berlin","No",10,"Full time","2025-09-23T20:25:35.877608Z","Were looking for a strategic leader to join us as Head of Vendor Strategy, owning the design and deployment of high-impact initiatives that drive success for our most important partners. This role is ideal for someone who thrives on solving complex, cross-functional problems and is passionate about turning insight into scalable action across a global footprint.As the Head of Vendor Strategy, youll architect how we think and work with our vendors to ensure they achieve successful and healthy presence on the platform all across their lifecycle. You and your team will design everything from the incubation, performance monitoring, and re-engagement and revival. Your work will define what success looks like for new vendors, prevent attrition among high-potential partners, and shape how we scale this across 17 markets. You will collaborate closely with country Managing Directors, Commercial Directors, MDs, and central functions (Product, CRM, Operations), while reporting directly to the Senior Director of Partner Growth.This is a high-visibility, high-impact role with frequent interaction with senior leadership, including our VP of Commercial and executive leadership across Delivery Hero. You will also lead a team of 4 direct reports, fostering a high-performance culture focused on ownership, accountability, and strategic execution.What Youll DriveStrategic Incubation Design: Define and lead the global incubation framework for top vendors, ensuring a seamless onboarding and ramp-up experience that maximizes performance in the first 3060 days.Vendor Lifecycle Health: Own the design and evolution of vendor lifecycle strategies, including early performance diagnostics, churn prevention, and success criteria for long-term engagement.Performance Intelligence &amp; Metrics: Develop predictive health monitoring systems, dashboards, and processes that enable local teams to intervene before issues escalate.Cross-Functional Enablement: Collaborate with internal teams (e.g., Account Management, CRM, Content, Product) to implement playbooks, AI tooling, and scalable interventions across 17 markets.Recovery and Reinvention: Lead the strategy for reactivating underperforming vendors through data-driven interventions and partnerships with local market teams.710 years of total professional experience, with 25 years in top-tier strategy consultingProven experience in solving complex strategic problems and designing scalable operational frameworksStrong problem-solving skills, with the ability to structure ambiguity and generate insights that drive decision-makingExperience leading small teams or workstreams, preferably in high-performance, high-intensity environmentsStrong implementation ownership  demonstrated ability to move from insight to action in cross-functional settingsExceptional communication skills -  confident presenting to senior stakeholdersComfort with ambiguity, fast decision-making, and driving results across diverse, international marketsWe believe diversity and inclusion are key to creating not only an exciting product, but also an amazing customer and employee experience. Fostering this starts with hiring - therefore we do not discriminate on the basis of racial identities, religious beliefs, color, national origin, gender identities or expressions, sexual orientations, age, marital or disability statuses, or any other aspect that makes you, you. We encourage you to let us know if you need any accommodations or specific accessibility support to ensure a smooth interview experiencejust include it in your application. You're welcome to share your pronouns (he/she/they) right from the start so we can address you respectfully from our first contact."
3647723,"Chief of Staff - COO","https://jobs.smartrecruiters.com/DeliveryHero/744000083372505-chief-of-staff-coo","Hero","Berlin","No",5,"Full time","2025-09-23T20:25:35.877628Z","As the Chief of Staff to the COO, your role will be central to the success of Pandora. The chief of staff will have a key role in the performance management of the company and will build, design &amp; ensure implementation of the key strategic decisions across Commercial, Service Operations, Logistics, Quick Commerce and Product Deployment. The Chief of Staff will have access to senior management on a daily basis and will play a key role between the senior management and the different teams, understanding implementation challenges, resources constraints, pushing for relentless prioritisation and passing up (and down) feedback. The main objective and success factor of this role is to make the organisation successful, e.g. be the oil that makes the engine run at speed.Role Responsibilities: Build and run governance processes that improve cross-functional effectiveness, including the overall set up for optimal collaboration &amp; culture, performance tracking, ownership structures, and systematic impact &amp; follow through of key decisions throughout the organizationDrive performance management practices across teams and regions, ensuring clarity on accountability, root causes, and action plansPartner with senior leadership to align strategic priorities across global, regional, and local teamsProvide analytical support and structured insights on key business decisionsFacilitate strategic planning and business reviews, including offsites, goal-setting, and executive communicationOver time, lead cross-functional strategic initiatives and transformation projects as governance foundations matureAct as a trusted advisor and team enablersuccess is defined by how well the organization executes, not by personal visibility5+ years (excluding internships) of experience in management consulting, investment banking, or similarly rigorous strategy roles Experience building governance structures and driving performance improvement across functionsStrong analytical and problem-solving skills; comfortable operating in complex, ambiguous environmentsHigh emotional intelligence and a low-ego, collaborative mindsetExcellent communication and influencing skills, particularly with senior stakeholdersProven ability to manage multiple priorities, structure execution plans, and drive follow-upExperience working in fast-paced, matrixed, or global organizationsWe believe diversity and inclusion are key to creating not only an exciting product, but also an amazing customer and employee experience. Fostering this starts with hiring - therefore we do not discriminate on the basis of racial identities, religious beliefs, color, national origin, gender identities or expressions, sexual orientations, age, marital or disability statuses, or any other aspect that makes you, you. We encourage you to let us know if you need any accommodations or specific accessibility support to ensure a smooth interview experiencejust include it in your application. You're welcome to share your pronouns (he/she/they) right from the start so we can address you respectfully from our first contact."
3647722,"Executive, Business Development (South Luzon)","https://jobs.smartrecruiters.com/DeliveryHero/744000083376835-executive-business-development-south-luzon-","Hero","Cavite","No",1,"Full time","2025-09-23T20:25:35.877645Z","You will be part of our companys growth by acquiring new restaurants to partner with usYou will effectively and efficiently exhaust leads and close deals with target restaurants by cold calling, fieldwork, virtual presentations, etc). You will consistently make a good first impression, effectively communicate the benefits of foodpanda's premium product, and negotiate contracts with partner restaurants.Effectively and creatively present foodpandas packages to potential vendorsWork closely with other departments to make sure we have a successful vendor incubationExceed sales goals: The BDE will play a crucial role in driving volume &amp; quality sales and achieving performance-based goals, both as an individual and as part of a team. They will be motivated to over-achieve sales targets and contribute to the continuous growth of foodpanda. Sales incentives will be offered to reward exceptional performance.Be the local representative in the area: monitoring competitor activities, gathering feedback, and provide recommendations to ensure a healthy market share.As a local market expert, the Business Development Executive will gather feedback from partner restaurants and provide valuable recommendations for improvements to management. They will have a good understanding of the food market, proactively engage with quality vendors and stay updated on the latest developments in order to effectively contribute to foodpanda's success.Candidate with Bachelors degree in business, marketing, mass communication or related area preferredAt least 1 - 2 years experience in sales, business development, upselling and similar areas, preferably with field sales experience is needed for this positionGood understanding of Sales Pipeline ManagementGood communication skills. Preferably comfortable to speak in both English, Filipino, and in the local dialect in the areaOpen for fresh graduates. Preferably with sales experience through internshipOpen to do extensive fieldwork within South Luzon (Dasmarina, Silang, Tagaytay, Trece, GMA)Persuasive and highly motivated to over-achieve sales targetExcellent communication skills, including a clear, confident speaking voice and a friendly rapport with customers/clientAbility to be flexible and creative in dealing with customers/clientExperience working with Salesforce.com or similar CRM is an advantageSelf motivated team player with a proven ability to work in a fast paced environment and can work independently"
3647721,"Manager, Dmart Operations","https://jobs.smartrecruiters.com/DeliveryHero/744000083383485-manager-dmart-operations","Hero","İstanbul","No",10,"Full time","2025-09-23T20:25:35.877661Z","Were seeking a Dmart (Store) Operations Manager to manage end to end all q-commerce operations for stanbul.Responsibilities:Continuously monitor customer satisfaction, delivery processes, product quality, and service standards across field operations within determined challenging KPIsProvide day-to-day support to stores and centralise their feedbacks, drive weekly root cause analysis to understand and resolve issues,Optimisation of operational flows and resource/capacity managementManage field crisis operations during peak periods and take proactive measures when necessaryContinuously evaluate productivity &amp; performance of stores and team membersTrain and develop teams on tools and increase usability and expertise of the tool usageWork in coordination with the Real Estate team to monitor the quality of the existing stores (maintenance, improvements) and make sure the facilities are secured, appropriate and optimizedFor all renovation / new stores projects, make sure store operational efficiency is optimised in the layout designsLiaise with local IT to ensure availability / efficiency of devices, IT equipment and networks provided in the storesWork with Internal Control for the deployment of in-store procedures and compliance - the Store Handbook.Coordinate the processes of stock takes, shrinkage, cycle counts, together with the Internal Controller.Health and Safety+10 years of relevant experience, with at least 5 years in a managerial or leadership role.Strong knowledge of grocery principles, store/warehouse operations and quality &amp; inventory management.Excellent analytical and problem solving skills.Strong people leadership with a positive track record of managing direct and indirect reports.Skilled in change management and business transformation.Strong analytical problem-solving skillsGood communication &amp; negotiation skillsAmbitious, confident and able to take initiativeAdvanced level of MS Office ApplicationsBachelors degree in Logistics, Operations, Supply Chain Management or a related field.A chance to crown your career at Yemeksepeti, Turkey's largest online quick delivery platform, that has been raising future managers and industry leaders for 20 years!A working environment where employee happiness is prioritized, with a strong corporate culture, passionate colleagues working together towards the same goal, and a transparent management approach!Project opportunities that you can run together with the employees of Delivery Hero companies in 43 countries of the world and great teachings about global industry leadership!Flexible work hours so that you can plan your business and social life as you wish! (Start working at any time between 08:00 and 10:00!)A birthday leave waiting for you the next day so you can have fun and party as much as you want on your birthday!Online trainings shaped by your choices, where the opportunities you can learn and improve yourself are unlimited!A comprehensive private health insurance that will never let you down when you need it!The Yemeksepeti family! Always smiling and high communication skills!A pre-planned orientation program so that you can capture the spirit of Yemeksepeti in the best way, get to know the brand from the inside, and always feel at home. And of course, a Buddy who will always support you in your first weeks!
 Your rights arising from the processing of your personal data, within the scope of the Law on the Protection of personal data. You can find detailed information on the page of our Clarification Text at https://www.yemeksepeti.com/contents/kvkk-aday-aydinlatma-metniYour rights arising from the processing of your personal data, within the scope of the Law on the Protection of personal data. You can find detailed information on the page of our Clarification Text at https://www.yemeksepeti.com/contents/kvkk-aday-aydinlatma-metni"
3647720,"Executive, Business Development","https://jobs.smartrecruiters.com/DeliveryHero/744000083384555-executive-business-development","Hero","Taguig","No",1,"Full time","2025-09-23T20:25:35.877676Z","You will be part of our companys growth by acquiring new restaurants to partner with usYou will effectively and efficiently exhaust leads and close deals with target restaurants by cold calling, fieldwork, virtual presentations, etc). You will consistently make a good first impression, effectively communicate the benefits of foodpanda's premium product, and negotiate contracts with partner restaurants.Effectively and creatively present foodpandas packages to potential vendorsWork closely with other departments to make sure we have a successful vendor incubationExceed sales goals: The BDE will play a crucial role in driving volume &amp; quality sales and achieving performance-based goals, both as an individual and as part of a team. They will be motivated to over-achieve sales targets and contribute to the continuous growth of foodpanda. Sales incentives will be offered to reward exceptional performance.Be the local representative in the area: monitoring competitor activities, gathering feedback, and provide recommendations to ensure a healthy market share.As a local market expert, the Business Development Executive will gather feedback from partner restaurants and provide valuable recommendations for improvements to management. They will have a good understanding of the food market, proactively engage with quality vendors and stay updated on the latest developments in order to effectively contribute to foodpanda's success.Candidate with Bachelors degree in business, marketing, mass communication or related area preferredAt least 1 - 2 years experience in sales, business development, upselling and similar areas, preferably with field sales experience is needed for this positionGood understanding of Sales Pipeline ManagementGood communication skills. Preferably comfortable to speak in both English, Filipino, and in the local dialect in the areaOpen for fresh graduates. Preferably with sales experience through internshipOpen to do extensive fieldwork within Metro Manila areaHighly motivated to over-achieve sales targetExcellent communication skills, including a clear, confident speaking voice and a friendly rapport with customers/clientAbility to be flexible and creative in dealing with customers/clientExperience working with Salesforce.com or similar CRM is an advantageSelf motivated team player with a proven ability to work in a fast paced environment and can work independently"
3647719,"Picker (efood market) - Παγκράτι - part time","https://jobs.smartrecruiters.com/DeliveryHero/744000083390265-picker-efood-market-part-time","Hero","Athens","No","Not specified","Full time","2025-09-23T20:25:35.877694Z","                   ,    ...      !  efood market    Pickers    o   .       ,         online .  ,              ,      efood market     .  Picker :       (Picking - Packing)                         /             /        /logistics      :   ,              

Life @efood:

At efood, no day is the same as the one before!efooders know that working and having a good time aren't the opposite and thats why every day at efood is a new adventure!We always aim higher and we thrive in finding solutions to push our limits further!We care about our customers, our employees, our society.We seize every opportunity to celebrate achievements and milestones, but we also celebrate small things (like Fridays!)Every efooder is part of a fast-growing multinational company, with endless opportunities for professional growth and acquisition of new skills!We have an established, yet super creative and fun working environment, with talented and ambitious people whose ultimate goal is to maintain efood as the ideal workplace! Hungry enough to join us?efood collects and processes personal data in accordance with applicable data protection laws. If you are a European Job Applicant see the privacy notice for further details.  efood collects and processes personal data in accordance with applicable data protection laws. If you are a European Job Applicant see the privacy notice for further details."
3647718,"Manager, Commercial Strategy & Performance","https://jobs.smartrecruiters.com/DeliveryHero/744000083391955-manager-commercial-strategy-performance","Hero","Berlin","No",5,"Full time","2025-09-23T20:25:35.877717Z","We are looking for a highly motivated and analytical (Senior) Commercial Strategy &amp; Performance Manager to join our Partner Growth team. In this role, you will drive the performance of our Account Management (AM) organization by transforming data into insight, strategy into execution, and complexity into clarity. Youll lead high-impact, cross-functional projects end-to-end and work closely with senior stakeholders across local, regional, and global teams.Youll play a critical role in operationalizing commercial performance at scale - embedding strategy into the systems, routines, and decisions that drive measurable impact across 17 markets. A key part of your role will be leading complex, multi-national initiatives that require strong coordination, alignment of diverse stakeholders, and thoughtful change management across markets. By bridging analytics, stakeholder alignment, and executional excellence, youll enable teams to focus on what truly moves the needle and scale what works. You will work on the following: Performance &amp; AnalyticsDrive achievement of commercial OKRs and AM-level KPIs, deep diving into data to identify issues and unlock opportunitiesProvide analytical support and actionable insights to guide decision-making on key business questionsEnhance AM performance through consistent benchmarking, and issue diagnosisProject ManagementTake full ownership of key commercial and cross-functional initiatives involving the AM team - from concept to executionCollaborate across departments to ensure projects are well-scoped, delivered on time, and embedded into business routinesStrategy &amp; GovernanceAlign global, regional, and local priorities by supporting strategic planning and execution frameworksRun governance processes including OKR planning, business reviews, and follow-ups with leadershipAct as a strategic partner to senior stakeholders helping to sharpen priorities and move the business forwardOperational ExcellenceOversee administrative and structural processes related to the AM team, including SOP development, incentive management, account allocation, and target settingDesign and maintain reporting dashboards and business planning routinesChampion continuous improvement by identifying and implementing scalable enhancements to our processesCommunication &amp; StorytellingBuild and deliver clear, data-guided presentations that drive alignment and decision-making at all levels of the organizationTranslate complex analysis into compelling narratives for both operational teams and senior leadership5+ years of working experience top tier consulting firm or multi national company in multi country project/process managementStrong analytical mindset with exceptional attention to detail; capable of breaking down complex data into actionable insights and recommendationsExcellent communication and storytelling skills - able to present data-driven narratives clearly and concisely Experience managing cross-functional projects or programs end-to-endAttention to detail combined with creative thinkingExcellent written and verbal communication skillsEnsuring you and all our Heroes are looked after, happy, and healthy is always on the menu. Because if youre in good shape, then were in good shape.Make the most of our hybrid working model and join the team for face-to-face connection and collaboration in our beautiful Berlin campus 2 days a weekWe offer 27 days holiday We will support you in developing yourself and your career growth opportunities: 1.000  Educational Budget, Language Courses, Parental Support and access to the Udemy Business platform to explore a variety of online courses.Get moving and release those wonderful, mind-boosting endorphins: Health Checkups, Meditation, Yoga, Gym &amp; Bicycle SubsidyThe power of getting together over some food is unrivaled. Here are a few ways to help you do that. All the yum: Digital Meal Vouchers, Food Vouchers, Corporate Discounts. Courses.We believe diversity and inclusion are key to creating not only an exciting product, but also an amazing customer and employee experience. Fostering this starts with hiring - therefore we do not discriminate on the basis of racial identities, religious beliefs, color, national origin, gender identities or expressions, sexual orientations, age, marital or disability statuses, or any other aspect that makes you, you. We encourage you to let us know if you need any accommodations or specific accessibility support to ensure a smooth interview experiencejust include it in your application. You're welcome to share your pronouns (he/she/they) right from the start so we can address you respectfully from our first contact."
3647717,"Supervisor Government Relations","https://jobs.smartrecruiters.com/DeliveryHero/744000083391981-supervisor-government-relations","Hero","Dubai","No",5,"Full time","2025-09-23T20:25:35.877740Z","The GR Supervisor will be responsible for handling all GR transactions related to delivery riders in the UAE and managing the company's relationships with government agencies and officials.Role duties and responsibilities:Manage all traffic department-related processes, including the renewal of vehicle registration, driver licenses, and advertisement permits for the company's inhouse riders and kept up to date.Oversee the licensing process for new branches and commercial registrations, ensuring all required approvals are obtained from authorities such as the Municipality, Civil Defence, and other relevant bodies and kept up to date.Handle the issuance and renewal of health certificates for the riders and staff members as required and kept up to date.Ensure all food safety-related permits for company vehicles and delivery riders are properly obtained and kept up to date.Execute and monitor changes in company ownership and directorship records within the commercial registry.Serve as the point of contact between the company and government entities, providing updates on regulatory matters and identifying priority legislative concerns in coordination with company leadership.Monitor and research government legislation, regulations, and activities that may impact the companys operations.Stay updated on any changes to laws, regulations, formats, or procedural requirements that affect government transactions.Track and maintain the validity of all company permits, licenses, and authorized signatory records, including but not limited to: Civil Defence, DET, Municipality, Traffic, TDRA, Justice, and Customs.Provide administrative support such as report generation, data entry, and correspondence drafting.Ensure all company-related documents are current and uploaded correctly on the relevant government e-portals.Represent the company in handling official complaints, investigations, or inquiries with government authorities.Oversee the timely renewal of key company documents, including trade licenses, CR, import permits, municipality approvals, and chamber of commerce registration.Manage the addition of new business activities to the commercial registration and acquire all necessary approvals.Liaise with the Ministry of Interior when information is required in relation to legal matters or investigations.Provide expert guidance and support to the Legal and other departments regarding government-related processes and requirements.Develop and maintain strong professional relationships with government agencies and officials to facilitate smooth and timely transactions.Minimum of 5 years of experience in Government Relations.Strong knowledge of local GR and regulations related to delivery companies.Excellent communication and negotiation skills.Strong analytical and problem-solving abilities."
3647716,"Total Rewards Executive","https://jobs.smartrecruiters.com/DeliveryHero/744000083394435-total-rewards-executive","Hero","İstanbul","No",5,"Contract","2025-09-23T20:25:35.877759Z","This role offers a unique chance to be part of a truly global function, working across multiple Europe &amp; APAC markets within a fast-paced, multinational environment. As a Total Rewards Executive, youll collaborate with colleagues from diverse cultures and backgrounds while contributing to high-impact projects that shape the future of our reward strategies.By being directly involved in several ongoing transformation initiatives, you will expand your expertise, develop a deeper understanding of global reward practices, and strengthen your professional growth. This position provides a strong platform to build your career in an international setting, with the possibility of evolving into a long-term role within Delivery Hero.This is a maternity leave cover for one year, with the possibility of extensionYour mission:You serve as a first point of contact for operational Total Rewards matters for our Pandora brands spread across Europe, Turkey and APACYou support the Yemeksepeti, foodora and foodpanda brands with processes like annual merit planning, bonus and equity compensation survey participation and market pricing.You develop and prepare various standard and custom reports, analyse results, interpret the data and develop recommendations for business decisions.You support the Yemeksepeti, foodora and foodpanda HR teams with transformation projects like roll out levelling, consistent title frameworks, annual pay reviews and effective benefits strategies.You cooperate with Delivery Hero Global Total Rewards Team to ensure global alignment of our policies, programmes and initiatives across DHSEYou advise and educate the Yemeksepeti, foodora and foodpanda people teams on our Total Rewards policies, processes and programmes.You have 5+ years Total Rewards experience, ideally gained in 2 or more areas of salary surveys participation, job evaluations and levelling, job/career frameworks, salary structure design and bonus/incentive plan design.You have a Bachelor's or Master's degree.You have strong analytical skills and are capable of manipulating and presenting data accurately and efficiently.You are a guru user of Excel/Google Sheets and are proficient in using Workday.You communicate and present effectively to a variety of stakeholders in English.Your rights arising from the processing of your personal data, within the scope of the Law on the Protection of personal data. You can find detailed information on the page of our Clarification Text at https://www.yemeksepeti.com/contents/kvkk-aday-aydinlatma-metni"
