"ID","Title","Link","Company","Location","Remote","Experience","EmploymentType","DatePosted","RoleDescription"
3648878,"Veterinary Receptionist (Part-Time)","https://jobs.eu.lever.co/ivcevidensia/7f4df38c-d812-41cf-ae03-b2ddbb1d5302","IVCEvidensia","Chester Le Street, County Durham, England","No","Not specified","Full time","2025-09-23T20:25:20.505704Z","Passionate about pets and delivering excellent customer service?We have an exciting opportunity for a Veterinary Receptionist to join our friendly team. We are a long-established small animal practice with 2 sites. As a Veterinary Receptionist, you will be the first point of contact for our clients and their pets. Your role will involve delivering outstanding customer service, managing appointments, and ensuring the smooth operation of our front desk. You will work closely with our veterinary team to provide an exceptional experience for our clients and their pets. In this role, you will warmly greet clients and their pets both in person and over the phone. You'll be responsible for managing appointment scheduling, including booking, confirming, and rescheduling as needed. Key administrative tasks include answering phone calls, responding to emails, and processing paperwork. You'll also maintain accurate client and patient records. Our ideal candidateWere looking for someone with excellent communication skills, both verbal and written, and strong organisational abilities with keen attention to detail. The ideal candidate should be able to multitask and priorities effectively in a fast-paced environment. Proficiency in using IT systems for scheduling and record-keeping is important. While experience in a veterinary setting is preferred, it is not essential. Above all we are looking for someone who is proactive and enthusiastic.  About the rota*Rota-based shifts Monday to Saturday *Weekdays: between 7.45am and 7pm *Saturdays: 8am2pm, 1 in 4/5 rota, including some Bank Holiday Saturdays *Flexibility to cover sickness and holidays is essential *You will work across both sites as per the rota In addition to a competitive salary, you will benefit from: *6.6 Weeks annual leave FTE*Additional annual leave for your birthday which will be added to your holiday allowance*Enhanced family-friendly policies, including maternity/ paternity/ adoption/ shared parental and surrogacy pay *Cycle to work scheme *Initiatives focused on employee wellbeing *Non-accidental injury support *Learning and development opportunities via the IVC Evidensia Academy *Pawsome Benefits - reward gateway giving discounts and cashback with 100's of retailers *Pension scheme *Discounted staff pet care"
3648877,"Veterinary Care Assistant - OOH","https://jobs.eu.lever.co/ivcevidensia/f976b72d-24d7-438e-bf31-b76b577fea25","IVCEvidensia","High Wycombe, Buckinghamshire, England","No","Not specified","Full time","2025-09-23T20:25:20.505771Z","Your Future in VeterinaryWe are looking for a VCA with a genuine love of animals and animal welfare. Previous experience in a veterinary or animal care setting is preferred but not essential. Other important attributes*Reliable, responsible, and able to work independently and collaboratively*Calm and confident in a busy, sometimes challenging environment *Willingness to learn and take on new tasksThe Veterinary Care Assistant role is dynamic and involves a wide range of responsibilities*Feeding, cleaning, and exercising inpatients *Maintain a high-level of infection prevention control throughout our hospital including kennel cleaning and laundry. *Supporting our nurses and clinicians in wards and theatre, including assisting with emergency admissions.*You will assist with patient restraint, maintain kennels, conduct laboratory tasks, and manage the cleaning and sterilisation of equipment and instruments. *Maintaining and caring for machinery and equipment.A hospital designed for excellenceLocated just outside High Wycombe in Buckinghamshire, Hamilton Specialist Referrals (HSR) is a purpose-built, 24-hour veterinary hospital equipped with state-of-the-art facilities to deliver advanced treatments for cats and dogs, along with exceptional rehabilitation and physiotherapy services.Even as a large team, we are dedicated to fostering a friendly and supportive culture that emphasizes growth, clinical excellence, and gold-standard patient care.Working PatternThis role offers a structured and sustainable 4 nights on, 8 nights off rotating shift pattern, allowing for a strong work-life balance. You will work 13-hour shifts, running from 7:30 pm to 6:30 am. In addition to the core schedule, there is a requirement to work approximately 12 additional shifts per year, which can be scheduled either monthly or flexibly, depending on your availability and team needs.Our people are at the heart of what we doWe recognise that our people are fundamental to the success of our business. Investing in our people, premises and processes is at the heart of what we do. In addition to a competitive salary you will benefit from:* 6.6 weeks annual leave or FTE * Additional annual leave for your birthday which will be added to your holiday allowance * Enhanced family-friendly policies, including maternity/ paternity/ adoption/ shared parental and surrogacy pay * Cycle to work scheme * Initiatives focused on employee wellbeing * Non-accidental injury support * Learning and development opportunities via the IVC Evidensia Academy * Pawsome Benefits - reward gateway giving discounts and cashback with 100's of retailers * Pension scheme * Discounted staff pet care"
3648876,"Student Veterinary Nurse","https://jobs.eu.lever.co/ivcevidensia/12d9cdab-f66b-4632-b4d3-2e1c3c900a01","IVCEvidensia","Trim","No","Not specified","Full time","2025-09-23T20:25:20.505790Z","We are hiring!Here at Fenaghy Veterinary Clinic, we are looking for a Student Veterinary Nurse to join our fantastic small animal team. Our ideal candidateThe ideal candidate would be someone with experience within the veterinary industry from either a clinical or support role background. This could also be an already enrolled first/second year student and would be the perfect opportunity for someone who would like to start their studies in September or next year. Students can attend Greenmount College in Antrim or NWRC in Limavady. About the rota/hoursThis is a full-time role working 40 hours over 4 or 5 days per week with a mixture of shifts between 8:00am-7:00pm. Saturdays and occasional Bank Holidays are also worked on a rotational basis. There are no OOH duties. Want to know more about Fenaghy?We are a well-established first-opinion, small animal practice with two branches in Antrim and Ballymena. Our modern facility is also equipped with an in-house lab, digital x-ray, Ultrasound, visiting Eye and Cardiology Specialists. We are a very friendly and supportive team! We have a fantastic team of nurses, including 7 Registered Veterinary Nurses and 3 Animal Care Assistant. The team has a supportive and collaborative atmosphere, with help always available. In addition to a competitive salary, you will benefit from: *6.6 Weeks annual leave *Additional annual leave for your birthday which will be added to your holiday allowance*Enhanced family-friendly policies, including maternity/ paternity/ adoption/ shared parental and surrogacy pay *Cycle to work scheme *Initiatives focused on employee wellbeing *Non-accidental injury support *Learning and development opportunities via the IVC Evidensia Academy *Pawsome Benefits - reward gateway giving discounts and cashback with 100's of retailers *Pension scheme *Discounted staff pet care"
3648875,"Client Care Advisor (Part-Time)","https://jobs.eu.lever.co/ivcevidensia/01aaf7d0-90d7-46e2-a14d-8ab594b02c1f","IVCEvidensia","Derby","No","Not specified","Full time","2025-09-23T20:25:20.505806Z","If you are looking for a challenge and the ability to make a difference, this is the role for you!Your role as Client Care Advisor at The Pride Veterinary Centre will be very varied and fast paced. We need applicants who have skills in remaining positive and professional at all times, regardless of what is happening around them and their current workload.You will be taking referral calls from other practices, making appointments, assisting clients with queries on the phone as well as in person, reassuring clients, listening to their needs, taking payments, and solving problems. Attention to detail is essential, as is enjoyment of being in a busy customer care role.As the appointments within the Referrals side of the practice arent the usual check-up or vaccination, the pets and their owners may have travelled some distance to be with us in order to obtain the best specialist care.  Having consideration for this added element to their visit would be a helpful aptitude. Salary is to be discussed at interview and is dependent on experience.Required Skills and Experience:*Previous client care experience*Flexibility*GCSE (or equivalent) in Maths and English*Team player*Love of animalsDesirable Skills and Experience:*Knowledge of the veterinary industry*Experience in Microsoft Excel/Word*Customer Service training course attendance *Problem SolverProfessional Perks and Benefits:*Training in customer care*Career progression available*Practice focus on health and wellbeingAbout the rotaWe are looking for someone to work part time working on a flexible contract. Additionally, you would be required to partake in the weekend rota where the shift will fall between 8:00am and 11:00pm Saturday and Sunday. Rotas will be produced at least 4 weeks in advance, with the expectation you are flexible to cover the core hours and days within the week. There may be potential for extra hours to cover holidays and sickness. Want to know more about us?Pride Veterinary Centre is a multi-disciplinary veterinary referral centre that is the central small animal hospital for the Scarsdale Veterinary group, as well as offering referral services for other veterinary practices across the midlands and beyond. The practice offers specialist services in Anaesthesia, Diagnostic Imaging, Medicine, Surgery, Neurology, Oncology, Ophthalmology, Cardiology, Exotics and Dermatology. The hospital offers 24/7 veterinary care supported by our on-site vets at night team and has a wide range of state-of-the-art equipment. We work closely with the University of Nottingham with students rotating through our referral services. Scarsdale Vets is part of the largest veterinary group in Europe, IVC Evidensia and is a key site within the groups UK activities.The TeamOur outstanding Client Care Team are an integral part of the Pride Veterinary Centre they work seamlessly to give their clients a smooth journey whilst their pets are being cared for. You will be working amongst a team of highly skilled Client Care Advisors, that are trained to an excellent standard to provide clients and their pets with the best possible experience when attending our hospital.Client Care Advisors in the hospital are an important part of the practice and are there to ensure pets and their people are directed promptly to the expertise needed. Being a team player is essential, allowing you to create a noticeable impact.In addition to a competitive salary, you will benefit from: *6.6 Weeks annual leave FTE*Additional annual leave for your birthday which will be added to your holiday allowance*Enhanced family-friendly policies, including maternity/ paternity/ adoption/ shared parental and surrogacy pay *Cycle to work scheme *Initiatives focused on employee wellbeing *Non-accidental injury support *Learning and development opportunities via the IVC Evidensia Academy *Pawsome Benefits - reward gateway giving discounts and cashback with 100's of retailers *Pension scheme *Discounted staff pet care"
3648874,"Animal Care Assistant","https://jobs.eu.lever.co/ivcevidensia/1803be4b-dac0-46de-8b07-b0908e088ef6","IVCEvidensia","Backworth, Tyne and Wear, England","No","Not specified","Full time","2025-09-23T20:25:20.505821Z","Your Future CareerAs a Veterinary care assistant, you will play a vital role in supporting our veterinary team to ensure the well-being and comfort of our patients. In this exciting and varied role, you will collaborate with the clinical team to deliver high-quality care to both patients and clients across the hospital. Working closely with clinicians, nurses, and pet owners, you'll ensure hospitalised patients receive the highest standard of personalised care. You'll also be responsible for maintaining and cleaning the hospital facilities and equipment, while attending to in-patients by providing regular exercise, feeding, and grooming. Join a Dynamic TeamOur fantastic practice is situated in a stunning part of Northeast England, near the enchanting Northumberland coast with its miles of pristine beaches, and conveniently close to the vibrant city of Newcastle-Upon-Tyne.Our team is a dynamic force, consisting of 13 veterinarians, 10 Registered Veterinary Nurses, 2 Student Veterinary Nurses, 1 Animal Care Assistants, and 11 dedicated support staff.We pride ourselves on our state-of-the-art facilities, which include on-site CT, direct digital x-ray, two dental suites equipped with x-ray, as well as laparoscopy, endoscopy, and ultrasound with Doppler capabilities.Working HoursThis full-time position requires 40 hours of work per week Monday to Friday between 7.30am and 8pm, Saturdays and Bank Holidays are on a rota basis.What Were Looking ForWere seeking a dedicated team player with strong and confident communication skills. While animal care qualifications are desirable, we value self-motivation and the ability to handle animals under supervision. The ideal candidate will be accurate in following instructions and maintaining records, with a willingness to learn new tasks and adapt to challenges as they arise. This role requires a full UK Driving Licence along with access to your own vehicle.  Because Our Employees MatterWe recognise that our people are fundamental to the success of our business. Investing in our people, premises and processes is at the heart of what we do. In addition to a competitive salary, you will benefit from:* 6.6 Weeks annual leave * Additional annual leave for your birthday which will be added to your holiday allowance* Enhanced family-friendly policies, including maternity/ paternity/ adoption/ shared parental and surrogacy pay * Cycle to work scheme * Initiatives focused on employee wellbeing * Non-accidental injury support * Learning and development opportunities via the IVC Evidensia Academy * Pawsome Benefits - reward gateway giving discounts and cashback with 100's of retailers * Pension scheme * Discounted staff pet care"
3515284,"Client Care Advisor (Part-Time)","https://jobs.eu.lever.co/ivcevidensia/7815093f-0d4d-46b8-a571-2898e14f9b42","IVCEvidensia","Edinburgh","No","Not specified","Full time","2025-09-23T20:25:20.505836Z","We are hiring!We are looking for a dedicated and enthusiastic Client Care Advisor to join our team at Inglis Vets Corstorphine. As the first point of contact for clients, you will play an essential role in providing exceptional service to our clients, whether they are visiting the practice or reaching out by phone.  Key Responsibilities will include:*Answering incoming calls and responding to client inquiries.  *Assisting clients at the front desk and offering a warm, welcoming atmosphere.  *Making appointments and managing bookings.  *Producing invoices and processing payments.  *Handling cash and ensuring accuracy in financial transactions.  *Going the extra mile to ensure clients feel valued and well cared for.  *Using your initiative to provide efficient and effective solutions to clients needs.  Our ideal candidate*Excellent customer service skills  Youll be the face and voice of Inglis Vets, so a warm, friendly, and professional demeanour is essential.  *Attention to detail  Handling bookings, invoices, and cash transactions requires precision and organisation.  *Initiative  We value someone who can take charge, think on their feet, and assist clients proactively.  *Team Player  You will work as part of the client care team to support the vets and nurses to provide excellent client and patient care.  Reporting to the Client Care Manager.  *Reception or call handling experience is preferred, but not essential.  About the rotaThis is a part-time role working 30 hours per week over 3 days Monday to Friday (8:30am-6:30pm) with no weekends.  What We Offer: *Support from a caring, experienced team.  *A collaborative environment with the wider Inglis Team.  *Opportunity to grow and develop your career in a supportive setting.  If you are passionate about helping others and are ready to make a difference in a fast-paced, client-focused environment, wed love to hear from you!In addition to a competitive salary, you will benefit from: *6.6 weeks annual leave FTE*Additional annual leave for your birthday which will be added to your holiday allowance*Enhanced family-friendly policies, including maternity/ paternity/ adoption/ shared parental and surrogacy pay *Cycle to work scheme *Initiatives focused on employee wellbeing *Non-accidental injury support *Learning and development opportunities via the IVC Evidensia Academy *Pawsome Benefits - reward gateway giving discounts and cashback with 100's of retailers *Pension scheme *Discounted staff pet care"
3646096,"Veterinary Referral Clinician - Internal Medicine - Groningen","https://jobs.eu.lever.co/ivcevidensia/d06af354-7a55-4ebe-87df-682f758b8f8a","IVCEvidensia","Groningen","No","Not specified","Full time","2025-09-23T20:25:20.505851Z","We are looking to speak with ambitious and passionate Internal Medicine clinicians who have the skillset to join a developing service and drive it forward. The position entails overseeing medicine cases at a referral level, as well as maintaining communication with clients and referring veterinarians. This is a full time position but part-time will be considered.About usHet Noorden Animal Hospital is still developing and will continue to expand. A team of specialists and highly trained veterinarians are ready to provide the best care for pets in the region. We collaborate with internal and external primary care clinics to ensure the regional demand for 24/7 emergency care is covered.By increasingly engaging and utilising the expertise and insights of colleagues across Europe, we are providing the leading referral network within veterinary care.What you can expect when working with usAt our modern and spacious facilities, you will find plenty of room to work comfortably, supported by the latest equipment that enables you to deliver care at the highest standard.Because we provide 24/7 emergency and referral care, you will become part of a dedicated team that is always ready to help patients in need. Weekend shifts may be part of the role, but you will never face them alone  youll always be supported by motivated and experienced colleagues.Our hospital is designed for convenience, with easy access and ample parking for both staff and visitors. This ensures that your working day runs as smoothly as possible, without the added stress of travel or parking challenges.We place strong emphasis on professional growth and collaboration. Youll have the chance to work alongside highly trained specialists and to further develop your skills and interests in areas such as emergency medicine, referral care, and advanced techniques.Above all, we foster a team-focused culture. We value teamwork, open communication, and compassionate care  both for our animal patients and for the people who love them.Applicant requirementsWe are looking for someone who:*Has extensive experience of working in a referral hospital. *ECVIM and ACVIM recognised clinicians as well as certificate holders will be considered.*Is passionate about high-quality veterinary medicine.*Is flexible and available for occasional evenings/weekends,*Works well in a multidisciplinary team.*Has an interest in growth, innovation, and patient care.*Dutch language skills are essential Why join us?*Competitive salary with attractive employment conditions*Opportunities for professional development, training, and specialization*The chance to work in a beautiful, new facility with top-class equipment*Being part of a leading network of veterinary hospitals*Work that truly makes a difference  for animals and their familiesBenefits and incentives*Relocation allowance: Up to 5000*Paid relocation leave: 3 working days*RVC Membership support: For candidates who wish to maintain affiliation*Language courses: Up to 1,500 reimbursed for Dutch lessons*CBIG &amp; Registration: Full assistance with Dutch registration and admin*Retention bonuses: Potential scheme up to 8% of annual salary"
3646095,"Veterinary Referral Clinician - Internal Medicine - Amsterdam","https://jobs.eu.lever.co/ivcevidensia/41cc4071-17bf-4bee-a043-3c61eb92f001","IVCEvidensia","Amsterdam","No","Not specified","Full time","2025-09-23T20:25:20.505865Z","We are looking to speak with ambitious and passionate Internal Medicine clinicians who have the skillset to join a developing service and drive it forward. The position entails overseeing medicine cases at a referral level, as well as maintaining communication with clients and referring veterinarians. This is a full time position but part-time will be considered.About usAt Evidensia Veterinary Hospital Amsterdam, our fantastic team of vets, vet nurses and clinical support staff offer 24/7 care for our patients and referring practices alike. We recently moved into a fantastic new hospital in Amstelveen that is 2.5 times larger than our previous practice, with amazing new equipment that is largely powered by solar energy, as the site has been designed with sustainability in mind. By increasingly engaging and utilising the expertise and insights of colleagues across Europe, we are providing the leading referral network within veterinary care.What you can expect when working with usAt our modern and spacious facilities, you will find plenty of room to work comfortably, supported by the latest equipment that enables you to deliver care at the highest standard.Because we provide 24/7 emergency and referral care, you will become part of a dedicated team that is always ready to help patients in need. Weekend shifts may be part of the role, but you will never face them alone  youll always be supported by motivated and experienced colleagues.Our hospital is designed for convenience, with easy access and ample parking for both staff and visitors. This ensures that your working day runs as smoothly as possible, without the added stress of travel or parking challenges.We place strong emphasis on professional growth and collaboration. Youll have the chance to work alongside highly trained specialists and to further develop your skills and interests in areas such as emergency medicine, referral care, and advanced techniques.Above all, we foster a team-focused culture. We value teamwork, open communication, and compassionate care  both for our animal patients and for the people who love them.Applicant requirementsWe are looking for someone who:*Has extensive experience of working in a referral hospital. *ECVIM and ACVIM recognised clinicians as well as certificate holders will be considered.*Is passionate about high-quality veterinary medicine.*Is flexible and available for occasional evenings/weekends,*Works well in a multidisciplinary team.*Has an interest in growth, innovation, and patient care.*Dutch language skills are advantageous Why join us?*Competitive salary with attractive employment conditions*Opportunities for professional development, training, and specialization*The chance to work in a beautiful, new facility with top-class equipment*Being part of a leading network of veterinary hospitals*Work that truly makes a difference  for animals and their familiesBenefits and incentives*Relocation allowance: Up to 5000*Paid relocation leave: 3 working days*RVC Membership support: For candidates who wish to maintain affiliation*Language courses: Up to 1,500 reimbursed for Dutch lessons*CBIG &amp; Registration: Full assistance with Dutch registration and admin*Retention bonuses: Potential scheme up to 8% of annual salary"
3646093,"Veterinary Referral Clinician - ECC - Groningen","https://jobs.eu.lever.co/ivcevidensia/b8c6b5b9-52d5-4ce2-88c2-355f4ab7a3b3","IVCEvidensia","Groningen","No","Not specified","Full time","2025-09-23T20:25:20.505884Z","We are looking to speak with ambitious and passionate ECC clinicians who have the skillset to join a developing service and drive it forward. The position entails overseeing medicine cases at a referral level, as well as maintaining communication with clients and referring veterinarians. This is a full time position but part-time will be considered.About usHet Noorden Animal Hospital is still developing and will continue to expand. A team of specialists and highly trained veterinarians are ready to provide the best care for pets in the region. We collaborate with internal and external primary care clinics to ensure the regional demand for 24/7 emergency care is covered.By increasingly engaging and utilising the expertise and insights of colleagues across Europe, we are providing the leading referral network within veterinary care.What you can expect when working with usAt our modern and spacious facilities, you will find plenty of room to work comfortably, supported by the latest equipment that enables you to deliver care at the highest standard.Because we provide 24/7 emergency and referral care, you will become part of a dedicated team that is always ready to help patients in need. Weekend shifts may be part of the role, but you will never face them alone  youll always be supported by motivated and experienced colleagues.Our hospital is designed for convenience, with easy access and ample parking for both staff and visitors. This ensures that your working day runs as smoothly as possible, without the added stress of travel or parking challenges.We place strong emphasis on professional growth and collaboration. Youll have the chance to work alongside highly trained specialists and to further develop your skills and interests in areas such as emergency medicine, referral care, and advanced techniques.Above all, we foster a team-focused culture. We value teamwork, open communication, and compassionate care  both for our animal patients and for the people who love them.Applicant requirementsWe are looking for someone who:*Has extensive experience of working in a referral hospital. *ECVECC and ACVECC recognised clinicians as well as certificate holders will be considered.*Is passionate about high-quality veterinary medicine.*Is flexible and available for occasional evenings/weekends,*Works well in a multidisciplinary team.*Has an interest in growth, innovation, and patient care.*Dutch language skills are essentialWhy join us?*Competitive salary with attractive employment conditions*Opportunities for professional development, training, and specialization*The chance to work in a beautiful, new facility with top-class equipment*Being part of a leading network of veterinary hospitals*Work that truly makes a difference  for animals and their familiesBenefits and incentives*Relocation allowance: Up to 5000*Paid relocation leave: 3 working days*RVC Membership support: For candidates who wish to maintain affiliation*Language courses: Up to 1,500 reimbursed for Dutch lessons*CBIG &amp; Registration: Full assistance with Dutch registration and admin*Retention bonuses: Potential scheme up to 8% of annual salary"
3646091,"Veterinary Referral Clinician - ECC - Amsterdam","https://jobs.eu.lever.co/ivcevidensia/f1af8a7b-4cfe-4b5f-90aa-cd1acfac7d0a","IVCEvidensia","Amsterdam","No","Not specified","Full time","2025-09-23T20:25:20.505907Z","We are looking to speak with ambitious and passionate ECC clinicians who have the skillset to join a developing service and drive it forward. The position entails overseeing medicine cases at a referral level, as well as maintaining communication with clients and referring veterinarians. This is a full time position but part-time will be considered.About usAt Evidensia Veterinary Hospital Amsterdam, our fantastic team of vets, vet nurses and clinical support staff offer 24/7 care for our patients and referring practices alike. We recently moved into a fantastic new hospital in Amstelveen that is 2.5 times larger than our previous practice, with amazing new equipment that is largely powered by solar energy, as the site has been designed with sustainability in mind. By increasingly engaging and utilising the expertise and insights of colleagues across Europe, we are providing the leading referral network within veterinary care.What you can expect when working with usAt our modern and spacious facilities, you will find plenty of room to work comfortably, supported by the latest equipment that enables you to deliver care at the highest standard.Because we provide 24/7 emergency and referral care, you will become part of a dedicated team that is always ready to help patients in need. Weekend shifts may be part of the role, but you will never face them alone  youll always be supported by motivated and experienced colleagues.Our hospital is designed for convenience, with easy access and ample parking for both staff and visitors. This ensures that your working day runs as smoothly as possible, without the added stress of travel or parking challenges.We place strong emphasis on professional growth and collaboration. Youll have the chance to work alongside highly trained specialists and to further develop your skills and interests in areas such as emergency medicine, referral care, and advanced techniques.Above all, we foster a team-focused culture. We value teamwork, open communication, and compassionate care  both for our animal patients and for the people who love them.Applicant requirementsWe are looking for someone who:*Has extensive experience of working in a referral hospital. *EVCECC and AVCECC recognised clinicians as well as certificate holders will be considered.*Is passionate about high-quality veterinary medicine.*Is flexible and available for occasional evenings/weekends*Works well in a multidisciplinary team.*Has an interest in growth, innovation, and patient care.*Dutch language skills are advantageous Why join us?*Competitive salary with attractive employment conditions*Opportunities for professional development, training, and specialization*The chance to work in a beautiful, new facility with top-class equipment*Being part of a leading network of veterinary hospitals*Work that truly makes a difference  for animals and their familiesBenefits and incentives*Relocation allowance: Up to 5000*Paid relocation leave: 3 working days*RVC Membership support: For candidates who wish to maintain affiliation*Language courses: Up to 1,500 reimbursed for Dutch lessons*CBIG &amp; Registration: Full assistance with Dutch registration and admin*Retention bonuses: Potential scheme up to 8% of annual salary"
