"ID","Title","Link","Company","Location","Remote","Experience","EmploymentType","DatePosted","RoleDescription"
3137507,"Senior HR Business Partner","https://join.jfrog.com/job/?job=6989724&gh_jid=6989724","Jfrog","Sunnyvale","No",8,"Full time","2025-09-23T20:25:32.214473Z","Were the best-kept secret in the Valley! JFrog has been reinventing DevSecOps since 2008. Thousands of customers, including the majority of the Fortune 100, entrust JFrog to manage, accelerate, and secure their software delivery from code to production -- a concept we call liquid software.
JFrog is truly a special workplace with a unique combination of brilliance, spirit and just all-around great people. Were deeply committed to our ten CODEX values and were enthusiastic about our froginess. Check out what the swamp looks like on LinkedIn and Instagram @ #jfroglife!
The Impact Youll Have
Reporting to the VP HR North America and working hand in hand with our Marketing senior leadership and global HR Centers of Excellence, youll have the opportunity to make a strategic impact on the course of the business. Together, youll:

Build trust and drive business results.
Strengthen the resilience of the organization and culture by driving retention and engagement strategies for our frogs. 
Be a guardian of JFrogs values, aka the CODEX.
Ensure our frogs have clear goals and are aligned and accountable throughout the organization.
Develop proactive talent management plans that address talent gaps, skills/leadership development, succession planning, and more.
Deliver great experiences for our frogs at all stages of their lifecycle from onboarding, working and developing day to day, and managing through change.
Identify and deliver on the hiring, onboarding, cultural, compensation and development needs of the team.

Recipe for Success 
To be successful, youll need to:

Think like your partners and make their business goals yours.
Work in alignment with JFrogs values, the CODEX.
Connect authentically with our leaders and frogs, cultivating strong relationships and influencing at all levels throughout the organization.
Communicate and collaborate effectively with a diverse set of frogs.
Build and inspire enthusiasm, leadership and commitment across the organization in line with our leadership attributes.
Manage with a sense of calm, confidence and decisiveness in an environment that is fast-paced and dynamic.
Be proactive, accountable and passionate about driving results.
Possess 8+ years of HR experience working in a fast-paced, high-tech (preferably software) environment and 5+ years of HRBP experience.

How Well Take Care of You

JFrog offers a competitive compensation and benefits package, of which salary is only one component. This position has a salary range between $160,000 to $200,000, which is based on your skills, qualifications, experience and location.
Youll receive a competitive equity package of restricted stock units (RSU) so you can participate in JFrogs future success and youll be eligible to participate in our Employee Stock Purchase Plan.
On the benefits side, we offer comprehensive medical, dental, and vision coverage, paid parental leave, 401(k) matching, additional retirement savings options, and wellness benefits. 
We believe in the power of being Better Together and work from the swamp 4 days a week. Swamp perks include daily catered breakfast &amp; lunch, our beloved Nespresso machines, snacks if you dare, and endless opportunities to have fun in the swamp, thanks to our amazing Employee Experience team.

JFrog is an Equal Employment Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, creed, religion, sex, sexual orientation, national origin or nationality, ancestry, age, disability, gender identity or expression, marital status or any other category protected by law."
3641757,"Developer Support Engineer","https://join.jfrog.com/job/?job=7160107&gh_jid=7160107","Jfrog","Bengaluru","No",2,"Full time","2025-09-23T20:25:32.214547Z","Fast-Frogward Your Career to Years From Now
Be part of a team where your work takes center stage, shaping the future of software development. At JFrog, we solve critical challenges for leaders like Amazon, Google, and Netflix. Every day brings opportunities to innovate and push boundaries in a fast-moving, frogward-thinking culture. If you want your work to matter and thrive on nonstop innovation, JFrog is your place.
Heres what our employees have to say about working at JFrog:

""I wanted to work in a company that takes technology forward.""
""Our business is so interesting because it is constantly moving, and we have to adapt new solutions to the challenges that arise from the customers.""
""Its nice to work for a company with a must-have product, not a nice-to-have.""

What youll be doing as a Developer Support Engineer:

Troubleshoot and Investigate complex customer CI/CD scenarios and provide innovative solutions for the concerns/requests raised.
Develop scripts in Bash, Python, and Groovy for debugging and automating
Set up JFrog applications and 3rd party products in various development environments
Analyse log files, thread dumps, HTTP traffic, JVM and OS parameters
Reproduce customer scenarios and fill relevant bugs/features
Maintaining and improving a knowledge base of known issues and solutions
Integrate and collaborate with JFrogs R&amp;D, QA, Release and Sales teams
Ability to work flexible hours and weekends as needed

What you bring on to the table:

2+ years of relevant experience in technical support
Understanding of Java or other compiled language
Experience in customer-facing roles 
Experience in Linux
Able to manage complex, escalated cases involving multiple architectures across multiple platforms
Strong technical software-related debugging skills 
Knowledge/experience with databases, LDAP, NGINX, Apache Tomcat
Experience in the DevOps industry
Experience in AWS OR azure or GCP is required.

About JFrog:
JFrog is the only end-to-end software supply chain platform that provides complete visibility, security, and control for automating the delivery of trusted releases from code to production. Our platform enables organizations to manage, secure, and automate their software delivery process, fueling innovation without worry. We empower companies to build and release software faster and more securely than ever before.
With over 7,500 customers worldwide, including many Fortune 100 companies, JFrog is at the forefront of global innovation. Join us in shaping the future of software delivery and contributing to solutions that empower some of the world's most influential industries.
NOTE: The job location is Bangalore (Bellandur) and we follow a hybrid model, mandatory 3 days/week work from office."
3639394,"Senior UX/UI Product Designer","https://join.jfrog.com/job/?job=7266838&gh_jid=7266838","Jfrog","Tel Aviv/ Netanya, Israel","No",5,"Full time","2025-09-23T20:25:32.214567Z","At JFrog, were reinventing DevOps to help the worlds greatest companies innovate  and we want you along for the ride. This is a special place with a unique combination of brilliance, spirit, and just all-around great people. Here, if youre willing to do more, your career can take off. And since software plays a central role in everyones lives, youll be part of an important mission. Thousands of customers, including 75% of the Fortune 100, trust JFrog to manage, accelerate, and secure their software delivery from code to production  a concept we call liquid software. Wouldn't it be amazing if you could join us on our journey?
JFrog Platform Services is one of the main pillars of JFrogs offerings and long-term strategy. As a Senior Product Designer, youll tackle complex tasks and transform them into intuitive, accessible, and easy-to-use designs. You will work within a product team, leading end-to-end design (UX &amp; UI) from discovery to ideation, testing, and production. You will be a leading part of a growing Design Team that includes Product Designers and UX Researchers within the Platform Services group. Be a part of the global team designing the next generation of the DevSecOps experience.
As a Senior UX/UI Product Designer at JFrog you will... 

Participate in discovery efforts to generate an understanding of user needs and opportunities
Develop design concepts, mockups, and prototypes to effectively validate design ideas, and rapidly test and iterate your designs
Design a pixel-perfect UI to improve user productivity
Work alongside UX researchers, Product Managers, Developers, Technical Writers, and Data Analysts within your squad
Identify opportunities for improvement in work processes and collaborations, and actively lead efforts to promote solutions
Collaborate with other designers to share knowledge and best practices 
Work with and contribute to our Design System and ensure user experience consistency across the platform

To be a Senior UX/UI Product Designer at JFrog you need...

At least 5 years of experience as a UX/UI Designer or Product Designer in-house at a B2B product company
Deep understanding of user-centered and data-driven design methodologies
Excellent presentation, communication, and collaboration skills
Experience in designing complex and data-intensive products and platforms 
Be able to work in a global team setting, across multiple geographies and time zones
Bachelors degree in Visual Communications, Human-Computer Interaction, or equivalent
Experience designing DevOps or Developer tools  advantage
Experience working with Jira and/or Confluence  advantage

 ** Please include URLs for an online portfolio in addition to a CV"
3639393,"Business Development Representative","https://join.jfrog.com/job/?job=7260102&gh_jid=7260102","Jfrog","Tel Aviv/ Netanya, Israel","No","Not specified","Full time","2025-09-23T20:25:32.214585Z","At JFrog, were reinventing DevOps to help the worlds greatest companies innovate -- and we want you along for the ride. This is a special place with a unique combination of brilliance, spirit and just all-around great people. Here, if youre willing to do more, your career can take off. And since software plays a central role in everyones lives, youll be part of an important mission. Join us in our journey!
We are looking for a driven Business Development Representative to join our fast-growing Sales Development Unit! In this role, you will work closely with Marketing and Sales to help drive JFrogs solutions. You will develop new business opportunities through outbound prospecting, cold calling, email campaigns, and inbound lead follow-up
As a Business Development Representative at JFrog you will...

Internalize JFrogs mission, vision, and values
Generate new business pipeline through outbound prospecting activities and inbound lead follow-up
Maintain sales data through Salesforce that will influence monthly/quarterly sales reports, pipelines, forecasts, etc
Research and evaluate prospects prior to engagement
Establish active communication and engagement with prospects to create new leads and sales opportunities
Collaborate with sales and marketing to build a sales strategy for generating new prospects

To be a Business Development Representative at JFrog you need...

Up to 6 months of SDR/BDR experience; additional customer facing experience is an advantage
Excellent English - a must / German speaker - an advantage
Strong communication and interpersonal skills
Able to multi-task and work in a fast-paced environment
Motivated by individual and team achievement
Highly organized with the ability to multitask, prioritize, and manage time efficiently
Salesforce knowledge and use of sales acceleration tools like SalesLoft
Additional languages are an advantage"
3149733,"Technical Success Manager","https://join.jfrog.com/job/?job=6994996&gh_jid=6994996","Jfrog","London","No",7,"Full time","2025-09-23T20:25:32.214601Z","**Residency in the Greater London Area is required.
At JFrog, were reinventing DevOps to help the worlds greatest companies innovate -- and we want you along for the ride. This is a special place with a unique combination of brilliance, spirit and just all-around great people. Here, if youre willing to do more, your career can take off. And since software plays a central role in everyones lives, youll be part of an important mission. Thousands of customers, including the majority of the Fortune 100, trust JFrog to manage, accelerate, and secure their software delivery from code to production -- a concept we call liquid software. Wouldn't it be amazing if you could join us in our journey?
Were looking for a talented and experienced Technical Success Manager to enable outcome-focused engagements with JFrog customers in UK &amp; I, focusing on three aspects:

Accelerate adoption of JFrog products and value realization.
Explore new opportunities of expansion by understanding the scope of customer use cases.
Enhance customer loyalty.

As a Post Sale Engineer at JFrog you will...

Focus on the customers continuous interactions with JFrog, the customers lifetime value and the associated NPS/CSAT scores
Assist our customers in creating an adoption/rollout plan to ensure they are confident in successfully socializing and embedding the JFrog Platform
Provide Service to the JFrog Sales team by focussing on customers strategy, and to make sure the JFrog Platform helps customers achieve their goals, enabling the JFrog Sales account manager to be there when customers need them and to get renewals, upsells done on time
Formulate and deliver projects by collaborating with JFrog customers based on agreed upon timelines
Work with the Solution engineering and Professional Services teams to ensure all customers complete their projects timely and successfully
Monitor the customer's health and their perception of the JFrog brand by becoming a Platform Health Expert

By effectively communicating technical knowledge and operational excellence to customers on best practice and ensuring they maintain a healthy platform

Be first point of escalation
Develop full understanding of the JFrog Platform, including:

The value proposition and sales messaging
Out of box reporting where needed

Success journey planning and execution
Continuous communication and working relationship

To be a Post Sale Engineer at JFrog you need...

Bachelors/Master's Degree in technoalogy or business/management
7+ years of professional experience preferably in customer success management, relationship management, delivery management, consulting or enterprise delivery
3+ years experience in the software industry preferably in SaaS companies in UK &amp; I
Ability to effectively liaise with customers and regional teams/leadership
Ability to effectively present technical presentations
Flexibility in working hours to accommodate our global presence   
Fluent English  Mandatory (read/write/speak)"
3638050," Customer Trust Specialist","https://join.jfrog.com/job/?job=7247277&gh_jid=7247277","Jfrog","Sunnyvale","No",3,"Full time","2025-09-23T20:25:32.214618Z","At JFrog, were reinventing DevOps to help the worlds greatest companies innovate -- and we want you along for the ride. This is a special place with a unique combination of brilliance, spirit and just all-around great people. Here, if youre willing to do more, your career can take off. And since software plays a central role in everyones lives, youll be part of an important mission. Thousands of customers, including the majority of the Fortune 100, trust JFrog to manage, accelerate, and secure their software delivery from code to production -- a concept we call liquid software. Wouldn't it be amazing if you could join us in our journey?
At JFrog, our customers are our most important asset. We are trusted stewards of their data and are committed to building and maintaining that trust. 
We are looking for a Customer Trust Specialist to join our Global Cybersecurity Governance, Risk, and Compliance (GRC) team. This role is at the forefront of our customer-facing security efforts, ensuring that both current and prospective customers feel confident in our security posture.
You will be the key subject matter expert on all things related to JFrog's security practices, helping to build and scale our customer trust program. This is a unique opportunity to combine your cybersecurity expertise with a passion for customer engagement and collaboration, all while helping to mature our GRC function.
As a Customer Trust Specialist in JFrog you will... 

Lead customer security reviews and security due diligence process. 
Support and participate in customer audits, managing end-to-end processes with internal teams.
Partner with sales, engineering and legal teams to support deal cycles through timely and accurate responses to security questionnaires and due diligence requests.
Build and maintain customer-facing trust assets, including white papers, FAQs, and a public-facing trust center.
Deliver internal and external enablement programs, training teams to address security concerns effectively.
Support key GRC initiatives across ISO, SOC 2, NIST, PCI DSS, FedRAMP and other compliance frameworks.
Provide security expertise to the legal teams during contract negotiations, reviewing and redlining security clauses.

To be a Customer Trust Specialist in JFrog you need...

3-5  years of experience in information security, GRC, or compliance engineering.
Strong customer-facing expertise with proven success managing audits, inquiries, and security questionnaires.
Strong knowledge of cybersecurity frameworks (NIST, ISO 27001/27701, SOC2 Type 2, SIG, CAIQ ).
Experience with GRC platforms or compliance automation tools (e.g., Drata, OneTrust, Hyperproof, Archer).
SaaS industry experience with contract review and negotiation exposure.
Excellent communication and project management skills to translate technical and compliance requirements into clear, actionable tasks.

WHAT JFROG CAN OFFER...

At JFrog, base salary is only one component of our compensation package.
This position has a base salary range between $150,000 to $165,000.  Base salary will be based on your skills, qualifications, experience and location.
This position also includes an equity package of restricted stock units (RSU).  In addition, JFrog employees are eligible to participate in our Employee Stock Purchase Plan.
JFrog provides employees comprehensive benefits including medical, dental, vision, retirement, wellness and much more!
JFrog embraces hybrid work: 3 days in office / 2 days remote.

JFrog is an Equal Employment Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, creed, religion, sex, sexual orientation, national origin or nationality, ancestry, age, disability, gender identity or expression, marital status or any other category protected by law."
3630803,"Senior Total Rewards Manager","https://join.jfrog.com/job/?job=7255801&gh_jid=7255801","Jfrog","Sunnyvale","No",8,"Full time","2025-09-23T20:25:32.214635Z","At JFrog, were reinventing DevOps to help the worlds greatest companies innovate -- and we want you along for the ride. This is a special place with a unique combination of brilliance, spirit and just all-around great people. Here, if youre willing to do more, your career can take off. And since software plays a central role in everyones lives, youll be part of an important mission. Thousands of customers, including the majority of the Fortune 100, trust JFrog to manage, accelerate, and secure their software delivery from code to production -- a concept we call liquid software. Wouldn't it be amazing if you could join us in our journey?
We are looking for a Senior Total Rewards Manager to take the lead in crafting and executing innovative Compensation and Benefits (C&amp;B) initiatives for JFrogs US workforce. This is an exciting opportunity to shape the employee experience and drive strategic growth through competitive reward programs.
Reporting to the C&amp;B Center of Excellence, this position will lead efforts to design strategic competitive compensation, equity, benefits, mobility &amp; relocation, time off and retirement programs to attract and retain talent essential to achieving JFrog business objectives.
This role should bring proven best practices in C&amp;B and expertise in creating and leveraging innovative Compensation and Benefits practices as well as displaying a passion for building and scaling a best-in-class C&amp;B organization.
As a Senior Total Rewards Manager in JFrog you will... 

Report to the corporate Center of Expertise, and lead efforts to design, implement and successfully administer competitive compensation, equity, benefits and retirement programs to attract and retain talent essential to achieving JFrog business objectives. 
Oversee compensation programs, including market pricing, base compensation, and incentive plans, in partnership with C&amp;B COE.
Strategically manage all benefits offerings, including health and welfare programs, retirement plans (401K), parental leaves, and more.
Continuously evaluate and enhance our C&amp;B offerings to remain competitive and attractive to attract and retain top talent.
Ensuring compliance with all relevant regulatory requirements and industry standards.
Provide insightful Quarterly and Annual Business Reviews to showcase C&amp;B performance and drive strategic decision-making.

To be a Senior Total Rewards Manager in JFrog you need...

Possess 8+ years of Total Rewards experience working in a fast-paced, high-tech (preferably software) environment
Proven experience in delivering complex projects on time and within budget.
Deep expertise in C&amp;B principles and practices.
A passion for process improvement and championing innovative ideas.
Strong analytical, decision-making, and relationship-building skills.
The ability to thrive in a fast-paced, high-pressure environment.
Excellent organizational skills and the ability to manage multiple priorities effectively.
Experience in leading and developing C&amp;B teams (preferred).

WHAT JFROG CAN OFFER...

At JFrog, base salary is only one component of our compensation package.
This position has a base salary range between $170,000 to $190,000.  Base salary will be based on your skills, qualifications, experience and location.
This position also includes an equity package of restricted stock units (RSU).  In addition, JFrog employees are eligible to participate in our Employee Stock Purchase Plan.
JFrog provides employees comprehensive benefits including medical, dental, vision, retirement, wellness and much more!
JFrog embraces hybrid work: 4 days in office / 1 day remote.

JFrog is an Equal Employment Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, creed, religion, sex, sexual orientation, national origin or nationality, ancestry, age, disability, gender identity or expression, marital status or any other category protected by law."
3419894,"Research Manager","https://join.jfrog.com/job/?job=7156738&gh_jid=7156738","Jfrog","Tel Aviv/ Netanya, Israel","No",5,"Full time","2025-09-23T20:25:32.214651Z","At JFrog, were reinventing DevOps to help the worlds greatest companies innovate - and we want you along for the ride. This is a special place with a unique combination of brilliance, spirit, and just all-around great people. Here, if youre willing to do more, your career can take off. And since software plays a central role in everyones lives, youll be part of an important mission.  Thousands of customers, including the majority of the Fortune 100, trust JFrog to manage, accelerate, and secure their software delivery from code to production -- a concept we call liquid software. Wouldn't it be amazing if you could join us on our journey? 
We are seeking an experienced and passionate Research Manager to lead our Customer Success applied research team. In this pivotal role, you will lead a dedicated team of researchers focused on understanding our customers needs, experiences, and interactions with our products, and identify proactive paths to enhance customer experience.
As a Research Manager in JFrog Customer Success you will...


Manage and mentor a team of researchers and analysts, providing guidance on research methods, project execution, and professional development


Foster a collaborative and innovative team environment that encourages creativity and knowledge sharing


Strong leadership and team management skills, with a track record of developing high-performing teams


Tap into an existing experimental research framework and facilitate its execution at scale


Develop and implement a comprehensive research strategy that aligns with the goals of the Customer Success group and the broader organization


 Oversee the design, execution, and analysis of qualitative and quantitative research projects to gather insights about customer behavior, preferences, and pain points


Translate complex research findings into actionable insights and recommendations for Customer Success, Product, and additional groups within JFrog


Identify opportunities for improving customer engagement and loyalty based on research findings


Collaborate with stakeholders across Customer Success, Product Management, Marketing, and Sales to ensure research efforts are aligned with business objectives


Work closely with the developers in the Customer Success Applied Research group to align the development of internal research tools


Prepare and present research findings and recommendations to senior leadership and stakeholders in an easily digestible format


Champion the voice of the customer across the organization by effectively communicating insights from customers and advocating for their needs


Mentor and develop team members, fostering a culture of continuous learning, growth, and excellence


Stay up-to-date with industry trends, best practices, and emerging technologies related to customer experience and research methodologie


To be a Research Manager in JFrog Customer Success, you need...


A Ph.D. in a related field (e.g., Human-Computer Interaction, Psychology, Sociology, Business, Data Science)


5+ years of experience in research roles, with at least 2 years in a leadership or management position


Proven experience managing and mentoring a team of researchers and analysts


Strong expertise in both qualitative and quantitative research methodologies


Demonstrated ability to translate research findings into actionable insights and strategic recommendations


Excellent communication, presentation, and interpersonal skills, with the ability to effectively convey complex information to diverse audiences


Proficiency in data analysis tools and techniques


Passion for understanding customer needs and improving user experiences


Experience in the B2B SaaS industry is a plus"
3625144,"Director of Engineering - JFrog Security","https://join.jfrog.com/job/?job=7250240&gh_jid=7250240","Jfrog","Tel Aviv/ Netanya, Israel","No",10,"Full time","2025-09-23T20:25:32.214666Z","At JFrog, were building the DevOps and Software Supply Chain security solutions to help the worlds greatest companies innovate -- and we want you along for the ride. This is a special place with a unique combination of brilliance, spirit, and just all-around great people. Here, if youre willing to do more, your career can take off. And since software plays a central role in everyones lives, youll be part of an important mission. Thousands of customers, including the majority of the Fortune 100, trust JFrog to manage, accelerate, and secure their software delivery from code to production -- a concept we call liquid software. Wouldn't it be amazing if you could join us on our journey?
We are seeking a visionary Director of Engineering with a strong product mindset to lead the strategy, development, and scaling of our Software Supply Chain security product. As a Director of Engineering, you will lead teams building an enterprise-grade Software Composition Analysis solution, meeting the growing needs of our customers and supporting the ever-evolving development ecosystem.
As a Director of Engineering at JFrog, you will... 

Build, lead, and mentor multiple cross-functional teams of developers to deliver a scalable and reliable product
Foster a culture of collaboration, automation, and continuous improvement within the engineering organization
Define and implement procedures and workflows, enabling rapid innovation alongside ensuring enterprise-grade quality of the delivered product
Architect and deliver an enterprise-grade solution that operates in both SaaS and self-hosted environments
Partner with engineering leaders, product teams, and business stakeholders to ensure successful product adoption by the customers

To be a Director of Engineering at JFrog, you need... 

10+ years of experience in software engineering, with at least 5 years in leadership roles managing diverse R&amp;D teams
Proficiency in Software Development: strong experience in building and managing scalable systems using languages such as Go, Python, Java, or Node.js
Proven track record of delivering scalable cloud / SaaS services, operating in multi-cloud (AWS, Azure, GCP) and hybrid-cloud environments
Experience working in Agile or DevOps-focused organizations
Exceptional leadership, communication, stakeholder, and customer management skills
Passion for empowering developers and enabling productivity through platform engineering"
3617666,"Strategic Account Executive","https://join.jfrog.com/job/?job=7253788&gh_jid=7253788","Jfrog","Paris","Yes",15,"Full time","2025-09-23T20:25:32.214681Z","**Residency in Paris is required, this position is remote and does not require work from the office. #LI-Remote
At JFrog, were reinventing DevOps to help the worlds greatest companies innovate -- and we want you along for the ride. This is a special place with a unique combination of brilliance, spirit, and just all-around great people. Here, if youre willing to do more, your career can take off. And since software plays a central role in everyones lives, youll be part of an important mission. Thousands of customers, including the majority of the Fortune 100, trust JFrog to manage, accelerate, and secure their software delivery from code to production -- a concept we call liquid software. Wouldn't it be amazing if you could join us on our journey?
As a Strategic Account Executive, you will be directly responsible for the growth of JFrog, providing an exciting opportunity to drive and shape the future of DevOps processes within your allocated enterprise account portfolio. You will be responsible for identifying opportunities to maximize our customers value from JFrog products and services, and maintaining strong customer relationships.
As a Strategic Account Executive in JFrog you will...

Develop customer relationships to promote retention and loyalty
Identify &amp; close new up-sell and expansion opportunities with existing customers
Responsible for success and renewals process for a portfolio of customers; analyze usage metrics to understand customers usage of JFrogs product (evaluate product adoption)
Contact customers throughout the life cycle and prior to renewal to discuss metrics and identify obstacles to renewals;
Partner with Finance, and Legal in negotiating, structuring and quoting renewal contracts for the highest possible renewal rates
Maintain long-term account health and relationships
Evaluate renewal probabilities
Work with customers to ensure satisfaction; support pre-sales cycles
Use Salesforce, JIRA, Confluence, and Advanced Microsoft Excel for projects
Drive product adoption, share best practices and implement growth and optimization strategies for maximum value and success within the customer base;
Escalate at-risk customers appropriately
Document communications and transactions in Salesforce to ensure accurate renewal forecasting and analyses
Make sure to keep customers updated on best practices, product features, new releases, and upgrades

To be a Strategic Account Executive in JFrog you need...

Bachelors degree or foreign equivalent in Business Administration, Finance, Economics, or Computer Engineering
Minimum 15 years of experience preferably in Software subscription sales
Revenue quota carrying experience with large enterprise customers is a must
Experience in closing 7 digits deals within your 
Experience in managing &amp; owning the full sale cycle from lead to closing the deal
Experience includes supporting pre-sales cycles; using Salesforce and Advanced Microsoft Excel"
