"ID","Title","Link","Company","Location","Remote","Experience","EmploymentType","DatePosted","RoleDescription"
3572070,"Sales Executive","https://job-boards.greenhouse.io/n2alljobs/jobs/7220606","N2","Boston","Yes","Not specified","Full time","2025-09-23T20:25:33.088669Z","As the nations leader in helping small to mid-sized businesses efficiently connect with affluent homeowners, The N2 Company produces high-quality monthly publications, targeted digital advertising, online media, and creative events.
We are seeking a new Sales Executive for Stroll Magazine in your area to join our team. Stroll magazines contain hyper-local content for desirable, affluent communities and are appreciated by the readers because most of the content comes from (and is written by) the residents themselves. Your role will consist of meeting with business owners to sell advertising and meeting with homeowners to gather content. 
What You Will Do:

Meet with local business owners for a consultative meeting to determine if a partnership with our communities is a mutual fit.
Develop meaningful relationships within the community through a proven model for engagement.
Connect local businesses with their ideal customers within the Stroll community.

What You Will Bring:
Our ideal candidate will have a professional, outgoing personality with an entrepreneurial mindset.
What You Will Love:
Though most of the day-to-day for a Sales Executive revolves around sales-related activity, it is far from a traditional sales role. Many of our Sales Executives, known as Area Directors, do have prior sales or marketing communications experience, but our unique low-pressure sales approach combined with the other aspects of the opportunity mean our most successful people act more like business owners. We offer the following benefits:

Uncapped Potential
Flexible Schedules
Work From Home and in local market
Build equity by launching and running your own business
Award-winning company culture
Complete virtual training

The average commission for the top 10% of Area Director franchisees with one Stroll publication is $166,000*.
More about The N2 Company:
For 20 years, The N2 Company has created opportunities for our people to work with others they actually like, where they're inspired to grow financially, relationally, and spiritually. This people-first mindset has led to rapid growth  we earned a spot on the Inc. 5000 eight years in a row  and a company culture recognized by the likes of Entrepreneur, Fortune, Newsweek, and Glassdoor. We help businesses connect with their ideal clients through 800 custom publications  and more launching every month. N2's portfolio of award-winning brands includes Stroll, Greet, Real Producers, BeLocal, Uniquely You, Salute, and Hyport Digital.
The average yearly Commission earned for the top 10%, 38 publications (out of 376) in the 2023-2024 Reporting Period was $166,174.00. Of this group, 13 (34%) earned a Commission payment that totaled the average or more, and 25 (66%) earned a Commission payment that totaled less than the average. The median Commission earned for this group was $147,005.00. The highest Commission earned was $308,319.00, and the lowest Commission earned was $122,759.00. 
Your financial results may differ from those stated above. Important assumptions and qualifiers relating to this information can be found in Item 19 of our October 11, 2024 franchise disclosure document.
#strollmag"
3554868,"Area Sales Director","https://job-boards.greenhouse.io/n2alljobs/jobs/7220878","N2","Dallas","No","Not specified","Full time","2025-09-23T20:25:33.088776Z","As the nations leader in helping small to mid-sized businesses connect with new movers and locals, The N2 Company produces high-quality monthly magazines, targeted digital advertising, online media, and creative events.
We are seeking a new Area Sales Director  for BeLocal Magazine to join our team. BeLocal magazines are the definitive community guide, delivered free of charge to new residents mailboxes and distributed in the community at large. The custom publications provide insights from locals about where to go and what to do in targeted areas across the country.
Businesses love what we do because they know new movers and residents in our hand-picked communities not only embrace their BeLocal guide, but the content comes from (and is written by) the readers too.
What You Will Do:

Meet with local business owners for a consultative meeting to determine if a partnership with our communities is a mutual fit.
Develop meaningful relationships within the community through a proven model for engagement.
Connect local businesses with their ideal customers within the community served by their BeLocal guide.

What You Will Bring:
Our ideal candidate will have a professional, outgoing personality with an entrepreneurial mindset.
Why You'll Love Us:
Though most of the day-to-day for a BeLocal Area Sales Director  revolves around sales-related activity, it is far from a traditional sales role. Many of our Area Sales Directors, known as Area Directors, do have prior sales or marketing communications experience, but our unique low-pressure sales approach combined with the other aspects of the opportunity mean our most successful people are driven and act more like business owners. 

Uncapped Income
Flexible Schedules
Work From Home and in your local community
Build equity by launching and running your own business
Award-winning company culture
Complete virtual training

The average commission for the top 10% of Area Director franchisees with one BeLocal publication is $128,000*
More about The N2 Company:
For 20 years, The N2 Company has created opportunities for our people to work with others they actually like, where they're inspired to grow financially, relationally, and spiritually. This people-first mindset has led to rapid growth  we earned a spot on the Inc. 5000 eight years in a row  and a company culture recognized by the likes of Entrepreneur, Fortune, Newsweek, and Glassdoor. We help businesses connect with their ideal clients through 800 custom publications  and more launching every month. N2's portfolio of award-winning brands includes Stroll, Greet, Real Producers, BeLocal, Uniquely You, Salute, and Hyport Digital.
The average yearly Commission earned for the top 10%, 9 publications (out of 90) in the 2023-2024 Reporting Period, was $128,106.00. Of this group, 4 (44%) earned a Commission payment that totaled the average or more, and 5 (56%) earned a Commission payment that totaled less than the average. The median Commission earned for this group was $123,308.00. The highest Commission earned was $197,624.00, and the lowest Commission earned was $97,651.00.
Your financial results may differ from those stated above. Important assumptions and qualifiers relating to this information can be found in Item 19 of our October 11, 2024 franchise disclosure document.
 
#blmag"
3554867,"Area Sales Director","https://job-boards.greenhouse.io/n2alljobs/jobs/7220879","N2","Coppell, TX","Yes","Not specified","Full time","2025-09-23T20:25:33.088816Z","As the nations leader in helping small to mid-sized businesses connect with new movers and locals, The N2 Company produces high-quality monthly magazines, targeted digital advertising, online media, and creative events.
We are seeking a new Area Sales Director  for BeLocal Magazine to join our team. BeLocal magazines are the definitive community guide, delivered free of charge to new residents mailboxes and distributed in the community at large. The custom publications provide insights from locals about where to go and what to do in targeted areas across the country.
Businesses love what we do because they know new movers and residents in our hand-picked communities not only embrace their BeLocal guide, but the content comes from (and is written by) the readers too.
What You Will Do:

Meet with local business owners for a consultative meeting to determine if a partnership with our communities is a mutual fit.
Develop meaningful relationships within the community through a proven model for engagement.
Connect local businesses with their ideal customers within the community served by their BeLocal guide.

What You Will Bring:
Our ideal candidate will have a professional, outgoing personality with an entrepreneurial mindset.
Why You'll Love Us:
Though most of the day-to-day for a BeLocal Area Sales Director  revolves around sales-related activity, it is far from a traditional sales role. Many of our Area Sales Directors, known as Area Directors, do have prior sales or marketing communications experience, but our unique low-pressure sales approach combined with the other aspects of the opportunity mean our most successful people are driven and act more like business owners. 

Uncapped Income
Flexible Schedules
Work From Home and in your local community
Build equity by launching and running your own business
Award-winning company culture
Complete virtual training

The average commission for the top 10% of Area Director franchisees with one BeLocal publication is $128,000*
More about The N2 Company:
For 20 years, The N2 Company has created opportunities for our people to work with others they actually like, where they're inspired to grow financially, relationally, and spiritually. This people-first mindset has led to rapid growth  we earned a spot on the Inc. 5000 eight years in a row  and a company culture recognized by the likes of Entrepreneur, Fortune, Newsweek, and Glassdoor. We help businesses connect with their ideal clients through 800 custom publications  and more launching every month. N2's portfolio of award-winning brands includes Stroll, Greet, Real Producers, BeLocal, Uniquely You, Salute, and Hyport Digital.
The average yearly Commission earned for the top 10%, 9 publications (out of 90) in the 2023-2024 Reporting Period, was $128,106.00. Of this group, 4 (44%) earned a Commission payment that totaled the average or more, and 5 (56%) earned a Commission payment that totaled less than the average. The median Commission earned for this group was $123,308.00. The highest Commission earned was $197,624.00, and the lowest Commission earned was $97,651.00.
Your financial results may differ from those stated above. Important assumptions and qualifiers relating to this information can be found in Item 19 of our October 11, 2024 franchise disclosure document.
 
 
#blmag"
3554866,"Account Manager","https://job-boards.greenhouse.io/n2alljobs/jobs/7231740","N2","Bethlehem, PA","No","Not specified","Full time","2025-09-23T20:25:33.088843Z","As the nations leader in helping businesses efficiently connect with the top realtors in their market, The N2 Company produces high-quality monthly publications, targeted digital advertising and exclusive events. We are looking for an Account Manager for The N2 Company. Our magazines are mailed directly to the top-producing agents in each market and share personal stories that connect, elevate, and inspire. 
Who we are looking for:
An ideal person for this opportunity is a professional, outgoing person who has an entrepreneurial mindset. 
Though most of the day-to-day for an Account Manager revolves around sales-related activity, it is far from a traditional sales role. Many of our  Account Manager, known as Area Directors, do have prior sales experience, but our unique low-pressure sales approach combined with the other aspects of the opportunity mean our most successful people operate more dynamically as business owners. 
Though some sales and business experience is a plus, we provide extensive training and a support system to help all Area Directors be as successful as possible.
Your Day-to-Day:

Meet with local business owners for a low-pressure consultative meeting to determine if a partnership with The N2 Company in their market is a mutual fit.
Develop a network within the real estate community through a proven model for engagement.
Plan events aimed at connecting top agents and preferred client partners using the N2 formula.
Meet with realtors to develop relationships and recommendations for potential partners.

What ideal candidates find most attractive:

Control Over Their Schedule  While our Account Manager have a strong work ethic and are motivated by a sense of purpose in their role, they can flex their hours to optimize their productivity and work-life balance.
Uncapped Potential  Though not every Account Manager is looking for the highest earning potential, most people take advantage of the commission structure that allows them to grow their income uncapped year after year.
Meaningful Opportunity  Our ideal candidates have many options when changing jobs, yet those most attracted to this role find a sense of purpose in helping local business owners grow their businesses  especially in a time when there's so much noise revolving around advertising and digital marketing. Our Area Directors help simplify things for our partners and stand behind our publications and digital offerings with confidence and integrity.

Our average commission paid to the top Area Directors with one publication was more than $352,400* during the 2022-2023 fiscal year.
More about The N2 Company:
For 20 years, The N2 Company has created opportunities for our people to work with others they actually like, where they're inspired to grow financially, relationally, and spiritually. This people-first mindset has led to rapid growth  we earned a spot on the Inc. 5000 eight years in a row  and a company culture recognized by the likes of Entrepreneur, Fortune, Newsweek, and Glassdoor. We help businesses connect with their ideal clients through 800 custom publications  and more launching every month. N2's portfolio of award-winning brands includes Stroll, Greet, RP, BeLocal, Uniquely You, Salute, and Hyport Digital.
 
The average yearly Commission earned for the top 10%, 11 publications (out of 105) in the 2023-2024 Reporting Period was $326,770.00. Of this group, 4 (36%) earned a Commission payment that totaled the average or more, and 7 (64%) earned a Commission payment that totaled less than the average. The median Commission earned for this group was $305,523.00. The highest Commission earned was $536,121.00, and the lowest Commission earned was $219,782.00.
Your financial results may differ from those stated above. Important assumptions and qualifiers relating to this information can be found in Item 19 of our October 11, 2024 franchise disclosure document.
#rpmag #LI-Hybrid 
#ZR"
3554865,"Account Manager","https://job-boards.greenhouse.io/n2alljobs/jobs/7232206","N2","Cedar Rapids","No","Not specified","Full time","2025-09-23T20:25:33.088872Z","As the nations leader in helping businesses efficiently connect with the top realtors in their market, The N2 Company produces high-quality monthly publications, targeted digital advertising and exclusive events. We are looking for an Account Manager for The N2 Company. Our magazines are mailed directly to the top-producing agents in each market and share personal stories that connect, elevate, and inspire. 
Who we are looking for:
An ideal person for this opportunity is a professional, outgoing person who has an entrepreneurial mindset. 
Though most of the day-to-day for an Account Manager revolves around sales-related activity, it is far from a traditional sales role. Many of our  Account Manager, known as Area Directors, do have prior sales experience, but our unique low-pressure sales approach combined with the other aspects of the opportunity mean our most successful people operate more dynamically as business owners. 
Though some sales and business experience is a plus, we provide extensive training and a support system to help all Area Directors be as successful as possible.
Your Day-to-Day:

Meet with local business owners for a low-pressure consultative meeting to determine if a partnership with The N2 Company in their market is a mutual fit.
Develop a network within the real estate community through a proven model for engagement.
Plan events aimed at connecting top agents and preferred client partners using the N2 formula.
Meet with realtors to develop relationships and recommendations for potential partners.

What ideal candidates find most attractive:

Control Over Their Schedule  While our Account Manager have a strong work ethic and are motivated by a sense of purpose in their role, they can flex their hours to optimize their productivity and work-life balance.
Uncapped Potential  Though not every Account Manager is looking for the highest earning potential, most people take advantage of the commission structure that allows them to grow their income uncapped year after year.
Meaningful Opportunity  Our ideal candidates have many options when changing jobs, yet those most attracted to this role find a sense of purpose in helping local business owners grow their businesses  especially in a time when there's so much noise revolving around advertising and digital marketing. Our Area Directors help simplify things for our partners and stand behind our publications and digital offerings with confidence and integrity.

Our average commission paid to the top Area Directors with one publication was more than $352,400* during the 2022-2023 fiscal year.
More about The N2 Company:
For 20 years, The N2 Company has created opportunities for our people to work with others they actually like, where they're inspired to grow financially, relationally, and spiritually. This people-first mindset has led to rapid growth  we earned a spot on the Inc. 5000 eight years in a row  and a company culture recognized by the likes of Entrepreneur, Fortune, Newsweek, and Glassdoor. We help businesses connect with their ideal clients through 800 custom publications  and more launching every month. N2's portfolio of award-winning brands includes Stroll, Greet, RP, BeLocal, Uniquely You, Salute, and Hyport Digital.
 
The average yearly Commission earned for the top 10%, 11 publications (out of 105) in the 2023-2024 Reporting Period was $326,770.00. Of this group, 4 (36%) earned a Commission payment that totaled the average or more, and 7 (64%) earned a Commission payment that totaled less than the average. The median Commission earned for this group was $305,523.00. The highest Commission earned was $536,121.00, and the lowest Commission earned was $219,782.00.
Your financial results may differ from those stated above. Important assumptions and qualifiers relating to this information can be found in Item 19 of our October 11, 2024 franchise disclosure document.
#rpmag #LI-Hybrid 
#ZR"
3554864,"Account Manager","https://job-boards.greenhouse.io/n2alljobs/jobs/7232239","N2","Glenwood Springs, CO","No","Not specified","Full time","2025-09-23T20:25:33.088903Z","As the nations leader in helping businesses efficiently connect with the top realtors in their market, The N2 Company produces high-quality monthly publications, targeted digital advertising and exclusive events. We are looking for an Account Manager for The N2 Company. Our magazines are mailed directly to the top-producing agents in each market and share personal stories that connect, elevate, and inspire. 
Who we are looking for:
An ideal person for this opportunity is a professional, outgoing person who has an entrepreneurial mindset. 
Though most of the day-to-day for an Account Manager revolves around sales-related activity, it is far from a traditional sales role. Many of our  Account Manager, known as Area Directors, do have prior sales experience, but our unique low-pressure sales approach combined with the other aspects of the opportunity mean our most successful people operate more dynamically as business owners. 
Though some sales and business experience is a plus, we provide extensive training and a support system to help all Area Directors be as successful as possible.
Your Day-to-Day:

Meet with local business owners for a low-pressure consultative meeting to determine if a partnership with The N2 Company in their market is a mutual fit.
Develop a network within the real estate community through a proven model for engagement.
Plan events aimed at connecting top agents and preferred client partners using the N2 formula.
Meet with realtors to develop relationships and recommendations for potential partners.

What ideal candidates find most attractive:

Control Over Their Schedule  While our Account Manager have a strong work ethic and are motivated by a sense of purpose in their role, they can flex their hours to optimize their productivity and work-life balance.
Uncapped Potential  Though not every Account Manager is looking for the highest earning potential, most people take advantage of the commission structure that allows them to grow their income uncapped year after year.
Meaningful Opportunity  Our ideal candidates have many options when changing jobs, yet those most attracted to this role find a sense of purpose in helping local business owners grow their businesses  especially in a time when there's so much noise revolving around advertising and digital marketing. Our Area Directors help simplify things for our partners and stand behind our publications and digital offerings with confidence and integrity.

Our average commission paid to the top Area Directors with one publication was more than $352,400* during the 2022-2023 fiscal year.
More about The N2 Company:
For 20 years, The N2 Company has created opportunities for our people to work with others they actually like, where they're inspired to grow financially, relationally, and spiritually. This people-first mindset has led to rapid growth  we earned a spot on the Inc. 5000 eight years in a row  and a company culture recognized by the likes of Entrepreneur, Fortune, Newsweek, and Glassdoor. We help businesses connect with their ideal clients through 800 custom publications  and more launching every month. N2's portfolio of award-winning brands includes Stroll, Greet, RP, BeLocal, Uniquely You, Salute, and Hyport Digital.
 
The average yearly Commission earned for the top 10%, 11 publications (out of 105) in the 2023-2024 Reporting Period was $326,770.00. Of this group, 4 (36%) earned a Commission payment that totaled the average or more, and 7 (64%) earned a Commission payment that totaled less than the average. The median Commission earned for this group was $305,523.00. The highest Commission earned was $536,121.00, and the lowest Commission earned was $219,782.00.
Your financial results may differ from those stated above. Important assumptions and qualifiers relating to this information can be found in Item 19 of our October 11, 2024 franchise disclosure document.
#rpmag #LI-Hybrid 
#ZR"
3554863,"Account Manager","https://job-boards.greenhouse.io/n2alljobs/jobs/7231764","N2","Columbia","No","Not specified","Full time","2025-09-23T20:25:33.088932Z","As the nations leader in helping businesses efficiently connect with the top realtors in their market, The N2 Company produces high-quality monthly publications, targeted digital advertising and exclusive events. We are looking for an Account Manager for The N2 Company. Our magazines are mailed directly to the top-producing agents in each market and share personal stories that connect, elevate, and inspire. 
Who we are looking for:
An ideal person for this opportunity is a professional, outgoing person who has an entrepreneurial mindset. 
Though most of the day-to-day for an Account Manager revolves around sales-related activity, it is far from a traditional sales role. Many of our  Account Manager, known as Area Directors, do have prior sales experience, but our unique low-pressure sales approach combined with the other aspects of the opportunity mean our most successful people operate more dynamically as business owners. 
Though some sales and business experience is a plus, we provide extensive training and a support system to help all Area Directors be as successful as possible.
Your Day-to-Day:

Meet with local business owners for a low-pressure consultative meeting to determine if a partnership with The N2 Company in their market is a mutual fit.
Develop a network within the real estate community through a proven model for engagement.
Plan events aimed at connecting top agents and preferred client partners using the N2 formula.
Meet with realtors to develop relationships and recommendations for potential partners.

What ideal candidates find most attractive:

Control Over Their Schedule  While our Account Manager have a strong work ethic and are motivated by a sense of purpose in their role, they can flex their hours to optimize their productivity and work-life balance.
Uncapped Potential  Though not every Account Manager is looking for the highest earning potential, most people take advantage of the commission structure that allows them to grow their income uncapped year after year.
Meaningful Opportunity  Our ideal candidates have many options when changing jobs, yet those most attracted to this role find a sense of purpose in helping local business owners grow their businesses  especially in a time when there's so much noise revolving around advertising and digital marketing. Our Area Directors help simplify things for our partners and stand behind our publications and digital offerings with confidence and integrity.

Our average commission paid to the top Area Directors with one publication was more than $352,400* during the 2022-2023 fiscal year.
More about The N2 Company:
For 20 years, The N2 Company has created opportunities for our people to work with others they actually like, where they're inspired to grow financially, relationally, and spiritually. This people-first mindset has led to rapid growth  we earned a spot on the Inc. 5000 eight years in a row  and a company culture recognized by the likes of Entrepreneur, Fortune, Newsweek, and Glassdoor. We help businesses connect with their ideal clients through 800 custom publications  and more launching every month. N2's portfolio of award-winning brands includes Stroll, Greet, RP, BeLocal, Uniquely You, Salute, and Hyport Digital.
 
The average yearly Commission earned for the top 10%, 11 publications (out of 105) in the 2023-2024 Reporting Period was $326,770.00. Of this group, 4 (36%) earned a Commission payment that totaled the average or more, and 7 (64%) earned a Commission payment that totaled less than the average. The median Commission earned for this group was $305,523.00. The highest Commission earned was $536,121.00, and the lowest Commission earned was $219,782.00.
Your financial results may differ from those stated above. Important assumptions and qualifiers relating to this information can be found in Item 19 of our October 11, 2024 franchise disclosure document.
#rpmag #LI-Hybrid 
#ZR"
3554862,"Account Manager","https://job-boards.greenhouse.io/n2alljobs/jobs/7231789","N2","Bridgewater, NJ","No","Not specified","Full time","2025-09-23T20:25:33.088960Z","As the nations leader in helping businesses efficiently connect with the top realtors in their market, The N2 Company produces high-quality monthly publications, targeted digital advertising and exclusive events. We are looking for an Account Manager for The N2 Company. Our magazines are mailed directly to the top-producing agents in each market and share personal stories that connect, elevate, and inspire. 
Who we are looking for:
An ideal person for this opportunity is a professional, outgoing person who has an entrepreneurial mindset. 
Though most of the day-to-day for an Account Manager revolves around sales-related activity, it is far from a traditional sales role. Many of our  Account Manager, known as Area Directors, do have prior sales experience, but our unique low-pressure sales approach combined with the other aspects of the opportunity mean our most successful people operate more dynamically as business owners. 
Though some sales and business experience is a plus, we provide extensive training and a support system to help all Area Directors be as successful as possible.
Your Day-to-Day:

Meet with local business owners for a low-pressure consultative meeting to determine if a partnership with The N2 Company in their market is a mutual fit.
Develop a network within the real estate community through a proven model for engagement.
Plan events aimed at connecting top agents and preferred client partners using the N2 formula.
Meet with realtors to develop relationships and recommendations for potential partners.

What ideal candidates find most attractive:

Control Over Their Schedule  While our Account Manager have a strong work ethic and are motivated by a sense of purpose in their role, they can flex their hours to optimize their productivity and work-life balance.
Uncapped Potential  Though not every Account Manager is looking for the highest earning potential, most people take advantage of the commission structure that allows them to grow their income uncapped year after year.
Meaningful Opportunity  Our ideal candidates have many options when changing jobs, yet those most attracted to this role find a sense of purpose in helping local business owners grow their businesses  especially in a time when there's so much noise revolving around advertising and digital marketing. Our Area Directors help simplify things for our partners and stand behind our publications and digital offerings with confidence and integrity.

Our average commission paid to the top Area Directors with one publication was more than $352,400* during the 2022-2023 fiscal year.
More about The N2 Company:
For 20 years, The N2 Company has created opportunities for our people to work with others they actually like, where they're inspired to grow financially, relationally, and spiritually. This people-first mindset has led to rapid growth  we earned a spot on the Inc. 5000 eight years in a row  and a company culture recognized by the likes of Entrepreneur, Fortune, Newsweek, and Glassdoor. We help businesses connect with their ideal clients through 800 custom publications  and more launching every month. N2's portfolio of award-winning brands includes Stroll, Greet, RP, BeLocal, Uniquely You, Salute, and Hyport Digital.
 
The average yearly Commission earned for the top 10%, 11 publications (out of 105) in the 2023-2024 Reporting Period was $326,770.00. Of this group, 4 (36%) earned a Commission payment that totaled the average or more, and 7 (64%) earned a Commission payment that totaled less than the average. The median Commission earned for this group was $305,523.00. The highest Commission earned was $536,121.00, and the lowest Commission earned was $219,782.00.
Your financial results may differ from those stated above. Important assumptions and qualifiers relating to this information can be found in Item 19 of our October 11, 2024 franchise disclosure document.
#rpmag #LI-Hybrid 
#ZR"
3554861,"Account Manager","https://job-boards.greenhouse.io/n2alljobs/jobs/7231797","N2","Toms River","No","Not specified","Full time","2025-09-23T20:25:33.088988Z","As the nations leader in helping businesses efficiently connect with the top realtors in their market, The N2 Company produces high-quality monthly publications, targeted digital advertising and exclusive events. We are looking for an Account Manager for The N2 Company. Our magazines are mailed directly to the top-producing agents in each market and share personal stories that connect, elevate, and inspire. 
Who we are looking for:
An ideal person for this opportunity is a professional, outgoing person who has an entrepreneurial mindset. 
Though most of the day-to-day for an Account Manager revolves around sales-related activity, it is far from a traditional sales role. Many of our  Account Manager, known as Area Directors, do have prior sales experience, but our unique low-pressure sales approach combined with the other aspects of the opportunity mean our most successful people operate more dynamically as business owners. 
Though some sales and business experience is a plus, we provide extensive training and a support system to help all Area Directors be as successful as possible.
Your Day-to-Day:

Meet with local business owners for a low-pressure consultative meeting to determine if a partnership with The N2 Company in their market is a mutual fit.
Develop a network within the real estate community through a proven model for engagement.
Plan events aimed at connecting top agents and preferred client partners using the N2 formula.
Meet with realtors to develop relationships and recommendations for potential partners.

What ideal candidates find most attractive:

Control Over Their Schedule  While our Account Manager have a strong work ethic and are motivated by a sense of purpose in their role, they can flex their hours to optimize their productivity and work-life balance.
Uncapped Potential  Though not every Account Manager is looking for the highest earning potential, most people take advantage of the commission structure that allows them to grow their income uncapped year after year.
Meaningful Opportunity  Our ideal candidates have many options when changing jobs, yet those most attracted to this role find a sense of purpose in helping local business owners grow their businesses  especially in a time when there's so much noise revolving around advertising and digital marketing. Our Area Directors help simplify things for our partners and stand behind our publications and digital offerings with confidence and integrity.

Our average commission paid to the top Area Directors with one publication was more than $352,400* during the 2022-2023 fiscal year.
More about The N2 Company:
For 20 years, The N2 Company has created opportunities for our people to work with others they actually like, where they're inspired to grow financially, relationally, and spiritually. This people-first mindset has led to rapid growth  we earned a spot on the Inc. 5000 eight years in a row  and a company culture recognized by the likes of Entrepreneur, Fortune, Newsweek, and Glassdoor. We help businesses connect with their ideal clients through 800 custom publications  and more launching every month. N2's portfolio of award-winning brands includes Stroll, Greet, RP, BeLocal, Uniquely You, Salute, and Hyport Digital.
 
The average yearly Commission earned for the top 10%, 11 publications (out of 105) in the 2023-2024 Reporting Period was $326,770.00. Of this group, 4 (36%) earned a Commission payment that totaled the average or more, and 7 (64%) earned a Commission payment that totaled less than the average. The median Commission earned for this group was $305,523.00. The highest Commission earned was $536,121.00, and the lowest Commission earned was $219,782.00.
Your financial results may differ from those stated above. Important assumptions and qualifiers relating to this information can be found in Item 19 of our October 11, 2024 franchise disclosure document.
#rpmag #LI-Hybrid 
#ZR"
3554860,"Account Manager","https://job-boards.greenhouse.io/n2alljobs/jobs/7231791","N2","Edison","No","Not specified","Full time","2025-09-23T20:25:33.089018Z","As the nations leader in helping businesses efficiently connect with the top realtors in their market, The N2 Company produces high-quality monthly publications, targeted digital advertising and exclusive events. We are looking for an Account Manager for The N2 Company. Our magazines are mailed directly to the top-producing agents in each market and share personal stories that connect, elevate, and inspire. 
Who we are looking for:
An ideal person for this opportunity is a professional, outgoing person who has an entrepreneurial mindset. 
Though most of the day-to-day for an Account Manager revolves around sales-related activity, it is far from a traditional sales role. Many of our  Account Manager, known as Area Directors, do have prior sales experience, but our unique low-pressure sales approach combined with the other aspects of the opportunity mean our most successful people operate more dynamically as business owners. 
Though some sales and business experience is a plus, we provide extensive training and a support system to help all Area Directors be as successful as possible.
Your Day-to-Day:

Meet with local business owners for a low-pressure consultative meeting to determine if a partnership with The N2 Company in their market is a mutual fit.
Develop a network within the real estate community through a proven model for engagement.
Plan events aimed at connecting top agents and preferred client partners using the N2 formula.
Meet with realtors to develop relationships and recommendations for potential partners.

What ideal candidates find most attractive:

Control Over Their Schedule  While our Account Manager have a strong work ethic and are motivated by a sense of purpose in their role, they can flex their hours to optimize their productivity and work-life balance.
Uncapped Potential  Though not every Account Manager is looking for the highest earning potential, most people take advantage of the commission structure that allows them to grow their income uncapped year after year.
Meaningful Opportunity  Our ideal candidates have many options when changing jobs, yet those most attracted to this role find a sense of purpose in helping local business owners grow their businesses  especially in a time when there's so much noise revolving around advertising and digital marketing. Our Area Directors help simplify things for our partners and stand behind our publications and digital offerings with confidence and integrity.

Our average commission paid to the top Area Directors with one publication was more than $352,400* during the 2022-2023 fiscal year.
More about The N2 Company:
For 20 years, The N2 Company has created opportunities for our people to work with others they actually like, where they're inspired to grow financially, relationally, and spiritually. This people-first mindset has led to rapid growth  we earned a spot on the Inc. 5000 eight years in a row  and a company culture recognized by the likes of Entrepreneur, Fortune, Newsweek, and Glassdoor. We help businesses connect with their ideal clients through 800 custom publications  and more launching every month. N2's portfolio of award-winning brands includes Stroll, Greet, RP, BeLocal, Uniquely You, Salute, and Hyport Digital.
 
The average yearly Commission earned for the top 10%, 11 publications (out of 105) in the 2023-2024 Reporting Period was $326,770.00. Of this group, 4 (36%) earned a Commission payment that totaled the average or more, and 7 (64%) earned a Commission payment that totaled less than the average. The median Commission earned for this group was $305,523.00. The highest Commission earned was $536,121.00, and the lowest Commission earned was $219,782.00.
Your financial results may differ from those stated above. Important assumptions and qualifiers relating to this information can be found in Item 19 of our October 11, 2024 franchise disclosure document.
#rpmag #LI-Hybrid 
#ZR"
