"ID","Title","Link","Company","Location","Remote","Experience","EmploymentType","DatePosted","RoleDescription"
3628231,"Junior Sales Manager Northern South America","https://apply.workable.com/j/9FD14C8743","ratehawk","Bogotá","Yes",2,"Full time","2025-09-23T20:25:40.496508Z","RateHawk is part of Emerging Travel Group a pioneering travel-tech company also known for its two other brands, ZenHotels and Roundtrip, spanning over 220 markets worldwide.Our mission is to create, distribute, and operate the most convenient travel products. We constantly innovate and break the rules of the highly complex travel industry to make travel more widely available for individuals, more rewarding for professionals, and simpler for everyone.As a Junior Sales Manager, you will play a pivotal role in driving our sales efforts, forging strategic partnerships, and expanding our client base.This is a remote vacancy open to candidates residing in Colombia.What Youll Do: Develop and implement sales activities and hit the sales targets to achieve growth and expand presence in assigned territory; Approach and sign up new partners (tour operators, travel agencies, travel management companies, OTAs) and provide them with extended training of our system; Build a strong, long-lasting relationship with new partners; Spend approximately 10% of your working time on business trips, including meetings with clients, industry events, and other business-related events; Provide market &amp; competitive environment analysis; Provide regular comprehensive reporting through CRM and internal systems; RequirementsWho You Are:  Relevant Experience. Minimum of 1 year of successful experience in sales management or business development of B2B companies, preferably within the travel industry;  Market Knowledge. Understanding of the region's travel market, including B2B travel networks (tour operators, travel agencies, travel management companies, OTAs);  Language knowledge. Fluent in Spanish and English, other languages are advantageous;  Travel Requirements. Up to 10% of travel time may be required;   Analytical skills. Used to data-driven decision-making, metrics-driven and good with numbers;  Personal skills. Proactive, ambitious, motivated, action-oriented, results-focused, appetite for innovative technology, comfortable with the fast-changing business environment, team-player, quick learner;  International mindset. Ability to understand and work across a wide range of cultural contexts reflecting ETGs global presence; Competence in API technology deals is a plus. BenefitsWe offer you: Flexible schedules and opportunity to work remotely. Ambitious and supportive team who love what they do, appreciate each other, and grow together. Internal programs for adaptation and training, development of soft skills, and leadership abilities. Partial compensation for participating in external training and conferences. Corporate English school: Group and individual lessons, speaking clubs with colleagues from all over the world. Corporate prices on hotels and travel services. MyTime Day Off - an extra non-working day without loss of compensation. Learn more about our data protection practices in our Privacy Policy: https://emergingtravel.notion.site/recruitment-privacy-notice"
3604191,"B2B Travel Sales Manager Vietnam","https://apply.workable.com/j/6DAAAE03FC","ratehawk","N/A","Yes",2,"Full time","2025-09-23T20:25:40.496619Z","RateHawk is part of Emerging Travel Group  a pioneering travel-tech company also known for its two other brands, ZenHotels and Roundtrip, spanning over 220 markets worldwide.Our mission is to create, distribute, and operate the most convenient travel products. We constantly innovate and break the rules of the highly complex travel industry to make travel more widely available for individuals, more rewarding for professionals, and simpler for everyone.In this role, you will be driving our growth in Vietnam - one of the most dynamic travel markets in Asia. You will be at the frontline of growth, signing new partners, opening API opportunities, and making sure RateHawk becomes the go-to platform for travel agencies across the country.This position combines active sales, strategic partnerships, and a deep understanding of the travel ecosystem. You will not only hit ambitious sales targets but also educate the market, build long-lasting trust, and represent RateHawk as a reliable international partner.This is a remote role based in Vietnam, with frequent business trips required.Requirements Relevant experience: 2-5 years in sales management or business development within the travel industry (travel agencies, tour operators, OTAs, or B2B travel companies)   Understanding of API deals and technical integrations   Strong knowledge of Vietnams travel market and existing network of contacts is a plus   Fluency in Vietnamese and English   Proactive, ambitious, results-driven, and comfortable in a fast-changing environment   Analytical mindset with the ability to work with KPIs and data-driven decisions   Willingness to travel across the region (40-50% of working time)   International mindset with the ability to work across diverse cultural contexts Benefits  Competitive salary and performance-based bonuses   Career growth opportunities in an international travel-tech company   Complex and innovative product that transforms the travel industry   Ambitious and supportive team of professionals   Internal learning programs and external training/conference support   Flexible schedule with no rigid start time   Corporate discounts on hotels and travel services Learn more about our data protection practices in our Privacy Policy: https://emergingtravel.notion.site/recruitment-privacy-notice"
2950255,"Service Manager (Poland)","https://apply.workable.com/j/AE78CBCD37","ratehawk","N/A","Yes","Not specified","Full time","2025-09-23T20:25:40.496651Z","Join Our Team as a Service Manager at RateHawk!Are you passionate about travel and tech? Do you speak English and Polish fluently? Were looking for a Service Manager to take care of our top B2B partners in Poland. If you love helping people, keeping things running smoothly, and turning clients into long-term fans  wed love to have you join our fast-growing international travel-tech company! At RateHawk, we pride ourselves on having a fantastic team, a vibrant culture, and plenty of opportunities for growth.RequirementsWhat You'll Do:  Support Our Top Clients: Be the go-to person for a select group of key partners. Handle escalations and help solve their trickiest issues.  Keep an Eye on Things: Monitor ongoing cases in our CRM and make sure nothing gets stuck. Step in early if something needs attention.  Stay in Touch: Send regular updates to clients and check in to make sure theyre happy with how things are going.  Track Performance: Use tools like Tableau and SQL to monitor service metrics and prepare reports.  Be Their Voice: Join client meetings, listen to their needs, and make sure their voice is heard internally.  Work as a Team: Collaborate with ops, support, and tech teams to make service even better.  What We're Looking For:  Language Skills: Advanced level of English and Polish  youll need to speak and write fluently.   Ability to work with tools: Comfortable with data and tools like CRM systems and dashboards.  Quick Learner: Ability to grasp new information quickly and focus on results.  Multi-Tasker: Capable of juggling multiple tasks and handling stress with ease.  Empathetic: A strong sense of empathy is essential.  Travel Industry Experience: Experience in travel, concierge agencies, TMCs, DMCs, or tour operators is an advantage! Experience in account or service management (B2B is a plus!) BenefitsWhat We Offer:  Remote Work: Work from the comfort of your home!  Salary: base payment + monthly bonus.  Dynamic Team: Be part of a young and energetic group of specialists.  Growth Opportunities: Tackle interesting and ambitious tasks that will elevate your professional skills.  Learning &amp; Development: We support your growth through seminars, trainings, and conferences.  Perks: Take advantage of corporate discounts on hotels and other services. The Process:  Meeting with HR: A friendly chat with our HR team.  One minute Internet Speed Test: Just to make sure youre all set for remote work.  Meeting with Hiring Manager: Another friendly chat. Interview results and offer! If this sounds like the perfect fit for you, wed love to hear from you! Apply now and lets create amazing travel experiences together!Learn more about our data protection practices in our Privacy Policy: https://emergingtravel.notion.site/recruitment-privacy-notice"
3587552,"Sales Manager USA, West Coast","https://apply.workable.com/j/8D0DA36BFC","ratehawk","Los Angeles","Yes",3,"Full time","2025-09-23T20:25:40.496686Z","RateHawk is part of Emerging Travel Group a pioneering travel-tech company also known for its two other brands, ZenHotels and Roundtrip, spanning over 220 markets worldwide.Our mission is to create, distribute, and operate the most convenient travel products. We constantly innovate and break the rules of the highly complex travel industry to make travel more widely available for individuals, more rewarding for professionals, and simpler for everyone.As a Sales Manager, you will play a pivotal role in driving our sales efforts, forging strategic partnerships, and expanding our client base.This is a remote vacancy open to candidates residing in the USA.What Youll Do: Develop and implement sales activities and hit the sales targets to achieve growth and expand presence in assigned territory; Approach and sign up new partners (tour operators, travel agencies, travel management companies, OTAs) and provide them with extended training of our system; Build a strong, long-lasting relationship with new partners; Prepare, execute, and manage the commercial deals with the partners, including the execution of required document flow and technical setup; Manage accounts until the first purchase is made; Compliance control with commercial conditions by partners, including the payment flow; Spend approximately 30% of your working time on business trips, including meetings with clients, industry events, and other business-related events; Provide market &amp; competitive environment analysis; Provide regular comprehensive reporting through CRM and internal systems. Initiate API deals with potential and existing partners. Heavy cold calling, willingness to travel including nights and weekends. RequirementsWho You Are:  Relevant Experience. 3-5 years of successful sales experience in the full sales life cycle within the travel industry, with a focus on business development.  Market Knowledge. In-depth understanding of the country's travel market, including travel trade networks (travel agencies, tour operators and TMCs).  API. Familiarity with API integration and technology sales &amp; deals.  Personal Skills. Ambitious, proactive, results-oriented, comfortable in fast-paced environments, creative problem-solving.  Analytical Skills. Data-driven, tech-savvy, experience using KPIs to track success.  International Mindset. Adaptability to multicultural environments, reflecting our global presence.  Be Your Own CEO. Work independently with a high level of accountability.  Think outside-the-box. Develop and implement creative solutions to challenges.  Business trips. 30% of working time may involve visiting customers, attending events, or meeting the team. Having your own car is important.  Language Proficiency. Native English, additional languages are advantageous.  Location. Preferably California, Nevada, Oregon or Washington state.  Work Permit. Must be a citizen or permanent resident of the USA. Note: We are not able to provide visa sponsorship.BenefitsWe offer you: Flexible schedules and opportunity to work remotely. Ambitious and supportive team who love what they do, appreciate each other, and grow together. Internal programs for adaptation and training, development of soft skills, and leadership abilities. Partial compensation for participating in external training and conferences. Corporate English school: Group and individual lessons, speaking clubs with colleagues from all over the world. Corporate prices on hotels and travel services. MyTime Day Off - an extra non-working day without loss of compensation. Health insurance. Learn more about our data protection practices in our Privacy Policy: https://emergingtravel.notion.site/recruitment-privacy-notice"
3587547,"Business Development Manager, Agency Chains","https://apply.workable.com/j/5690684700","ratehawk","N/A","Yes",2,"Full time","2025-09-23T20:25:40.496713Z","RateHawk is part of Emerging Travel Group  a pioneering travel-tech company also known for its two other brands, ZenHotels and Roundtrip, spanning over 220 markets worldwide.Our mission is to create, distribute, and operate the most convenient travel products. We constantly innovate and break the rules of the highly complex travel industry to make travel more widely available for individuals, more rewarding for professionals, and simpler for everyone.In this role, youll be the key strategic partner for some of the worlds leading travel agency networks, managing HQ-level relationships while building trust, fostering collaboration, and positioning our brand as the top choice across markets.Youll design growth strategies that expand share of wallet, increase market penetration, and unlock opportunities, working closely with sales teams to ensure successful execution and measurable results. Beyond strategy, youll own executionoverseeing incentives, tracking performance, and ensuring partners receive exceptional support. The role blends big-picture strategy with hands-on delivery, creating impact in a global, consultative environment!This is a remote vacancy open to candidates residing in preferably in Europe.Job Responsibilities Manage relationships with global agency chain HQs, fostering long-term collaboration and strategic alignment. Drive growth in network penetration and share of wallet through tailored plans. Align and coordinate commercial team activities to achieve results. Launch incentive schemes and manage marketing activities to boost sales. Track performance regularly and identify areas for improvement. Provide internal and external reporting; oversee incentive achievement and payouts. Represent the brand at external meetings and industry events. Collaborate with internal teams to deliver commercial strategies. Resolve network and partner issues to ensure strong support. Act as a strategic consultant to internal stakeholders, contributing to continuous improvement of our partner performance. Provide market &amp; competitive environment analysis. Requirements  Relevant Experience. 2+ years of successful experience in key account management or business development within the travel industry, ideally with exposure to B2B models and agency networks.  Market Knowledge. Strong understanding of the travel market, including travel agency chains, tour operators, OTAs, and travel management companies.   Language Skills. Fluency in the local language and proficiency in English; additional languages are an advantage.  Travel Requirements. Willingness to travel up to 30% of the time for partner meetings, events, and business reviews.   Analytical Skills. Proven ability to work with data, track KPIs, and apply insights to drive performance and decision-making.   Personal Skills. Proactive, ambitious, and results-driven, with strong communication and relationship-building abilities. Comfortable with innovative technology and thriving in a fast-paced, evolving business environment.   International Mindset. Capable of collaborating effectively across different cultural contexts, reflecting ETGs global presence and diverse team. ONLY CVs IN ENGLISH WILL BE CONSIDERED!Benefits Flexible schedules and opportunity to work remotely. Ambitious and supportive team who love what they do, appreciate each other, and grow together. Internal programs for adaptation and training, development of soft skills, and leadership abilities. Partial compensation for participating in external training and conferences. Corporate prices on hotels and travel services. MyTime Day Off - an extra non-working day without loss of compensation. Learn more about our data protection practices in our Privacy Policy: https://emergingtravel.notion.site/recruitment-privacy-notice"
3020620,"Revenue Operations Manager","https://apply.workable.com/j/A907A297DC","ratehawk","Astana","Yes","Not specified","Full time","2025-09-23T20:25:40.496740Z","RateHawk is part of Emerging Travel Group a pioneering travel-tech company also known for its two other brands, ZenHotels and Roundtrip, spanning over 220 markets worldwide.Our mission is to create, distribute, and operate the most convenient travel products. We constantly innovate and break the rules of the highly complex travel industry to make travel more widely available for individuals, more rewarding for professionals, and simpler for everyone.We are looking for a highly skilled Revenue Operations Project Manager with a strong background in process development, execution, and control to lead revenue operations and profitability optimization initiatives. This role requires a structured thinker who can build and implement governance frameworks, drive cost efficiency initiatives, and optimize revenue-driving mechanisms while ensuring long-term sustainability.This is a remote vacancy open to candidates residing in the CIS region.Job ResponsibilitiesPerformance Supervision Lead structured Plan-Fact performance review meetings, ensuring alignment on key results and insights. Establish a data-driven performance analysis process, identifying trends, deviations, and opportunities (on market by market basis). Conduct deep-dive analysis on performance gaps, identifying root causes of revenue and profitability deviations. Develop and drive corrective action plans, ensuring measurable improvement in underperforming areas. Design and implement continuous performance optimization frameworks to drive efficiency and growth. Cost of Sales (CoS) Optimization &amp; Efficiency Management Monitor and control CoS, ensuring gross and contribution margin targets are met. Develop and implement CoS tracking tools and processes to enhance visibility and efficiency. Identify high-cost drivers inefficiencies, leading cross-functional initiatives for cost reduction. Lead cost optimization projects, collaborating cross-functionally to improve profitability without compromising revenue growth. Collaborate with Finance and FP&amp;A teams to integrate cost-saving opportunities into operational planning. Partner Profitability Management  Analyze partner performance, identifying opportunities for revenue and profitability improvement. Develop and manage partner profitability models, ensuring sustainable contributions to overall revenue. Collaborate with Regional Directors to optimize partner engagement strategies for long-term growth. Requirements 36 years in Project Management, Revenue Operations, FP&amp;A, or Business Process Optimization. Experience in SaaS, e-commerce, or fintech, finance consultancy, experience in B2B travel tech is a huge plus. Understanding of pricing models, incentive programs, and financial forecasting. Highly-preferred experience in Big-4 consultancy firms or Investment banking.  Proven ability to build and execute governance frameworks, cost optimization, and revenue initiatives. Strong knowledge of profitability metrics (CAC, LTV, Gross Margin) and P&amp;L management. Advanced data analysis &amp; financial modeling skills (Excel, Google Sheets, Tableau, Power BI). Expertise in process design and execution, managing multiple initiatives at scale. Strategic, results-driven mindset with strong problem-solving abilities. Excellent stakeholder management, negotiation, and communication skills. Benefits Flexible schedules and opportunity to work remotely. Ambitious and supportive team who love what they do, appreciate each other, and grow together. Internal programs for adaptation and training, development of soft skills, and leadership abilities. Partial compensation for participating in external training and conferences. Corporate prices on hotels and travel services. MyTime Day Off - an extra non-working day without loss of compensation. Learn more about our data protection practices in our Privacy Policy: https://emergingtravel.notion.site/recruitment-privacy-notice"
3578190,"Head of Business Development East Asia","https://apply.workable.com/j/D4E62F57ED","ratehawk","N/A","Yes",7,"Full time","2025-09-23T20:25:40.496768Z","RateHawk is part of Emerging Travel Group  a pioneering travel-tech company also known for its two other brands, ZenHotels and Roundtrip, spanning over 220 markets worldwide.Our mission is to create, distribute, and operate the most convenient travel products. We constantly innovate and break the rules of the highly complex travel industry to make travel more widely available for individuals, more rewarding for professionals, and simpler for everyone.As a Head of Business Development for East Asia, you will play a pivotal role in maintaining and developing relationships with our clients, lead East Asian region and consolidating our presence on the local market.This is a remote vacancy open to candidates residing in East Asia.What Youll Do: Daily team management to achieve planned financial results of the division (China, Taiwan, Hong Kong, Macau, Japan &amp; South Korea); Monitoring and analysis of staff KPI results; Organization of search for and signing up of new business partners, as well as developing current partners and holding negotiations with them; Helping the team to manage key partners; Hiring and training staff; Involvement in designing and implementing the divisions marketing plan; Market research, analysis and forecasting; Direct reports are Country Managers of the region. Requirements 7+ years of experience within travel industry; Successful experience of managing a commerical team of at least three years; An understanding of tourism and the main online booking systems; Excellent communication skills; Strong organizational and management skills; An ability to quickly grasp the features of new markets; English and Mandarin speaker. BenefitsWe offer you: Flexible schedules and opportunity to work remotely. Ambitious and supportive team who love what they do, appreciate each other, and grow together. Internal programs for adaptation and training, development of soft skills, and leadership abilities. Partial compensation for participating in external training and conferences. Corporate English school: Group and individual lessons, speaking clubs with colleagues from all over the world. Corporate prices on hotels and travel services. MyTime Day Off - an extra non-working day without loss of compensation. Learn more about our data protection practices in our Privacy Policy: https://emergingtravel.notion.site/recruitment-privacy-notice"
3515970,"Area Manager Mexico & Caribbean","https://apply.workable.com/j/CDB991E021","ratehawk","Guadalajara","Yes",2,"Full time","2025-09-23T20:25:40.496796Z","RateHawk is a travel tech company that operates globally as part of the Emerging Travel Group a pioneering travel-tech company also known for its two other brands, ZenHotels and Roundtrip, spanning over 220 markets worldwide.Our mission is to create, distribute, and operate the most convenient travel products. We constantly innovate and break the rules of the highly complex travel industry to make travel more widely available for individuals, more rewarding for professionals, and simpler for everyone.As Area Manager, you will play a pivotal role in expanding and consolidating presence in the assigned territory, while leading the team to achieve the division's planned revenue results.This is a remote vacancy open to candidates residing in Mexico. Wha you'll do:  Expand and consolidate presence in the assigned territory; Lead the team to achieve the division's planned revenue results; Monitor and analyze the team's KPI results; Acquisition of Key partners, Agency chain, Vertical groups and API partners;  Support the team in managing key accounts; Organize the search and recruitment of new business partners, as well as strengthen the relationship with current partners and conduct negotiations with them; Develop people, from hiring to training, to help the team get to the next level; Participate in the development and implementation of the division's marketing plan; Market research, reporting, analysis and forecasting, using tableau and internal analytic tools. Requirements  Relevant Experience. Minimum of 2 years of successful experience in leadership of sales and account managers, with in-depth knowledge of the region's travel market, successful sales background, and at least 5 years of business development expertise with networking in the B2B travel industry;  Market Knowledge. In-depth understanding of the region's travel market, including B2B travel networks (tour operators, travel agencies, travel management companies, OTAs), as well as an understanding of tourism and the main online booking systems;  Language knowledge. Fluent in Spanish and English, other languages are a plus;  Travel Requirements. Up to 50% of travel time may be required;  Analytical Skills. Usage of data to back decisions, innovative and adept at cutting-edge technology, as well as you have experience using KPIs to track success;  Personal Skills. Proactive, ambitious, motivated, action-oriented, results-focused, appetite for innovative technology, comfortable with fast-changing business environment, teamplayer;  International Mindset. Ability to understand and work across a wide range of cultural contexts reflecting ETGs global presence; Competence in API technology deals is a plus. Benefits Flexible schedules and opportunity to work remotely; Ambitious and supportive team who love what they do, appreciate each other, and grow together; Internal programs for adaptation and training, development of soft skills, and leadership abilities; Partial compensation for participating in external training and conferences; Corporate English school: Group and individual lessons, speaking clubs with colleagues from all over the world; Corporate prices on hotels and travel services; MyTime Day Off - an extra non-working day without loss of compensation. Learn more about our data protection practices in our Privacy Policy: https://emergingtravel.notion.site/recruitment-privacy-notice"
3457656,"Sales Manager Canada","https://apply.workable.com/j/E2E77D19F9","ratehawk","Toronto","Yes",3,"Full time","2025-09-23T20:25:40.496829Z","RateHawk is part of Emerging Travel Group a pioneering travel-tech company also known for its two other brands, ZenHotels and Roundtrip, spanning over 220 markets worldwide.Our mission is to create, distribute, and operate the most convenient travel products. We constantly innovate and break the rules of the highly complex travel industry to make travel more widely available for individuals, more rewarding for professionals, and simpler for everyone.As a Sales Manager, you will play a pivotal role in driving our sales efforts, forging strategic partnerships, and expanding our client base.This is a remote position open to candidates residing in the Toronto, Ontario area.What Youll Do: Develop and implement sales activities and hit the sales targets to achieve growth and expand presence in assigned territory; Approach and sign up new partners (tour operators, travel agencies, travel management companies, OTAs) and provide them with extended training of our system; Build a strong, long-lasting relationship with new partners; Prepare, execute, and manage the commercial deals with the partners, including the execution of required document flow and technical setup; Manage accounts until the first purchase is made; Compliance control with commercial conditions by partners, including the payment flow; Spend approximately 30% of your working time on business trips, including meetings with clients, industry events, and other business-related events; Provide market &amp; competitive environment analysis; Provide regular comprehensive reporting through CRM and internal systems. Initiate API deals with potential and existing partners. RequirementsWho You Are:  Relevant Experience. 3+ years of successful sales experience in the full sales life cycle within the travel industry, with a focus on business development.  Market Knowledge. In-depth understanding of the country's travel market, including travel trade networks (travel agencies, tour operators and TMCs).  API. Familiarity with API integration and technology sales &amp; deals.  Personal Skills. Ambitious, proactive, results-oriented, comfortable in fast-paced environments, creative problem-solving.  Analytical Skills. Data-driven, tech-savvy, experience using KPIs to track success.  International Mindset. Adaptability to multicultural environments, reflecting our global presence.  Be Your Own CEO. Work independently with a high level of accountability.  Think outside-the-box. Develop and implement creative solutions to challenges.  Business trips. 30% of working time may involve visiting customers, attending events, or meeting the team. Having your own car is important.  Language Proficiency. Native English, French and additional languages are advantageous.  Location. Preferably Toronto province.  Work Permit. Must be a citizen or permanent resident of Canada. BenefitsWe offer you: Flexible schedules and opportunity to work remotely. Ambitious and supportive team who love what they do, appreciate each other, and grow together. Internal programs for adaptation and training, development of soft skills, and leadership abilities. Partial compensation for participating in external training and conferences. Corporate English school: Group and individual lessons, speaking clubs with colleagues from all over the world. Corporate prices on hotels and travel services. MyTime Day Off - an extra non-working day without loss of compensation. Learn more about our data protection practices in our Privacy Policy: https://emergingtravel.notion.site/recruitment-privacy-notice"
3376356,"Business Development Manager Mexico","https://apply.workable.com/j/325DBF20B5","ratehawk","Mexico City","Yes",3,"Full time","2025-09-23T20:25:40.496856Z","RateHawk is part of Emerging Travel Group a pioneering travel-tech company also known for its two other brands, ZenHotels and Roundtrip, spanning over 220 markets worldwide.Our mission is to create, distribute, and operate the most convenient travel products. We constantly innovate and break the rules of the highly complex travel industry to make travel more widely available for individuals, more rewarding for professionals, and simpler for everyone.As a Business Development Manager you will play a pivotal role in driving our sales efforts, forging strategic partnerships, and expanding our client base along with maintaining and developing the relationships with our clients and consolidating our presence on the local market.This is a remote vacancy open to candidates residing in Mexico.What Youll Do: Develop and implement sales activities and hit the sales targets to achieve growth and expand presence in assigned territory. Sign up new partners (travel agencies, tour operators, TMCs)  and provide them with extended training of our system. Build and maintain a strong, long-lasting relationship with new and existing partners. Account management of an assigned portfolio of partners, including the first level of support. Follow-up with existing partners to provide system training and identify the ways to improve the cooperation. Prepare, execute and manage the commercial deals with the partners, including the execution of required document flow and technical setup. Control of compliance with commercial conditions by partners, including the payment flow. Provide market &amp; competitive environment analysis. Provide regular comprehensive reporting through CRM and internal systems. Initiate API deals with potential and existing partners. RequirementsWho You Are:  Relevant Experience. 3+ years of successful experience in the full sales life cycle, with a focus on business development and account management in the travel industry.  Market Knowledge. In-depth understanding of the country's travel market, including travel trade networks (travel agencies, tour operators).  API. Familiarity with API integration and technology sales &amp; deals.  Personal Skills. Ambitious, proactive, results-oriented, comfortable in fast-paced environments, creative problem-solving.  Analytical Skills. Data-driven, tech-savvy, experience using KPIs to track success.  International Mindset. Adaptability to multicultural environments, reflecting our global presence.  Be Your Own CEO. Work independently with a high level of accountability.  Think outside-the-box. Develop and implement creative solutions to challenges.  Business trips. Up to 30% of working time may involve visiting customers, attending events, or meeting the team. Having your own car is important.  Language Proficiency. Native Spanish and Advanced English, additional languages are advantageous.  Work Permit. Must be a citizen or permanent resident of a listed country.  Location. Mexico, preferably Guadalajara. BenefitsWe offer you: Flexible schedules and opportunity to work remotely. Ambitious and supportive team who love what they do, appreciate each other, and grow together. Internal programs for adaptation and training, development of soft skills, and leadership abilities. Partial compensation for participating in external training and conferences. Corporate English school: Group and individual lessons, speaking clubs with colleagues from all over the world. Corporate prices on hotels and travel services. MyTime Day Off - an extra non-working day without loss of compensation. Learn more about our data protection practices in our Privacy Policy: https://emergingtravel.notion.site/recruitment-privacy-notice"
