"ID","Title","Link","Company","Location","Remote","Experience","EmploymentType","DatePosted","RoleDescription"
3648220,"Außendienst Out of Home / Field Sales Reacher - Bochum","https://jobs.smartrecruiters.com/RedBull/744000083402489-au-endienst-out-of-home-field-sales-reacher-bochum","Red_Bull","Bochum","No","Not specified","Full time","2025-09-23T20:25:30.479271Z","GEBIETSMANAGEMENTAls Teil des Auendiensts Out Of Home betreust du bestehende und neue Kunden im Out Of Home Universum und sorgst mit zielgruppenorientierten POS Tools fr den perfekten Auftritt in jedem einzelnen Outlet. Durch eine stetige Analyse der Kundenpotenziale in deinem Gebiet sowie einer effektiven und zielgerichteten Kundenplanung erhhst du nachhaltig die Distribution unserer gesamten Produktfamilie, schaffst gleichermaen die perfekte Sichtbarkeit und lst dadurch den perfekten Kaufimpuls aus. Darber hinaus ergreifst du Manahmen, um das Business ber die bestehenden Accounts hinaus zu erweitern. Du hast dein Gebiet vollumfassend im Blick, erkennst dessen Potenziale und erschliet dadurch neue Playgrounds fr Red Bull sowie Kunden und Konsument*innen im Bereich Out Of Home.KOMMUNIKATIONDu bist in deinem Gebiet Ansprechperson fr deine Kunden und schaffst darber hinaus Synergien mit den anderen Sales Departments On- und Off- Premise, um den grtmglichen Mehrwert fr deine Kunden zu generieren. Durch stetigen Austausch mit deinen Kolleg*innen erreichst du eine zielgerichtete und effiziente Bearbeitung der Kundensegmente. Mit deiner Persnlichkeit gelingt es dir nicht nur, deine Kunden zu begeistern, sondern du bist zugleich ein/eine wichtige/r Botschafter*in unserer Marke und transportierst unsere Red Bull Werte.REPORTINGS, KPIS UND ANALYSENDa eine erfolgreiche Strategie in der schnelllebigen Out Of Home Welt nur auf der richtigen Basis entstehen kann, legst du mit deinen administrativen Ttigkeiten und der Datenpflege das Fundament dazu. Anhand dieser gelingt es dir, dich effektiv und effizient auf die richtigen Dinge zu fokussieren. Die Reportings bieten dir eine perfekte Mglichkeit, deine Erfolge mit dem Team zu teilen, deine Kolleg*innen zu inspirieren und die Entwicklung deiner Region gewinnbringend zu dokumentieren.Erste Erfahrung im Sales von Vorteil, aber kein MussVerkaufsaffinitt und die Freude am Netzwerken mit Menschen aller ArtEigenverantwortliches und selbststndiges Handeln, dabei pragmatisch und umsetzungsstarkUnternehmerisches Denken und Handeln  gepaart mit einem professionellen AuftretenSicherer Umgang mit Laptop, IPhone, IPad und MS-OfficeWohnsitz im GebietBesitz einer gltigen Fahrerlaubnis, Fhrerscheinklasse B... und natrlich eine ordentliche Portion Selbstironie Als Arbeitgeber schtzen wir Diversitt und untersttzen Menschen dabei, ihre Potenziale und Strken zu entfalten, ihre Ideen zu verwirklichen und Chancen wahrzunehmen. Die Stellenanzeige richtet sich an alle Menschen gleichermaen, unabhngig von Weltanschauung, Alter, Religion, Behinderung, Geschlecht, sexueller Identitt oder ethnischer Herkunft."
3648219,"Social Media Manager","https://jobs.smartrecruiters.com/RedBull/744000083409264-social-media-manager","Red_Bull","London","No","Not specified","Full time","2025-09-23T20:25:30.479334Z","Grow Organic Reach &amp; EngagementDrive the growth of Red Bull UKs social media presence across Instagram, TikTok, YouTube, Strava, WhatsApp, and Spotify, along with culturally focused channels like Red Bull GMT and Red Bull Gaming Sphere.Develop and Deliver High-Impact ContentLead creative ideation and execution of innovative social-first content that connects with millions daily and reflects the pulse of UK cultureparticularly within music, sport, and gaming.Be a Strategic and Creative ForcePresent bold social strategies to senior stakeholders, while also delivering hands-on content and campaigns that move fast, engage audiences and generate buzz.Manage Budgets, Agencies &amp; TalentOversee external partners, agencies and any direct reports, ensuring best-in-class delivery and alignment with business goals.Set the StandardMaintain high-quality output across all platforms. Act as a content quality gatekeeper and tone-of-voice guardian for the UK market.Spot New OpportunitiesMonitor emerging trends, channels and behaviours - translating them into actionable opportunities for Red Bull UK to stay ahead in culture and content.Proven track record of delivering millions of organic views across high-reach channels (publisher, broadcaster, creator, or media brand)
Deep understanding of what drives viral, shareable content  and the ability to explain it
Hands-on experience with TikTok, YouTube, and Instagram growth
Experience launching and scaling new social channels from scratch
A creative eye and the ability to ideate and produce viral content (examples required)
Demonstrable success growing social platforms significantly (with data to back it up)
Entrepreneurial mindset with a passion for pushing boundaries and breaking the internet
Sharp editorial instincts and exceptional written communication skills
Experience fostering and engaging online communities
Confident presenting strategy and influencing senior stakeholders
Skilled in filming, shooting, and basic editing
Experience managing agencies and external partners
Strong grasp of social analytics, insight generation, and performance reporting
Boldness to experiment early, learn fast, and lead from the frontAt Red Bull, we exist to give people wiiings. To achieve that, we recognise the value that comes from having a highly diverse workforce that has the freedom and responsibility to realise their ideas and seize opportunities. We make recruiting decisions based on experience, skills, potential and talent: everyone is welcome here."
3648218,"Rezeption - Elsbethen","https://jobs.smartrecruiters.com/RedBull/744000083417158-rezeption-elsbethen","Red_Bull","Elsbethen","No","Not specified","Full time","2025-09-23T20:25:30.479352Z","Empfang und TelefonvermittlungIn dieser Funktion bernimmst du die allgemeine Broorganisation sowie smtliche Aufgaben im Bereich Empfang und Telefonvermittlung.HospitalityAls Receptionist bist du die erste Anlaufstelle fr externe Gste und alle MitarbeiterInnen. Mit deinem Einsatz schaffst du ein kundenorientiertes und organisiertes Umfeld und leistest einen wesentlichen Beitrag zu einem positiven ersten Eindruck.Administration &amp; WarehouseDu koordinierst und untersttzt in administrativen Belangen, wickelst die gesamte Ein- und Ausgangspost ab und bist fr den Bromitteleinkauf zustndig.Site OperationsDu untersttzt bei der Organisation und Durchfhrung von zentralen Services, als Beitrag zur Gestaltung eines optimalen und sicheren Arbeitsumfeldes fr unsere MitarbeiterInnen und Gste.2+ Jahre einschlgige Berufserfahrung als Rezeptionist/in oder am EmpfangSehr gute Deutsch- und Englischkenntnisse sowie sehr gute MS-Office KenntnisseHohe Kunden- und Serviceorientierung mit Freude am Umgang mit MenschenVerlsslichkeit, Genauigkeit, Organisationstalent sowie Flexibilitt und BelastbarkeitAus gesetzlichen Grnden sind wir verpflichtet darauf hinzuweisen, dass das kollektivvertragliche Mindestgehalt fr diese Position bei monatlich EUR 2.195,- brutto liegt. Unsere attraktiven Gehaltspakete orientieren sich jedoch an aktuellen Marktgehltern und liegen daher deutlich ber dem angegebenen Mindestgehalt.Als Arbeitgeber schtzen wir Diversitt und untersttzen Menschen ihre Potenziale und Strken zu entfalten, ihre Ideen zu verwirklichen und Chancen zu ergreifen. Passioniert glauben wir daran, dass Diversitt unter Kollegen ein zentrales Element unseres Erfolgs ist. Wir begren Bewerbungen aller Menschen gleichermaen, unabhngig von Alter, Hautfarbe, Religion, Geschlecht, sexueller Orientierung oder Herkunft."
3648217,"Außendienst Out of Home / Field Sales Reacher - Heilbronn","https://jobs.smartrecruiters.com/RedBull/744000083424688-au-endienst-out-of-home-field-sales-reacher-heilbronn","Red_Bull","Heilbronn","No","Not specified","Full time","2025-09-23T20:25:30.479369Z","GEBIETSMANAGEMENTAls Teil des Auendiensts Out Of Home betreust du bestehende und neue Kunden im Out Of Home Universum und sorgst mit zielgruppenorientierten POS Tools fr den perfekten Auftritt in jedem einzelnen Outlet. Durch eine stetige Analyse der Kundenpotenziale in deinem Gebiet sowie einer effektiven und zielgerichteten Kundenplanung erhhst du nachhaltig die Distribution unserer gesamten Produktfamilie, schaffst gleichermaen die perfekte Sichtbarkeit und lst dadurch den perfekten Kaufimpuls aus. Darber hinaus ergreifst du Manahmen, um das Business ber die bestehenden Accounts hinaus zu erweitern. Du hast dein Gebiet vollumfassend im Blick, erkennst dessen Potenziale und erschliet dadurch neue Playgrounds fr Red Bull sowie Kunden und Konsument*innen im Bereich Out Of Home.KOMMUNIKATIONDu bist in deinem Gebiet Ansprechperson fr deine Kunden und schaffst darber hinaus Synergien mit den anderen Sales Departments On- und Off- Premise, um den grtmglichen Mehrwert fr deine Kunden zu generieren. Durch stetigen Austausch mit deinen Kolleg*innen erreichst du eine zielgerichtete und effiziente Bearbeitung der Kundensegmente. Mit deiner Persnlichkeit gelingt es dir nicht nur, deine Kunden zu begeistern, sondern du bist zugleich ein/eine wichtige/r Botschafter*in unserer Marke und transportierst unsere Red Bull Werte.REPORTINGS, KPIS UND ANALYSENDa eine erfolgreiche Strategie in der schnelllebigen Out Of Home Welt nur auf der richtigen Basis entstehen kann, legst du mit deinen administrativen Ttigkeiten und der Datenpflege das Fundament dazu. Anhand dieser gelingt es dir, dich effektiv und effizient auf die richtigen Dinge zu fokussieren. Die Reportings bieten dir eine perfekte Mglichkeit, deine Erfolge mit dem Team zu teilen, deine Kolleg*innen zu inspirieren und die Entwicklung deiner Region gewinnbringend zu dokumentieren.Erste Erfahrung im Sales von Vorteil, aber kein MussVerkaufsaffinitt und die Freude am Netzwerken mit Menschen aller ArtEigenverantwortliches und selbststndiges Handeln, dabei pragmatisch und umsetzungsstarkUnternehmerisches Denken und Handeln  gepaart mit einem professionellen AuftretenSicherer Umgang mit Laptop, IPhone, IPad und MS-OfficeWohnsitz im GebietBesitz einer gltigen Fahrerlaubnis, Fhrerscheinklasse B... und natrlich eine ordentliche Portion Selbstironie Als Arbeitgeber schtzen wir Diversitt und untersttzen Menschen dabei, ihre Potenziale und Strken zu entfalten, ihre Ideen zu verwirklichen und Chancen wahrzunehmen. Die Stellenanzeige richtet sich an alle Menschen gleichermaen, unabhngig von Weltanschauung, Alter, Religion, Behinderung, Geschlecht, sexueller Identitt oder ethnischer Herkunft."
3648216,"Student Marketeer - Suez University","https://jobs.smartrecruiters.com/RedBull/744000083428184-student-marketeer-suez-university","Red_Bull","Suez","No","Not specified","Part time","2025-09-23T20:25:30.479385Z","Be a Brand and Product AmbassadorLive and breathe the brand personality traits and company values, representing the brand in a premium way through everyday interactions with consumers or customers.Grow the user base by inviting positive trial and awareness of Red Bull through product sampling to consumers at the right place and right time - answering any questions and concerns from consumers.Build and execute an insight driven plan that's innovative and tailored to your campus. The plan should engage &amp; excite students whilst bringing the brand to life.Create a strong network, establishing and maintaining relationships with key local individuals.Drive the brand engagement on social media using authentic content. Be a Sales ExpertBuild relationships with local sales account managers and ensure Red Bull is available and visible in outlet.Collaborate with sales to open new distribution points for Red Bull within your university campus and beyond.Leverage relevant assets from the world of Red Bull in order to keep Red Bull top of mind in sales accounts.Ensure perfect execution of defined store standards. Executional ExcellenceDeliver executional excellence and show love for the details in all areas of your role.Maintain and upkeep all Student Marketeer tools to ensure a premium brand image.Plan &amp; report your activities via the dedicated online platform in a timely manner and with accuracy.Share ideas and collaborate with the team through regular face-to-face and online interaction.A second or third-year MSA University student.Excellent communication skills.Charismatic, energetic, positive and outgoing personality.Highly approachable and social with the ability to relate to different people in many occasions.Immersed in student life with thorough understanding of the university, city &amp; region, incl. behind-the-scenes activities &amp; hot-spots.Encompass a creative mindset and an entrepreneurial spirit, with a high sense of responsibility and initiative.Ability to manage part-time work &amp; studies and ideally available to work some evenings and weekends.An affinity and desire to learn and apply a new range of skills, especially marketing, negotiation, and sales.Connected with a variety of influential groups and individuals on campus.Passionate about the Red Bull brand and product.Must have a valid driving license."
3648215,"Student Marketeer - Tanta University","https://jobs.smartrecruiters.com/RedBull/744000083425887-student-marketeer-tanta-university","Red_Bull","Tanta","No","Not specified","Part time","2025-09-23T20:25:30.479414Z","Be a Brand and Product AmbassadorLive and breathe the brand personality traits and company values, representing the brand in a premium way through everyday interactions with consumers or customers.Grow the user base by inviting positive trial and awareness of Red Bull through product sampling to consumers at the right place and right time - answering any questions and concerns from consumers.Build and execute an insight driven plan that's innovative and tailored to your campus. The plan should engage &amp; excite students whilst bringing the brand to life.Create a strong network, establishing and maintaining relationships with key local individuals.Drive the brand engagement on social media using authentic content. Be a Sales ExpertBuild relationships with local sales account managers and ensure Red Bull is available and visible in outlet.Collaborate with sales to open new distribution points for Red Bull within your university campus and beyond.Leverage relevant assets from the world of Red Bull in order to keep Red Bull top of mind in sales accounts.Ensure perfect execution of defined store standards. Executional ExcellenceDeliver executional excellence and show love for the details in all areas of your role.Maintain and upkeep all Student Marketeer tools to ensure a premium brand image.Plan &amp; report your activities via the dedicated online platform in a timely manner and with accuracy.Share ideas and collaborate with the team through regular face-to-face and online interaction.A second or third-year MSA University student.Excellent communication skills.Charismatic, energetic, positive and outgoing personality.Highly approachable and social with the ability to relate to different people in many occasions.Immersed in student life with thorough understanding of the university, city &amp; region, incl. behind-the-scenes activities &amp; hot-spots.Encompass a creative mindset and an entrepreneurial spirit, with a high sense of responsibility and initiative.Ability to manage part-time work &amp; studies and ideally available to work some evenings and weekends.An affinity and desire to learn and apply a new range of skills, especially marketing, negotiation, and sales.Connected with a variety of influential groups and individuals on campus.Passionate about the Red Bull brand and product.Must have a valid driving license."
3648214,"Distribution Partner Manager- Kent","https://jobs.smartrecruiters.com/RedBull/744000083430409-distribution-partner-manager-kent","Red_Bull","Bury","No","Not specified","Full time","2025-09-23T20:25:30.479429Z","BUSINESS DEVELOPMENTAccount responsibility for Regional Wholesalers &amp; Independent Impulse Retail customers in your territory.   
Manage Mini Multiple Operating (MMO) groups and stores within your region, dealing with the key decision makers to achieve sales drivers in store.  
Leverage joint business plans and trading terms with your MMO Groups to achieve instore objectives.  
Planning, forecasting, tracking and reviewing sales performance for all accounts 
Ensure all stores and retailers in your region are visited as frequently as required. This may vary per customer and you have the freedom to manage your time as you see fit
Establish effective joint working relationships with key stakeholders (both internally and externally) which will include regular reviews of performance and reporting.SHORT TERM SALES DRIVERSDrive compliance of agreed in store trading terms whilst also identifying and merchandising local promotional opportunities. 
Implement relevant Point Of Sale (POS) reflecting relevant brand campaigns such as New Product Launches.
Ensure our Wholesale and Retail customers do not have out of stocks on any Red Bull lines and if they do, work with the customer to rectify it as soon as possibleLONG TERM SALES DRIVERSAgree in store range &amp; availability of Red Bull products whilst also ensuring each product has its fair share of space in the overall S&amp;E section. 
Agree additional chilled placements of the Red Bull product in store through either store owned or Red Bull fridges. 
Agree ambient placements in store through either store owned or Red Bull displays.
Increase New Product Distribution (NPD) and availability across total customer base. 
Drive in store presence through visibility and awareness of the product through merchandising our product on shelf, in fridges and around the store.  
Bring to life marketing initiatives with in-store execution and relevant Point of Sale (POS). Proven sales/negotiation skills 
Clear understanding of key sales channels 
Track record in achieving targets  
Communication, negotiation and objection handling skills 
Commercial acumen, with the ability to utilise and understand category and financial insights 
Strong relationship-builder 
Strong organisational and time management skills 
Intermediate skills across Microsoft Excel, Word and PowerPoint 
Strong presentation and communication skills 
Comfortable working autonomously and being out on the road 
FMCG experience is an advantage but not essentialAt Red Bull, we exist to give people wiiings. To achieve that, we recognise the value that comes from having a highly diverse workforce that has the freedom and responsibility to realise their ideas and seize opportunities. We make recruiting decisions based on experience, skills, potential and talent: everyone is welcome here."
3644137,"Financial Accountant","https://jobs.smartrecruiters.com/RedBull/744000083209974-financial-accountant","Red_Bull","London","No","Not specified","Full time","2025-09-23T20:25:30.479443Z","Technical Accounting &amp; Tax ComplianceEnsure a timely and organised closing of monthly results enabling the preparation of reporting Commentary packs, providing decision makers the necessary information to plan future projects
Review and posting of month end accruals and journals provided by Business Partners in other departments
Completion of Balance Sheet Reconciliations
Preparation of Corporation Tax returns, completing analysis of disallowable expenditure and reviews of capital allowances. 
Preparation of VAT returns and any other taxes, arranging filing and payment before the due date.
Prepare Balance Sheet forecast during the companys planning cycles, and monitoring their accuracy monthly on an ongoing basis.Business PartneringSupporting Business Partners in Finance and Marketing in ensuring the correct Financial Reporting and Tax Treatment is followed
Developing and driving a best practice culture financial control environment, implementing process improvements with a view of streamlining and improving accuracy of accounting operations and tax reporting 
Lead and support changes in internal controls and other project work where necessaryAuditAssisting the team in dealing with queries from the external auditors, whilst managing the documentation supply
Assist the department and the business in dealing with queries from the internal audit team
Preparing and reviewing the statutory financial statements to be prepared under IFRS and FRS102Qualified (ACA/ACCA). We are looking for someone with curiosity that enjoys never settling.
Have a broad experience working in practice or transactional role in industry, looking to make the step into an interesting and fulfilling technical role
Thorough understanding of accounting and tax basics and best practice controls and processes.
Experience with preparation of Corporation and VAT computations preferred
Ability to create, prepare and review reports at a high level
Strong level of self-organization
Advanced user of MS Office Excel, Word and Outlook. Experience with other software and system is useful.
Experience of using SAP preferable but not a showstopperAt Red Bull, we exist to give people wiiings. To achieve that, we recognise the value that comes from having a highly diverse workforce that has the freedom and responsibility to realise their ideas and seize opportunities. We make recruiting decisions based on experience, skills, potential and talent: everyone is welcome here."
3644133,"Striker (Coordenador/a de Merchandising)  ","https://jobs.smartrecruiters.com/RedBull/744000083220694-striker-coordenador-a-de-merchandising-","Red_Bull","Cuiabá","No","Not specified","Full time","2025-09-23T20:25:30.479458Z","Execuo Red Bull na RegioResponsvel pela elaborao do plano de execuo da regio, bem como seu desenvolvimento ao longo do trimestre, atravs de negociaes loja a loja. Ter ainda que engajar a equipe do DP e da agncia de merchandising terceira na manuteno das alavancas de execuo.
Ponte entre o Gerente de Vendas Regional e RedesSer a ponte de contato e destravamento das negociaes e planos desenhados pelo RSM para as redes. Cobrar resultados e fechamento de volume, bem como calcular os fechamentos de investimento e pagamento de contratos.

TreinamentosResponsvel pelo treinamento da equipe Key Account do distribuidor e da equipe de supervisores e promotores da agncia de merchandising nos conceitos de loja perfeita e negociao de execuo. O treinamento se dar atravs de reunies mensais e rotas coaching mensais. 

Power SellingResponsvel pelo domnio da metodologia Power Selling, utilizando cotidianamente no desempenho de suas negociaes comerciais e de execuo.Conhecimento e Experincia em Trade, Merchandising e/ou na rea comercial;Ensino Superior Completo Imprescindvel;Imprescindvel ter CNH - B ativa e vlida;Desejvel domnio do Pacote Office, principalmente Power Point e Excel;Diferenciais: Ingls;Softs Skills: Facilidade de comunicao; Relacionamento interpessoal e Viso analtica.Acreditamos no potencial de todas as pessoas para dar aaasas a ideias independente de expresso de gnero, raa, religio, orientao afetivo-sexual, origem, idade e deficincia. No mundo da Red Bull todas as pessoas so bem-vindas."
3644131,"Striker (Coordenador/a de Merchandising)  ","https://jobs.smartrecruiters.com/RedBull/744000083226086-striker-coordenador-a-de-merchandising-","Red_Bull","Campo Grande","No","Not specified","Full time","2025-09-23T20:25:30.479479Z","Execuo Red Bull na RegioResponsvel pela elaborao do plano de execuo da regio, bem como seu desenvolvimento ao longo do trimestre, atravs de negociaes loja a loja. Ter ainda que engajar a equipe do DP e da agncia de merchandising terceira na manuteno das alavancas de execuo.
Ponte entre o Gerente de Vendas Regional e RedesSer a ponte de contato e destravamento das negociaes e planos desenhados pelo RSM para as redes. Cobrar resultados e fechamento de volume, bem como calcular os fechamentos de investimento e pagamento de contratos.

TreinamentosResponsvel pelo treinamento da equipe Key Account do distribuidor e da equipe de supervisores e promotores da agncia de merchandising nos conceitos de loja perfeita e negociao de execuo. O treinamento se dar atravs de reunies mensais e rotas coaching mensais. 

Power SellingResponsvel pelo domnio da metodologia Power Selling, utilizando cotidianamente no desempenho de suas negociaes comerciais e de execuo.Conhecimento e Experincia em Trade, Merchandising e/ou na rea comercial;Ensino Superior Completo Imprescindvel;Imprescindvel ter CNH - B ativa e vlida;Desejvel domnio do Pacote Office, principalmente Power Point e Excel;Diferenciais: Ingls;Softs Skills: Facilidade de comunicao; Relacionamento interpessoal e Viso analtica.Acreditamos no potencial de todas as pessoas para dar aaasas a ideias independente de expresso de gnero, raa, religio, orientao afetivo-sexual, origem, idade e deficincia. No mundo da Red Bull todas as pessoas so bem-vindas."
