"ID","Title","Link","Company","Location","Remote","Experience","EmploymentType","DatePosted","RoleDescription"
3648494,"Air Quality Sensor Technician - SmartSense Technology","https://jobs.smartrecruiters.com/SGS/744000083372546-air-quality-sensor-technician-smartsense-technology","SGS","Syracuse","No",2,"Full time","2025-09-23T20:25:36.301729Z","Please note we are looking for candidates with a strong background or interest in computer, electronics, or engineering. Put your electronics skills to work for cleaner, safer air.SGS is seeking a hands-on Air Quality Sensor Technician to join our SmartSense Technology team in East Syracuse. In this role, youll assemble, calibrate, and troubleshoot advanced air quality sensors that help create healthier indoor environments. If you enjoy working with electronics, solving complex problems, and seeing the real-world impact of your work, this is the opportunity for you.This is your chance to combine technical expertise with purpose, contributing to cleaner air and safer spaces while working with cutting-edge sensor technology.Opportunity HighlightsHands-On Technology: Build, calibrate, and troubleshoot advanced air quality sensors that deliver precise environmental readings.Real-World Impact: Your work directly contributes to healthier indoor spaces and safer environments.Collaborative Innovation: Work closely with engineers and cross-functional teams to improve and refine sensor technology.Growth &amp; Learning: Develop your technical skills while gaining experience with the latest electronics and sensor systems.What Youll DoSensor Assembly &amp; CalibrationAssemble, test, and calibrate air quality sensor units for performance and reliability.Ensure sensors provide accurate and precise environmental readings.Troubleshooting &amp; RepairsDiagnose and repair electrical or mechanical issues in sensor units.Maintain detailed records of testing, calibration, and repairs.Collaboration &amp; Product ImprovementWork alongside engineers to provide feedback and support product development.Contribute ideas to improve processes and enhance product performance.Quality &amp; ComplianceFollow SGS procedures and maintain high standards of accuracy, quality, and safety.Support regulatory and internal quality requirements.2+ years of hands-on experience with electronics, sensor systems, or related technology.Strong knowledge of circuits, soldering, and reading schematics.Excellent problem-solving skills with high attention to detail.Ability to work independently and as part of a collaborative team.Preferred: experience with air quality technology, embedded systems, or environmental monitoring.The hourly rate for this position is $20.00-$25.00.  This position is eligible for overtime pay.Why Join Us?At SGS, youll be part of a global organization known for quality, integrity, and innovation. Here, your technical skills have purpose  youll help design and maintain systems that make indoor spaces healthier and safer. This role offers the chance to work with advanced technology, grow your expertise, and see the tangible impact of your work every day.SGS is an Equal Opportunity Employer, and as such we recruit, hire, train, and promote persons in all job classifications without regard to race, color, religion, sex, national origin, disability, age, marital status, sexual orientation, gender identity or expression, genetics, status as a protected veteran, or any other characteristics protected by law.To perform this job successfully, an individual must be able to perform each essential duty satisfactorily with or without reasonable accommodations. The requirements listed above are representative of the knowledge, skills, and/or abilities required.This job description should not be construed as an exhaustive statement of duties, responsibilities or requirements, but a general description of the job. Nothing contained herein restricts the companys rights to assign or reassign duties and responsibilities to this job at any time.If you are applying for a position within the United States and you have difficulty completing the on-line employment application because of a disability, please call 201-508-3149 for assistance and leave a message. You will receive a call back.  Please note, this phone number is not for general employment information, but is only for individuals who are experiencing difficulty applying for a position due to a disability."
3648493,"Field Data Engineer ","https://jobs.smartrecruiters.com/SGS/744000083376365-field-data-engineer-","SGS","Brisbane","No","Not specified","Full time","2025-09-23T20:25:36.301833Z","Join SGS as a Field Data Engineer, supporting our well testing operations across Australia. Based in Moomba, WA, QLD, NT, or SA, this is a fly-in, fly-out role (28/26 roster), with occasional workshop duties at home to assist with job preparation and equipment maintenance. This role is hands-on in the field, not just office-based, providing real-time data support to Well Test teams.What Youll Do:Set up, operate, and deliver accurate data acquisition to Well Test Supervisors and clients.Maintain and troubleshoot data acquisition equipment (Fekete, SCAN, Fardux, WDSS, EDGE).Assist Well Test personnel when necessary, supporting rig-up operations. Ensure job programs are well understood, equipment is prepared, and operations run safely.Accurately record and report test data in line with company and regulatory standards.Support onsite operations, safety programs, and continuous improvement initiatives.Participate in training, performance reviews, and contribute to team development.What Were Looking For:Strong knowledge of data acquisition systems (Fekete/SCAN/Fardux/WDSS/EDGE).Basic understanding of well testing and cased hole operations.Ability to interpret P&amp;IDs and rig up sensors correctly.Strong fault-finding and troubleshooting skills.High computer literacy (MS Office, reporting systems, electronic product servicing).Experience with GAGE/GALIP systems and electronic memory tools (GAGIS/CALEPUS/E-line tools) is beneficial but not essential.Excellent attention to detail and ability to proofread reports.First Aid Certificate.Professional communication skills, especially with clients on site.Availability to travel interstate At SGS, youll be part of a global leader in testing, inspection, and certification services. We offer opportunities for continuous learning, professional growth, and the chance to contribute to safe and efficient operations in the oil and gas sector.WHY WORK FOR SGS? Working at SGS means joining an innovative, Global company. Here are some of the benefits to working for SGS.     As a company, we have embraced the shift to flexible work
    Sustainability is embedded in our culture and the way we do business
    Paid parental leave
    Paid time for volunteering day and blood donations
    Corporate health &amp; wellbeing offers
    Ongoing learning &amp; development 
    Career development opportunities (Nationally and Globally)
    SGS Rewards: Our employee benefits platform with access to retail and online discounts and cashback
COME TO WORK AND BE 100% YOU

SGS Australia supports a diverse workforce, we encourage applications from people of all ages, nationalities, abilities, and cultures  including Aboriginal and Torres Strait Islander peoples, the LGBTQI+ community and people living with disability. Providing employment opportunities for Aboriginal and Torres Strait Islander people is an important part of our SGS Reconciliation Action Plan (RAP). We truly believe the diversity among us will continue to foster a strong, innovative, and forward-thinking workplace.

SGS Australia acknowledges and pays respect to the past, present and future Traditional Custodians and Elders of this nation and the continuation of cultural, spiritual, and educational practices of Aboriginal and Torres Strait Islander peoples."
3648492,"Assistant Sales Manager  (Chinese Speaking)","https://jobs.smartrecruiters.com/SGS/744000083376985-assistant-sales-manager-chinese-speaking-","SGS","Ho Chi Minh","No",5,"Full time","2025-09-23T20:25:36.301862Z","Primary Responsibilities
Promote efficient sales activities to achieve sales assigned targets
Build up good immage of SGS as the leading provider of quality service including inspection, testing and auditing in Vietnam marketSpecific ResponsibilitiesIdentify potential clients and approach them for selling SGS servicesMaintain good relationships with existing clients to improve sales revenueCreate plans to visit clients or to contact them by phones/ emails and implement these plansPrepared marketing materials, sales kits for sales activities (brochures, leaflets, presentations, service capability, price lists, gift innitiative, etc.)Develop marketing strategy/ plans to penetrate to different segments of the marketCoordinate with Customer Service Team to prepare/ suggest selling prices, and discount levels to key clients for Manager's approvalCollect market information (both about industries and competitors) in order to suggest proper selling schemes for Manager's approvalWork closely with Customer Service Team to shape a best-selling mode and deliver good offers to clients; avoid different communications by Sales and Customer Service to clientsBuild up, maintain and update the accessible, transparent, complete and detailed client information filesMonthly update clients' revenues, monitor their performance and have proper actions to improve their performanceSupport Customer Service Team to collect outstanding debtsPrepare weekly/ monthly business reports which include sales achievement, project approach, market information, and competitors's activities to ManagerCoordinate with Customer Service Team and related Section Manager to handle clients' complaints/ claimsUpdate Quotations and follow up for quotation updates.From 05 years experience in related products or services
Soft skills such behaviour skill/ communication skills
Fluent in Chinese and English (writing and speaking)
Business Administration Bachelor is preferableTeam work, good coordination with related teams
Careful
Trustworthy
Systematic thinking
Situation behavior skill
Active &amp; willing to handle new things"
3648491,"(EET) Sales Manager","https://jobs.smartrecruiters.com/SGS/744000083377091--eet-sales-manager","SGS","Ho Chi Minh City","No",5,"Full time","2025-09-23T20:25:36.301887Z","Business Development: Identify and pursue new business opportunities within the Electrical and Electronic industry. Develop and implement effective sales strategies to achieve revenue and growth targets. Foster relationships with key decision-makers and influencers in potential client organizationsMarket Analysis: Conduct market research to identify potential clients, competitors, and industry trends. Analyze market data to develop informed sales strategies and tactics for both EET and EEC services. Provide regular reports on market conditions and competitor activities.Sales Team Management: Monitoring the performance of the sales team, checking the account host list monthly to analyze any downtrend in revenue status, taking action immediately to follow up on any high-risk account, taking high priority to follow the significant potential prospects with sales staff. Work closely with the sales team to coordinate efforts and share market insights, provide guidance and support to team members to enhance their sales performance. Coordinating the activities of various sales personnel and also delegate duties in the absence of the sales manager.Product Knowledge: Stay abreast of Electrical and Electronics industry trends, regulations, and advancements in SGS EET, EEC testing services. Possess a deep understanding of SGS testing services and effectively communicate their value to clients and their supply chain. Collaborate with technical, Lab team and Global teams to ensure accurate representation of testing capabilities.Client Relationship Management: Build and maintain strong, long-term relationships with existing clients. Act as a primary point of contact for client inquiries and concerns. Ensure customer satisfaction through effective communication and delivery of high-quality services.Regular Report: Handling Monthly, Quarterly, Yearly Report in Sales performance, preparing the Market Study Report for new development Proposal/Contract/Agreement Handling: Prepare comprehensive and competitive proposals for clients. Negotiate terms and conditions to achieve mutually beneficial agreements. Ensure accurate and timely submission of proposals and contracts.Cross-functional Collaboration with other teams and take in-charge all key marketing activities  Good at English communication, writing. Korean communication will be preferred.Effective communication, presentation skills.Strong management and leadership skills.Proactive in organizing technical seminar, visiting clients independently.Understanding for the third-party services/industry will be preferred.Understanding the Electronics and Electrical test demand and supply chain will be preferred.At least 5-year experience in B2B hunter sales, at least 3-year experience in third-party."
3648490,"Lab Chemist","https://jobs.smartrecruiters.com/SGS/744000083388815-lab-chemist","SGS","Oman","No",3,"Full time","2025-09-23T20:25:36.301911Z","           Order reviewing &amp; Ensures tests are carried out as per clients specifications in accordance with the standard test methods.           Ensure compliance with ISO 17025:2017 quality systems and with companys HSE standards.           Responsible for the sample registration and data entry of samples in Excel / LIMS system in strict compliance with laboratory procedures and work instructions.           Ensure that any deviation from the method is communicated to the supervisor/manager.           Responsible to carry out internal calibration &amp; verification on laboratory equipment and glassware.           Perform SQC analysis on test carried out in the laboratory.           Authorize to issue Certificate of Quality.           Responsible to check stocks and preparation of reagents/solvents.           Responsible for the general upkeep of housekeeping within the laboratory environment.           Responsible for the laboratory sample storage and disposal.           To ensure HSE policies and procedures are followed for all the jobs.           Adhere to SGS Code of Integrity, Impartiality, Business principles and Sustainability programs. Qualifications :Minimum 3 years of Industry experience.MS Office - Basic to Intermediate user proficiencyWe are particularly looking for candidates with prior experience in handling and testing the following products:GasoilGasolineCrude oilBenzene  Paraxylene - Methanol#LI-Onsite"
3648489,"Deskundig Inventariseerder Asbest (DIA) Regio Zuid Holland","https://jobs.smartrecruiters.com/SGS/744000083398487-deskundig-inventariseerder-asbest-dia-regio-zuid-holland","SGS","Spijkenisse","No","Not specified","Full time","2025-09-23T20:25:36.301933Z","Een zelfstandige jobVanaf dag n word je opgenomen in het bruisende team Asbest. Zo'n 45 inspecteurs voeren voor diverse projecten asbestinventarisaties uit. Je werkt veel zelfstandig en komt op interessante plekken. Ook komen we een aantal keren per jaar bijeen om kennis en ervaringen uit te wisselen. Zo wordt onze dienstverlening alleen maar beter.Geen dag is hetzelfdeJe dag start vanuit huis. Via jouw tablet krijg je de planning voor die dag binnen. Je neemt de projecten door en gaat dan op weg naar jouw 1e inspectie. De opdrachtgevers bestaan hoofdzakelijk uit woningcorporaties en aannemers.Jouw verantwoordelijkheden:Asbesttoepassingen bekijkenMetingen doen en monsters nemenBevindingen uitwerken in een onderzoeksrapportSchrijven van een advies voor de opdrachtgeverCalamiteitendiensten draaien (ongeveer 5 keer per jaar)Heb jij de juiste bagage? Om als inspecteur asbest een goede start te maken heb je minimaal een mbo werk- en denkniveau,  aangevuld met enkele jaren werkervaring in de asbest-, bouwbranche en een rijbewijs B. We zoeken iemand met enige jaren ervaring met het werken als DIA, die zich wil gaan verdiepen in gebouwcomplexen.Daarnaast zoeken we de volgende eigenschappen in onze nieuwe collega:Je werkt gestructureerd en regelt zaken goed en zorgvuldigJe gaat gemakkelijk om met een tabletJe bent leergierig en vindt het leuk om veel op pad te gaanJe kunt goed communiceren met bewoners en met collega's van de binnendienstJe bent klant- en oplossingsgerichtMooie vooruitzichtenReken op een professionele en tegelijkertijd informele werkomgeving, enthousiaste collega's, en veel doorgroeimogelijkheden. Werken bij SGS Search heeft vele voordelen, ook wat arbeidsvoorwaarden betreft:Goed salaris en een auto van de zaakTelefoon en tabletJaarcontract met uitzicht op een vaste aanstelling28 vakantiedagen en de mogelijkheid om extra vakantiedagen te kopenGoede secundaire arbeidsvoorwaarden: sportfaciliteiten en een prima pensioenregelingWij investeren met opleidingen in jouw toekomstInteresse? Spreekt deze functie jou aan, maar wil je eerst nog wat meer informatie? Neem dan contact op met Adam Schafer, recruiter SGS Search, via telefoonnummer: 06-51810700 of adam.schafer@sgs.com. We kijken ernaar uit om kennis met je te maken!"
3648488,"Junior Bouwkundig Inspecteur (DIA) Regio Zeeland","https://jobs.smartrecruiters.com/SGS/744000083399381-junior-bouwkundig-inspecteur-dia-regio-zeeland","SGS","Goes","No","Not specified","Full time","2025-09-23T20:25:36.301958Z","Je begint als junior in ons team en volgt een opleidingstraject tot gecertificeerd DIA-inspecteur. Met begeleiding van ervaren collegas groei je stap voor stap naar zelfstandigheid.Jouw taken bestaan uit:Het bezoeken van locaties en inventariseren van asbesttoepassingenHet uitvoeren van metingen en nemen van monstersHet verwerken van bevindingen tot een helder onderzoeksrapportHet schrijven van adviezen voor opdrachtgeversHet meedraaien in calamiteitendiensten (gemiddeld 5 keer per jaar)Naast asbest kom je in aanraking met bredere projecten binnen de afdeling Gevaarlijke Stoffen, bijvoorbeeld in de industrie of bij groot vastgoed. Dit maakt je werk gevarieerd en toekomstbestendig.Wij bieden jouEen volledig opleidingstraject tot DIA, verzorgd door SGSBegeleiding en kennisdeling van ervaren collegasDoorgroeimogelijkheden richting specialist, projectleider of andere rollen binnen Gevaarlijke StoffenRuimte om te leren in een multidisciplinair teamWat we van jou vragenMinimaal mbo-werk- en denkniveau (mbo Bouwkunde niveau 4 is een pr)Rijbewijs BEnkele jaren werkervaring in de bouw of industrie is mooi meegenomenJe werkt zorgvuldig en gestructureerdJe kunt goed met een tablet/digitale systemen overwegJe communiceert prettig en duidelijk, met bewoners, klanten n collegasJe bent leergierig, zelfstandig en neemt verantwoordelijkheidArbeidsvoorwaardenEen goed salaris en auto van de zaakTelefoon en tabletJaarcontract met uitzicht op een vaste aanstelling28 vakantiedagen en de mogelijkheid om extra dagen te kopenGoede secundaire voorwaarden: sportfaciliteiten en een prima pensioenregelingEen professionele n informele werkomgeving met betrokken collegasInteresse?Wil je je loopbaan starten in de bouwkundige inspecties en jezelf ontwikkelen binnen een breed vakgebied? Neem dan contact op met Adam Schafer, Recruiter SGS Search: 06-51810700 of adam.schafer@sgs.com.
We maken graag kennis met je!"
3648487,"Traineeship Bouwkundig Inspecteur Zuid Holland ","https://jobs.smartrecruiters.com/SGS/744000083400350-traineeship-bouwkundig-inspecteur-zuid-holland-","SGS","Spijkenisse","No","Not specified","Full time","2025-09-23T20:25:36.301981Z","Wat houdt het traineeship in?Tijdens dit traineeship krijg je een praktische opleiding van 3 maanden waarin je stap voor stap wordt klaargestoomd voor het werk als DIA-inspecteur. Je volgt theorie- en praktijktrainingen, loopt mee met ervaren collegas en groeit snel naar zelfstandigheid.Je werkzaamheden tijdens het traineeship:Meelopen bij inspecties op locatie en leren inventariseren van asbesttoepassingen.Oefenen met metingen en monstername onder begeleiding.Leren hoe je onderzoeksrapportages opstelt en bevindingen verwerkt.Schrijven van adviezen voor opdrachtgevers.Kennismaken met bredere projecten binnen gevaarlijke stoffen.Na succesvolle afronding van het traineeship kun je zelfstandig aan de slag als Junior Bouwkundig Inspecteur (DIA).Wat wij jou biedenEen betaald traineeship van 3 maanden tot gecertificeerd DIA-inspecteur.Intensieve begeleiding en kennisdeling van ervaren collegas.Doorgroeimogelijkheden richting specialist, projectleider of andere functies.Een professioneel n informeel team waarin leren en samenwerken centraal staan.Wat we van jou vragenMinimaal mbo-werk- en denkniveau (richting bouwkunde is een pr).Rijbewijs B.Interesse in de bouw, techniek of industrie.Je bent leergierig, zorgvuldig en communicatief vaardig.Handig met digitale systemen (tablet, apps).ArbeidsvoorwaardenVanaf dag n ontvang je een marktconform salaris en een auto van de zaak.Telefoon en tablet.Jaarcontract met uitzicht op een vaste aanstelling na het traineeship.28 vakantiedagenUitstekende secundaire voorwaarden.Klaar om te starten?Wil jij je loopbaan beginnen met een traineeship waarin je leert n werkt tegelijk?
Neem dan contact op met Adam Schafer, Recruiter SGS Search: 06-51810700"
3648486,"Traineeship Junior Bouwkundig Inspecteur (DIA) Regio Zeeland","https://jobs.smartrecruiters.com/SGS/744000083401427-traineeship-junior-bouwkundig-inspecteur-dia-regio-zeeland","SGS","Goes","No","Not specified","Full time","2025-09-23T20:25:36.302002Z","Wat houdt het traineeship in?Tijdens dit traineeship krijg je een praktische opleiding van 3 maanden waarin je stap voor stap wordt klaargestoomd voor het werk als DIA-inspecteur. Je volgt theorie- en praktijktrainingen, loopt mee met ervaren collegas en groeit snel naar zelfstandigheid.Je werkzaamheden tijdens het traineeship:Meelopen bij inspecties op locatie en leren inventariseren van asbest.Oefenen met metingen en monstername onder begeleiding.Leren hoe je onderzoeksrapportages opstelt en bevindingen verwerkt.Schrijven van adviezen voor opdrachtgevers.Kennismaken met bredere projecten binnen gevaarlijke stoffen.Na succesvolle afronding van het traineeship kun je zelfstandig aan de slag als Junior Bouwkundig Inspecteur.Wat wij jou biedenEen betaald traineeship van 3 maanden tot gecertificeerd DIA-inspecteur.Intensieve begeleiding en kennisdeling van ervaren collegas.Doorgroeimogelijkheden richting specialist, projectleider of andere functies.Een professioneel n informeel team waarin leren en samenwerken centraal staan. Wat we van jou vragenMinimaal mbo-werk- en denkniveau (richting bouwkunde is een pr).Rijbewijs B.Interesse in de bouw, techniek of industrie.Je bent leergierig, zorgvuldig en communicatief vaardig.Handig met digitale systemen (tablet, apps).ArbeidsvoorwaardenVanaf dag n ontvang je een marktconform salaris en een auto van de zaak.Telefoon en tablet.Jaarcontract met uitzicht op een vaste aanstelling na het traineeship.28 vakantiedagenUitstekende secundaire voorwaarden (o.a. sportfaciliteiten, pensioen).Klaar om te starten?Wil jij je loopbaan beginnen met een traineeship waarin je leert n werkt tegelijk?
Neem dan contact op met Adam Schafer, Recruiter SGS Search: 06-51810700"
3648485,"Deskundig Inventariseerder Asbest (DIA) Regio Randstad Utrecht","https://jobs.smartrecruiters.com/SGS/744000083402078-deskundig-inventariseerder-asbest-dia-regio-randstad-utrecht","SGS","Utrecht","No","Not specified","Full time","2025-09-23T20:25:36.302024Z","Geen dag is hetzelfdeJe dag start vanuit huis. Na de voorbereidingen die je reeds hebt getroffen is het tijd om op pad te gaan. Grote en complexe projecten geven jou een kick, en je voelt je verantwoordelijk voor het goed ten uitvoer brengen van grotere inventarisatieopdrachten en/of de portefeuille van opdrachten van grotere opdrachtgevers.  Je bent in staat het grotere plaatje te zien en durft verder te kijken dan de gebaande paden en bent van A-Z betrokken.Jouw verantwoordelijkheden:De opdracht vertalen in een plan van aanpak: Je identificeert mogelijke obstakels en stelt een doordacht inventarisatieplan op.Het correct uitvoeren van een asbestinventarisatie: Van voorbereiding tot uitvoering en afronding; jij beheert het volledige proces.Bevindingen uitwerken in een onderzoeksrapport: Je werkt je bevindingen helder en gestructureerd uit.Advies schrijven voor de opdrachtgever: Jouw advies houdt rekening met de situatie en doelen van de opdrachtgever, wat zorgt voor een echte meerwaarde voor de projecten.Overkoepelend projectmanagement: Overleggen met de opdrachtgever over de resultaten en bewaken van de voortgang.Met jouw ervarenheid ben je een onmisbare schakel in het succesvol afronden van grote en complexe projectenHeb jij de juiste bagage?Om als inspecteur asbest een goede start te maken heb je minimaal 3 jaar werkervaring als DIA en een rijbewijs B. We zoeken een collega die verantwoordelijkheid neemt in eigen projecten, en ook bereid is om kenis en ervaring over te brengen op andere collegas.Daarnaast zoeken we de volgende eigenschappen in onze nieuwe collega:Je werkt gestructureerd en regelt zaken goed en zorgvuldigJe bent eager om te blijven lerenJe kunt goed communiceren met diverse stakeholders en schakelt makkelijk met je collegasJe bent klant- en oplossingsgerichtJe bent kritisch en draagt bij aan het verbeteren van processen.Je neemt verantwoordelijkheid voor jouw eigen projecten. Je bent bereid jouw kennis en ervaring te delen met startende collegas. Je bent kritisch en draagt bij aan het verbeteren van processen.Mooie vooruitzichtenJe komt terecht in een organisatie die naar je luistert en jouw input waardeert. Werken bij SGS Search heeft vele voordelen, ook wat arbeidsvoorwaarden betreft:Salaris vanaf 3300.- en een auto van de zaakAlle tools om jouw functie uit te voeren zoals: telefoon, tablet, kleding, gereedschap etc.Jaarcontract met uitzicht op een vaste aanstelling28 vakantiedagen en de mogelijkheid om extra vakantiedagen te kopenGoede secundaire arbeidsvoorwaarden: sportfaciliteiten en een prima pensioenregelingWij investeren met opleidingen in jouw toekomst
Interesse? Spreekt deze functie jou aan, maar wil je eerst nog wat meer informatie? Neem dan contact op met Adam Schafer, recruiter SGS Search, via telefoonnummer: 06-51810700 of adam.schafer@sgs.com. We kijken ernaar uit om kennis met je te maken!"
