"ID","Title","Link","Company","Location","Remote","Experience","EmploymentType","DatePosted","RoleDescription"
3645714,"Senior Partner Engineer - Experience","https://jobs.lever.co/spotify/ea111664-189b-4b87-8b6c-b94b4206591e","spotify","Stockholm","No","Not specified","Full time","2025-09-23T20:25:31.416416Z","Were looking for a Senior Partner Engineer to join one of our teams that owns partner integrations with major platforms. In this role, you will collaborate with stakeholders, both internal and external, to drive integrations, resolve technical issues, and enhance the overall Spotify experience.As a member of our team, you will become an expert in our partner integrations: a diverse range of APIs and SDKs.You will collaborate with partners all around the world, and work with them to integrate the Spotify experience into their platforms and surfaces; or understand their requirements and translate them into actionable work for our engineering teams.Spotify is an equal opportunity employer. You are welcome at Spotify for who you are, no matter where you come from, what you look like, or whats playing in your headphones. Our platform is for everyone, and so is our workplace. The more voices we have represented and amplified in our business, the more we will all thrive, contribute, and be forward-thinking! So bring us your personal experience, your perspectives, and your background. Its in our differences that we will find the power to keep revolutionizing the way the world listens.At Spotify, we are passionate about inclusivity and making sure our entire recruitment process is accessible to everyone. We have ways to request reasonable accommodations during the interview process and help assist in what you need. If you need accommodations at any stage of the application or interview process, please let us know - were here to support you in any way we can.Spotify transformed music listening forever when we launched in 2008. Our mission is to unlock the potential of human creativity by giving a million creative artists the opportunity to live off their art and billions of fans the chance to enjoy and be passionate about these creators. Everything we do is driven by our love for music and podcasting. Today, we are the worlds most popular audio streaming subscription service.What You'll DoDrive partner-specific projects where we will enable the Spotify experience for millions of users around the world. Drive a holistic approach to partner management and related processes by owning the partner journey and driving improvement initiatives.Develop effective communication strategies based on partner and Spotify needs, and work within a community of Partner Engineers to continuously improve standards, strategies, and frameworks.Unblock internal and external teams by figuring out dependencies, assessing technical risks, and clarifying uncertainty.Ensure that our partner solutions are reusable and take into account larger strategic concerns.Ensure that the Spotify experience we ship with our partners is of high quality and continuously improves.Ensure testing and bug reporting practices are robust, including automated tests to maintain quality and efficiency.Mentor and coach less experienced Partner Engineers.Who You AreYouve worked closely with partners, customers, vendors, etc. and are an excellent communicator across different cultures and different domains (product, business, engineering, design, etc.)You have experience working in Software Engineering in an agile environment. You understand and can explain our diverse APIs, SDKs and systems.You have experience in programming languages, preferably Kotlin, Swift of Java, in a professional setting.You can recognize operational processes that need improvement, and you have the drive to improve them.You are comfortable with flexible working hours to accommodate video calls in different time zones.You are able to travel on occasion to visit partners.Where You'll BeThis role is based in Stockholm or London.We offer you the flexibility to work where you work best! There will be some in person meetings, but still allows for flexibility to work from home."
3645713,"Partner Manager, Digital Culture Creators","https://jobs.lever.co/spotify/6950cded-c579-4140-8d52-531738cc9b35","spotify","United States of America (Home Mix)","No",5,"Full time","2025-09-23T20:25:31.416510Z","We are seeking a Creator Manager to join our Partner Management team to build strong relationships with creators in the digital creator space. The Creator Partner Manager will provide tailored partner management support through performance insights, audience development, product evangelization and content education, serving as an overall ambassador for Spotify. The Creator Partner Manager will be responsible for understanding creators goals and identifying Spotify opportunities that align to increase and engage their audience. The right candidate has pre-existing direct relationships with creators and/or podcasters who are digital-first, is passionate about podcast content, highly organized, enjoys working in a fast-paced environment, has strong project management skills and is able to work with a variety of partners.The United States base range for this position is $92,126 -$131,609 plus equity. The benefits available for this position include health insurance, six month paid parental leave, 401(k) retirement plan, monthly meal allowance, 23 paid days off, 13 paid flexible holidays. These ranges may be modified in the future.Spotify is an equal opportunity employer. You are welcome at Spotify for who you are, no matter where you come from, what you look like, or whats playing in your headphones. Our platform is for everyone, and so is our workplace. The more voices we have represented and amplified in our business, the more we will all thrive, contribute, and be forward-thinking! So bring us your personal experience, your perspectives, and your background. Its in our differences that we will find the power to keep revolutionizing the way the world listens.At Spotify, we are passionate about inclusivity and making sure our entire recruitment process is accessible to everyone. We have ways to request reasonable accommodations during the interview process and help assist in what you need. If you need accommodations at any stage of the application or interview process, please let us know - were here to support you in any way we can.Spotify transformed music listening forever when we launched in 2008. Our mission is to unlock the potential of human creativity by giving a million creative artists the opportunity to live off their art and billions of fans the chance to enjoy and be passionate about these creators. Everything we do is driven by our love for music and podcasting. Today, we are the worlds most popular audio streaming subscription service.What You'll DoManage day to day relationships with a large portfolio of Spotify creators in the digital culture spaceHelp creators leverage the various tools, products and services that Spotify has to offerLeverage data and insights to educate creators on content best practices and how to optimize performanceCollaborate cross functionally with wider Spotify organizations to highlight creators and support their initiativesIdentify, recruit, and onboard high potential creators to Spotify Track, analyze and manage key quantitative metrics and business trends across a large portfolio of partnersSolicit, organize and contextualize product feedback from creators and support with dataStreamline partner communications for emails, webinars, office hours, etc. to ensure creators stay engaged on the platformWho You AreYou have 5+ years of partner facing experience in talent/creator relations, account management, and/or business development at a podcast or social platform, talent management company, studio or networkYou have strong, pre-existing relationships with podcasters and creatorsYou have an excellent understanding of the podcasting landscapeincluding major players and key trendsYou have exceptional communications skills and the ability to respond to emails in a timely mannerYou are comfortable using quantitative and qualitative data to build and drive strategyYou have a deep passion for social platforms, celebrity culture, pop-culture, film &amp; tv, and youth focused entertainmentYou are passionate about the evolution of podcasting, have a pulse on internet culture and enjoy consuming podcasts and other spoken word contentYou believe that best-in-class customer service leads to better business resultsYou thrive in a fast-paced environment and high stakes situations and are comfortable taking accountability for KPIsWhere You'll BeThis role is based in Austin, TexasWe offer you the flexibility to work where you work best! There will be some in person meetings, but still allows for flexibility to work from homeWe ask that you come in 2-3 times per week"
3645712,"Investment Partnerships Lead, EMEA","https://jobs.lever.co/spotify/4a6bcd72-8b96-401f-8bd9-dcebfedf38e7","spotify","London","No","Not specified","Full time","2025-09-23T20:25:31.416538Z","Sell what you love. For us and millions of users across the globe, thats Spotify. Join the Sales team and youll build the relationships that help grow our business in existing markets and beyond. We dont just sell creative solutions to our clients and partners, we help to shape them; using our expert knowledge of ad products, sales channels and the industry to impact the way the world experiences music and podcasts. We are looking for a talented Investment Partnerships Lead to join our Global Advertising Investment Partnerships team. You will be contributing to the evolution of Spotifys Global Advertising Partnership strategy. We want someone who has a passion for advertising business and ability to work across different functions. Above all, your work will impact the way the world experiences music and podcasts.Spotify is an equal opportunity employer. You are welcome at Spotify for who you are, no matter where you come from, what you look like, or whats playing in your headphones. Our platform is for everyone, and so is our workplace. The more voices we have represented and amplified in our business, the more we will all thrive, contribute, and be forward-thinking! So bring us your personal experience, your perspectives, and your background. Its in our differences that we will find the power to keep revolutionizing the way the world listens.At Spotify, we are passionate about inclusivity and making sure our entire recruitment process is accessible to everyone. We have ways to request reasonable accommodations during the interview process and help assist in what you need. If you need accommodations at any stage of the application or interview process, please let us know - were here to support you in any way we can.Spotify transformed music listening forever when we launched in 2008. Our mission is to unlock the potential of human creativity by giving a million creative artists the opportunity to live off their art and billions of fans the chance to enjoy and be passionate about these creators. Everything we do is driven by our love for music and podcasting. Today, we are the worlds most popular audio streaming subscription service.What You'll DoOwn and steward the partnership process with various cross-functional internal stakeholders (Sales, Finance, Legal, Accounting, and Yield)Analyze existing partnerships in a data-driven way to help garner insights to enable leadership make strategic decisions for future deal negotiationsManage and develop cross-functional processes that address compliance requirementsOwn logistics, coordination of the contract generation and feedback processesEnsure alignment between internal stakeholder groupsProvide operational expertise to all teams in market, constantly looking for ways to improve and optimize partnership processesPartner with Business Operations to recommend ways to optimize and streamline our partnership processes, ranging from tool investment to optimizations of existing infrastructuresAssist local teams with the deal reconciliation processCultivate and sustain close communication and alignment with the local sales teams in order to support the Spotify Advertising goalsWho You AreYou have a Bachelors degreeYou have 6+ years in commercial partnerships, trading, sales planning, deal negotiation, and/or advertising client services at a media company and/or advertising agencyYou are organized and process-orientatedYou are experienced with Salesforce, Excel, and Google docsYou will work well and collaborate with internal teams to deliver concurrent value and resultsYou have an entrepreneurial spiritYou are a clear communicator and proactive problem-solverYou are able to work and thrive in a fast-paced, high-energy global environmentYou have demonstrable knowledge of Spotifys brand and business prioritiesWhere You'll BeThis role is based in LondonWe offer you the flexibility to work where you work best! There will be in person meetings, while also allowing for flexibility to work from home. We ask that you come in 3 times per week."
3645711,"India Communications Team Lead","https://jobs.lever.co/spotify/b7312fdf-44d5-42f3-bb15-0202934359ac","spotify","Mumbai","No",12,"Full time","2025-09-23T20:25:31.416556Z","Spotify is seeking a culturally aware, strategically sharp, and creatively inclined Communications Lead for India to craft and amplify our story across one of the worlds most dynamic and diverse markets. This position involves spearheading various communication consumer, corporate, trade, internal, and industry - with an emphasis on cohesive, audience-first storytelling thats both locally resonant and globally aligned. A key focus of is developing stories that celebrate India's diverse languages, cultures, and regions while crafting a consistent national brand voice. Youll also partner closely with our Government Affairs team on creative policy communications, helping position Spotify as a meaningful contributor to Indias creative economy.We need a strong people manager to lead a direct report and work with multiple departments like music, podcasting, product, growth, marketing, government affairs, social media, and agency teams - to improve communication strategies.We seek an inquisitive, adventurous, and tactical individual with a deep understanding of Indias media and regulatory landscape. Skilled in driving innovation, empowering creators, and prioritizing artists to elevate Indian voices on Spotify, showcasing how Spotify drives discovery, connection, and global opportunity.This position is located in Mumbai and directly reports to the Regional Head of Communications for South Asia, Middle East &amp; Africa (SAMEA).Spotify is an equal opportunity employer. You are welcome at Spotify for who you are, no matter where you come from, what you look like, or whats playing in your headphones. Our platform is for everyone, and so is our workplace. The more voices we have represented and amplified in our business, the more we will all thrive, contribute, and be forward-thinking! So bring us your personal experience, your perspectives, and your background. Its in our differences that we will find the power to keep revolutionizing the way the world listens.At Spotify, we are passionate about inclusivity and making sure our entire recruitment process is accessible to everyone. We have ways to request reasonable accommodations during the interview process and help assist in what you need. If you need accommodations at any stage of the application or interview process, please let us know - were here to support you in any way we can.Spotify transformed music listening forever when we launched in 2008. Our mission is to unlock the potential of human creativity by giving a million creative artists the opportunity to live off their art and billions of fans the chance to enjoy and be passionate about these creators. Everything we do is driven by our love for music and podcasting. Today, we are the worlds most popular audio streaming subscription service.What Youll DoChampion local creators and culture through earned-first, creator-centric campaigns that drive fandom, discovery, and dedication.Collaborate with content, editorial, and marketing teams to highlight regional voices and storytelling across channels.Leverage influencers, tastemakers, and Spotify-owned platforms to build cultural relevance and community connection.Align Indias priorities with global directives, ensuring the countrys perspective is acknowledged within Spotifys worldwide communications network.Serve as a trusted advisor to the Managing Director and functional leads on strategic, reputational, and business-critical moments.Advocate for Indias creative economy across consumer, policy, internal, and executive communications.Partner with Government Affairs and Policy teams to craft impactful narratives that support regulatory goals.Take initiative to recognize and handle reputational risks within India's changing media and regulatory environment.Lead corporate, B2B, and internal communications with clarity and cultural sensitivity.Support executive visibility and thought leadership through strong messaging, media engagement, and high-impact moments.Ensure Indias visibility across Spotifys global network, connecting teams and amplifying market influence.Maintain agency connections to deliver high-quality, locally attuned, and internationally coordinated output.Work closely with Music, Podcasts, Product Teams, Business Growth, Marketing, and Leadership to enhance business outcomes.Who You AreOver 12 years of experience leading communications campaigns across consumer, corporate, and policy sectors.Skilled storyteller and problem solver, adept in earned media, executive comms, influencer engagement, crisis/issues management, and coordinated channel planning.Experienced in navigating complex global organizations, building cross-functional alignment, and advising senior leaders with clarity and confidence.Deep understanding of Indias music, podcast, and storytelling culture, with strong networks across media, influencers, and creative communities.Calm under pressure, with sound judgment and instinct in fast-paced or sensitive situations, including Trust &amp; Safety and reputational challenges.Collaborative and low-ego connector who builds trust, translates Indias market dynamics for global teams, and aligns execution to impact.Passionate advocate for creators and Spotifys mission, energized by storytelling and motivated by cultural and business impact.Strong agency manager, able to champion creative ideas, manage budgets, and deliver high-quality, locally tailored results.Where You'll BeThis role will be based in Mumbai, IndiaWe offer you the flexibility to work where you work best! There will be some in-person meetings, but it still allows for flexibility to work from home."
3645710,"Core/C++ Engineer - Advertising","https://jobs.lever.co/spotify/38f459d7-4c9d-4f07-b63f-cd21b7e53d15","spotify","New York","Yes","Not specified","Full time","2025-09-23T20:25:31.416575Z","Our mission on the Advertising Product &amp; Technology team is to build a next generation advertising platform that aligns with our unique value proposition for audio and video. We work to scale the user experience for hundreds of millions of fans and hundreds of thousands of advertisers. This scale brings unique challenges as well as tremendous opportunities for our artists and creators.Advertising R&amp;D brings value to Spotify through our ad platform, allowing us to monetize the free tier and podcast content with ads. Client Delivery, a squad within the Ad Performance Platform product area, is looking to hire a C++ engineer. Client Delivery is responsible for key backend services, C++ services, and data pipelines that deliver thousands of concurrent ad campaigns to millions of users globally. We care about the timing and delivery of an ad. A motto of our team is, if there is an available ad to play, ensure that the ad does play.The United States base range for this position is $125,562 to $179,374 plus equity. The benefits available for this position include health insurance, six month paid parental leave, 401(k) retirement plan, monthly meal allowance, 23 paid days off, 13 paid flexible holidays, paid sick leave. This range encompasses multiple levels. Leveling is determined during the interview process. Placement in a level depends on relevant work history and interview performance. These ranges may be modified in the future.Spotify is an equal opportunity employer. You are welcome at Spotify for who you are, no matter where you come from, what you look like, or whats playing in your headphones. Our platform is for everyone, and so is our workplace. The more voices we have represented and amplified in our business, the more we will all thrive, contribute, and be forward-thinking! So bring us your personal experience, your perspectives, and your background. Its in our differences that we will find the power to keep revolutionizing the way the world listens.At Spotify, we are passionate about inclusivity and making sure our entire recruitment process is accessible to everyone. We have ways to request reasonable accommodations during the interview process and help assist in what you need. If you need accommodations at any stage of the application or interview process, please let us know - were here to support you in any way we can.Spotify transformed music listening forever when we launched in 2008. Our mission is to unlock the potential of human creativity by giving a million creative artists the opportunity to live off their art and billions of fans the chance to enjoy and be passionate about these creators. Everything we do is driven by our love for music and podcasting. Today, we are the worlds most popular audio streaming subscription service.What You'll DoHelp our squad own and maintain the C++ tools and libraries required to enable teams to test the C++ code they writeBecome a subject matter expert with regard to testing C++ code, and be able to assist others in testing their code effectively and efficientlySupport features with robust and flexible metadata fetching from backend, caching, and querying in the Spotify clientContribute to the shared C++ library powering our mobile and desktop clientsPartner with Data Scientists to understand and improve user experienceEnable low latency playback even in the most ambitious network conditionsMake sure off lining content works optimally and intuitivelyEnsure quality through automated testingWho You AreYou have experience writing C++ code, including some experience testingYou are an advocate for code quality and want to enable people to produce high-quality, well-tested code.You are interested in learning new things, always interested in expanding your breadth of knowledge as well as depth.You may have some experience in other related domains, like mobile development, embedded programming, or even build infrastructure or testing infrastructure supportYou have an interest in networking and data synchronizationCooperation with others while solving sophisticated problems is natural for you and you really want to make a differenceEnd-user experience, high quality, agile values and modern engineering practices are what drives youWhere You'll BeWe offer you the flexibility to work where you work best! For this role, you can be within the Americas region as long as we have a work location.This team operates within the Eastern time zone for collaboration."
3242261,"Backend Engineer - Subscriptions","https://jobs.lever.co/spotify/d652de00-8a88-4d43-ae25-7ab015b1c5fa","spotify","Stockholm","No","Not specified","Full time","2025-09-23T20:25:31.416590Z","The Subscriptions R&amp;D team oversees the entire user journey on Spotify and ensures we engage with people in innovative ways, every step of the way. Our team grows Spotifys audience by finding future listeners around the world and delivering the right value to them, at the right time. With research, product development, product design, engineering, and marketing all collaborating in one organization, were able to quickly create meaningful features and services for millions of people around the world, resulting in joyful, long-lasting relationships with Spotify. We're seeking a thoughtful backend Engineer to become part of a truly collaborative team. You'll work alongside engineers within your team, but also from teams across Spotify, all driving towards shared goals. Our current focus is a massive undertaking: launching and scaling the new version of Spotify's free product. Your role spans the full spectrum  from hands-on development and real-world experimentation within our team, to partnering with engineers across the company on cross-team collaborations. This is a fantastic environment to grow your backend development skills while working alongside experienced engineers on a high-impact product. Theres plenty of opportunity to take ownership and practice leadership. The features and functionality you build with us will reach millions of users every day.Spotify is an equal opportunity employer. You are welcome at Spotify for who you are, no matter where you come from, what you look like, or whats playing in your headphones. Our platform is for everyone, and so is our workplace. The more voices we have represented and amplified in our business, the more we will all thrive, contribute, and be forward-thinking! So bring us your personal experience, your perspectives, and your background. Its in our differences that we will find the power to keep revolutionizing the way the world listens.At Spotify, we are passionate about inclusivity and making sure our entire recruitment process is accessible to everyone. We have ways to request reasonable accommodations during the interview process and help assist in what you need. If you need accommodations at any stage of the application or interview process, please let us know - were here to support you in any way we can.Spotify transformed music listening forever when we launched in 2008. Our mission is to unlock the potential of human creativity by giving a million creative artists the opportunity to live off their art and billions of fans the chance to enjoy and be passionate about these creators. Everything we do is driven by our love for music and podcasting. Today, we are the worlds most popular audio streaming subscription service.What You'll DoHelp the squad deliver on its goals by working on hands-on feature development in a fast paced environment.Collaborate with engineers (Backend, iOS and Android), engineering manager, product manager, designers and data scientists to come up with the best possible solutions for the problems the squad is tasked with solvingSet up experiments with the functionality we build to help Spotify learn and improveCollaborate with key internal partners and stakeholders to determine how to scalably design backend systems and APlsParticipate actively in code reviews (both giving and receiving feedback) to maintain quality and learn best practicesContribute to the overall Spotify platform within the backend domainWho You AreYou have good communication skills and can articulate your ideas and ask clarifying questionsYou love collaborating with othersYou possess a foundational understanding of system design, data structures, and algorithms, coupled with a strong desire to learn quickly, embrace feedback, and continuously improve your technical skillsYou enjoy thinking through problems and collaborating to find pragmatic solutionsYou care about quality and know what it means to ship high-quality codeYou believe in the power of teamwork for achieving goals and thrive on collaborating with colleagues throughout the companyWhere You'll BeThis role is based in Stockholm or London.We offer you the flexibility to work where you work best! There will be some in person meetings, but still allows for flexibility to work from home. We ask that you come in 3 times per week."
3453144,"Senior Product Designer, AI & Learning","https://jobs.lever.co/spotify/9c49587d-a606-4e45-8d25-47f027d1733e","spotify","Stockholm","No","Not specified","Full time","2025-09-23T20:25:31.416607Z","Learning is one of the newest verticals on Spotify. We believe that we can make a real difference in how people learn and upskill, with our massive consumer and creator scale, personalisation technology and global brand love. This will be the next big step-change for Spotify after music, podcasts, and audiobooks.We are looking for a Senior Product Designer to work alongside a world-class R&amp;D team and key decision-makers. This role requires a broad remit, and we are looking for someone who thrives as a generalist builder  combining expertise in product design and AI.Spotify is an equal opportunity employer. You are welcome at Spotify for who you are, no matter where you come from, what you look like, or whats playing in your headphones. Our platform is for everyone, and so is our workplace. The more voices we have represented and amplified in our business, the more we will all thrive, contribute, and be forward-thinking! So bring us your personal experience, your perspectives, and your background. Its in our differences that we will find the power to keep revolutionizing the way the world listens.At Spotify, we are passionate about inclusivity and making sure our entire recruitment process is accessible to everyone. We have ways to request reasonable accommodations during the interview process and help assist in what you need. If you need accommodations at any stage of the application or interview process, please let us know - were here to support you in any way we can.Spotify transformed music listening forever when we launched in 2008. Our mission is to unlock the potential of human creativity by giving a million creative artists the opportunity to live off their art and billions of fans the chance to enjoy and be passionate about these creators. Everything we do is driven by our love for music and podcasting. Today, we are the worlds most popular audio streaming subscription service.Who You AreYou are passionate about Learning and Education: You possess a genuine enthusiasm for the space of learning and education. You are driven by your desire to create impactful experiences that transform how people learn now and in the future.Youve shipped products that people love: You know what it takes to transform ideas and concepts into well-crafted products that make a difference to people and the business.You demonstrate clarity of thought: You can cut through ambiguity and get to the heart of things. You can balance creativity with pragmatism and drive principled decision-making across the product development process. You care about Design excellence: You are adept at foundational design principles and the ability to apply them to create exceptional user experiences. You have a discerning eye for visual and content design, typography and layout  consistently delivering high-quality, bar-raising work. Youve experience with building AI-first workflows and products: You have a strong understanding and hands-on familiarity with AI tools, evals, and the unique challenges and opportunities of designing AI-driven products. Youre growth and impact-minded: You can operate in fast-paced entrepreneurial environments and know how to stay adaptable to changes and pivots  using change as an opportunity to grow.What You'll DoYou'll be responsible for design quality and cohesion of learning-related products across mobile and web.Invent the future through rapid prototyping: Youll demonstrate prototyping as a vehicle for exploring, testing, and creating momentum for our forward-looking strategies and ideas. You know how to use new-generation prototyping tools to get from ideas to findings quickly. Bring a human-centric mentality in everything you do: You are relentlessly curious about understanding the needs, motivations, and behaviors of people were designing for, especially in the context of AI. You'll be a champion for user-centered design principles, prioritizing usability, accessibility, inclusivity, and ethical considerations when building with AI.Inspire and influence through compelling storytelling: You will leverage the power of stories, narratives, and strategic positioning artifacts to drive impactful change and alignment across the team. Be ultra-collaborative: Youll work everyday in deep-partnership with tech, product, and insights colleagues, to brainstorm, build, and drive the project forward, humanizing complex technology into valuable user experiences.Define and design AI interaction patterns: Develop innovative interaction models, feedback mechanisms, and error handling strategies specific to AI-driven features, ensuring transparency and user control.Where You'll BeThis role is based in London or Stockholm.We offer you the flexibility to work where you work best! There will be some in person meetings, but still allows for flexibility to work from home. We ask that you come in 2-3 times per week. The team is based in Sweden and the UK. We are looking for someone who can work in the EMEA time zone."
3636991,"Data Engineer","https://jobs.lever.co/spotify/70c89d43-019b-43d9-a494-1954572b7c06","spotify","Toronto","No","Not specified","Full time","2025-09-23T20:25:31.416622Z","We are looking for a Data Engineer I to build data-driven engineering initiatives within the Financial Engineering Mission. The Sabre squad supports financial processes related to all Spotify Ads. The squad is responsible for delivering technology projects in the form of datasets and workflow automations to the Finance, Advertising Sales, Marketing, and other go-to-market (GTM) functions. Our main goal is to provide a seamless end-to-end revenue experience by building a scalable platform with highly trusted data for Spotify to grow and diversify revenue. Spotify is an equal opportunity employer. You are welcome at Spotify for who you are, no matter where you come from, what you look like, or whats playing in your headphones. Our platform is for everyone, and so is our workplace. The more voices we have represented and amplified in our business, the more we will all thrive, contribute, and be forward-thinking! So bring us your personal experience, your perspectives, and your background. Its in our differences that we will find the power to keep revolutionizing the way the world listens.At Spotify, we are passionate about inclusivity and making sure our entire recruitment process is accessible to everyone. We have ways to request reasonable accommodations during the interview process and help assist in what you need. If you need accommodations at any stage of the application or interview process, please let us know - were here to support you in any way we can.Spotify transformed music listening forever when we launched in 2008. Our mission is to unlock the potential of human creativity by giving a million creative artists the opportunity to live off their art and billions of fans the chance to enjoy and be passionate about these creators. Everything we do is driven by our love for music and podcasting. Today, we are the worlds most popular audio streaming subscription service.What You'll Do Work with innovative data processing frameworks, technologies, and platforms (Scala, Scio, Java, Flyte, Styx, Docker, etc. on GCP) to create accurate and timely financial processes Work closely with product managers and business partners to understand, analyze, document and implement complex Ad solutions.Help improve automated financial controls to ensure data quality and compliance across our systems while continuously evaluating performanceWork with other software engineers, data analysts, data scientists, and decision-makers, such as product owners, to build solutions and gain novel insights into the Ads businessWork in multi-functional agile teams with end-to-end responsibility for product development and delivery within your missionWho You Are You have experience in building production-quality data solutions with complex business domain logic You have strong SQL skills and are able to use data to answer business questions, troubleshoot problems, and make data-driven decisions. You have experience working cross functionally with technical and non technical stakeholdersYou care about data quality and have experience considering reliability and monitoring best practices and have experience implementing them in real systems You are a self-motivated contributor who can prioritize and deliver on projects while communicating effectively in a changing environmentYou care about agile software processes, data-driven development, reliability, and testability.Comfortable with tackling very loosely defined problems and thrive when working on a team which has autonomy in their day to day decisionsAd Tech or Financial experience is a plusWhere You'll BeThis role is based in Toronto. We offer you the flexibility to work where you work best! There will be some in person meetings, but still allows for flexibility to work from home. We ask that you come in 3 times per week."
3621631,"Senior Product Manager, Data Platform","https://jobs.lever.co/spotify/757be2aa-9cdd-4d38-94d0-8608fc426c8f","spotify","Toronto","Yes",5,"Full time","2025-09-23T20:25:31.416638Z","We are looking for a passionate and experienced Product Manager to join Spotifys Data Platform Studio. Data Platforms mission:Data is a means to an end, and Spotify extracts value from data through application. The Data Platform Studio impacts Spotify's success by enabling the application of data in an intuitive and efficient manner that aligns with standard methodologies.This position involves leading the Product function for two teams that are shaping the developer experience for data engineers and anyone working with data at the company. Due to the swift progress of AI and agents, this emerges as an incredibly captivating field.As the product manager, youll drive the strategy and roadmap to improve the experience developers in the data community in this new AI and Agentic world. This may involve building, buying, and integrating tools, as well as guiding users to use the best tool for their job. This is a high-impact role focused on enabling speed and quality for one of Spotifys most exciting technical domains. With rapid advances in AI and other technologies redefining this space, youll help shape Spotifys vision for how next-generation tools are integrated and how our practices adapt.What You'll DoDiagnose and understand the needs of the data developer community, identifying and prioritising the most impactful opportunities and problems to solve.Evaluate and deliver solutions - whether through building, buying, or integrating third-party tools - that improve the data developer experience.Craft and own the vision, strategy, roadmap and execution for data developer experience teams in the Data Platform studio.Track adoption and define critical metrics that reflect your strategy and cultivate a loop of incremental impact and learning.Influence and encourage. Sell that vision to your teams, the rest of the studio and our partners.Build strong, ongoing relationships with internal product and data teams to deeply understand their needs, champion feedback loops, and co-evolve tooling and solutions.Collaborate and align with other platform teams to shape the broader developer experience and AI tooling across all R&amp;D domains.Partner closely with product, engineering, design, and data science teams to build and deliver solutions that our users love.Find opportunities to modernize and automate through emerging AI capabilities and tools.Stay updated on trends and standard methodologies in the developer experience and more specifically the data engineering space. Serve as a champion for data tooling within Spotify.Who You AreYou have 5+ years of product management experience. Bonus points if you have experience working in the Data Platform or Developer Experience domains.You have a technical background - a degree in Computer Science/Engineering or 2+ years engineering experience in industry.Youre an excellent story-teller and collaborator, able to inspire, influence and align partners across mutiple subject areas and levels of technical expertise.Youre proficient in modern product development practices, and have a deep empathy for individuals and teams who work with data.You bring a strong systems-thinking approach and can connect dots across platforms, workflows, and business needs.Youre excited about how AI will simplify and supercharge products, and you have a track record of evaluating or applying new technologies.You lead with humility - supporting, mentoring, and amplifying your teams success while driving momentum and clarity.Where You'll BeThis role is based in Toronto. We offer you the flexibility to work where you work best! There will be some in person meetings, but still allows for flexibility to work from home."
3621630,"Machine Learning Engineer - Advertising","https://jobs.lever.co/spotify/a89baf23-6973-4e51-bd92-7dbf617040eb","spotify","New York","Yes",2,"Full time","2025-09-23T20:25:31.416653Z","Our mission on the Advertising Product &amp; Technology team is to build a next generation advertising platform that aligns with our unique value proposition for audio and video. We work to scale the user experience for hundreds of millions of fans and hundreds of thousands of advertisers. This scale brings unique challenges as well as tremendous opportunities for our artists and creators.We are seeking a Machine Learning Engineer II with expertise in machine learning model development, AI engineering, online experimentation techniques, and large-scale engineering systems. This role will lead strategic initiatives and projects within CareML.The CareML squad focuses on enabling review for podcast content and ads with respect to brand safety and suitability. By leveraging data and experimentation, we aim to categorize topics existing on both content and ads in various taxonomies that are used to drive large-scale ad serving systems for all of Spotify. We operate on the cutting edge of both machine learning and AI engineering, employing both in-house first party models developed through traditional machine learning and third-party foundation models leveraged from different providers.We are looking for someone who is motivated by user and business problems as much as they are by technical problems, and who enjoys ambiguity, brainstorming, experimentation, and iteration. You will work in close collaboration with key stakeholders across engineering, product, business, and leadership teams to build the most impactful solutions for our Spotify listeners and business.The United States base range for this position is $138,250.00 - $197,500.00, plus equity. The benefits available for this position include health insurance, six month paid parental leave, 401(k) retirement plan, monthly meal allowance, 23 paid days off, 13 paid flexible holidays, paid sick leave. This range encompasses multiple levels. Leveling is determined during the interview process. Placement in a level depends on relevant work history and interview performance. These ranges may be modified in the future.Spotify is an equal opportunity employer. You are welcome at Spotify for who you are, no matter where you come from, what you look like, or whats playing in your headphones. Our platform is for everyone, and so is our workplace. The more voices we have represented and amplified in our business, the more we will all thrive, contribute, and be forward-thinking! So bring us your personal experience, your perspectives, and your background. Its in our differences that we will find the power to keep revolutionizing the way the world listens.At Spotify, we are passionate about inclusivity and making sure our entire recruitment process is accessible to everyone. We have ways to request reasonable accommodations during the interview process and help assist in what you need. If you need accommodations at any stage of the application or interview process, please let us know - were here to support you in any way we can.Spotify transformed music listening forever when we launched in 2008. Our mission is to unlock the potential of human creativity by giving a million creative artists the opportunity to live off their art and billions of fans the chance to enjoy and be passionate about these creators. Everything we do is driven by our love for music and podcasting. Today, we are the worlds most popular audio streaming subscription service.What You'll DoDesign and implement machine learning systems to categories ad and podcast contentResearch and apply best practices for driving automation with respect to human review processes Partner with multiple teams to shape and enhance shared systems and pipelines Come up with creative ways to apply AI tools to develop innovative solutionsCollaborate with and backend engineers, data scientists, and product managers to establish baselines, inform product decisions, and develop new technologiesWho You AreYou have professional experience in applied machine learningYou are proficient in programming languages such as Python, Java, or ScalaYou have experience with operating in a cloud-native infrastructureYou have worked with LLMs to deliver solutions through AI engineeringAs a plus, you may have experience with adtech, categorization systems, and evaluation tools / data curation techniquesWhere You'll BeWe offer you the flexibility to work where you work best! For this role, you can be within the Americas region as long as we have a work location.This team operates within the Eastern time zone for collaboration."
