"ID","Title","Link","Company","Location","Remote","Experience","EmploymentType","DatePosted","RoleDescription"
3644507,"Senior NetSuite Business Systems Analyst","https://jobs.lever.co/whoop/6d6e27bb-456f-4314-980a-838dec2a81aa","Whoop","Boston","No",5,"Full time","2025-09-23T20:25:24.004538Z","At WHOOP, we're on a mission to unlock human performance and healthspan. WHOOP empowers members to perform at a higher level through a deeper understanding of their bodies and daily lives.WHOOP is hiring a Senior NetSuite Business Systems Analyst to join the Business Systems team. BSA roles can take different shapes at different companies; we are looking for a strong technical skillset accompanied by an excellent ability to understand user needs and make sound prioritization and implementation decisions. Strong candidates will be experts in all facets of the NetSuite platform and will know how to solve business problems with NetSuite being some part of the solution.This role will serve as a bridge between Finance, Operations (Supply Chain, Manufacturing, Quality, Logistics), and Engineering - ensuring that WHOOPs NetSuite environment and integrations scale with our rapid growth. You will partner with other teams to gather requirements, design workflows, and deliver system enhancements, while also developing technical solutions through scripting, APIs, and automation. By combining strong business process expertise with hands-on technical skills, you will play a critical role in optimizing WHOOPs core financial and operational systems.*This role is based in the WHOOP office located in Boston, MA. The successful candidate must be prepared to relocate if necessary to work out of the Boston, MA office.*Interested in the role, but dont meet every qualification? We encourage you to still apply! At WHOOP, we believe there is much more to a candidate than what is written on paper, and we value character as much as experience. As we continue to build a diverse and inclusive environment, we encourage anyone who is interested in this role to apply.WHOOP is an Equal Opportunity Employer and participates in E-verify to determine employment eligibility.  It is unlawful in Massachusetts to require or administer a lie detector test as a condition of employment or continued employment. An employer who violates this law shall be subject to criminal penalties and civil liability.RESPONSIBILITIES:Serve as the NetSuite subject matter expert, partnering with Finance, Operations, and cross-functional teams to understand business needs and deliver solutions.Partner with stakeholders to gather business requirements and translate them into scalable NetSuite solutions.Configure and customize NetSuite, including workflows, custom records, scripts (SuiteScript), and saved searches.Design and implement integrations between NetSuite and other business-critical systems in collaboration with Engineering.Lead requirements gathering, solution design, testing, and deployment for NetSuite enhancements and projects.Support and optimize end-to-end financial and operational processes, including order-to-cash, procure-to-pay, and revenue recognition.Develop technical documentation, process guides, and training for end users.Proactively identify opportunities for automation and efficiency improvements across systems and workflows.QUALIFICATIONS:BS in Information Systems, Computer Science, Business, or equivalent experience.5+ years of experience in NetSuite administration, business systems analysis, or consulting with both functional and technical responsibilities.Strong understanding of NetSuite financials (GL, AP, AR, Revenue) and operational modules.Hands-on experience with SuiteScript (1.0/2.0), workflows, custom objects, and NetSuite APIs.Experience designing and supporting integrations with NetSuite (e.g., middleware, APIs, ETL tools).Ability to translate business processes into scalable system designs and technical requirements.Excellent problem-solving skills with strong attention to detail and analytical rigor.Effective communication skills, with proven success collaborating across technical and non-technical teams.Strong commitment to embracing and leveraging AI tools in day-to-day tasks, ensuring AI-assisted work aligns with the same high-quality standards as personal contributions."
3644506,"Senior Hardware Engineering Program Manager, Apparel and Accessories","https://jobs.lever.co/whoop/11a9af49-4bc7-4fe4-8f48-12605441f774","Whoop","Boston","No",5,"Full time","2025-09-23T20:25:24.004655Z","At WHOOP, were on a mission to unlock human performance and healthspan. WHOOP empowers members to perform at a higher level through a deeper understanding of their bodies and daily lives.WHOOP is hiring a Senior Hardware Engineering Program Manager, Apparel and Accessories, to drive the development of technical garments and accessories that elevate the WHOOP member experience. In this role, you will serve as a cross-functional leader, ensuring that hardware, apparel, and accessories projects are executed with precision and brought to market on time. Youll partner closely with Engineering, Supply Chain, and Creative teams to influence the next generation of WHOOP products, ensuring quality, performance, and innovation in everything we deliver.WHOOP is an Equal Opportunity Employer and participates in E-verify to determine employment eligibility. It is unlawful in Massachusetts to require or administer a lie detector test as a condition of employment or continued employment. An employer who violates this law shall be subject to criminal penalties and civil liability.This role is based in the WHOOP office located in Boston, MA. The successful candidate must be prepared to relocate if necessary to work out of the Boston, MA office.RESPONSIBILITIES:Lead end-to-end project management for the Apparel and Accessories portfolio, including planning, execution, and on-time delivery of new product launches and major refreshes.Build and maintain the detailed project schedules, taking into account the unique workflows of the Hardware and Accessories team. Drive alignment between cross-functional teams - including Hardware Engineering, WHOOPLabs, Quality, and Creative teams - to ensure product performance and member experience standards are met.Manage development builds with external partners and suppliers, ensuring seamless collaboration and execution against program objectives.Support the team in prioritizing and planning testing activities, from focused design-of-experiments (DOEs) to large-scale wear tests.Own and evolve the risk and issue management framework, ensuring effective mitigation strategies and transparent reporting to stakeholdersIdentify areas for process improvement within the product development lifecycle and implement scalable solutions that improve efficiency and quality.Guide teams through WHOOPs New Product Development Process while remaining adaptable in a fast-paced, ambiguous environment.QUALIFICATIONS:Bachelor's degree in Engineering, Material Science, or related technical field.5+ years of experience in consumer products, ideally in soft goods or hardware-related industries.Proven track record of successfully launching multiple products from concept through commercialization.Strong experience managing both technical and non-technical stakeholders across cross-functional teams.Experience coordinating with Engineering, Manufacturing, and global external partnersExceptional organizational, time management, and multitasking skills with the ability to manage complex project portfolios.Entrepreneurial mindset with the ability to set and achieve ambitious goals in fast-paced, innovative environments.Skilled in creating and maintaining detailed project schedules and reporting structures.Working knowledge of sourcing timelines and material development workflowsAbility to travel internationally to support engineering builds (up to 15%)"
3635196,"Senior Global Supply Manager (Electromechanical)","https://jobs.lever.co/whoop/6fbb155e-e428-4f97-9347-cf2911d5f615","Whoop","Boston","No",6,"Full time","2025-09-23T20:25:24.004691Z","At WHOOP, we're on a mission to unlock human performance and healthspan. WHOOP empowers users to perform at a higher level through a deeper understanding of their bodies and daily lives.As a Global Supply Manager, you will work with WHOOP supply chain, hardware  engineering, and other internal teams to manage electromechanical component suppliers and distributors located in Asia and North America.This role is based in the WHOOP office located in Boston, MA. The successful candidate must be prepared to relocate if necessary to work out of the Boston, MA office. Interested in the role, but dont meet every qualification? We encourage you to still apply! At WHOOP, we believe there is much more to a candidate than what is written on paper, and we value character as much as experience. As we continue to build a diverse and inclusive environment, we encourage anyone who is interested in this role to apply.WHOOP is an Equal Opportunity Employer and participates in E-verify to determine employment eligibility.  It is unlawful in Massachusetts to require or administer a lie detector test as a condition of employment or continued employment. An employer who violates this law shall be subject to criminal penalties and civil liability.RESPONSIBILITIES:Own the commercial interaction with suppliers from quoting through execution stages for all their cost elements and incurred variancesManage weekly, monthly, quarterly reviews with suppliers to discuss capacity plans, clear-to-build readiness evaluation, and key performance indicatorsConstantly monitor material component market trends to mitigate any potential supply risks Experience managing supply and demand at scale within a high-volume consumer product company, with a proven ability to balance cost, quality, and delivery across global supply chainsMonitor, audit and approve supplier quoting and observe trends in actual billingEvaluate sourcing opportunities to optimize quality/delivery/cost/inventory targetsPartner with the hardware engineering team to drive supplier improvements and support modifications for sustaining partsWork collaboratively in a startup environment with a high performance supply chain and sustaining hardware engineering teamFoster cross-functional collaboration in a fast-paced, high-growth environmentProvide support to other Global Supply Managers as needed to ensure cross-commodity alignment and business continuityTravel up to 25% globally to manage supplier relationshipsQUALIFICATIONS:BS degree in supply chain management, logistics or business administration. Electrical engineering technical education and working experience background is a big plus6+ years of experience in strategic sourcing and commodity management in an CM/JDM/ODM environment where all finished goods production is a combination of overseas outsourcing as well as internally manufactured. Technical engineering background is a big plus but not a must;Knowledge in fitness wearables and associated electromechanical supply base desired, especially bare printed circuit boards, lithium ion battery cels, USB cables, material in Asia and North AmericaStrong understanding and extensive experience working with Asia suppliers desiredMandarin Chinese language skills desired but not a mustCertifications in APICS-CSCP or ISM-CPSM desiredExperience in Arena PLM software a plusExperience in NetSuite ERP a plus"
3635195,"Senior Business Analyst (Healthcare Product)","https://jobs.lever.co/whoop/52dd117b-3365-4a0e-8e13-32a174b2da7e","Whoop","Boston","No",4,"Full time","2025-09-23T20:25:24.004720Z","At WHOOP, we're on a mission to unlock human performance and healthspan. WHOOP empowers users to perform at a higher level through a deeper understanding of their bodies and daily lives. We are hiring a Senior Analyst to partner closely with our Healthcare Product team, work on future-focused health initiatives, and support the broader digital health and clinical teams in their efforts to utilize data and insights to make informed decisions on their roadmap and continuously improve the member experience. We are looking for an individual who can be fluent in data, driven by product thinking and is looking to deeply understand and tackle complex analytics challenges. This person should feel empowered to foster their own curiosity and raise support for ideas that meaningfully impact the WHOOP member experience.This role is based in the WHOOP office located in Boston, MA. The successful candidate must be prepared to relocate if necessary to work out of the Boston, MA office.Interested in the role but dont meet every qualification? We encourage you to apply! At WHOOP, we believe theres more to a candidate than whats on paper, and we value character as much as experience. As we continue to build a diverse and inclusive environment, we welcome all applicants.WHOOP is an Equal Opportunity Employer and participates in E-verify to determine employment eligibility. It is unlawful in Massachusetts to require or administer a lie detector test as a condition of employment or continued employment. An employer who violates this law shall be subject to criminal penalties and civil liability.RESPONSIBILITIES:Collaborate closely with Product, Digital &amp; Connected Health, Software, UX, Data Science, Marketing, and Strategic Finance teams to break down and prioritize the product strategy and roadmap.Develop a deep understanding of WHOOP's database and tools to effectively drive data-driven proposals to internal stakeholders on necessary changes.Help build and refine health-specific KPIs, including engagement with relevant features, adoption of recommended behaviors, and member-reported value.Uncover insights about key member segments  including those managing hormonal health, cardiometabolic health, or looking for more personalized wellness support.Create repeatable tools and processes for analytics across new health features and algorithms from data pipelines to dashboards and weekly health performance reviews.Collaborate with a high-performance team in a fast-paced environment, providing thought leadership to identify the most impactful ways to drive decisions and improve retention. QUALIFICATIONS:4+ years of experience in a deeply strategic/analytical role, including partnership with clinical, product, data science, or engineering teams.Able to take broad questions, wrangle appropriate data, quickly isolate and model key insights, visualize results and communicate actionable recommendations.Strong storytelling skills  able to create compelling and concise presentations that convey actionable solutions to complex, ambiguous problems.Demonstrated success in influencing senior stakeholders and leadership on strategic direction based on analytical recommendations. Experience working with data engineering and development teams on complex datasetsAdvanced skills in SQL and general understanding of ELT (dbt) and data warehousing (Snowflake) structures, as well as data visualization (eg. Amplitude, Sigma, Hex). Python is a plus.Strong commitment to embracing and leveraging AI tools in day-to-day tasks, ensuring AI-assisted work aligns with the same high-quality standards as personal contributions."
3635194,"Director, Brand Media","https://jobs.lever.co/whoop/2bbe9500-dfac-4f70-9d7f-d7855f587ddd","Whoop","Boston","No",8,"Full time","2025-09-23T20:25:24.004749Z","At WHOOP, we're on a mission to unlock human performance and healthspan. WHOOP empowers members to perform at a higher level through a deeper understanding of their bodies and daily lives.WHOOP is hiring a Director of Brand Media to lead the development and execution of global media strategies that drive brand awareness and consideration across a diverse mix of traditional and digital channels. This role plays a critical part in elevating WHOOP's global presence, introducing the brand to new audiences, and ensuring our media investments reflect WHOOPs innovation, ambition, and values.Interested in the role, but dont meet every qualification? We encourage you to still apply! At WHOOP, we believe there is much more to a candidate than what is written on paper, and we value character as much as experience. As we continue to build a diverse and inclusive environment, we encourage anyone who is interested in this role to apply.WHOOP is an Equal Opportunity Employer and participates in E-verify to determine employment eligibility. It is unlawful in Massachusetts to require or administer a lie detector test as a condition of employment or continued employment. An employer who violates this law shall be subject to criminal penalties and civil liability.RESPONSIBILITIES:Lead the strategy, planning, and execution of mid- and upper-funnel media campaigns globally, aligning media investments with WHOOPs brand positioning and growth goals.Own media planning and buying across a mix of platforms including video, audio, out-of-home, sponsorships, and emerging formats, ensuring optimal reach, efficiency, and brand safety.Partner closely with Creative, Wholesale, Analytics, and Performance Marketing teams to deliver cohesive and integrated campaigns.Manage media agency and vendor relationships, negotiate contracts, and ensure accountability to performance and delivery standards.Define measurement frameworks and KPIs to assess brand health, media effectiveness, and campaign impact; conduct in-depth analysis to inform optimizations and future strategy.Oversee multi-million dollar global media budgets with strong forecasting and allocation practices to maximize ROI and support company OKRs.Scale media strategies across regions, adapting campaigns to local markets while maintaining brand consistency and cultural relevance.Stay ahead of media trends and emerging technologies to ensure WHOOP remains at the forefront of modern brand marketing.QUALIFICATIONS:8+ years of experience in brand and media strategy, planning, and buying across agency and/or in-house roles.Demonstrated success leading global, multi-channel brand media campaigns with measurable impact on brand awareness and consideration.Expertise across a range of media channels including TV, streaming video, podcasts, audio, OOH, digital branding, and sponsorships.Strong analytical skills with experience in brand measurement tools, media mix modeling (MMM), and campaign optimization strategies.Proven vendor and partner management experience, including negotiation and performance oversight.Strong cross-functional collaboration and communication skills with the ability to influence across creative, marketing, product, and executive teams.Comfortable operating in a fast-paced, high-growth, and dynamic environment.Strong commitment to embracing and leveraging AI tools in day-to-day tasks, ensuring AI-assisted work aligns with the same high-quality standards as personal contributions."
3626580,"Software Engineer II (Full Stack, Business Systems)","https://jobs.lever.co/whoop/46ab4e20-1ee1-4b11-a806-ff93f7b500a3","Whoop","Boston","No",2,"Full time","2025-09-23T20:25:24.004776Z","At WHOOP, we're on a mission to unlock human performance and healthspan. WHOOP empowers members to perform at a higher level through a deeper understanding of their bodies and daily lives.WHOOP is hiring a Software Engineer II to join the Business Systems team. In this role, you will design, build, and maintain internal tools and integrations that power our business operations. Youll work cross-functionally with teams across WHOOP to ensure that our systems are scalable, reliable, and efficient, directly impacting how we serve members and scale the business.Learn more about our Software Org and how to be successful in your engineering career at WHOOP via our Career Framework. This role is based in the WHOOP office located in Boston, MA. The successful candidate must be prepared to relocate if necessary to work out of the Boston, MA office.Interested in the role, but dont meet every qualification? We encourage you to still apply! At WHOOP, we believe there is much more to a candidate than what is written on paper, and we value character as much as experience. As we continue to build a diverse and inclusive environment, we encourage anyone who is interested in this role to apply.WHOOP is an Equal Opportunity Employer and participates in E-verify to determine employment eligibility.  It is unlawful in Massachusetts to require or administer a lie detector test as a condition of employment or continued employment. An employer who violates this law shall be subject to criminal penalties and civil liability.RESPONSIBILITIES:Develop, test, and deploy scalable software solutions that support internal operations, including integrations between business applications and services.Partner with stakeholders across Finance, Operations (Supply Chain, Manufacturing, Quality, Logistics), Membership Services, and other teams to gather requirements and translate them into technical solutions.Interface with critical business systems: NetSuite, Salesforce, Stripe, Boomi, and more, ensuring reliability, performance, and security.Contribute to the design and implementation of APIs, data pipelines, and automation to improve business efficiency.Collaborate with other engineers to share knowledge, establish best practices, and improve engineering processes.Work collaboratively in a high growth environment with a product minded approachConsistently deliver features and code with an iterative approachCoach and up-level engineers in your team and neighboring teams through direct and indirect mentorshipQUALIFICATIONS:BS in Computer Science, Engineering, or equivalent experience.2-4 years of professional software development experience.Expertise developing web applications using frameworks like ReactExperience in API design and development (Java preferred)Experience in relational database design and development (SQL)Strong problem-solving skills and ability to translate business needs into technical solutions.Experience developing large scale, production-quality web applications Thrives with autonomy, with a positive attitude and ownership mentalityExcellent communication and collaboration skills, with an eagerness to work cross-functionally.Strong commitment to embracing and leveraging AI tools in day-to-day tasks, ensuring AI-assisted work aligns with the same high-quality standards as personal contributions."
3626579,"Senior Manager, Learning & Training – Membership Services","https://jobs.lever.co/whoop/8edd14b0-17a2-468d-a9b6-5ca7a4d07d92","Whoop","Boston","No",5,"Full time","2025-09-23T20:25:24.004802Z","At WHOOP, we're on a mission to unlock human performance and healthspan. WHOOP empowers members to perform at a higher level through a deeper understanding of their bodies and daily lives.Learning &amp; Training (L&amp;T) within Membership Services is a strategic function focused on performance enablement, skill development, and empowering frontline teams to deliver world-class member experiences. WHOOP is hiring a Senior Manager, Learning &amp; Training to lead a global team of Training Specialists, develop and execute a best-in-class L&amp;T roadmap, and directly impact onboarding, ongoing education, and support team performance. This role will scale the systems, programs, and culture that help our teams grow and thrive.Interested in the role, but dont meet every qualification? We encourage you to still apply! At WHOOP, we believe there is much more to a candidate than what is written on paper, and we value character as much as experience. As we continue to build a diverse and inclusive environment, we encourage anyone who is interested in this role to apply.WHOOP is an Equal Opportunity Employer and participates in E-verify to determine employment eligibility. It is unlawful in Massachusetts to require or administer a lie detector test as a condition of employment or continued employment. An employer who violates this law shall be subject to criminal penalties and civil liability.RESPONSIBILITIES:Own and execute the Learning &amp; Training roadmap for Membership Services, aligning with operational goals and driving measurable improvements in key performance indicators such as time-to-proficiency, QA scores, CSAT, and reopen rates.Lead and develop a high-performing team of global Training Specialists, establishing clear team rhythms, role clarity, and growth paths that foster both team effectiveness and professional development.Design and scale onboarding programs and continuous learning experiences that are globally consistent, role-specific, and deeply aligned with member-centric service delivery.Partner cross-functionally with MS Operations, QA, and Knowledge Management to translate performance data into impactful, timely training interventions.Launch and expand continuing education initiatives, including refreshers, microlearning, and on-demand training, to support upskilling and adaptability.Collaborate with internal stakeholders to ensure new processes, tools, and product launches are supported with clear and engaging training experiences.Lead the quarterly reporting of L&amp;Ts business impact and training effectiveness, proactively identifying areas of improvement and scalability across shifts and regions.Champion a culture of continuous learning and excellence within Membership Services.QUALIFICATIONS:5+ years of experience in training, enablement, or learning &amp; development, with at least 2 years in a leadership or people management capacity.Proven ability to design, scale, and measure learning programs that improve performance in customer experience, support, or operations environments.Skilled facilitator with strong written and verbal communication abilities, capable of engaging learners across different regions and experience levels.Strong analytical mindset and experience using data to inform training strategies and track progress against KPIs.Highly organized and self-directed, with a track record of delivering high-quality work in fast-paced and dynamic environments.Experience collaborating cross-functionally with operations, QA, and product teams.Deep passion for empowering frontline teams and driving member experience through effective education.Strong commitment to embracing and leveraging AI tools in day-to-day tasks, ensuring AI-assisted work aligns with the same high-quality standards as personal contributions."
3618305,"Staff Electrical Engineering Tech Lead (NPI)","https://jobs.lever.co/whoop/ff025750-47ed-4501-8534-b39e0cf76987","Whoop","Boston","No",7,"Full time","2025-09-23T20:25:24.004819Z","At WHOOP, we're on a mission to unlock human performance. WHOOP empowers members to perform at a higher level through a deeper understanding of their bodies and daily lives.As a Staff Electrical Engineering Tech Lead on the WHOOP Hardware team, you'll take a tactical leadership role in developing the next generation of our wearable platform. You will be the go-to electrical leader for high-visibility, high-impact hardware, guiding the design of critical subsystems that define how our products are worn, experienced, and scaled.This is a hands-on and high-agency role, where youll influence architecture across domains and manage a team executing NPI on WHOOPs core wearable products. Its ideal for someone passionate about building elegant, miniaturized hardware at scale who thrives in collaborative environments.This role is based in the WHOOP office located in Boston, MA. The successful candidate must be prepared to relocate if necessary to work out of the Boston, MA office. Interested in the role, but dont meet every qualification? We encourage you to still apply! At WHOOP, we believe there is much more to a candidate than what is written on paper, and we value character as much as experience. As we continue to build a diverse and inclusive environment, we encourage anyone who is interested in this role to apply.WHOOP is an Equal Opportunity Employer and participates in E-verify to determine employment eligibility.  It is unlawful in Massachusetts to require or administer a lie detector test as a condition of employment or continued employment. An employer who violates this law shall be subject to criminal penalties and civil liability.RESPONSIBILITIES:Lead electrical development of core wearable systems from concept through ramp  owning product-critical electrical hardware through design, validation, and scale-up.Act as technical lead across one or more high-impact SKUs, balancing hands-on execution with strategic guidance and cross-functional alignment.Partner closely with Mechanical, Firmware, Sensor, and Product teams to shape architecture and system integration from early concept through launch.Oversee the designs of miniaturized, low power, low noise, mixed signal electronics using latest PCB manufacturing technologiesManage and mentor a small, scaling team (2-4 engineers initially), providing technical oversight, prioritization support, and career development.Architect, design, and validate low-power, low-noise, mixed-signal electronics in compact form factors using the latest PCB technologies.Perform design reviews and debug as needed to meet performance and reliability targets.Support research into next-generation technologies, manufacturing processes, and new concepts for wearables and connected accessories.Engage directly with suppliers and CMs to support NPI builds, develop functional test plans, and guide automated electrical test system development.Travel up to 15% domestically and internationally to partners, suppliers, and manufacturers as needed.QUALIFICATIONS:BS or greater in Electrical Engineering or related field7+ years experience in relevant fieldsDemonstrated ability to manage technical priorities, lead complex design efforts, and mentor engineers,Deep knowledge of circuit design, low-power systems, digital communication protocols, and mixed-signal design.Proficiency in schematic capture, layout review, and ECAD tools (Altium preferred).Strong lab and debug skills; familiarity with multimeters, oscilloscopes, VNAs, impedance analyzers, spectrum analyzers, etc.Clear, collaborative communicator comfortable working across disciplines and with external partners.BONUS QUALIFICATIONS:Tactical leadership and management experience in hardware development.Experience in battery-powered, high-reliability products at scale.Familiarity with biomedical sensor technologies such as ECG, PPG, SpO2, GSR, or BIA.Prior experience owning the electrical design for miniaturized systems or form factor-constrained products."
3618304,"Senior Global Supply Manager (Mechanical)","https://jobs.lever.co/whoop/9a9f2c0d-125f-45ee-b841-da957f1826c3","Whoop","Boston","No",6,"Full time","2025-09-23T20:25:24.004836Z","At WHOOP, we're on a mission to unlock human performance and healthspan. WHOOP empowers users to perform at a higher level through a deeper understanding of their bodies and daily lives.As a Senior Global Supply Manager, you will work with WHOOP Supply Chain, Mechanical Engineering, and other internal teams to manage mechanical component suppliers and distributors located in Asia and North America.This role is based in the WHOOP office located in Boston, MA. The successful candidate must be prepared to relocate if necessary to work out of the Boston, MA office. Interested in the role, but dont meet every qualification? We encourage you to still apply! At WHOOP, we believe there is much more to a candidate than what is written on paper, and we value character as much as experience. As we continue to build a diverse and inclusive environment, we encourage anyone who is interested in this role to apply.WHOOP is an Equal Opportunity Employer and participates in E-verify to determine employment eligibility.  It is unlawful in Massachusetts to require or administer a lie detector test as a condition of employment or continued employment. An employer who violates this law shall be subject to criminal penalties and civil liability.RESPONSIBILITIES:Own the commercial interaction with suppliers from quoting through execution stages for all their cost elements and incurred variancesManage weekly, monthly, quarterly reviews with suppliers to discuss capacity plans, clear-to-build readiness evaluation, and key performance indicatorsConstantly monitor material component market trends to mitigate any potential supply risks Experience managing supply and demand at scale within a high-volume consumer product company, with a proven ability to balance cost, quality, and delivery across global supply chainsMonitor, audit and approve supplier quoting and observe trends in actual billingEvaluate sourcing opportunities to optimize quality/delivery/cost/inventory targetsPartner with the hardware engineering team to drive supplier improvements and support modifications for sustaining partsWork collaboratively in a startup environment with a high performance supply chain and sustaining hardware engineering teamFoster cross-functional collaboration in a fast-paced, high-growth environmentProvide support to other Global Supply Managers as needed to ensure cross-commodity alignment and business continuityTravel up to 25% globally to manage supplier relationshipsQUALIFICATIONS:BS degree in supply chain management, logistics or business administration. Mechanical engineering technical education and working experience background is a big plus6+ years of experience in strategic sourcing and commodity management in an CM/JDM/ODM environment where all finished goods production is a combination of overseas outsourcing as well as internally manufactured. Technical engineering background is a big plus but not a mustKnowledge in fitness wearables and associated mechanical supply base desired, especially plastic molding, MIM/Stamping, and packaging material in Asia and NAStrong understanding and extensive experience working with Asia suppliers desiredMandarin Chinese language skills desired but not a mustCertifications in APICS-CSCP or ISM-CPSM desiredExperience in Arena PLM software a plusExperience in NetSuite ERP a plus"
3610854,"Executive Assistant, Office of the CEO","https://jobs.lever.co/whoop/444ce952-bc40-409e-9cab-897516a2b1d7","Whoop","Boston","No",1,"Full time","2025-09-23T20:25:24.004852Z","At WHOOP, we're on a mission to unlock human performance and healthspan. WHOOP empowers members to perform at a higher level through a deeper understanding of their bodies and daily lives.Were looking for a detail-obsessed Executive Assistant to support the Office of the CEO. Reporting to the Chief of Staff, this role will provide high-touch, day-to-day support to the WHOOP CEO and the broader executive team, ensuring their time is spent as effectively and intentionally as possible. Youll bring a concierge-level mindset to everything from calendar management to hospitality programs like VIP seeding initiatives and event support. This is a unique opportunity for an early-career professional who is passionate about executive support, eager to learn, and excited to gain exposure to a fast-paced, high-impact environment.WHOOP is an Equal Opportunity Employer and participates in E-verify to determine employment eligibility. It is unlawful in Massachusetts to require or administer a lie detector test as a condition of employment or continued employment. An employer who violates this law shall be subject to criminal penalties and civil liability.RESPONSIBILITIES:Provide comprehensive support to the CEO and Chief of Staff including calendar management, contact management, travel logistics, material preparation, and high-touch, day-to-day execution.Support the lead Executive Assistant to the CEO with administrative responsibilities and serve as backup lead EA as needed.Handle time-sensitive tasks and requests with speed, accuracy, and professionalism.Coordinate and execute logistics for internal meetings, team offsites, VIP visits, and company events - acting as a highly organized and welcoming host.Maintain absolute discretion and confidentiality.Manage tasks and logistics with a concierge-level attention to detailPartner with the Chief of Staff to support broader Office of the CEO operations, including internal communication, and document management.Build strong cross-functional relationships, maintaining a can-do attitude and jumping in wherever help is needed.QUALIFICATIONS:13 years of experience in an executive support, hospitality, or administrative role; startup or high-performance environment experience is a plus.Highly organized and detail-obsessed with excellent time management and follow-through.Excited about a career in executive support - driven, humble, and ready to grow through close proximity to executive leadership.Strong interpersonal and communication skills; comfortable interfacing with senior leaders, guests, and partners.Ability to balance professionalism with warmth and hospitality.Proactive, reliable, and eager to take initiative without needing to be asked.Ability to work from our Boston HQ 5 days/week.Strong commitment to embracing and leveraging AI tools in day-to-day tasks, ensuring AI-assisted work aligns with the same high-quality standards as personal contributions."
