"ID","Title","Link","Company","Location","Remote","Experience","EmploymentType","DatePosted","RoleDescription"
3083924,"Content associate","https://jobs.lever.co/Yassir/b1a84462-ac1f-4a43-a268-b0617959a897","Yassir","Algiers","No","Not specified","Full time","2025-06-11T02:05:15.179514Z"," propos de Yassir :Yassir est la super application leader dans le domaine des services  la demande, oprant de manire prdominante dans la rgion du Maghreb. Yassir a pour mission de rvolutionner la manire dont les services quotidiens sont accessibles.Actuellement implante dans plus de 45 villes  travers plusieurs pays tels que l'Algrie, le Maroc, la Tunisie et le Sngal, notre prsence s'tend aussi sur d'autres pays tels que la France et l'Afrique sub-saharienne.Fortement soutenue par des investisseurs de renomme mondiale tels que BOND et Y Combinator, pionniers d'entreprises telles qu'Airbnb, Stripe, Dropbox, et Doordash, Yassir a russi  faire de nombreuses leves de fonds quivalentes  presque 200 millions $.Au-del de la simple prestation de services, notre vision est de crer un march dynamique visant  satisfaire les besoins de nos utilisateurs tout en insufflant des valeurs sociales fondamentales.RolePrise de photos pour promouvoir nos produits Yassir Market qui serviront a crer du contenu engageant sur nos rseaux sociaux tout en assurant la qualit et la rapidit d'excution.Profiltudiant(e) ou jeune diplm(e), rigoureux(se), dynamique et autonome laise avec lutilisation dun smartphone ou dun appareil photoSens du dtail, rapidit dexcution et fiabilitHabitant au alentours de Bab EzzouarPrivileges L'occasion rare de changer le monde qui tentoure de telle sorte quil utilise ton produit. Nous ne sommes pas juste une app, nous insufflons des valeurs sociales et rinventons la faon dont les services sont fournis dans notre rgion ;Des collgues motivs dans un environnement de travail trs convivial ;Participation au lancement de nouveaux projets innovants."
3051245,"Stock Controller - Roodepoort","https://jobs.lever.co/Yassir/a1e7c902-7a33-4423-bb27-2cf8cdfd208c","Yassir","Johannesburg","No","Not specified","Contract","2025-06-11T02:05:15.179626Z","Yassir is the leading super App in the Maghreb region set to changing the way daily services are provided. It currently operates in 45 cities across Algeria, Morocco and Tunisia with recent expansions into France, Canada and Sub-Saharan Africa. It is backed (~$200M in funding) by VCs from Silicon Valley, Europe and other parts of the world.  We offer on-demand services such as ride-hailing and last-mile delivery. Building on this infrastructure, we are now introducing financial services to help our users pay, save and borrow digitally. Helping usher the continent into a digital economy era. Were not just about serving people - were about creating a marketplace to bring people what they need while infusing social values.We are looking for a Store Operations Stock Controller to join our team in Johannesburg, Roodepoort. In this role your responsibilities will include overseeing the day-to-day management of stock within the store, ensuring inventory accuracy, and maintaining optimal stock levels to meet the fast-paced demands of the FMCG environment. You will manage all stock movements, including receiving, returns, while identifying and investigating any variances. The role requires close coordination with Supervisors , Demand Planner and in-store staff to ensure efficient stock flow and minimal disruptions to operations. A strong understanding of inventory systems, accuracy in data entry, and the ability to work under pressure are key to success in this position.At Yassir, we believe in the power of diversity and the importance of an inclusive culture. So, if you're ready to bring your unique perspective and experiences to the table, then we're excited to listen.  Don't just apply for a job, come and be a part of our journey. Let's create a better tomorrow together. We look forward to receiving your application! Best of luck,Your Yassir TA TeamResponsibilitiesInventory ManagementMaintain accurate inventory records and systems for all grocery items in the warehouse.Monitor stock levels, replenish items as needed, and conduct regular stock takes to ensure accuracy.Order ProcessingCoordinate the receipt and processing of incoming orders from platforms.Ensure timely and accurate fulfillment of customer orders, including picking, packing, and labeling itemsQuality ControlConduct quality checks on incoming stock to ensure compliance with safety and quality standards.Inspect items for damages or discrepancies and report issues for resolution.Vendor ManagementCommunicate with vendors to coordinate deliveries, resolve issues, and ensure timely replenishment ofstock.Negotiate pricing and terms with vendors to optimize inventory costs and availability.Warehouse MaintenanceKeep the warehouse organized, clean, and safe to facilitate efficient operations.Implement proper storage techniques and rotation practices to prevent spoilage and ensure product quality.Reporting and AnalysisGenerate reports on inventory levels, order fulfillment rates, and stock discrepancies.Analyse data to identify trends, improve processes, and make recommendations for optimization.Compliance and SecurityAdhere to regulatory requirements, food safety standards, and security protocols.Implement measures to prevent loss, theft, or damage to the stock and the warehouse."
3051244,"Stock Controller - Pretoria East","https://jobs.lever.co/Yassir/6290a3a7-6837-4d28-8f19-63e2bf0bbfb3","Yassir","Pretoria","No","Not specified","Contract","2025-06-11T02:05:15.179663Z","Yassir is the leading super App in the Maghreb region set to changing the way daily services are provided. It currently operates in 45 cities across Algeria, Morocco and Tunisia with recent expansions into France, Canada and Sub-Saharan Africa. It is backed (~$200M in funding) by VCs from Silicon Valley, Europe and other parts of the world.  We offer on-demand services such as ride-hailing and last-mile delivery. Building on this infrastructure, we are now introducing financial services to help our users pay, save and borrow digitally. Helping usher the continent into a digital economy era. Were not just about serving people - were about creating a marketplace to bring people what they need while infusing social values.We are looking for a Store Operations Stock Controller to join our team in Pretoria East. In this role your responsibilities will include overseeing the day-to-day management of stock within the store, ensuring inventory accuracy, and maintaining optimal stock levels to meet the fast-paced demands of the FMCG environment. You will manage all stock movements, including receiving, returns, while identifying and investigating any variances. The role requires close coordination with Supervisors , Demand Planner and in-store staff to ensure efficient stock flow and minimal disruptions to operations. A strong understanding of inventory systems, accuracy in data entry, and the ability to work under pressure are key to success in this position.At Yassir, we believe in the power of diversity and the importance of an inclusive culture. So, if you're ready to bring your unique perspective and experiences to the table, then we're excited to listen.  Don't just apply for a job, come and be a part of our journey. Let's create a better tomorrow together. We look forward to receiving your application! Best of luck,Your Yassir TA TeamResponsibilitiesInventory ManagementMaintain accurate inventory records and systems for all grocery items in the warehouse.Monitor stock levels, replenish items as needed, and conduct regular stock takes to ensure accuracy.Order ProcessingCoordinate the receipt and processing of incoming orders from platforms.Ensure timely and accurate fulfillment of customer orders, including picking, packing, and labeling itemsQuality ControlConduct quality checks on incoming stock to ensure compliance with safety and quality standards.Inspect items for damages or discrepancies and report issues for resolution.Vendor ManagementCommunicate with vendors to coordinate deliveries, resolve issues, and ensure timely replenishment ofstock.Negotiate pricing and terms with vendors to optimize inventory costs and availability.Warehouse MaintenanceKeep the warehouse organized, clean, and safe to facilitate efficient operations.Implement proper storage techniques and rotation practices to prevent spoilage and ensure product quality.Reporting and AnalysisGenerate reports on inventory levels, order fulfillment rates, and stock discrepancies.Analyse data to identify trends, improve processes, and make recommendations for optimization.Compliance and SecurityAdhere to regulatory requirements, food safety standards, and security protocols.Implement measures to prevent loss, theft, or damage to the stock and the warehouse."
3051243,"Stock Controller - Ormonde","https://jobs.lever.co/Yassir/1b5e280d-1f7f-4729-8c61-fd09f123f825","Yassir","Johannesburg","No","Not specified","Contract","2025-06-11T02:05:15.179694Z","Yassir is the leading super App in the Maghreb region set to changing the way daily services are provided. It currently operates in 45 cities across Algeria, Morocco and Tunisia with recent expansions into France, Canada and Sub-Saharan Africa. It is backed (~$200M in funding) by VCs from Silicon Valley, Europe and other parts of the world.  We offer on-demand services such as ride-hailing and last-mile delivery. Building on this infrastructure, we are now introducing financial services to help our users pay, save and borrow digitally. Helping usher the continent into a digital economy era. Were not just about serving people - were about creating a marketplace to bring people what they need while infusing social values.We are looking for a Store Operations Stock Controller to join our team in Johannesburg South, Ormonde. In this role your responsibilities will include overseeing the day-to-day management of stock within the store, ensuring inventory accuracy, and maintaining optimal stock levels to meet the fast-paced demands of the FMCG environment. You will manage all stock movements, including receiving, returns, while identifying and investigating any variances. The role requires close coordination with Supervisors , Demand Planner and in-store staff to ensure efficient stock flow and minimal disruptions to operations. A strong understanding of inventory systems, accuracy in data entry, and the ability to work under pressure are key to success in this position.At Yassir, we believe in the power of diversity and the importance of an inclusive culture. So, if you're ready to bring your unique perspective and experiences to the table, then we're excited to listen.  Don't just apply for a job, come and be a part of our journey. Let's create a better tomorrow together. We look forward to receiving your application! Best of luck,Your Yassir TA TeamResponsibilitiesInventory ManagementMaintain accurate inventory records and systems for all grocery items in the warehouse.Monitor stock levels, replenish items as needed, and conduct regular stock takes to ensure accuracy.Order ProcessingCoordinate the receipt and processing of incoming orders from platforms.Ensure timely and accurate fulfillment of customer orders, including picking, packing, and labeling itemsQuality ControlConduct quality checks on incoming stock to ensure compliance with safety and quality standards.Inspect items for damages or discrepancies and report issues for resolution.Vendor ManagementCommunicate with vendors to coordinate deliveries, resolve issues, and ensure timely replenishment ofstock.Negotiate pricing and terms with vendors to optimize inventory costs and availability.Warehouse MaintenanceKeep the warehouse organized, clean, and safe to facilitate efficient operations.Implement proper storage techniques and rotation practices to prevent spoilage and ensure product quality.Reporting and AnalysisGenerate reports on inventory levels, order fulfillment rates, and stock discrepancies.Analyse data to identify trends, improve processes, and make recommendations for optimization.Compliance and SecurityAdhere to regulatory requirements, food safety standards, and security protocols.Implement measures to prevent loss, theft, or damage to the stock and the warehouse."
3051242,"Stock Controller - Edenvale","https://jobs.lever.co/Yassir/c96af5ac-2ce6-4279-8a49-9119a821c50d","Yassir","Johannesburg","No","Not specified","Contract","2025-06-11T02:05:15.179731Z","Yassir is the leading super App in the Maghreb region set to changing the way daily services are provided. It currently operates in 45 cities across Algeria, Morocco and Tunisia with recent expansions into France, Canada and Sub-Saharan Africa. It is backed (~$200M in funding) by VCs from Silicon Valley, Europe and other parts of the world.  We offer on-demand services such as ride-hailing and last-mile delivery. Building on this infrastructure, we are now introducing financial services to help our users pay, save and borrow digitally. Helping usher the continent into a digital economy era. Were not just about serving people - were about creating a marketplace to bring people what they need while infusing social values.We are looking for a Store Operations Stock Controller to join our team in Johannesburg, Edenvale. In this role your responsibilities will include overseeing the day-to-day management of stock within the store, ensuring inventory accuracy, and maintaining optimal stock levels to meet the fast-paced demands of the FMCG environment. You will manage all stock movements, including receiving, returns, while identifying and investigating any variances. The role requires close coordination with Supervisors , Demand Planner and in-store staff to ensure efficient stock flow and minimal disruptions to operations. A strong understanding of inventory systems, accuracy in data entry, and the ability to work under pressure are key to success in this position.At Yassir, we believe in the power of diversity and the importance of an inclusive culture. So, if you're ready to bring your unique perspective and experiences to the table, then we're excited to listen.  Don't just apply for a job, come and be a part of our journey. Let's create a better tomorrow together. We look forward to receiving your application! Best of luck,Your Yassir TA TeamResponsibilitiesInventory ManagementMaintain accurate inventory records and systems for all grocery items in the warehouse.Monitor stock levels, replenish items as needed, and conduct regular stock takes to ensure accuracy.Order ProcessingCoordinate the receipt and processing of incoming orders from platforms.Ensure timely and accurate fulfillment of customer orders, including picking, packing, and labeling itemsQuality ControlConduct quality checks on incoming stock to ensure compliance with safety and quality standards.Inspect items for damages or discrepancies and report issues for resolution.Vendor ManagementCommunicate with vendors to coordinate deliveries, resolve issues, and ensure timely replenishment ofstock.Negotiate pricing and terms with vendors to optimize inventory costs and availability.Warehouse MaintenanceKeep the warehouse organized, clean, and safe to facilitate efficient operations.Implement proper storage techniques and rotation practices to prevent spoilage and ensure product quality.Reporting and AnalysisGenerate reports on inventory levels, order fulfillment rates, and stock discrepancies.Analyse data to identify trends, improve processes, and make recommendations for optimization.Compliance and SecurityAdhere to regulatory requirements, food safety standards, and security protocols.Implement measures to prevent loss, theft, or damage to the stock and the warehouse."
3051241,"Assistante commerciale","https://jobs.lever.co/Yassir/b3a7a51a-8588-4cef-8ead-fb13e532c3cf","Yassir","Algiers","No","Not specified","Full time","2025-06-11T02:05:15.179765Z"," propos de Yassir :Yassir est la super application leader dans le domaine des services  la demande, oprant de manire prdominante dans la rgion du Maghreb. Yassir a pour mission de rvolutionner la manire dont les services quotidiens sont accessibles.Actuellement implante dans plus de 45 villes  travers plusieurs pays tels que l'Algrie, le Maroc, la Tunisie et le Sngal, notre prsence s'tend aussi sur d'autres pays tels que la France et l'Afrique sub-saharienne.Fortement soutenue par des investisseurs de renomme mondiale tels que BOND et Y Combinator, pionniers d'entreprises telles qu'Airbnb, Stripe, Dropbox, et Doordash, Yassir a russi  faire de nombreuses leves de fonds quivalentes  presque 200 millions $.Au-del de la simple prestation de services, notre vision est de crer un march dynamique visant  satisfaire les besoins de nos utilisateurs tout en insufflant des valeurs sociales fondamentales.RoleLe rle de lassistante commerciale est de soutenir lquipe de vente en assurant lenregistrement des points de vente, la collecte et la mise  jour des donnes terrain, la gestion administrative, ainsi que le suivi et le reporting des activits commerciales.Taches         Identifier et enregistrer tous les points de vente dans les zones assignes.         Collecter et compiler les donnes terrains pertinents.         Mettre  jour les informations commerciales et clients dans le systme.         Assister l'quipe commerciale dans les tches administratives         Assurer la documentation et le reporting des activits.ProfilUniversitaire ou diplme Ayant le sens de la communicationAyant une bonnes qualits rdactionnellesEtant dynamique, organiser et  responsableAyant le sens de la discrtion et de la confidentialit. Ayant l'esprit dinitiative et d'autonomieBonne matrise de loutil informatique (Excel, Outlook, Word, Power Point).Etant motiv (e) et ayant lesprit d'quipe.PrivilgesLoccasion rare de changer le monde qui tentoure de telle sorte quil utilise ton produit.Nous ne sommes pas juste une app, nous insufflons des valeurs sociales et rinventons la faon dont les services sont fournis dans notre rgion,Des collgues motivs dans un environnement de travail trs convivial,Participation au lancement de nouveaux projets innovants.AvantagesRmunration comptitive et bonus sur la performance,Complmentaire sant,Formation continue."
3026777,"Senior Data Engineer","https://jobs.lever.co/Yassir/6d504e36-b8d4-48aa-8d18-55d881718c6c","Yassir","Cairo","No","Not specified","Full time","2025-06-11T02:05:15.179797Z","Yassir is the leading super App in the Maghreb region set to changing the way daily services are provided. It currently operates in 45 cities across Algeria, Morocco and Tunisia with recent expansions into France, Canada and Sub-Saharan Africa. It is backed (~$200M in funding) by VCs from Silicon Valley, Europe and other parts of the world.  We offer on-demand services such as ride-hailing and last-mile delivery. Building on this infrastructure, we are now introducing financial services to help our users pay, save and borrow digitally. Helping usher the continent into a digital economy era. Were not just about serving people - were about creating a marketplace to bring people what they need while infusing social values.At Yassir, we believe in the power of diversity and the importance of an inclusive culture. So, if you're ready to bring your unique perspective and experiences to the table, then we're excited to listen.  Don't just apply for a job, come and be a part of our journey. Let's create a better tomorrow together. We look forward to receiving your application! Best of luck,Your Yassir TA TeamResponsibilities Build a centralized data lake on GCP Data services by integrating diverse data sources throughout the enterprise.Develop, maintain, and optimize SPARK-powered batch and streaming data processing pipelines. Leverage GCP data services for complex data engineering tasks and ensure smooth integration with other platform componentsDesign and implement data validation and quality checks to ensure data's accuracy, completeness, and consistency as it flows through the pipelines.Work with the Data Science and Machine Learning teams to engage in advanced analytics.Collaborate with cross-functional teams, including data analysts, business users, operational and marketing teams, to extract insights and value from data.Collaborate with the product team to design, implement, and maintain the data models for analytical use cases.Design, develop, and upkeep data dashboards for various teams using Looker Studio.Engage in technology explorations, research and development, POCs and conduct deep investigations and troubleshooting.Design and manage ETL/ELT processes, ensuring data integrity, availability, and performance.Troubleshoot data issues and conduct root cause analysis when reporting data is in question.Required Technical SkillsPySparkGCP - Big Query, Dataproc, Dataflow, Dataplex, Pub-Sub and Cloud StorageAdvance SQL knowledgeNoSQL (Preferably MongoDB)Programming languages - Scala/PythonGreat Expectation - similar DQ frameworkFamiliarity with workflow management tools like Airflow, Prefect or Luigi.Understanding of Data Governance, DWH and Data ModellingGood to have skillsInfrastructure as Code - TerraformDocker and KubernetesLooker StudioAI and ML engineering knowledge"
3019951,"Courier Operations Coodinator","https://jobs.lever.co/Yassir/338ecc5e-d250-4d4d-b0a1-833f526ce146","Yassir","Johannesburg","No",3,"Full time","2025-06-11T02:05:15.179836Z","Yassir is the leading super App in the Maghreb region set to changing the way daily services are provided. It currently operates in 45 cities across Algeria, Morocco and Tunisia with recent expansions into France, Canada and Sub-Saharan Africa. It is backed (~$200M in funding) by VCs from Silicon Valley, Europe and other parts of the world.  We offer on-demand services such as ride-hailing and last-mile delivery. Building on this infrastructure, we are now introducing financial services to help our users pay, save and borrow digitally. Helping usher the continent into a digital economy era. Were not just about serving people - were about creating a marketplace to bring people what they need while infusing social values.Were seeking a hands-on Courier Operations Coordinator to own the end-to-end lifecycle of our courier fleet and partner network. You will design and optimise processes, recruit and coach drivers, manage external delivery partners, and partner cross-functionally to hit key performance targetsensuring we consistently exceed customer expectations for speed, accuracy, and service.Key ResponsibilitiesNetwork Management: Recruit, onboard, and retain a high-performing courier team across Johannesburg and surrounds.Develop and maintain courier schedules, balancing supply and demand peaks.Fleet Partner Management: Identify, contract, and manage third-party delivery partners and gig-economy fleets. Define and monitor SLAs, performance metrics, and compliance requirements. Foster strong relationships through regular business reviews and incentive alignments.Performance &amp; Quality: Track and analyze delivery KPIs (on-time rate, order accuracy, customer NPS). Implement continuous improvement initiatives to drive efficiency and reduce cost per delivery.Operations Excellence: Collaborate with Tech and Product teams to refine our product. Establish standard operating procedures (SOPs) for pick-up, hand-offs, incident management, and partner escalations.Cross-Functional Collaboration: Work closely with Customer Support to resolve escalations.Safety &amp; Compliance: Enforce road-safety guidelines, insurance requirements, and local regulatory standards for both in-house and partner fleets. Lead regular fleet and equipment audits.Qualifications3+ years of operations or logistics management experience, preferably in last-mile delivery, courier services, or fleet partner management.Proven ability to scale a distributed, dynamic workforce and external partner network.Strong analytical skills with a data-driven mindset (familiarity with SQL, Excel).Exceptional leadership and communication skillscapable of coaching teams, managing vendor relationships, and presenting to senior stakeholders.Comfortable working in a fast-paced startup environment, juggling multiple priorities.At Yassir, we believe in the power of diversity and the importance of an inclusive culture. So, if you're ready to bring your unique perspective and experiences to the table, then we're excited to listen.  Don't just apply for a job, come and be a part of our journey. Let's create a better tomorrow together. We look forward to receiving your application! Best of luck,Your Yassir TA Team"
3009415,"Store Operations Supervisor - Johannesburg South","https://jobs.lever.co/Yassir/82d4d5c0-b4dc-4c5a-86a3-b782380797ea","Yassir","Johannesburg","No","Not specified","Full time","2025-06-11T02:05:15.179871Z","Yassir is the leading super App in the Maghreb region set to changing the way daily services are provided. It currently operates in 45 cities across Algeria, Morocco and Tunisia with recent expansions into France, Canada and Sub-Saharan Africa. It is backed (~$200M in funding) by VCs from Silicon Valley, Europe and other parts of the world.  We offer on-demand services such as ride-hailing and last-mile delivery. Building on this infrastructure, we are now introducing financial services to help our users pay, save and borrow digitally. Helping usher the continent into a digital economy era. Were not just about serving people - were about creating a marketplace to bring people what they need while infusing social values.We are looking for a Store Operations Supervisor to join our team in Johannesburg South, Gold Reef, . In this role your responsibilities will include supervising, motivating and supporting a team of dark store staff within a time-sensitive and demanding operational environment. You will own the day to day running of the dark store.At Yassir, we believe in the power of diversity and the importance of an inclusive culture. So, if you're ready to bring your unique perspective and experiences to the table, then we're excited to listen.  Don't just apply for a job, come and be a part of our journey. Let's create a better tomorrow together. We look forward to receiving your application! Best of luck,Your Yassir TA TeamResponsibilitiesOversee the order process from receiving to dispatchOversee stock operations i.e. stock counts, inventory check-in, stock disposal,Oversee cash managementSupervise a team on shift Report to Operations Manager on any matters affecting key Metrics and general performance of the staffScheduling of shifts"
2947551,"Product Manager (Mobility)","https://jobs.lever.co/Yassir/1f22d71c-f549-43df-8a1b-2bfbb776806d","Yassir","Algiers","No",3,"Full time","2025-06-11T02:05:15.179903Z","Yassir is the leading super App in the Maghreb region set to changing the way daily services are provided. It currently operates in 45 cities across Algeria, Morocco and Tunisia with recent expansions into France, Canada and Sub-Saharan Africa. It is backed (~$200M in funding) by VCs from Silicon Valley, Europe and other parts of the world.  We offer on-demand services such as ride-hailing and last-mile delivery. Building on this infrastructure, we are now introducing financial services to help our users pay, save and borrow digitally. Helping usher the continent into a digital economy era. Were not just about serving people - were about creating a marketplace to bring people what they need while infusing social values.About the roleWe are in search of a talented and motivated individual to join our team and start working on all sorts of interesting mobility and quick-delivery products.As a Product Manager at Yassir, you will be responsible for driving product initiatives from inception through execution. In this role, you will collaborate closely with designers, engineers, analysts, and other cross-functional team members within the organization to ensure that our products amaze and delight our users.You would be a leader who works in a highly collaborative environment, focused on building products in a lean way, as well as building strong relationships with your stakeholders and other product teams. If you like working in a product culture where teams value rapid testing and learning, then this is a great opportunity for you.At Yassir, we believe in the power of diversity and the importance of an inclusive culture. So, if you're ready to bring your unique perspective and experiences to the table, then we're excited to listen.  Don't just apply for a job, come and be a part of our journey. Let's create a better tomorrow together. We look forward to receiving your application! Best of luck,Your Yassir TA TeamAbout your role as Product ManagerCo-create, coordinate and facilitate your team's product discovery processWork with cross-functional collaborators, such as engineers, product designers, and marketers, to validate product ideas through a variety of product discovery frameworks and methodsWork closely with users and stakeholders to understand their needs and objectives, and to gain a deep understanding of the problem space through workshops and researchConduct secondary and primary research, prototyping, and experiments (e.g. defining and understanding of proto-personas, customer journeys, customer interviews)Translate customer insights into prioritized product ideas or experiments to be tested on the market and with customersSynthesize data to make strategic evidence-based recommendations founded on the business, market, and customer needsFacilitate and actively collaborate in the development of business models, go2market plans, and early-traction tactics for products to be launched in collaboration with our clients, the product team, and other experts (e.g. marketing)Facilitate agile ceremonies in order to deliver a product or product initiatives in a timely manner and agreed on the qualityAbout your experienceMinimum of 3 years of proven experience in product management with digital products or in a similar product role at a Mobility, last mile, or quick delivery Startup.A track record of launching consumer-facing digital products and services (B2B or B2C)Experience working with scale-upsAbility to create and execute a customer discovery process to gather pains and opportunitiesAbility to design and run various ideation workshopsPresentation skills and storytellingUnderstanding of how to integrate analytics into a product for generating useful informationUnderstanding of the importance of branding and when it's important and when it's notA strong understanding of value proposition design and what makes for a successful ventureExcellent verbal and written communication skills with the ability to communicate and influence stakeholders at all levelsKnowledge of modern development practices like agile and scrumGeneral understanding of the technical aspects in digital product development with the ability to work closely with technical engineers and get the best out of themStrong design sense with the ability to collaborate with designers to produce great workAbility to manage stakeholders across the business and clientsPassion for digital products and human-centered designDependable, enthusiastic, curious with great energy and the ability to work in a fast-paced, dynamic environmentFluent EnglishNice to haveKnowledge of lean startup techniques and what a good MVP should be across B2B and B2CTechnical, consulting, or design backgroundUnderstanding of metrics and how to define them for different companies and productsUnderstanding of behavioral psychology and how to make products with high engagement and stickinessUnderstanding of the growth process across Acquisition, Activation, Retention, Referral and Revenue"
