"ID","Title","Link","Company","Location","Remote","Experience","EmploymentType","DatePosted","RoleDescription"
3609087,"Commercial Lead - Baby","https://jobs.lever.co/zuru/54c143e8-8ed8-43e9-9c35-c46e8239b842","Zuru","Auckland","No",3,"Full time","2025-09-23T20:25:39.715754Z","Take charge of the Baby portfolio across global markets . Lead sales strategy, brand profitability, and go-to-market execution while shaping exciting new product launches .A role for a commercially minded leader ready to make a global impact .ZURU is on a mission to disrupt industries, challenge the status quo, and catalyse change through radical innovation and advances in automation. This is in play in different pillars of the company: ZURU Toys are re-imagining what it means to play; ZURU Tech is shaping a better future by leading the next building revolution; and ZURU Edge is pioneering new-generation FMCG brands to better serve modern consumers.Founded in 2003 by EY Entrepreneur of the Year and World Entrepreneur Hall of Fame brothers Nick and Mat Mowbray, ZURU has quickly grown to a team of over 5,000 direct and indirect members across more than 30 international locations.One of the largest toy companies in the world, our globally recognised and award-winning brands include Bunch O Balloons, Mini Brands, XSHOT, Rainbocorns, and Smashers. Our global FMCG brands include MONDAY Haircare, Rascals, NOOD, BONKERS, and Gumi Yum Surprise.LIFE@ZURUAt ZURU, we have cultivated a high-performing culture that encourages excellence. Our team works towards ambitious goals, learning, performing, and improving together, all while having fun. We empower talented individuals to do their best work every day.At ZURU, you get out what you put in. You are responsible for driving your own career and we provide the platform to achieve it. As ZURU is on such a fast growth trajectory, there are opportunities here that you wont find anywhere else.We recognise that ZURUs success stems from our people and you can only be at your best when you are looking after yourself. ZURU encourages all our team members to invest in their wellbeing by providing an array of benefits and tools.WHAT WE OFFER Culture for Growth Health &amp; Well Being Benefits (including an onsite 24/7 gym) Global Opportunities Surrounded by an A Player Team Competitive Remuneration Lots of fresh fruit, coffee, pals fridge and moreZURU  Tomorrow ReimaginedZURU.com#LI-FR1Role PurposeAs a commercial leader within the vertical, you will help drive the overarching strategies for our Baby portfolio, covering multiple global markets and retailers. Working closely with cross-functional teams globally, you will develop advanced go-to-market strategies and customised brand programs to drive growth and unlock new opportunities.Additionally, you will be responsible for identifying market and customer needs and delivering innovative solutions to capture market share and level up the business. Core Roles &amp; ResponsibilitiesSet and own the overarching sales, distribution and 4P strategy for the Baby, working in close collaboration with in-market teams to localize, execute and reviewSet and own global go-to-market strategy for Baby portfolio including pricing, commercial strategy and trade marketing investment to maximize brand profitabilityOwnership of commercial elements with new brand / product development, including pack architecture, pricing hierarchies and leveraging key data insights to demonstrate consumer/retailer need Identify market/customer range gaps and challenges and provide innovative solutions to win and expand through business development Accountable for global sales forecasts, working closely with S&amp;OP, the NPD team and General Manager to co-ordinate global product roll out priorities and manage capacity Covering retailer and distributor account management in markets without sales resource Utilize 4P knowledge of category growth levers to help strategically review initiatives and identify opportunities to drive growth Support in the development of commercial content and insights for key customer meetings e.g. innovation summits, JBPs, line reviews Build tools to drive sales including brand pitch decks, case studies and launch case studies Oversee the set-up of different supply chain capabilities where needed and continually look at optimizing new and existing ones.Skills &amp; Experiences Required3-6years of experience in Consumer Goods, with strong commercial acumen, elite problem-solving skills and a desire to own and drive a P&amp;L Bachelors Degree in Business/Commerce/Finance or related discipline is preferred Strong analytical, decision making, influencing communication skills Ability to work in a fast-paced, team environment Ability to multi-task, take initiative, prioritise, stay organised, and manage time effectively Ability to understand, manage and adapt to cultural differences Strong Excel capabilities and financial modelling Overseas travel may be required"
3609086,"Commercial Executive","https://jobs.lever.co/zuru/c56f25f6-af61-4ebb-aaa4-a7fb395f187d","Zuru","Auckland","No","Not specified","Full time","2025-09-23T20:25:39.715833Z","Are you a recent graduate interested in driving the growth of our Baby verticals? Apply now About ZURUZURU is on a mission to disrupt industries, challenge the status quo, and catalyse change through radical innovation and advances in automation. This is in play in different pillars of the company: ZURU Toys are re-imagining what it means to play; ZURU Tech is shaping a better future by leading the next building revolution; and ZURU Edge is pioneering new-generation FMCG brands to better serve modern consumers.Founded in 2003 by EY Entrepreneur of the Year and World Entrepreneur Hall of Fame brothers Nick and Mat Mowbray, ZURU has quickly grown to a team of over 5,000 direct and indirect members across more than 30 international locations.One of the largest toy companies in the world, our globally recognised and award-winning brands include Bunch O Balloons, Mini Brands, XSHOT, Rainbocorns, and Smashers. Our global FMCG brands include MONDAY Haircare, Rascals, NOOD, BONKERS, and Gumi Yum Surprise.Your RoleCommercial executive and champion of ZURUs Baby brands, leveraging ZURU ways of working and teams to drive profitable business growth through expansion into new markets and supporting our in markets teams to succeed.Life at ZURUAt ZURU, we have cultivated a high-performing culture that encourages excellence. Our team works towards ambitious goals, learning, performing, and improving together, all while having fun. We empower talented individuals to do their best work every day.At ZURU, you get out what you put in. You are responsible for driving your own career and we provide the platform to achieve it. As ZURU is on such a fast growth trajectory, there are opportunities here that you wont find anywhere else. Get to know us a little better by checking out @lifeatzuru on Instagram or www.zuru.com.WHAT WE OFFER Culture for Growth Health &amp; Well Being Benefits  Global Opportunities Surrounded by an A Player Team Competitive Remuneration  Lots of fresh fruit, coffee, pals fridge and moreZURU  Reimagining tomorrow #LI-SD2 Roles &amp; ResponsibilitiesDriving New Business Leverage understanding of ZURUs Business Development principles including the Pillars of Persuasion and Customer Touch Points to drive global distribution for the baby vertical. Full ownership of scoping out new global business development opportunities, leading external brand pitches and negotiations.  Ensure effective execution of baby launches into new customers and markets identifying new opportunities for expansion beyond launch phase. Work collaboratively with wider global Business Development team to drive outreach via LinkedIn and email, tailoring content for key targets  Key Account Management Key person responsible for ZURU Babys distributor partners, including monthly external connects reviewing business performance and opportunities for growth.  Partner with ZURUs Supply, Merchandising, Design and Factory teams (based in China) acting as a conduit for front end sales teams to ZURUs back end in China. Work with all teams to problem solve as issues arise doing so by leveraging your deep understanding of ZURUs internal organisational structure, processes and teams. Drive execution of the global go to market plan and ongoing business management strategy to ensure longevity of the baby brands and business and establish strong retailer partnerships Support commercial negotiations with customers (new and existing) for baby leveraging ZURUs commercial framework and principles. This will also include development of volume forecasts, go-to-market planning and profitability analysis. Commercial Strategy &amp; Planning Be the expert on your brands and categories, preparing global brand content for sales decks. Present brand strategy to customers. Collaborate with Account teams to develop comprehensive commercial plans to optimise local performance Support on the annual planning and forecast process for baby, building up the global P&amp;L from territory-specific plans Champion ZURUs continuous improvement mindset, constantly seek ways to optimise the business unit and improve the overall performance of the baby vertical. Act as a conduit between Central and Global teams for product information &amp; product development timelines Collaborate closely with all functions of the business including Merchandising, Planning, Design and Finance Skills &amp; ExperienceA go-getter with energy, creativity and determination to continuously improve and push boundaries. Strong solutions-focussed mindset, with high levels of resilience &amp; passion. Competent on Microsoft excel and comfortable with data analysis Ability to thrive in a fast-paced environment and enjoys using their own initiative to make decisions autonomously  Commercial &amp; business acumen, strategic thinking and problem-solving Must demonstrate ability to influence and motivate cross-functional teams, while holding stakeholders accountable to deliver.  Strong communication &amp; influencing skills, with the ability to translate messages across a variety of internal and external stakeholders."
1816869,"IT Specialist","https://jobs.lever.co/zuru/6a42ef8a-9821-4e01-a155-527dc7349926","Zuru","Milan","No",2,"Full time","2025-09-23T20:25:39.715855Z","About our Mission &amp; Product   ZURU Tech is on a mission to digitalize the construction process of buildings worldwide. We have a multinational team developing the first BIM software able to build your real dream home: you design, we build it!  ZURU and ZURU Tech have seen unprecedented expansion and have achieved significant milestones.Our trailblazing BIM software continuously pushes the innovation envelope, solidifying our position as industry leaders. Over 120 markets worldwide have embraced our ground-breaking solutions, fuelling our vision. But our journey doesn't stop here! Brilliant inventions take shape from brilliant minds. We all believe our product is extraordinary so were looking for extraordinary people too. Step into the future with ZURU Tech, where technology and creativity intertwine to reshape the construction industry worldwide. Welcome to the future! PLACE OF WORK: MILAN  The research is addressed to both sexes (Legislative Decree No. 198/2006) and to people of all ages and all nationalities, under legislative decrees 215/03 and 216/03. Candidates interested and in possession of the requirements are invited to send their curriculum vitae, including the authorization to process personal data, under Legislative Decree 196/03 and to the art. 13 GDPR 679/16. #LI-SP1ResponsibilitiesIT Infrastructure Management: Collaborate with the IT team to oversee the organizations IT infrastructure, including networks (LAN, WAN), servers, and security systems. Monitor system performance, troubleshoot network issues, and implement improvements to optimize efficiency. Work on and update documentation. Cybersecurity: Support in maintaining the integrity of the organizations data and information systems. Support the development and enforcement of security policies, conduct regular audits, and help identify potential cybersecurity risks.Vendor Management: Manage relationships with external vendors for IT services and equipment. Negotiate contracts to ensure favorable terms for the company.Documentation &amp; Reporting: Prepare business documents, maintain accurate records of IT issues, and report technical problems to the IT department. Archive important documents systematically.Administrative Support: Handle reception activities for external staff/guests/suppliers and manage incoming calls. Help Desk Support: Provide first-level support for technical issues, including workstation setup, system configuration, and network troubleshooting. Assist in onboarding new employees by guiding them through IT processes and tools.QualificationsEducation: Bachelors degree in Computer Science, Information Technology, or a related field. Relevant certifications (e.g., CompTIA A+, Network+, Security+) are a plus.Experience: 2-4 years in similar roles within a tech environment or software house. Proven experience in help desk support and IT infrastructure management.Fluent in Italian and EnglishTechnical Skills:Proficient in Microsoft 365/Office 365 and knowledge of basic scripting is a plus (e.g., Python or PowerShell).Knowledgeable in system/network configuration and administration.Nice to Have:Familiarity with cybersecurity principles and practices.Familiarity with Fortigate, Mikrotik and Ubiquity systems.Soft Skills:Excellent communication skills in English, both written and spoken.Strong problem-solving abilities with a proactive approach to managing tasks.Ability to prioritize effectively in a fast-paced environment.Strong interpersonal skills with a positive attitude towards teamwork.Hiring Process Our hiring process consists of three steps:HR Interview (45 minutes): In this initial conversation, we will explore key aspects such as motivation, basic requirements, and overall fit for the role. This step serves as a 360-degree assessment, covering cultural alignment, motivation, and technical compatibility. Its also an opportunity for you to learn more about our company, its culture, history, team, and the expectations for the role. Technical Interview (1 hour): You will meet with our IT Team for a deep dive into the technical aspects of the role and your background. This is where we assess your expertise and problem-solving skills in detail.Final Interview with the International IT Manager (1 hour, in English): The final step is a discussion with the global head of the IT function. This interview will be conducted in English and will focus on aligning expectations on a broader scale. We believe that a hiring process should always be a two-way conversation. While we assess your fit for the role, it is just as important for you to evaluate us. This is your opportunity to ask any questions and gain all the insights you need to make an informed decision about joining our team."
3603734,"Collaborative Planning Forecasting and Replenishment (CPFR)","https://jobs.lever.co/zuru/686488e9-4c41-4731-a92a-cde888e9b4cc","Zuru","Minneapolis","No",3,"Full time","2025-09-23T20:25:39.715880Z","We're on the lookout for an exceptional Senior Collaborative Planning, Forecasting, and Replenishment Analyst to strategise and optimize the supply and replenishment framework for ZURU EDGE North America. In this role, you'll champion our supply chain excellence, have autonomy to build, and be in a role with strong impact to our operations! ZURU is on a mission to disrupt across industries, challenge the status quo and catalyst change through radical innovation and automation advances.  This is in play in different pillars of the company: ZURU Toys are re-imagining what it means to play; ZURU Tech is shaping a better future by leading the next building revolution; ZURU Edge is pioneering new generation FMCG brands to better serve modern consumers.    Founded in 2003 by EY Entrepreneur of the Year and World Entrepreneur Hall of Fame brothers Nick and Mat Mowbray, ZURU has quickly grown to a team of over 5000 direct and indirect members across more than 30 international locations including 3 offices in the US! We have globally recognised and award-winning brands like Bunch O Balloons, Mini Brands, XSHOT,  and FMCG brands include MONDAY Haircare, Rascals, NOOD, BONKERS, Gumi Yum Surprise, and more! Check out our founders posts on recent ZURU recognitions: Vendor Partner of the Year | Target  Supplier of the Year | WalmartHOW YOU WILL MAKE AN IMPACTThis opportunity is open to anyone with strong experience in Supply Chain, Demand Planning, Forecasting, Replenishment and Business Operations Strategy. We are ideally looking for up and coming professionals with experiences between 3-6 years and is looking for their next big step!In this role, you will embody our ZURU DNA (ZURU Culture) of 'shifting the needle' and immediately have a direct impact on day-to-day operations. By understanding, planning, and executing, you will optimize our end-to-end supply chain and replenishment framework. Furthermore, you will collaborate with other supply and commercial functions to build ZURUs s supply chain capability for the next phase of its evolution.LIFE@ZURUAt ZURU, we have cultivated a high-performing culture that encourages excellence. Our team works towards ambitious goals, learning, performing, and improving together, all while having fun. We empower talented individuals to do their best work every day.At ZURU, you get out what you put in. You are responsible for driving your own career and we provide the platform to achieve it. As ZURU is on such a fast growth trajectory, there are opportunities here that you wont find anywhere else.We recognise that ZURUs success stems from our people and you can only be at your best when you are looking after yourself. ZURU encourages all our team members to invest in their wellbeing by providing an array of benefits and tools.WHAT WE OFFER Culture for Growth Be surrounded by an A Player Team Competitive RemunerationZURU  Tomorrow ReimaginedZURU.com #LI-JK1Roles &amp; ResponsibilitiesCustomer Relationship Management - Serve as the primary point of contact for key customers, building strong relationships and understanding their unique supply chain needsYou will lead resolution of supply chain challenges by addressing customer inventory team inquiries, resolve issues, and gather feedback to enhance service levels and customer satisfactionCollaborate with sales and marketing teams to develop customized supply chain solutions that align with customer requirements and contribute to business growthSupply Chain Optimization - you will continuously assess existing supply chain processes, identify areas for improvement, and implement enhancements to streamline operations, reduce costs, and enhance efficiencyUtilize data analytics and performance metrics to evaluate supply chain performance, identify trends, and drive informed decision-makingDemand Planning and Forecasting - you will support the demand planning and forecasting cycle by analysing market trends, historical data, and customer feedback to ensure accurate product replenishment and stock levels specifically our MTO business, and lead coordination with merchandising teamIn-store Product Replenishment -  you will oordinate with retail partners to ensure timely and accurate in-store product replenishment, maintaining optimal stock levels and preventing out-of-stock situationsYou will work with internal Supply &amp; Sales teams to manage inventory replenishment, lead times, and safety stock levelsProduct Updates - you will work closely with product development and marketing teams to facilitate smooth product updates, launches, and phase-outs (SLOB), ensuring seamless transitions and minimal disruptions in supplyOn-Shelf Availability - you will implement strategies to enhance on-shelf availability in stores, ensuring our products are readily accessible for customers and meeting our key strategic partners' expectationsSkills &amp; ExperienceBachelor's degree in Supply Chain Management, Business Administration, Logistics, or related fieldsRelevant 3-5 years CPFR, Supply Planning, S&amp;OP, Demand planning and Forecasting related roles with customer facing focusStrong understanding of supply chain principles, order management processes, and inventory control techniques Preferably someone with proficiency in using customer supply chain management softwares (e.g. Target Greenfield) You have advanced proficiency in Microsoft Excel and similar tools for data analysisYou are passionate about Customer supply chain management, and continuously learning about itExcellent communication skills, with the ability to build rapport with customers, collaborate with cross-functional teams, and articulate complex supply chain concepts effectivelyMust have legal working rights to the United StatesStrong analytical and problem-solving abilities, with a keen attention to detail and a proactive approach to resolving issuesYou are a go-getter, a builder, a doer, and someone excited to collaborate with cross-functional teams and counterpartsPlease note this is an onsite role in our Minneapolis officeIf you are aiming for your next step at Manager level, we still encourage you to apply."
3603733,"Business Development Specialist","https://jobs.lever.co/zuru/ae499b8f-895f-4b27-b05c-19f092cef365","Zuru","Ahmedabad","No","Not specified","Full time","2025-09-23T20:25:39.715899Z","YOUR ROLEAs a Business Development Specialist, youll be a champion of ZURU Edge brands, supporting our commercial teams to unlock growth across new and existing markets. Youll gain global exposure working directly with some of the biggest retailers in the world, researching and engaging key buyers and distributors, executing tailored outreach campaigns, and delivering insights that accelerate commercial success. HOW YOU WILL MAKE AN IMPACTYour work will expand ZURUs global footprint, strengthen partnerships with top-tier retailers, and fuel sustainable revenue growth.Strategic Outreach  Execute outreach campaigns, personalize messaging, follow up diligently, and secure buyer engagement.Global Market Expansion  Identify and connect with retail buyers and distributors to open new doors in priority markets.Database Excellence  Build and maintain a high-quality, dynamic contact database to power efficient outreach.Relationship Building  Support long-term partnerships, strengthening trust and credibility with leading retailers.Data Insights  Track performance, analyze engagement, and recommend improvements to optimize conversion.CORE ROLES AND RESPONSIBILITIES Partner with commercial executives on outreach to major global retailers and distributors.Research and qualify potential partners and decision-makers.Source high-quality leads via LinkedIn, Rocket Reach, and other platforms.Customize outreach messaging for specific categories, regions, and retailers.Maintain a structured and accurate contact database.Track and report on outreach performance and pipeline progress.Ensure smooth handover of warm leads to commercial executives.Stay current on industry trends, best practices, and competitor activity.Contribute to regular team reviews to align priorities and share learnings.SKILLS &amp; EXPERIENCE REQUIREDMust-Haves Strong written and verbal communication skills in English. Ability to research, identify, and qualify prospects (buyers/distributors). Organized and detail-oriented; able to manage multiple priorities. Collaborative mindset with strong interpersonal skills.Nice-to-Haves (Preferred, not required) Experience in cold outreach or lead generation (retail or B2B). Familiarity with LinkedIn Sales Navigator, Rocket Reach, or other lead-gen tools. Proficiency in Microsoft Office (Excel, Word, PowerPoint). bachelors degree in business, marketing, communications, or related field.What do we offer?     Competitive compensation   Medical Insurance for self &amp; family    Training &amp; skill development programs    Work with the Global team, make the most of the diverse knowledge  Several discussions over Multiple Pizza Parties   A lot more! Come and discover us!"
1405762,"React JS Developer","https://jobs.lever.co/zuru/97fad426-adb6-4eb2-91d1-366f2467f656","Zuru","Ahmedabad","No",3,"Full time","2025-09-23T20:25:39.715916Z","About Us    ZURU Tech is digitalizing the construction process of buildings all around the world. We have a multi-national team developing the worlds first digital building fabrication platform, you design, we build it!We at ZURU develop the ZURUHome app, a BIM software meant for the general public, architects, and engineers, from here anyone can buy, design, and send to manufacturing any type of building with complete design freedom. Welcome to the future!   What are you Going to do?     Contribute to front-end development of web applications  Able to handle production incidents   Should be able to mentor/guide juniors if required   Working closely with customers to ensure a smooth user experience  Building reusable components and front-end libraries for future use.  Translating designs and wireframes into high-quality code   What are we Looking for?   3+ years of experience in front-end web development is required Strong proficiency in JavaScript, including DOM manipulation and the JavaScript object model  Extensive experience in working with HTML5, CSS, Bootstrap and JavaScript   Thorough understanding of React.js and its core principles  Experience with popular React.js workflows (such as Flux or Redux)  Familiarity with newer specifications of EcmaScript  Experience with common front-end development tools such as Babel, Webpack, NPM, etc.  Ability to understand business requirements and translate them into technical requirements  Familiarity with code versioning tools {{such as Git, SVN, and Mercurial}}  Working knowledge of AZURE or AWS or Google cloud servers.  Hands on experience on real time databases (such as Firebase) Experience in developing an application with cross-browser compatibility in IE, Firefox, Safari, Chrome, Including Tablets, Phones, etc.  Good team player  Good communication skills  Must be able to adhere to launch deadlines  Working knowledge of UX tools like PhotoShop and Illustrator  Must have experience in performance tuning  Additional knowledge of JavaScript frameworks like AngularJS and CSS pre-processors LESS or SASS would be an added advantage    What do we Offer?     Competitive compensation     5 Working Days with Flexible Working Hours    Annual trips &amp; Team outings    Medical Insurance for self &amp; family    Training &amp; skill development programs    Work with the Global team, Make the most of the diverse knowledge  Several discussions over Multiple Pizza Parties   A lot more! Come and discover us!"
1450233,"Node JS Developer","https://jobs.lever.co/zuru/04b7cdd8-d9bf-458a-9c0a-97abb6101baa","Zuru","Ahmedabad","No",4,"Full time","2025-09-23T20:25:39.715935Z","About Us    Zuru Tech is digitalizing the construction process of buildings all around the world. We have a multi-national team developing the worlds first digital building fabrication platform, you design, we build it! We at ZURU develop the Zuru Home app, a BIM software meant for the general public, architects, and engineers, from here anyone can buy, design and send to manufacturing any type of building with complete design freedom. Welcome to the future!    What are you Going to do?  Work as part of a team developing applications and services using agile development methods.  Architect, develop and maintain low-latency, high-availability, and performant server-side applications.  Developing Node.js applications by writing clean, efficient, testable, and reusable code.  Integration of data storage solutions including MongoDB, PostgreSQL, and Redis.  Collaborate with product, design, and frontend teams to understand requirements, create and review technical designs and plans, validate the architecture, and ensure the best service offerings.  Write adequate unit, integration, and performance test suites to ensure the working of all functionality.  Participate in project estimation, provide inputs for solution delivery, conduct technical risk planning, and perform code reviews and test plan reviews.  Ensure modern security standards and protocols, and data protection measures are implemented.  Running diagnostic tests, repairing defects, and providing technical support.  Respond to production incidents when they occur and take any necessary steps to restore service and return the business to normal operations as quickly as possible.  Mentor/guide freshers/juniors if required.    What are we Looking for?   4+ years of experience as a Node.js developer.  Strong proficiency with JavaScript and working knowledge of Node.js and at least one web framework available for it such as Express, Koa, Meteor, etc.  Familiarity with newer specifications of ECMAScript and understanding of the nature of asynchronous programming and its quirks and workarounds.  Working knowledge of REST APIs, and WebSockets (GraphQL is a plus).  Experience with MongoDB and one relational database such as MySQL or PostgreSQL  Implementing test cases using any frameworks such as mocha, jest, etc.  Proficient understanding of code versioning tools - git and git workflows.   Understanding accessibility and security compliance.  Integration of multiple data sources and databases into one system.  A basic understanding of cloud technologies, micro-service architecture, and CI-CD is a plus.  A basic understanding of front-end technologies, such as HTML5, CSS3, and ReactJS is a plus.  Experience with any OOP language such as Golang, Java, or ASP is a plus.  Understanding fundamental design principles behind a scalable application.  Ability to understand business requirements and translate them into technical requirements.  Good team player and good communication skills.  Must be able to adhere to launch deadlines.  User authentication and authorization between multiple systems, servers, and environments.  Strong analytical problem-solving skills; adaptable, enterprising, and willing to take ownership.  What do we Offer?     Competitive compensation   5 Working Days with Flexible Working Hours    Medical Insurance for self &amp; family    Training &amp; skill development programs    Work with the Global team, Make the most of the diverse knowledge  Several discussions over Multiple Pizza Parties   A lot more! Come and discover us!"
3601143,"Supply Chain Solution Consultant","https://jobs.lever.co/zuru/c309a762-ba57-49a5-887c-9759474950a2","Zuru","Los Angeles","No",4,"Full time","2025-09-23T20:25:39.715953Z","Employer: ZURU LLC. Geographical Location of Job: El Segundo, CA Position Offered: Supply Chain Solution Consultant Job Duties and Descriptions: This role focuses on designing, implementing, and optimizing supply chain solutions to drive efficiency and cost savings while meeting ZURU's business objectives and customer needs. The primary job duties of the Supply Chain Solution Consultant are: Evaluate the entire product life cycle, align logistics with global business goals, and develop strategic operating plans for optimal supply chain flow. The role involves redesigning the movement of goods to maximize value and minimize costs for ZURU and its customers. Lead the development and onboarding of 3PLs in strategic locations across North America to meet current and future business needs. The position will oversee 3PLs, review proposals, develop key performance indicators (KPIs), and establish specifications for ongoing performance measurement and continuous improvement. Cultivate positive relationships with ZURU's customers, with a focus on inbound and outbound logistics activities. This involves regular performance reviews against targets and service agreements, mitigating OTIF fines, and actively managing customer replenishment programs in coordination with 3PLs and inventory controllers. Oversee the availability and allocation of materials, components, and finished ZURU products to support internal sales teams and external customers. This includes planning and executing logistics support activities, such as maintenance planning and lifecycle cost analysis. Continuously analyze ZURU's logistics performance and identify areas for improvement. Research and implement new technologies and best practices to optimize processes. Develop and implement technical project management tools, with a focus on responsibilities and compliance matrices within the logistics system and Standard Operating Procedures (SOPs). Develop procedures for coordinating supply chain management with other functional areas, such as sales, marketing, finance, production, and quality assurance. Direct team activities, establish task priorities, track work assignments, provide guidance, and ensure the availability of resources. Mentor and train team members to enhance operational efficiency and adherence to best practices in supply chain management. Clearly communicate logistical solutions to both internal and external stakeholders. This includes presenting and explaining solutions designed to support specific business needs. Analyze information, evaluate results, and choose the best solutions for logistical challenges. Utilize data analytics to evaluate supplier performance metrics and provide actionable insights for continuous improvement. Analyze inventory levels to identify opportunities to increase inventory turnover, reduce waste, and optimize customer service. Establish clear metrics to measure, compare, and evaluate the effectiveness of supply chain activities, including factors like product cost and quality. Design and implement supply chains that support business strategies in response to evolving market conditions, new business opportunities, and cost reduction initiatives. Proactively assess supply chain risks and develop contingency plans to minimize disruptions. Travel Requirements: Approximately 25% of the total work time will involve domestic and international travel to various destinations throughout North America and Asia for business purposes Rate of Pay: $143,624 annually Minimum Requirements: At least four (4) years of experience as a supply chain manager or director is required."
3600404,"Community Manager, FMCG","https://jobs.lever.co/zuru/e1ea5640-ade1-4a2f-893a-031c17edec80","Zuru","Auckland","No","Not specified","Full time","2025-09-23T20:25:39.715970Z","If Customer Service, Community Management, and Social Media are your passion areas, this is for you!  About ZURUZURU is on a mission to disrupt industries, challenge the status quo, and catalyze change through radical innovation and advances in automation. This is in play in different pillars of the company: ZURU Toys are re-imagining what it means to play; ZURU Tech is shaping a better future by leading the next building revolution; and ZURU Edge is pioneering new-generation FMCG brands to better serve modern consumers.Founded in 2003 by EY Entrepreneur of the Year and World Entrepreneur Hall of Fame brothers Nick and Mat Mowbray, ZURU has quickly grown to a team of over 5,000 direct and indirect members across more than 30 international locations.One of the largest toy companies in the world, our globally recognized and award-winning brands include Bunch O Balloons, Mini Brands, XSHOT, Rainbocorns, and Smashers. Our global FMCG brands include MONDAY Haircare, Rascals, NOOD, BONKERS, and Gumi Yum Surprise.YOUR ROLEThis opportunity is perfect for anyone passionate about customer service, influencer marketing, or social media. We're looking for our next Community Manager to deliver best-in-class community management and drive brand engagement for ZURU Edge!ABOUT ZURUZURU is on a quest to reimagine tomorrow. Founded in 2003, ZURU Group has rapidly grown and now spans three core divisionsZURU Toys, ZURU Edge (consumer goods) and ZURU Tech (construction).Known for its cutting-edge software and world-leading automation and manufacturing systems, ZURU has over 5,000 team members in over 30 global locations, making it perfectly placed to continue building its reputation as one of the fastest-growing and most disruptive companies in the world. At ZURU, we have cultivated a high-performing culture that encourages excellence. Our team works towards ambitious goals, learning, performing, and improving together, all while having fun. We empower talented individuals to do their best work every day.At ZURU, you get out what you put in. You are responsible for driving your own career and we provide the platform to achieve it. As ZURU is on such a fast growth trajectory, there are opportunities here that you wont find anywhere else. Get to know us a little better by checking out @lifeatzuru on Instagram or www.zuru.com. WHAT WE OFFER  Culture for Growth Global Opportunities  Surrounded by an A Player Team Competitive RemunerationZURU  Reimagining tomorrow #LI-JK1WHAT YOU'LL DOEnsure the customer journey and experience is best-in-class through responding to and interacting with customers across social platforms and email communication.Establish excellent knowledge of brands and their product ranges so that customers receive best-in-class responses with full information.Work directly with Brand Engagement Director to address any complex queries from customers and ensure these are handled seamlessly.Manage influencer/creator campaigns to support overall marketing goalsKeep records of customer interactions, transactions, comments and complaints.Monthly reporting to the wider brand team on hero customer feedback, common requests, product issues and feedback to ensure customer needs are always governing ongoing strategies.Week to week reporting on defective stock issues and managing replacement stock send- outs to drive brand love.Support/Lead our overseas based customer service team and ensure their quality is at the ZURU standardsWHAT YOU'LL BRINGYou studied Marketing, Business or related fieldYou have related experience in community management, customer service, social media or equivalent Excellent verbal communication, writing skills and interpersonal skills Your passionate about social media management and marketing You have genuine interest on cross-functional and cross-collaborative workYou have the ability to multi-task and stay organised to manage competing prioritiesYou are excited to contribute to our dynamic office culture (Onsite role in Auckland)"
3578199,"Sr. Python Developer","https://jobs.lever.co/zuru/7c5c763f-32f9-48c3-856e-d07c0d888d11","Zuru","Kolkata","No",5,"Full time","2025-09-23T20:25:39.715986Z","About Us:ZURU Tech is digitalizing global construction by developing the worlds first digital building fabrication platformZURU Homeempowering anyone to design and manufacture buildings with complete freedom. Join our multinational team to help shape the future of construction technology. What are you Going to do?As a Senior Python Developer, you'll play a pivotal role in the development of a cutting-edge, cloud-based structural analysis platform. You'll design and optimize core services that integrate with external building design tools, focusing on delivering high-quality software solutions in a distributed environment. Example projects include:Creating services to generate complex structural meshes from architectural models. Designing and integrating finite element analysis solutions with advanced FEM libraries.Implementing region-specific structural verification logic according to building codes. Collaborating with subject matter experts on requirements and testing scenarios. Coding and validating structural verifications, including Reinforced Concrete structures. Working collaboratively with engineering teams across multiple locations. What are we Looking for? 5+ years of experience with Python (object-oriented programming, data classes)Strong background in NumPy and SciPyND tensors, slicing, sparse representationsSolid grasp of software engineering principles and best practicesProficient in Test Driven Development; experienced with PyTest.Experienced with CI/CD pipelines and containerization (Docker)Excellent communication skills, with a collaborative and proactive approach to problem-solvingDemonstrated ability to mentor team members or guide technical discussions is a plusSkilled at taking ownership of key technical decisions and delivering projects to completionPreferred: Experience in distributed systems and cloud deployments What do we Offer? Competitive compensation 5 Working Days with Flexible Working Hours Medical Insurance for self &amp; family Training &amp; skill development programs Work with the Global team, Make the most of the diverse knowledge Several discussions over Multiple Pizza Parties A lot more! Come and discover us!"
